date,open,high,low,close,volume
2023-11-30,500.01,505.0,495.0,500.0,5200
2023-12-01,514.98,514.98,501.13,501.13,600
2023-12-04,505.0,510.0,505.0,510.0,2500
2023-12-05,519.89,520.5,513.02,518.38,800
2023-12-06,516.0,525.0,506.05,525.0,1000
2023-12-07,512.0,525.0,510.1,525.0,3000
2023-12-08,526.0,526.0,526.0,526.0,200
2023-12-11,500.0,510.01,500.0,510.0,400
2023-12-13,510.1,510.1,510.1,510.1,100
2023-12-15,525.0,525.0,525.0,525.0,100
2023-12-18,525.0,525.0,525.0,525.0,300
2023-12-19,510.01,512.0,490.0,500.0,5600
2023-12-20,495.0,500.0,495.0,499.16,4400
2023-12-21,492.0,500.0,492.0,500.0,500
2023-12-26,510.0,519.8,490.0,509.9,500
2023-12-27,522.9,539.0,471.66,480.92,10100
2023-12-28,508.0,508.0,473.0,488.5,2000
2023-12-29,494.9,494.9,472.01,478.95,800
2024-01-01,474.01,490.99,474.0,485.45,950
2024-01-02,495.99,495.99,480.0,484.9,550
2024-01-03,492.0,492.0,486.9,486.9,300
2024-01-04,493.0,493.0,487.0,492.33,1150
2024-01-05,486.02,500.0,486.01,500.0,1250
2024-01-08,500.0,500.0,476.01,487.0,2000
2024-01-09,487.0,491.99,487.0,491.99,300
2024-01-10,493.99,493.99,486.2,490.1,100
2024-01-11,485.02,485.02,485.02,490.1,50
2024-01-12,493.99,495.99,486.01,486.01,400
2024-01-15,484.1,489.99,482.01,484.24,1300
2024-01-16,482.0,484.0,478.01,478.01,700
2024-01-17,476.01,483.0,474.02,475.0,450
2024-01-18,474.01,476.0,470.01,475.0,950
2024-01-19,479.99,480.0,475.02,480.0,350
2024-01-22,481.99,491.99,481.99,487.99,750
2024-01-23,482.5,483.0,482.5,483.0,450
2024-01-24,491.99,495.99,491.99,494.39,500
2024-01-25,486.02,486.02,486.01,486.02,300
2024-01-26,497.99,501.99,490.01,496.0,1650
2024-01-29,492.01,503.98,492.01,503.98,900
2024-01-30,503.99,509.99,500.01,502.0,800
2024-01-31,500.0,502.0,500.0,502.0,250
2024-02-01,509.99,510.0,505.0,510.0,750
2024-02-02,512.0,512.0,512.0,512.0,100
2024-02-06,515.0,520.0,515.0,520.0,1400
2024-02-13,520.0,520.0,520.0,520.0,400
2024-02-19,501.0,505.0,501.0,505.0,400
2024-02-23,510.0,520.0,510.0,520.0,1000
2024-02-27,519.05,519.05,519.05,519.05,100
2024-02-28,520.0,520.0,518.0,518.0,250
2024-02-29,520.0,520.0,520.0,520.0,200
2024-03-01,520.0,520.0,520.0,520.0,100
2024-03-04,520.0,521.0,520.0,520.0,450
2024-03-05,510.0,525.0,510.0,520.0,1100
2024-03-06,525.0,525.0,510.0,510.0,300
2024-03-07,520.0,528.0,520.0,526.6,400
2024-03-08,525.0,525.0,525.0,525.0,100
