date,open,high,low,close,volume
2024-01-11,455,455,454.95,454.95,700
2024-01-12,456,460,450,455,3600
2024-01-15,457.1,457.1,449,449,3700
2024-01-16,449.99,450,439,440,27300
2024-01-17,440.5,440.5,438.1,440,600
2024-01-18,425.05,436,425,434,1400
2024-01-19,446,446,421.05,426,7200
2024-01-22,420.1,424.95,420,421.27,8500
2024-01-23,422.5,427,415,423.74,8800
2024-01-24,424,433.84,424,430,1200
2024-01-25,430,430,425.1,425.1,2000
2024-01-26,425,428.95,418.5,421.79,9200
2024-01-29,415.02,418.01,415,418,2200
2024-01-30,418.11,418.5,400,404.95,12900
2024-01-31,410,411.1,399.99,400.1,83300
2024-02-01,405.15,408.9,400.05,402,107400
2024-02-02,405.01,424,404,415.6,48200
2024-02-06,419.99,425.98,419.99,422.77,5800
2024-02-07,430,442,423.5,436,33300
2024-02-13,424.98,430,424.98,426,15100
2024-02-14,425,430,423,430,2300
2024-02-15,439,439,421,421,3700
2024-02-16,415.02,420,413,415,700
2024-02-19,417.99,417.99,414.05,414.05,600
2024-02-20,430,445.1,425,445.1,49200
2024-02-21,465,478.48,440,478.48,104500
2024-02-22,484,484,450,467.96,125200
2024-02-23,455.01,484,455,478.58,28300
2024-02-26,514,514,471,489.99,43200
2024-02-27,498,499.95,475.13,482,900
2024-02-28,465,480,465,477.94,2400
2024-02-29,473,483,473,473.25,4000
2024-03-01,462.01,462.01,462.01,462.01,600
2024-03-04,473.5,475,470,470,10500
2024-03-05,472.98,472.98,450,456.62,5300
2024-03-06,460.1,481,460,460,2100
2024-03-07,453,460,453,459,17900
2024-03-08,455,460,455,455,3300
2024-03-11,455,480,455,472,8300
2024-03-12,453.08,461,453.08,461,200
2024-03-13,469,469,453.19,459.58,8500
2024-03-14,452.1,458.9,450,456.6,26100
2024-03-15,463.9,463.9,456.6,456.6,700
2024-03-18,450.11,450.11,450.11,450.11,100
2024-03-19,450.14,458.89,450,452.55,1800
2024-03-20,442,455,442,455,1400
2024-03-21,452,452,450.5,450.5,700
2024-03-22,450,450,449,449,200
2024-03-25,445.01,445.01,442,442.17,1100
2024-03-26,440,450,440,448.69,1100
2024-03-27,444,465,444,452.19,6100
2024-03-28,486,486,461.5,470,5500
2024-03-29,443.01,480,443.01,478.83,2200
2024-04-01,478.71,479,478.71,478.78,500
2024-04-02,457.01,466.98,452.56,455.56,8100
2024-04-03,455,464.9,455,464.5,10900
2024-04-04,478,499.34,478,499.34,44700
2024-04-08,534.99,534.99,510,523.63,30800
2024-04-09,540,553.85,530.75,545.3,72900
2024-04-15,530,540,527.23,530,6700
2024-04-16,544,544,530.27,535.33,4700
2024-04-17,535.33,535.33,518.02,532,1700
2024-04-18,535,557,533.99,540,120900
2024-04-19,540,548,539.96,548,2800
2024-04-22,527.51,554.99,527.51,550,6352
2024-04-23,534.1,550,534.1,549.96,11050
2024-04-24,547.45,555,545.5,554.94,2516
2024-04-25,540.1,585,540,574.75,65456
2024-04-26,578.95,583.95,551,577.62,25714
2024-04-29,581.95,581.95,562,565.42,5308
2024-04-30,569.99,581,565,565.43,14924
2024-05-02,579.8,580,545.5,559.58,3865
2024-05-03,555,560,545,559.84,24706
2024-05-06,547.01,601.83,546,601.8,50472
2024-05-07,601.8,622,590,614,84848
2024-05-08,615,622.99,606,610.15,58527
2024-05-09,619.94,640.1,606.02,634.65,104982
2024-05-10,638.75,660,602.26,641.91,26349
2024-05-13,659,690,650,664.51,134960
2024-05-14,665,674.75,664.99,670,29029
2024-05-15,670,674,667,669.98,749
2024-05-16,669,679.79,665,668.49,3972
2024-05-17,661.33,675,660,669.26,5977
2024-05-20,677,677,662,666,35890
2024-05-21,673.99,682,670,679.46,16498
2024-05-22,686.95,698,660.01,689.93,20289
2024-05-23,694,694,676,689.71,6315
2024-05-24,690.97,693,680,680.26,1014
2024-05-27,684.85,685,675,676.79,53611
2024-05-29,670,681.99,661,675,760
2024-05-30,675,689,665.1,675.85,23830
2024-05-31,670,695,670,679.24,3148
2024-06-03,675,684.99,670.2,674.5,922
2024-06-04,668.51,678.89,666,667.25,894
2024-06-05,660.01,679.88,659.98,675,4133
2024-06-06,675,675.01,663.51,675,3091
2024-06-07,660.01,690,650,690,71315
2024-06-10,685,691,675,690.07,6261
2024-06-11,691,691,680,680.04,3073
2024-06-12,688,688,667,680.42,2062
2024-06-13,690,715,675,712.56,17140
2024-06-14,713,730,705.02,729.23,7439
2024-06-20,740,740,702.27,725.47,3819
2024-06-21,734.44,734.44,701.6,721.96,1879
2024-06-24,728,728,709,710,8414
2024-06-25,710,710,690,708.78,1526
2024-06-26,710,715,650.1,710.5,38687
2024-06-27,715,715,714.93,715,466
2024-06-28,724.95,740,715.04,732.98,7343
2024-07-01,716,762,716,759.87,337300
2024-07-02,768,770,753,767.85,3203
2024-07-03,761.05,819.47,761,800.19,915977
2024-07-04,795,808,780,793.56,44532
2024-07-05,798,798.5,766.03,780,678
2024-07-08,780,794.99,755,792.39,208
2024-07-09,800,800,770,788.48,1441
2024-07-10,798.9,800,780,790,1540
2024-07-11,797.48,800,775.1,776.96,6045
2024-07-12,790,800,782.01,797.96,3817
2024-07-15,785.1,799,780,796.96,6336
2024-07-18,786,798.91,781,793,9295
2024-07-19,783.11,783.11,765,766.98,5838
2024-07-22,725,760,720,724.73,14013
2024-07-23,715,729.5,701,718.47,10178
2024-07-24,720,749.95,720,737.5,335
2024-07-25,761.61,761.61,720,723.73,1258
2024-07-26,758,758,701,712.05,360
2024-07-29,705.16,765.95,695,735.68,1059
2024-07-30,770,770,673.01,750,1924
2024-07-31,758.99,758.99,715.01,746.42,1057
2024-08-01,770,770,738,738,178
2024-08-02,769.99,769.99,735.26,741.1,493
2024-08-05,748.99,748.99,730.02,742.25,1366
2024-08-06,745,745,735.01,742.24,5112
2024-08-07,755,755,725,744.59,1750
2024-08-08,748,748,730,736.59,3714
2024-08-09,750,750,730,740.4,1230
2024-08-12,750,750,725,740,1349
2024-08-13,749.75,749.75,732,735.43,1234
2024-08-15,740,748.95,740,745,13261
2024-08-16,749,749,691,738.04,5169
2024-08-19,740,740,709.95,720.44,36122
2024-08-20,744.74,744.75,720,729.55,8925
2024-08-21,735,735,710,730,4184
2024-08-22,744,744.85,718,727.42,43828
2024-08-23,730,800.16,726,800.16,861974
2024-08-26,798.44,840,720.14,723.88,1035705
2024-08-27,708,739,700,734.55,31422
2024-08-28,739,749.99,721,730.98,12513
2024-08-29,716,770,716,747.45,72920
2024-08-30,755,759,720,722.21,3361
2024-09-02,744,744,710.08,738.78,4893
2024-09-03,731,745,725,741.46,4391
2024-09-04,749,749,728.1,740,12440
2024-09-05,738,744.75,721.12,731.29,77357
2024-09-06,744,744,730,731.95,14379
2024-09-09,738,746,730,739.82,28229
2024-09-10,740.1,775,740,766.76,38485
2024-09-11,765.99,777,755,756.13,3503
2024-09-12,755,775,755,770.05,44411
2024-09-13,765,770,750,768.87,1244
2024-09-16,790,790,755,765.01,14859
2024-09-18,775,775,760,772.66,42718
2024-09-19,775,790,764.01,780.46,14599
2024-09-20,790,790,779.99,780.25,29586
2024-09-23,780,787,760,763.97,9153
2024-09-24,721.25,780,721.25,769.8,1034
2024-09-25,769.8,773,762.05,763.59,6194
2024-09-26,779.99,839.95,701.1,781.45,2085778
2024-09-27,784.99,789,774,775.78,80614
2024-09-30,790,790,740,765.23,28547
2024-10-01,750.12,770,750.12,765.08,2443
2024-10-02,769.99,770,760.02,766.73,36753
2024-10-03,763.02,769.99,760,762.27,4226
2024-10-04,760,769,750.01,760.19,13406
2024-10-07,765,790,755,788.97,96028
2024-10-08,790,797,786,796.98,30872
2024-10-09,796.98,800,775.02,790.05,10474
2024-10-10,798,804,793,800.52,28982
2024-10-11,800.01,800.49,770,789.41,8138
2024-10-14,775.02,791,775.01,784.99,6501
2024-10-15,789.9,789.9,761.2,775,2085
2024-10-16,752,792.89,750,773.45,1117
2024-10-17,773,775,748,770.06,3988
2024-10-18,775,800,761.01,793.59,17440
2024-10-21,799,810,780,801,23610
2024-10-22,809,809.5,790,800.1,57933
2024-10-23,804,822,800,810.89,29769
2024-10-24,841,841,802.25,818.05,17373
2024-10-25,803.04,899.86,800,899.86,104995
2024-10-28,956.9,989.85,883,897.58,167856
2024-10-29,912,968,900.05,955.66,61465
2024-10-30,970,999,936,942.33,72220
2024-10-31,951,969.99,911.1,924.66,14612
2024-11-01,930,935,900.01,912.13,12109
