date,open,high,low,close,volume
2024-01-16,90.04,90.94,89,89.91,44753
2024-01-17,90.25,93.95,90.25,93.28,325478
2024-01-18,92.81,93.98,90.01,92.21,141171
2024-01-19,93.5,93.5,92,92.61,106109
2024-01-22,92,93,92,92.17,26885
2024-01-23,92.2,94.5,92.2,93.43,52401
2024-01-24,93.5,97.3,93.5,97,180364
2024-01-25,97.49,98.9,96,97.03,136160
2024-01-26,94.05,97.99,94.05,95.6,44245
2024-01-29,96,96,92.5,94.75,109000
2024-01-30,94.6,95,90,92.17,139841
2024-01-31,91.5,93,89.1,92.17,163556
2024-02-01,90.5,92.98,90.5,92.22,37548
2024-02-02,91.5,92.89,91.15,92.15,184687
2024-02-06,93,93.47,92.11,92.23,57048
2024-02-07,92,92.97,92,92.54,41339
2024-02-09,93.47,93.47,90.1,92.52,158424
2024-02-12,90.57,92.7,90,90,48261
2024-02-13,88.2,90.5,88,90.12,17364
2024-02-14,91,93.01,90.2,92.62,35207
2024-02-15,92.15,92.15,88.51,88.97,16777
2024-02-16,87.6,89.99,82.3,82.54,789056
2024-02-19,82.39,84.9,78.11,84.22,177314
2024-02-20,85.48,85.48,82.28,83.6,18796
2024-02-21,84.99,87,84.25,84.98,20676
2024-02-22,85.95,85.95,84.5,84.99,16011
2024-02-23,85.85,86.5,85,86.38,21446
2024-02-26,86.49,87.98,85.96,87.07,24742
2024-02-27,87.5,88.25,86.5,86.96,81702
2024-02-28,87.45,89.49,87.01,88.21,49607
2024-02-29,89,91,88,88.62,43433
2024-03-01,90.48,90.48,88,88.34,33574
2024-03-04,89.99,89.99,88,88.38,17513
2024-03-05,89.4,89.4,88,88.05,26016
2024-03-06,89.3,89.3,88,88,46068
2024-03-07,87,88,87,87.03,260886
2024-03-08,87.99,89,87.11,88.48,19759
2024-03-11,89,90.5,89,89.83,28147
2024-03-12,89.5,89.89,83.6,87.56,68295
2024-03-13,87.6,89,85,85.09,71939
2024-03-14,85.09,88,84,87.48,11434
2024-03-15,85.62,87.9,85.62,86.8,8782
2024-03-18,87,88,86,86.52,9152
2024-03-19,86.55,89.5,86.55,89.01,1023720
2024-03-20,91,93.6,90,92.51,295505
2024-03-21,92,92.75,92,92.52,139403
2024-03-22,91.2,92.6,91.2,92.58,29894
2024-03-25,92.5,94,92.05,93.68,13992
2024-03-26,92.75,94.8,92.75,93.98,29471
2024-03-27,93.5,93.99,93,93.34,16990
2024-03-28,93,94.1,92.7,94.02,113022
2024-03-29,95,95,93.12,94.47,16180
2024-04-01,94.99,94.99,92,94.1,23164
2024-04-02,94.97,94.97,92.02,92.7,2740
2024-04-03,93.97,98.95,93,97.67,128882
2024-04-04,97,99.4,95,95.68,31949
2024-04-08,97.5,97.5,95,95.52,48168
2024-04-09,96,97.4,95.5,96.27,79298
2024-04-15,96.5,97.25,96,97.15,61870
2024-04-16,97.5,98.48,89.86,97.45,88618
2024-04-17,97.5,97.7,96,96.5,47861
2024-04-18,97.5,97.5,96,96.51,11870
2024-04-19,95.5,96.79,94.98,96.26,10284
2024-04-22,94.4,99.45,94.4,97.64,87084
2024-04-23,97.61,104,97.6,102.41,234815
2024-04-24,102.8,105.5,102.43,103.44,130809
2024-04-25,104,104.8,97,98.18,199660
2024-04-26,96.01,98.5,96.01,96.17,60678
2024-04-29,96.94,97.15,95.41,96.13,69532
2024-04-30,95,95.15,91.99,92.15,75437
2024-05-02,92.89,94.75,91.26,91.5,85952
2024-05-03,93.69,94.89,91.2,92.71,149142
2024-05-06,93,95.99,92.3,94.27,244339
2024-05-07,94,95.3,92.1,93.8,155571
2024-05-08,94.95,94.95,92.8,92.85,39938
2024-05-09,93,94,92.85,93.29,31573
2024-05-10,94.44,97.52,94.44,96.42,353367
2024-05-13,96.6,99,95,97.43,120777
2024-05-14,98,98.68,96.1,96.84,65336
2024-05-15,97.5,103.5,97,102.73,406713
2024-05-16,102.79,104.4,101.5,103.51,205731
2024-05-17,103.49,106.79,102,103.33,144024
2024-05-20,103.74,103.74,100.5,102.7,63442
2024-05-21,102.5,105,101.5,103.37,198042
2024-05-22,104.4,104.4,101.52,102.07,24028
2024-05-23,101.99,102.89,100.15,102.07,37268
2024-05-24,103.74,103.74,102.1,103.23,32761
2024-05-27,103.92,103.92,101.1,101.47,38486
2024-05-29,101,104.89,96,99.36,73891
2024-05-30,96,103,96,101.98,86573
2024-05-31,98.65,103,98.65,101.95,73298
2024-06-03,102,102.99,100.6,100.88,44856
2024-06-04,100.11,101.7,99.99,100.23,35183
2024-06-05,100.51,100.98,99.5,100,13473
2024-06-06,98,101.33,98,101,18106
2024-06-07,98.61,101.5,98.1,100.48,37140
2024-06-10,101.5,101.5,100,100.09,28332
2024-06-11,101.25,102,99,99.37,42433
2024-06-12,99.37,100.5,98.01,100.01,57573
