date,open,high,low,close,volume
2023-12-06,40.0,40.0,40.0,40.0,9000
2023-12-07,40.01,40.01,39.01,39.01,6500
2023-12-08,39.01,39.01,38.99,39.0,18500
2023-12-11,40.31,40.34,40.1,40.1,6000
2023-12-12,41.1,41.1,39.1,39.5,1500
2023-12-13,39.5,39.5,39.06,39.06,4500
2023-12-14,39.0,39.0,39.0,39.0,2500
2023-12-15,40.85,40.85,40.7,40.8,3500
2023-12-19,39.05,39.05,38.1,38.1,14500
2023-12-20,37.55,40.0,37.5,40.0,3000
2023-12-21,38.0,38.0,38.0,38.0,1500
2023-12-27,37.11,37.11,37.11,37.11,500
2023-12-29,39.89,39.89,39.89,39.89,3500
2024-01-01,41.9,42.88,41.78,42.0,25500
2024-01-02,42.99,42.99,41.6,41.79,5500
2024-01-03,41.0,42.5,40.15,41.27,18500
2024-01-04,41.99,41.99,41.0,41.2,13500
2024-01-05,42.0,42.0,38.11,40.74,101500
2024-01-08,41.01,42.9,41.01,41.56,18000
2024-01-09,42.89,42.89,41.31,41.31,8000
2024-01-10,41.01,41.75,40.99,41.5,9500
2024-01-11,40.0,41.55,40.0,41.45,22500
2024-01-12,41.9,42.1,39.01,40.01,30500
2024-01-15,39.0,39.0,35.5,35.5,9000
2024-01-16,35.0,35.0,33.2,34.24,12500
2024-01-17,34.0,35.0,34.0,35.0,7000
2024-01-18,33.5,33.65,33.31,33.41,4000
2024-01-19,33.52,34.0,33.52,34.0,2000
2024-01-22,34.0,34.0,33.75,33.75,2000
2024-01-23,33.21,35.49,33.13,34.52,10500
2024-01-24,35.11,35.11,32.3,32.31,6000
2024-01-25,32.9,34.73,32.9,34.73,9500
2024-01-29,33.35,37.33,33.35,37.33,19500
2024-01-30,39.0,39.97,37.99,38.51,18500
2024-02-01,38.02,38.02,37.8,38.0,7500
2024-02-02,38.0,38.0,38.0,38.0,2000
2024-02-06,38.0,38.0,38.0,38.0,500
2024-02-07,38.0,38.0,38.0,38.0,500
2024-02-09,37.5,37.5,37.2,37.2,2000
2024-02-12,37.25,38.5,37.25,38.0,5500
2024-02-13,38.0,38.3,38.0,38.3,2000
2024-02-14,39.0,39.48,38.05,38.05,2500
2024-02-15,38.0,38.02,38.0,38.02,2000
2024-02-16,38.0,38.0,37.75,37.75,1500
2024-02-19,38.0,38.0,37.22,38.0,7500
2024-02-20,38.25,38.25,38.24,38.25,3000
2024-02-21,38.0,38.0,37.92,37.92,4000
2024-02-22,38.0,38.2,37.75,38.15,4500
2024-02-23,38.98,38.98,38.98,38.98,500
2024-02-26,37.31,37.31,37.31,37.31,500
2024-02-29,38.0,39.25,38.0,39.0,2000
2024-03-01,39.24,39.25,39.24,39.25,1000
2024-03-06,39.48,39.48,39.0,39.0,3500
2024-03-07,39.89,39.89,39.89,39.89,16500
2024-03-11,39.5,39.5,37.01,37.66,5500
2024-03-13,38.98,38.98,38.98,38.98,500
2024-03-14,38.98,38.98,38.98,38.98,500
2024-03-15,39.25,40.0,39.0,39.0,40000
2024-03-18,39.0,39.0,39.0,39.0,1000
2024-03-19,39.0,39.75,39.0,39.75,4500
2024-03-21,38.5,39.0,38.5,39.0,10500
2024-03-22,39.0,39.0,38.99,38.99,1000
2024-03-25,39.0,39.0,38.5,38.5,5000
2024-03-26,38.0,38.0,38.0,38.0,500
2024-03-27,38.05,38.05,38.05,38.05,500
2024-03-29,38.0,38.0,38.0,38.0,1000
2024-04-02,38.52,38.52,38.0,38.0,25000
2024-04-03,37.53,37.98,37.52,37.98,3500
2024-04-04,37.55,37.55,37.52,37.52,4000
2024-04-08,36.5,36.5,36.5,36.5,500
2024-04-09,37.03,38.0,37.03,38.0,1500
2024-04-15,37.62,38.49,37.62,38.49,1500
2024-04-16,38.0,38.0,38.0,38.0,2500
2024-04-17,38.0,38.0,38.0,38.0,500
2024-04-18,38.0,38.0,38.0,38.0,7500
2024-04-19,38.0,38.0,38.0,38.0,5000
2024-04-22,38.0,38.0,38.0,38.0,1500
2024-04-24,39.0,39.63,39.0,39.63,2500
2024-04-25,39.48,39.9,39.48,39.68,14500
2024-04-26,39.5,39.5,39.5,39.5,500
2024-04-29,41.99,41.99,41.99,41.99,30500
2024-04-30,40.15,40.15,40.15,40.15,500
2024-05-03,40.0,40.0,40.0,40.0,2000
2024-05-06,38.56,38.56,38.56,38.56,2000
2024-05-07,40.0,40.85,40.0,40.85,2500
2024-05-08,41.0,41.0,40.1,40.1,4500
2024-05-09,40.02,40.02,39.55,39.55,2000
2024-05-10,40.98,40.98,39.25,39.25,3500
2024-05-13,40.4,40.4,40.4,40.4,500
2024-05-14,40.97,40.97,39.76,39.76,1000
2024-05-15,40.48,40.48,40.0,40.0,2000
2024-05-16,40.7,40.7,40.7,40.7,500
2024-05-17,39.91,40.5,39.81,40.0,4000
2024-05-20,39.72,39.72,39.12,39.2,6000
2024-05-21,40.3,40.3,40.3,40.3,500
2024-05-22,40.5,40.5,40.5,40.5,1500
2024-05-23,40.5,40.5,39.5,39.5,1000
2024-05-24,40.4,42.46,36.54,42.46,131000
2024-05-27,45.0,45.86,43.05,43.33,131494
2024-05-29,43.6,44.2,42.51,42.73,29029
2024-05-30,42.0,42.38,41.0,42.32,18565
2024-05-31,43.46,43.95,43.0,43.5,5513
2024-06-03,42.0,42.48,41.4,42.41,14635
2024-06-04,41.75,41.75,39.02,40.47,35961
2024-06-05,41.5,41.79,41.0,41.36,9500
2024-06-06,41.75,41.75,41.0,41.05,6169
2024-06-07,41.01,41.95,40.26,40.72,19481
2024-06-10,40.7,42.1,40.52,41.36,841
2024-06-11,40.55,41.9,40.55,41.36,45
2024-06-12,41.9,41.9,40.75,41.71,3897
2024-06-13,41.7,42.6,41.25,41.71,4978
2024-06-14,41.5,42.99,41.5,42.69,25249
2024-06-20,42.93,45.81,42.93,45.6,43597
2024-06-21,45.6,45.88,43.75,43.85,21976
2024-06-24,43.5,43.5,42.75,42.98,14181
2024-06-25,43.0,43.97,42.0,42.0,7903
2024-06-26,43.38,43.38,42.0,42.08,7017
2024-06-27,42.05,42.5,42.0,42.2,8450
2024-06-28,42.2,42.2,40.77,42.2,2625
2024-07-01,42.5,46.0,42.5,45.2,38501
2024-07-02,44.4,46.98,44.13,46.67,38903
2024-07-03,46.67,47.9,45.02,46.1,8858
2024-07-04,45.62,46.98,42.18,45.4,9978
2024-07-05,46.5,48.5,46.5,46.99,12553
