date,open,high,low,close,volume
2024-01-04,374.0,379.0,374.0,378.98,900
2024-01-05,380.0,380.0,370.0,380.0,3000
2024-01-08,375.0,380.0,375.0,380.0,3700
2024-01-09,370.52,385.0,370.52,384.04,3200
2024-01-10,380.0,384.94,376.0,384.7,900
2024-01-11,375.03,382.0,375.0,376.0,700
2024-01-15,376.0,379.94,376.0,376.0,500
2024-01-16,375.0,375.0,375.0,375.0,100
2024-01-17,371.01,371.01,364.0,365.0,1500
2024-01-18,361.0,365.5,360.0,365.5,1100
2024-01-22,350.03,366.5,350.03,353.0,5400
2024-01-23,355.2,368.0,354.99,361.03,8300
2024-01-24,364.99,369.9,364.99,369.9,1700
2024-01-25,368.5,368.5,361.0,365.0,1400
2024-01-26,367.0,368.0,350.01,364.31,5300
2024-01-29,360.0,361.9,356.07,356.07,1500
2024-01-30,351.1,356.0,351.0,351.28,700
2024-01-31,350.0,350.0,350.0,350.0,700
2024-02-02,357.0,369.5,357.0,366.98,1600
2024-02-06,365.0,369.65,365.0,366.0,1400
2024-02-07,365.21,372.0,365.0,366.0,182100
2024-02-09,362.0,370.0,362.0,370.0,1300
2024-02-12,350.03,355.55,342.25,342.25,22300
2024-02-13,322.01,326.98,316.58,316.58,32100
2024-02-14,316.49,327.99,306.0,322.5,291600
2024-02-15,323.23,330.0,317.0,318.07,17300
2024-02-16,320.0,325.0,310.0,315.0,12700
2024-02-19,324.99,324.99,312.5,314.55,4700
2024-02-20,315.0,321.0,315.0,320.99,3100
2024-02-21,329.4,329.4,321.0,324.13,3500
2024-02-22,328.0,330.0,324.0,328.0,4900
2024-02-23,325.0,334.99,325.0,330.8,59400
2024-02-26,339.96,344.15,334.2,340.13,30400
2024-02-27,337.01,344.75,337.0,339.1,6500
2024-02-28,339.0,340.0,339.0,340.0,900
2024-02-29,344.7,365.5,339.0,365.5,37100
2024-03-01,378.9,378.9,347.4,351.26,52500
2024-03-04,351.26,354.85,345.0,348.93,16400
2024-03-05,349.0,350.0,348.95,349.0,5500
2024-03-07,347.0,350.0,345.0,350.0,2100
2024-03-08,351.99,352.0,350.0,350.0,14800
2024-03-11,349.0,362.97,349.0,359.62,13900
2024-03-12,357.0,360.0,357.0,360.0,17400
2024-03-13,360.0,360.0,358.0,360.0,5400
2024-03-14,364.99,378.0,360.0,374.43,13400
2024-03-15,371.0,375.0,365.9,370.0,2700
2024-03-18,369.9,370.0,365.0,365.0,2400
2024-03-19,370.0,370.0,365.01,368.93,600
2024-03-20,373.99,373.99,368.01,370.0,900
2024-03-21,374.88,380.0,360.0,361.71,11000
2024-03-22,370.0,370.0,365.0,368.0,900
2024-03-25,340.4,340.4,340.4,340.4,30400
2024-03-26,344.95,347.0,340.4,342.1,6700
2024-03-27,342.1,344.75,341.5,342.04,12500
2024-03-28,342.0,345.0,340.5,344.83,6500
2024-03-29,343.0,358.0,343.0,347.05,43500
2024-04-01,345.51,348.0,343.1,344.98,13000
2024-04-02,340.01,343.0,335.01,340.3,1500
2024-04-03,340.0,344.0,337.21,343.69,1800
2024-04-04,340.01,344.0,338.01,340.25,3400
2024-04-08,338.0,341.0,338.0,341.0,1500
2024-04-09,343.0,343.0,338.01,341.62,4500
2024-04-15,342.0,344.0,340.0,340.56,2600
2024-04-16,340.0,342.0,335.0,340.55,4700
2024-04-17,338.01,341.4,338.01,339.0,900
2024-04-18,345.0,363.97,343.0,355.42,14400
2024-04-19,355.0,364.0,355.0,356.13,7200
2024-04-22,360.0,380.0,350.0,376.4,30418
2024-04-23,365.05,379.0,365.05,371.13,4692
2024-04-24,371.13,385.0,371.13,380.31,11216
2024-04-25,379.9,380.0,370.02,370.46,11269
2024-04-26,373.0,395.0,369.1,393.41,113665
2024-04-29,395.0,397.74,367.01,387.0,6752
2024-04-30,377.01,384.9,361.0,364.74,19855
2024-05-02,372.45,375.0,362.0,366.05,5942
2024-05-03,369.0,374.0,363.4,365.36,4867
2024-05-06,367.0,372.0,365.0,368.18,5307
2024-05-07,370.0,372.0,367.0,372.0,3565
2024-05-08,375.0,376.0,367.1,367.85,2997
2024-05-09,370.0,371.0,367.0,367.07,2748
2024-05-10,365.2,366.0,360.2,361.96,32473
2024-05-13,360.22,366.0,360.0,363.68,2840
2024-05-14,361.0,363.0,355.13,356.82,29122
2024-05-15,362.0,362.0,350.0,353.27,18768
2024-05-16,354.9,360.98,353.01,353.58,5662
2024-05-17,359.89,359.89,353.26,354.16,5512
2024-05-20,354.1,360.0,354.1,355.0,28173
2024-05-21,354.0,356.02,354.0,354.16,2468
2024-05-22,355.0,355.0,351.0,351.52,6881
2024-05-23,351.0,356.0,350.01,354.66,2318
2024-05-24,354.0,381.26,351.0,357.86,66359
2024-05-27,364.0,364.0,358.0,358.0,9932
2024-05-29,359.99,359.99,353.01,353.95,2544
2024-05-30,359.0,365.0,342.0,350.89,9791
2024-05-31,359.99,359.99,353.05,354.24,2892
2024-06-03,359.95,359.95,353.0,353.93,3818
2024-06-04,354.0,355.0,350.0,350.01,4431
2024-06-05,345.0,354.9,345.0,348.85,11188
2024-06-06,345.1,349.99,340.0,342.48,11105
2024-06-07,335.21,361.94,335.21,355.48,21695
2024-06-10,359.0,359.0,342.07,350.0,2601
2024-06-11,355.0,356.0,350.0,351.39,1578
2024-06-12,353.94,353.98,350.0,350.0,3927
2024-06-13,353.0,355.98,348.71,352.21,11228
2024-06-14,355.98,355.98,351.0,351.81,4405
2024-06-20,353.0,356.0,351.1,355.0,6774
2024-06-21,356.0,356.5,352.0,352.04,2884
2024-06-24,353.0,357.0,350.0,350.72,5669
2024-06-25,344.0,354.0,344.0,350.0,1460
2024-06-26,350.01,352.0,350.0,352.0,421
2024-06-27,353.99,354.0,350.0,352.01,1100
2024-06-28,350.0,351.0,348.99,349.0,2595
2024-07-01,350.01,354.0,345.0,349.0,11177
2024-07-02,345.02,358.0,345.02,353.49,8481
2024-07-03,352.0,358.0,351.04,352.49,1603
2024-07-04,356.99,356.99,351.0,351.25,2310
2024-07-05,352.09,354.99,340.0,351.6,3302
2024-07-08,354.0,354.0,349.0,349.94,2927
2024-07-09,356.99,357.0,347.7,349.99,17336
2024-07-10,343.1,352.9,341.0,349.69,7270
2024-07-11,357.99,357.99,352.1,354.95,20898
2024-07-12,352.0,352.0,347.0,350.74,4410
2024-07-15,350.0,360.0,341.01,354.91,55573
2024-07-18,354.0,355.0,346.0,350.82,31682
2024-07-19,354.95,355.0,345.0,347.99,18489
2024-07-22,345.0,348.94,313.19,342.14,10723
2024-07-23,344.99,350.0,343.01,344.88,10233
2024-07-24,345.02,345.02,336.5,340.0,11817
2024-07-25,342.0,344.99,339.0,339.47,9562
2024-07-26,349.9,349.9,336.81,337.5,5412
2024-07-29,344.0,344.0,337.5,337.59,7043
2024-07-30,344.0,344.0,338.1,339.84,12041
2024-07-31,340.0,343.0,339.0,339.91,23249
2024-08-01,340.0,340.01,337.01,338.01,3058
2024-08-02,338.98,342.0,338.1,341.0,4485
