date,open,high,low,close,volume
2024-01-15,37.98,40.53,37.6,38.33,381500
2024-01-16,37.52,38,37.51,37.96,10500
2024-01-17,38,38,37.5,37.76,79000
2024-01-18,37.06,38,36.5,37.08,122500
2024-01-19,37.43,38,36.85,37.32,177000
2024-01-22,37.25,37.67,37,37.61,46000
2024-01-23,37.36,37.8,37.11,37.57,45500
2024-01-24,37.5,37.5,37,37.22,173500
2024-01-25,37,37.4,36,36.61,289000
2024-01-26,36.61,36.62,36.06,36.27,28500
2024-01-29,36.06,37.99,36.01,37.08,92500
2024-01-30,36.5,37.5,36.5,37.26,27000
2024-01-31,36.66,37.25,36.5,36.73,49000
2024-02-01,37.17,37.55,37.17,37.44,36500
2024-02-02,37.72,37.72,36.9,37.22,50000
2024-02-06,37.4,37.7,37.4,37.5,51000
2024-02-07,37.45,37.5,36.2,36.62,146500
2024-02-12,35.7,35.7,33.87,34.46,548500
2024-02-13,34,35.88,34,35.39,90000
2024-02-14,35.75,35.98,35.1,35.95,16500
2024-02-15,35.01,35.9,35.01,35.75,81500
2024-02-16,35.11,35.4,34.27,34.99,121000
2024-02-19,34.57,35.45,34.57,35.4,407000
2024-02-20,34.16,35.3,34.16,35.3,405500
2024-02-21,35.88,36.39,35.48,35.9,14500
2024-02-22,36,36,35.55,35.81,64000
2024-02-23,35.99,36.25,35.99,36.12,13000
2024-02-26,35.9,36,35.53,35.99,24000
2024-02-27,35.5,35.85,35.32,35.84,32000
2024-02-28,35.5,35.99,35.4,35.69,7474500
2024-02-29,35.6,36.3,35.5,36.14,53000
2024-03-01,36.3,37.88,36.26,36.92,81500
2024-03-04,36.5,36.69,35.85,36.24,3433000
2024-03-05,35.52,36.43,35.52,36.3,8637500
2024-03-06,36,36.7,36,36.38,54000
2024-03-07,35.76,36.45,35.76,36.23,21500
2024-03-08,36.47,36.5,36.47,36.5,64500
2024-03-11,36.07,37,36.07,36.96,25500
2024-03-12,36.25,36.45,36,36.2,12500
2024-03-13,36,36.4,36,36.17,10000
2024-03-14,36.1,36.1,35.81,35.99,61000
2024-03-15,36.38,36.38,36,36.25,9000
2024-03-18,36.35,36.5,36,36.39,20000
2024-03-19,36.5,37,36.2,36.95,29500
2024-03-20,36.8,37,36,36.32,111500
2024-03-21,36.01,36.5,35.86,36.42,21000
2024-03-22,36,36,34.86,35.38,267500
2024-03-25,34.95,35.5,34.95,35.42,23000
2024-03-26,35.25,35.9,35,35.56,34000
2024-03-27,34.55,35.38,34,34.86,578500
2024-03-28,34.21,34.9,34,34.65,170000
2024-03-29,34.65,34.65,33.71,34.44,65500
2024-04-01,34.49,34.5,33.7,33.84,31000
2024-04-02,33.74,36.18,33.48,35.57,442000
2024-04-03,36.98,36.99,35.17,36.14,87500
2024-04-04,36.98,37.2,35.5,36.91,170000
2024-04-08,36.5,36.99,36.4,36.67,54500
2024-04-09,36.5,37,36.15,36.91,169500
2024-04-15,36.37,36.99,36.36,36.85,81500
2024-04-16,37,37.83,36.4,37.11,448500
2024-04-17,36,36,35.5,35.89,341000
2024-04-18,35.5,36.74,35,36.22,132000
2024-04-19,36,36,35.5,35.85,35500
2024-04-22,36.88,36.88,34,34.68,576500
2024-04-23,34.8,34.8,33.99,34.58,388500
2024-04-24,34.32,35.35,34.32,35.21,167000
2024-04-25,35.02,35.74,34.91,35.6,86500
2024-04-26,35.04,36.74,35.03,36.24,207500
