date,open,high,low,close,volume
2023-10-03,124.8,124.8,112,116.81,2100
2023-10-04,119.9,119.9,112.52,118.85,1200
2023-10-06,112.53,119.29,112.53,119.29,600
2023-10-09,112.79,118.85,112.51,118.08,1200
2023-10-11,117.97,121.9,117.97,121.26,700
2023-10-13,118,121,117,120.99,1200
2023-10-18,115.01,119.75,115,119.75,700
2023-10-19,119.93,122.49,119.93,122.07,1900
2023-10-20,118.5,119.99,113,116.04,4800
2023-10-23,115.11,115.11,115.1,116.04,200
2023-10-25,115.01,119.96,112.51,117.35,1300
2023-10-26,119.3,120,119.3,120,600
2023-10-31,115.75,117,115.75,117,900
2023-11-02,115.01,116.99,112.53,116.9,600
2023-11-03,115.25,119.74,113.25,119.74,2000
2023-11-13,117.25,127.48,117.25,124.01,2200
2023-11-14,120.01,126.7,120,125.53,1600
2023-11-15,127.33,134.94,121.2,134.94,8500
2023-11-16,145,145.06,144.78,145.06,6200
2023-11-17,155.94,155.94,155.94,155.94,1000
2023-11-20,159,159.99,144.24,146.89,16400
2023-11-21,140.17,141.9,136.25,138.51,4000
2023-11-22,138.75,140.5,138.75,140.25,1800
2023-11-23,137,137,136,136.28,400
2023-11-24,139.99,146.5,137.05,146.5,12100
2023-11-27,149.99,156.9,149,149,8700
2023-11-28,147.51,160.18,142.5,160.18,21200
2023-11-29,164.99,172.19,164.99,172.19,5100
2023-11-30,180.5,185.1,159.28,159.28,34000
2023-12-01,155.01,161.99,149.95,159.44,6000
2023-12-04,157.5,171.4,153.11,169.92,9400
2023-12-05,165.01,167.95,165.01,167.45,600
2023-12-06,162.52,165.9,161,162.05,2400
2023-12-07,161,167.49,161,161.9,1600
2023-12-08,160.05,164,160.05,164,400
2023-12-11,167,167,160.01,160.04,2100
2023-12-12,161,161.1,161,161.08,300
2023-12-13,160,167,160,164.89,5100
2023-12-14,157.52,162.98,157.52,162.96,1300
2023-12-15,160,160,160,160,300
2023-12-18,157.61,157.61,157.61,157.61,200
2023-12-19,157.51,157.51,145.82,153.61,1000
2023-12-20,147.51,151.98,146,150.99,500
2023-12-21,149,154.99,149,152.29,700
2023-12-22,150.01,150.01,150.01,152.29,200
2023-12-26,147.51,147.51,147,147.26,200
2023-12-27,145.02,154.99,145.02,153.07,400
2023-12-28,153,153,150.01,151.51,200
2023-12-29,153.99,153.99,153.99,153.99,300
2024-01-01,147.51,165.54,142.53,157.53,22800
2024-01-02,157.99,158.9,153.05,157.47,1700
2024-01-03,155,156.9,152.51,156.3,1900
2024-01-11,150.01,150.01,150.01,156.3,100
2024-01-15,154.96,159.94,154.96,158.92,700
2024-01-16,152.52,154.84,152.51,154.75,400
2024-01-18,150.01,151.48,147.51,151.43,500
2024-01-19,152.45,152.45,152.45,152.45,200
2024-01-22,145.23,151.9,141.02,150.57,2800
2024-01-23,145.01,149.95,145.01,149.95,400
2024-01-24,148.5,148.5,148.5,149.95,100
2024-01-25,144.5,144.5,139.5,142.69,2200
2024-01-26,137.7,137.7,137.7,142.69,100
2024-01-31,137.51,140,137.51,138.76,200
2024-02-01,142.4,142.4,142.4,142.4,300
2024-02-09,135.01,139.94,135.01,139.92,300
2024-02-12,133.01,133.01,129.43,129.45,1400
2024-02-16,125.01,125.01,125.01,129.45,100
2024-02-20,129.98,132,129.98,131.99,500
2024-02-21,132.48,132.49,132.48,132.49,200
2024-02-26,127.56,127.56,127.51,127.52,600
2024-02-29,131.95,131.95,131.95,131.95,1500
2024-03-04,125.01,129.97,125.01,127.49,200
2024-03-05,123.73,123.73,123.73,127.49,100
2024-03-08,123.02,123.02,123.02,127.49,100
2024-03-11,129.98,130,129.97,129.99,900
2024-03-13,125.02,125.02,125.01,125.02,200
2024-03-18,128.98,128.98,128.98,128.98,600
2024-03-19,129.98,132.49,129.98,130,700
2024-03-20,134.89,135,134.89,135,900
2024-03-21,130.02,130.02,130.01,130.02,200
2024-03-28,130,130,130,130,500
2024-03-29,134.33,139.75,134.33,139.75,6800
2024-04-01,142.49,149,142.49,147.49,8300
2024-04-02,145,145,142.51,143.34,2700
2024-04-03,140.08,140.08,135,136.09,1200
2024-04-04,138.95,139.99,138.95,139.47,500
2024-04-08,135.51,135.51,129.01,132.75,2100
2024-04-09,129.05,129.05,128.1,128.58,300
2024-04-15,127.56,128,120.01,124.53,1800
2024-04-16,127.49,127.49,124.56,127,700
2024-04-17,125.12,125.12,124.2,124.74,500
2024-04-18,122.61,123,122.6,123,1200
2024-04-19,127,127,120,120.34,1400
2024-04-22,125.41,125.41,122,120.34,145
2024-04-23,125.95,125.95,124,120.34,12
2024-04-24,125.99,125.99,125.99,120.34,1
2024-04-25,127,127,126.98,120.34,4
2024-04-26,126.88,126.88,123,126.84,402
2024-04-29,123,125.99,123,126.84,2
2024-04-30,124.79,124.99,120,120,5477
2024-05-02,124,124,124,120,1
2024-05-03,123.24,123.24,123.24,120,7
2024-05-06,125.89,125.89,120,121.89,2768
2024-05-07,120.04,120.05,120.01,120.01,315
2024-05-08,120.26,120.27,120,120.06,261
2024-05-09,120.5,120.5,120.5,120.06,4
2024-05-10,121.98,121.98,120.04,120.06,17
2024-05-13,125.78,125.78,120.53,120.06,59
2024-05-15,120.25,122,118.01,118.13,2006
2024-05-16,118.02,121.98,118,119.94,5191
2024-05-17,120.8,121.79,119.01,119.5,410
2024-05-20,123.97,123.97,118.25,119.5,23
2024-05-21,118.01,122.95,117.01,117.16,501
2024-05-22,121.97,121.97,116.5,117.16,201
2024-05-23,119.9,122,119.78,121.06,2311
2024-05-24,117.65,122.98,117.65,118.3,1311
2024-05-27,118.05,121.96,117.56,117.89,509
2024-05-29,117.07,121.95,116.05,117.63,869
2024-05-30,121.93,121.93,121.6,121.61,210
2024-05-31,116.51,121.95,116.51,121.93,756
2024-06-03,116.01,121.97,116.01,116.22,1032
2024-06-04,116.33,119.95,115,115.01,3212
2024-06-05,115.99,115.99,114.01,114.44,577
2024-06-06,113.14,113.14,109.01,109.66,1140
2024-06-07,108.01,112.95,108,112.86,970
2024-06-10,107.01,107.04,104.01,104.27,2104
2024-06-11,108.79,108.79,104.01,104.27,144
2024-06-12,108.65,108.99,108.53,104.27,211
2024-06-13,108.87,110.99,104.1,109.67,2567
2024-06-14,110.87,113.99,110.87,113.92,1022
2024-06-20,113.49,117.99,113.49,117,2430
2024-06-21,114.05,118.75,114.05,116,362
2024-06-24,117.99,120,117.99,119.98,707
2024-06-25,115.3,120.92,115.3,119.98,204
2024-06-26,118.06,118.06,115.05,116.75,250
2024-06-27,119.5,119.5,115.33,115.34,1179
2024-06-28,115.25,120,115.25,119.54,1279
2024-07-01,116.26,120.3,116.26,119,1575
2024-07-02,115.34,119,115.34,119,338
2024-07-03,120,129.71,120,129.71,3567
2024-07-04,141.38,141.38,141.38,141.38,6008
2024-07-05,154.1,154.1,154.1,154.1,1997
2024-07-08,168.74,168.74,155.24,168.74,32939
2024-07-09,174,184.77,171,184.77,25884
2024-07-10,190,202.32,190,202.32,21165
2024-07-11,206.99,221.54,206.99,209.74,28412
2024-07-12,202,209,189.81,190.16,24386
2024-07-15,190.16,190.17,176,176.39,13758
2024-07-18,180,180,172.01,173.1,3998
2024-07-19,172.01,174,158.01,160.24,6058
2024-07-22,162.99,162.99,147.01,150.38,5980
2024-07-23,150.38,152.99,149,151.19,3064
2024-07-24,151.99,151.99,147.01,148.11,896
2024-07-25,146.02,150,144,144.12,3560
2024-07-26,143.01,145.89,134,141.98,3701
2024-07-29,141.95,141.99,137.05,137.66,1562
2024-07-30,138.5,151.43,138.5,151.43,7917
2024-07-31,166.5,166.57,160,166.57,7127
2024-08-01,170.99,178.99,160,161.18,17127
2024-08-02,146.1,160.99,146.1,151.79,6128
2024-08-05,153.99,154.99,148.01,148.58,700
2024-08-06,148.01,163.44,148.01,153.57,10721
2024-08-07,154.01,155,150,152.95,1187
2024-08-08,152,153,141.11,145.88,4744
2024-08-09,146.99,147.99,145.22,147.05,945
2024-08-12,143.02,161.76,134,143.46,22258
2024-08-13,143.5,145.5,139,143.75,3236
2024-08-15,143.9,143.9,140.11,140.29,1545
2024-08-16,143,143.5,139.05,140.13,3204
2024-08-19,141.5,141.5,137.01,140,2288
2024-08-20,141.89,154,141.89,154,19416
2024-08-21,154.99,162,147.1,147.14,13649
2024-08-22,152.99,152.99,145,145.72,2344
