date,open,high,low,close,volume
2023-01-19,28.88,28.88,28.88,28.88,1000
2023-01-31,29.0,29.0,29.0,29.0,500
2023-02-10,28.0,28.0,28.0,28.0,1000
2023-02-13,28.0,28.0,28.0,28.0,500
2023-02-28,25.9,25.9,25.9,25.9,500
2023-04-04,26.0,26.0,24.1,24.73,1500
2023-04-27,27.95,27.95,27.95,27.95,500
2023-05-10,25.9,25.9,25.9,25.9,1500
2023-05-30,28.0,28.0,28.0,28.0,1000
2023-06-01,28.0,28.0,28.0,28.0,500
2023-06-07,27.0,28.0,27.0,28.0,4000
2023-06-15,28.0,28.0,28.0,28.0,1500
2023-08-01,30.1,30.1,30.1,30.1,500
2023-08-03,30.0,30.0,30.0,30.0,500
2023-08-25,30.0,30.0,30.0,30.0,1000
2023-12-06,28.5,28.5,28.5,28.5,5000
2023-12-07,28.0,28.0,28.0,28.0,6000
2023-12-15,30.1,30.1,30.1,30.1,10500
2024-01-11,28.0,28.0,28.0,28.0,500
2024-01-18,30.1,30.1,30.1,30.1,1500
2024-04-30,32.36,32.36,32.36,32.36,500
2024-06-06,29.77,34.0,29.77,32.36,91
2024-07-09,34.99,35.0,34.99,35.0,1500
2024-07-11,38.0,38.0,38.0,35.0,1
2024-07-12,38.0,38.0,38.0,35.0,1
2024-07-15,38.33,38.33,37.99,35.0,103
2024-07-22,38.0,38.0,38.0,35.0,1
2024-07-24,31.5,37.0,31.5,35.0,201
2024-07-26,35.0,35.0,35.0,35.0,99
2024-07-29,37.77,37.77,37.77,35.0,1
2024-08-05,37.0,37.0,36.99,35.0,2
2024-08-16,38.5,38.5,37.0,35.0,2
2024-08-22,31.5,37.37,31.5,34.97,1734
2024-08-23,31.47,31.48,31.47,34.97,6
2024-08-26,31.48,34.99,31.47,31.48,1007
2024-08-27,32.0,34.39,28.61,34.27,1067
2024-08-28,37.7,37.7,32.01,37.63,1312
2024-08-29,36.0,38.0,34.0,37.63,26
2024-08-30,33.87,37.0,33.87,37.63,2
2024-09-02,33.87,33.88,33.87,37.63,306
2024-09-03,33.87,33.88,33.87,37.63,206
2024-09-06,34.0,34.0,34.0,37.63,32
2024-09-09,34.0,34.5,33.87,36.42,421
2024-09-10,39.0,39.0,39.0,36.42,16
2024-09-11,32.78,33.06,32.78,36.42,10
2024-09-19,34.99,34.99,34.99,36.42,1
2024-09-23,0.0,0.0,0.0,36.42,1
2024-09-24,34.0,34.0,34.0,36.42,10
