date,open,high,low,close,volume
2023-03-16,52,52,48.56,48.56,1500
2023-03-17,46,52.2,46,50.13,1500
2023-03-20,47,47,47,47,500
2023-03-27,44,44,44,44,500
2023-04-03,46,46,46,46,500
2023-04-04,49.44,49.44,46,46,2500
2023-04-19,44.1,44.1,44.1,44.1,500
2023-05-16,47.4,47.4,47.4,47.4,500
2023-05-17,43.9,43.9,43.9,43.9,500
2023-05-22,42.08,42.08,42.08,42.08,500
2023-06-01,45.57,45.57,45.57,45.57,500
2023-06-02,48.99,48.99,48.99,48.99,500
2023-06-05,52,52,52,52,1000
2023-06-07,55.9,55.9,55.9,52,500
2023-06-08,54.9,55,54.9,54.93,4000
2023-06-09,54,54,54,54,1000
2023-06-13,53.5,58,53.5,55.72,9000
2023-06-14,59.9,59.9,59.9,59.9,1500
2023-06-15,64.39,64.39,64.39,64.39,8000
2023-06-19,59.55,59.55,59.55,59.55,1000
2023-07-17,58,58,58,58,500
2023-08-02,50.41,58,50.41,58,1500
2023-08-03,54,55.01,54,55.01,1000
2023-08-04,55,55,55,55,500
2023-08-07,55,55,55,55,500
2023-08-11,56,56,56,56,1000
2023-08-15,56,56,56,56,500
2023-08-21,51.8,51.8,51.8,51.8,500
2023-08-24,55.4,55.4,55.4,55.4,20500
2023-08-31,55.94,59.56,55.94,59.56,5500
2023-10-11,63,63,63,63,1000
2023-10-12,65,65,65,65,1000
2023-10-13,69,69,69,69,1000
2023-10-17,64,64,64,64,500
2023-12-01,67.9,68.8,67.9,68.8,3000
2023-12-06,68.85,68.85,68.85,68.85,500
2023-12-08,73.5,73.5,73.5,73.5,22500
2023-12-11,78.8,78.8,78.8,78.8,12500
2023-12-15,74,74,74,74,500
2023-12-28,78,79.55,78,79.55,3000
2023-12-29,85.52,85.52,85.5,85.52,17000
2024-01-01,90,91.93,90,91.93,55500
2024-01-02,94.95,98.82,94.95,98.82,41500
2024-01-03,103,106.2,99,104.5,35500
2024-01-04,97.1,97.15,96.66,96.66,8000
2024-01-05,91.67,96,89.41,95.99,11000
2024-01-08,95,95,95,95,1500
2024-01-09,95.99,96,92.1,93.4,6500
2024-01-10,94,94.5,90.51,90.51,1500
2024-01-11,94.93,95.45,94,95.45,10500
2024-01-12,99.42,99.42,95,95,8500
2024-01-15,96.01,99,96.01,99,3000
2024-01-16,98.63,98.63,92.04,97.31,3000
2024-01-17,90,90,87.5,87.5,1500
2024-01-18,81.12,81.12,81.12,81.12,500
2024-01-23,75.07,86,75.07,79,5000
2024-01-24,78.45,78.45,78.4,78.43,1500
2024-01-25,78.43,78.75,75.51,78.75,2000
2024-01-26,82.95,82.99,82.95,82.99,1500
2024-01-29,85,89.21,85,89.21,12500
2024-01-30,95.9,95.9,88.5,88.5,5500
2024-01-31,81.86,93.75,81.86,86.02,6000
2024-02-01,86.01,86.17,86.01,86.17,1000
2024-02-06,89.95,89.95,89.95,89.95,500
2024-02-07,89.95,89.95,89.95,89.95,1000
2024-02-09,85.05,85.05,85.05,85.05,500
2024-02-12,87.02,87.02,86.02,86.02,1500
2024-02-13,83.02,83.02,83.02,83.02,500
2024-02-14,83.02,83.02,83.02,83.02,500
2024-02-16,81,82,81,82,1000
2024-02-19,80.02,80.02,80.02,80.02,500
2024-02-20,83.9,83.95,83.9,83.95,1500
2024-02-21,86.88,90,86.88,89.98,4500
2024-02-22,90,90,90,90,1000
2024-02-27,87.06,87.06,87.05,87.05,1500
2024-02-29,87.02,87.02,87.02,87.02,500
2024-03-05,89.6,89.98,89.6,89.98,2500
2024-03-06,92.5,92.5,92.35,92.35,1000
2024-03-07,86.12,86.23,86.12,86.23,1000
2024-03-08,85.01,85.01,85.01,85.01,500
2024-03-11,85.25,85.25,85.25,85.25,500
2024-03-12,85.02,87.99,83.02,87.99,3500
2024-03-21,89.95,90,89.95,90,33000
2024-03-22,90,90,90,90,500
2024-03-26,90,90,90,90,3000
2024-03-28,92.5,92.5,92.5,92.5,5500
2024-03-29,93,97,90.02,94.74,11500
2024-04-01,90.21,90.21,87.63,88.25,8000
2024-04-02,89.95,90,89.95,90,3000
2024-04-03,90.5,92.98,90.5,92.98,1000
2024-04-04,94.88,94.97,94.85,94.9,2500
2024-04-09,93,94,93,94,2000
2024-04-15,97.88,99.99,95.02,95.02,3500
2024-04-16,92.02,95,92.02,93.1,5000
2024-04-17,93.1,94.9,92.36,94.9,2000
2024-04-18,100,100,100,100,1000
2024-04-19,95,96,93,94.52,7000
2024-04-22,94,99.95,94,99.95,4000
2024-04-23,99.88,102.6,99.88,102.52,24000
2024-04-24,101.25,101.5,101.2,101.5,2500
2024-04-25,101.03,101.03,101.01,101.01,1000
2024-04-26,102,104.95,102,102.5,3000
2024-04-29,102,102,98.6,98.6,2500
2024-04-30,102,103.1,101,103.1,5500
2024-05-02,103.8,103.8,102.25,102.25,1000
2024-05-06,102.8,103.5,102.8,103,2500
2024-05-07,103.25,104,103.02,104,4500
2024-05-08,104,105,104,105,2000
2024-05-09,103.1,105,103.1,105,1500
2024-05-13,105.05,105.05,105,105.03,1000
2024-05-14,106.01,106.01,105,105,11000
2024-05-15,105.5,105.5,105,105.1,4000
2024-05-16,105,105,105,105,1000
2024-05-17,107.07,108,106,107.07,39500
2024-05-20,105.53,105.53,105.5,105.52,1000
2024-05-21,107,107,105.5,105.5,1500
2024-05-22,107,107.98,106.1,106.1,2000
2024-05-23,104.5,104.5,104.5,104.5,12500
2024-05-24,100,103,100,103,4000
2024-05-27,109,109,94.76,100.18,18303
