date,open,high,low,close,volume
2024-01-11,8.22,8.25,8.06,8.11,1019840
2024-01-12,8.49,8.49,7.9,8.02,391054
2024-01-15,8.29,8.3,7.9,7.93,204163
2024-01-16,8,8,7.7,7.73,432458
2024-01-17,7.89,7.89,7.51,7.6,447799
2024-01-18,7.6,7.6,7.23,7.41,513909
2024-01-19,7.5,7.69,7.36,7.51,183732
2024-01-22,7.65,7.65,7.33,7.39,176600
2024-01-23,7.35,7.65,7.35,7.54,420036
2024-01-24,7.5,7.7,7.5,7.52,237712
2024-01-25,7.45,7.65,7.45,7.51,119945
2024-01-26,7.6,7.63,7.4,7.46,357799
2024-01-29,7.59,7.6,7.32,7.34,323452
2024-01-30,7.34,7.5,7.01,7.06,910294
2024-01-31,7.03,7.22,7,7.12,424383
2024-02-01,7.23,7.23,7.08,7.12,92263
2024-02-02,7.38,7.38,7.08,7.21,83374
2024-02-06,7.4,7.57,7.2,7.5,139777
2024-02-07,7.5,7.6,7.37,7.46,144950
2024-02-09,7.23,7.48,7.1,7.25,99790
2024-02-12,7.44,7.44,6.9,6.93,226570
2024-02-13,6.85,7.05,6.6,7,233606
2024-02-14,7.24,7.37,7.03,7.32,280878
2024-02-15,7.38,7.38,7,7,153284
2024-02-16,6.85,7.24,6.85,6.91,191298
2024-02-19,6.85,6.99,6.84,6.91,70728
2024-02-20,6.81,7.19,6.81,6.94,146073
2024-02-21,6.9,7.26,6.9,7.11,78788
2024-02-22,7.23,7.35,7.11,7.25,123734
2024-02-23,7.34,7.34,7.1,7.28,116022
2024-02-26,7.48,7.48,7.15,7.21,472642
2024-02-27,7.36,7.4,7.11,7.18,60538
2024-02-28,7.1,7.38,7.1,7.35,256423
2024-02-29,7.5,7.85,7.37,7.71,1534725
2024-03-01,7.98,8.17,7.6,8,697181
2024-03-04,8.18,8.24,7.9,8.15,731559
2024-03-05,8.05,8.15,7.85,7.93,187616
2024-03-06,7.99,7.99,7.7,7.77,312957
2024-03-07,7.9,7.97,7.72,7.78,69309
2024-03-08,7.62,7.98,7.62,7.88,89338
2024-03-11,7.66,7.93,7.66,7.69,637070
2024-03-12,7.75,7.87,7.51,7.66,140150
2024-03-13,7.54,7.7,7.5,7.5,50727
2024-03-14,7.69,7.75,7.31,7.64,125096
2024-03-15,7.75,7.75,7.47,7.5,427527
2024-03-18,7.69,7.69,7.36,7.4,21311
2024-03-19,7.62,7.62,7.25,7.31,251872
2024-03-20,7.49,7.49,7.24,7.25,67418
