date,open,high,low,close,volume
2025-08-15,6.81,6.81,6.81,6.81,5701
2025-08-18,7.81,7.81,7.81,7.8,1701
2025-08-19,8.8,8.8,8.8,8.74,101
2025-08-20,9.74,9.74,9.74,9.74,11101
2025-08-21,10.74,10.74,10.74,10.74,1200
2025-08-22,11.81,11.81,11.81,11.81,3626
2025-08-25,12.99,12.99,12.99,12.99,2824
2025-08-26,14.29,14.29,14.29,14.29,15897
2025-08-27,15.5,15.72,14.9,15.72,522829
2025-08-28,17.29,17.29,16.5,17.29,330020
2025-08-29,18.01,19.02,18.01,19.02,287023
2025-09-01,20.45,20.92,19.6,20.92,255037
2025-09-02,22.5,23.01,22.5,23.01,158766
2025-09-03,25.2,25.31,20.71,21.22,1081853
2025-09-04,20.99,21.09,19.26,19.42,293852
2025-09-05,19.51,20.98,18.11,18.7,227519
2025-09-08,18.51,19.4,18,18.48,100148
2025-09-09,18.79,20.33,18.12,19.8,486311
2025-09-10,19.02,19.76,19,19.13,41285
2025-09-11,19.8,19.8,18.5,18.55,98830
2025-09-12,19.48,19.48,17.52,18,48090
2025-09-15,18.2,19.8,17.75,18,608403
2025-09-16,18.5,18.5,17.66,17.7,31994
2025-09-17,18.49,19.47,17.5,18.24,752317
2025-09-18,18.5,18.88,17.8,17.95,87192
2025-09-19,18.18,18.45,17.65,17.79,43468
2025-09-22,17.7,18.18,17.25,17.56,17227
2025-09-23,17.11,18,17.11,17.44,6396
2025-09-24,17.9,17.9,17,17.18,19644
2025-09-25,17.2,17.7,16.12,16.96,26059
2025-09-26,16.5,17.9,15.76,16.57,91020
2025-09-29,16.5,17.47,16.41,16.42,41728
2025-09-30,17,17,15.55,15.79,26426
2025-10-01,16.9,16.9,15.05,15.72,57005
2025-10-02,16.4,17.29,14.55,17.29,329345
2025-10-03,19.02,19.02,16,16.73,943904
2025-10-06,16.9,16.9,15.73,16.31,53504
2025-10-07,16,16.7,16,16,6501
2025-10-08,16.5,16.5,15,15.47,32254
2025-10-09,15.1,15.98,15,15.19,75310
2025-10-10,15.1,15.86,15,15.04,77199
2025-10-13,15,15,14.17,14.33,18004
2025-10-14,14.95,15.69,14.9,15.14,17110
2025-10-15,15.52,15.78,14.92,15.02,20025
2025-10-16,15.75,16.52,14.51,16.48,382985
2025-10-17,17.7,17.7,16,16.44,112880
2025-10-20,16.05,16.66,15.6,16,36339
2025-10-21,16.3,16.3,15.31,15.85,4648
2025-10-22,15.71,16,15.51,15.7,41257
2025-10-23,15.65,15.7,15.1,15.5,215247
2025-10-24,15.01,15.64,14.75,14.95,217550
2025-10-27,15,15.8,15,15.16,16015
2025-10-28,15.2,15.6,15,15.04,35304
2025-10-29,15.79,15.79,14.75,14.97,4304
2025-10-30,15.74,15.74,14.6,14.9,16003
2025-10-31,15.74,15.74,14.5,14.53,79650
2025-11-03,15.3,15.3,13.7,14,277564
2025-11-04,14,14.4,13.5,14.01,31984
2025-11-05,14.75,14.75,14.01,14.05,28108
2025-11-06,14.39,14.64,14.1,14.4,28765
2025-11-07,14.8,14.8,13.51,14.11,3082
2025-11-10,14.75,14.75,13.86,13.96,69207
2025-11-11,14.65,14.65,13.3,13.97,16311
2025-11-12,14.5,14.5,13.25,13.86,507618
2025-11-13,13.17,13.9,13.11,13.56,21967
2025-11-14,13.98,14.92,13.98,14.92,282071
2025-11-17,16.41,16.41,15.49,16.36,1316434
2025-11-18,16.9,17.35,15.75,15.92,426488
2025-11-19,16,16,15.56,15.6,78368
2025-11-20,15.41,16.8,15.35,16.38,100230
2025-11-21,16.01,16.86,15.21,15.57,255435
2025-11-24,15.3,15.64,15,15.07,45970
2025-11-25,15.5,15.5,14.85,14.98,16330
2025-11-26,15.31,15.31,14.6,14.87,26118
2025-11-27,15.25,15.25,14.42,14.42,40158
2025-11-28,15.25,15.25,14.61,14.65,20002
2025-12-01,14.95,15,14.52,15,8762
2025-12-02,15.03,16,15.02,15.49,77191
2025-12-03,15.72,16.2,15.6,15.65,58409
2025-12-04,15.2,15.6,15.05,15.34,7049
2025-12-05,15.1,15.45,15,15,37005
2025-12-08,15.4,15.4,15,15,43139
2025-12-09,15,15.4,15,15,11886
2025-12-10,15.35,15.7,14.02,14.64,26219
2025-12-11,14.97,15.48,14.37,15,25020
2025-12-12,14.95,14.95,14.11,14.83,34292
2025-12-15,15.25,15.7,14.85,15.4,89372
2025-12-16,15.9,15.9,15.11,15.25,10676
2025-12-17,15.17,15.9,15.01,15.06,37343
2025-12-18,15.67,15.67,15.02,15.1,9941
2025-12-19,15.65,15.65,15,15.02,6901
2025-12-22,15.3,15.3,14.8,14.99,4003
2025-12-23,15.3,15.3,14.6,14.82,2439
2025-12-24,15.2,15.2,14.3,14.41,13234
2025-12-26,14.2,15.8,14,14.62,50899
2025-12-29,14.22,14.6,14.2,14.29,65447
2025-12-30,14.5,14.5,13.82,14.27,70022
2025-12-31,14.2,14.55,14.1,14.29,20785
2026-01-01,14.4,15.72,14.31,14.88,529171
2026-01-02,15.25,15.75,14.9,15.25,90050
2026-01-05,15.48,15.48,14.85,14.97,115102
2026-01-06,15.04,15.44,14.78,14.84,19645
2026-01-07,15,15.18,14.2,14.37,91526
2026-01-08,14.33,15.02,14.11,14.57,117548
2026-01-09,14.88,14.88,14.41,14.42,6101
2026-01-12,14.1,14.5,14,14.23,66048
2026-01-13,14.1,14.5,14.01,14.5,22457
2026-01-14,14.7,14.7,14,14.05,17203
2026-01-15,14.25,14.25,14,14.01,11254
2026-01-16,15.2,15.2,14.01,14.2,27302
2026-01-19,14.45,15.6,14.2,15.09,148168
2026-01-20,15.02,15.4,14.6,14.72,38674
2026-01-21,14.72,14.95,14.7,14.7,11906
2026-01-22,14.61,14.61,14.3,14.59,22403
2026-01-23,14.89,14.89,14.5,14.5,10967
2026-01-26,14.4,14.64,14,14.34,15813
2026-01-27,14.06,14.35,13.81,13.82,32787
2026-01-28,13.97,14,13.62,13.66,25152
2026-01-29,13.97,13.98,13.58,13.58,10189
2026-01-30,14.2,14.5,13.66,14.39,15051
2026-02-02,14.29,14.29,13.41,13.61,15857
2026-02-03,13.61,13.85,13.4,13.81,9733
2026-02-04,13.77,13.81,13.23,13.53,46863
2026-02-06,13.52,13.81,13.52,13.81,630
2026-02-09,13.31,13.31,13.12,13.81,465
2026-02-10,13.8,13.8,13.1,13.4,2764
2026-02-11,13.7,13.7,13,13.42,5721
2026-02-12,13.87,13.87,12.8,13.4,11230
2026-02-13,13.5,13.75,13.23,13.65,2571
2026-02-16,13.95,13.95,12.31,13.19,10801
2026-02-17,13.48,13.48,13.47,13.19,2
2026-02-18,12.15,13.25,12.15,13.19,303
2026-02-19,13.48,13.48,13.48,13.19,1
2026-02-20,13.19,13.19,13.19,13.19,3
2026-02-23,13.5,13.5,12.12,13.35,8502
2026-02-24,12.21,13.4,12.2,12.33,8746
2026-02-25,13.3,13.3,11.95,12.04,1851
2026-02-26,12.66,12.97,11.99,12.96,4017
2026-02-27,13,13,11.66,11.87,36407
2026-03-02,10.68,12.5,10.68,10.69,38834
2026-03-03,10.99,10.99,9.81,9.81,7787
2026-03-04,9.1,10.3,9.1,10.25,1156
2026-03-05,10.3,11.1,9.23,9.35,44496
2026-03-06,9.7,9.7,9.35,9.35,149
2026-03-09,9.8,9.8,8.36,9.68,1680
2026-03-10,10.45,10.45,9.95,10,5941
2026-03-11,10.2,10.2,9.13,9.5,4439
2026-03-12,9,10.49,9,10,8500
2026-03-13,9.8,9.8,9.8,9.8,500
2026-03-16,9.96,9.96,9.41,9.44,7892
2026-03-17,9.01,9.5,9,9.44,260
2026-03-18,9.77,10.17,9.5,9.97,5011
2026-03-19,9.5,10,9.1,10,1108
2026-03-24,9.51,11,9.45,10.58,26274
2026-03-25,11.36,11.36,9.52,9.92,80181
2026-03-26,9.92,10,9.6,9.92,1633
2026-03-27,9.9,9.9,9.3,9.92,426
2026-03-30,9.2,9.5,9.01,9.47,7709
2026-03-31,9.09,9.47,9.09,9.22,3595
2026-04-01,9.89,9.89,8.22,9.22,20
2026-04-02,9.8,9.8,9.48,9.5,5045
2026-04-03,9.1,9.5,9.1,9.5,17
2026-04-06,9,9.35,8.7,9.07,4766
2026-04-07,9.07,9.25,9.07,9.2,1574
2026-04-08,10.14,10.2,9.81,10.06,15598
2026-04-09,10.45,10.45,10,10.22,9803
2026-04-10,10.48,10.55,9.85,10.05,1872
2026-04-13,9.2,9.9,9.2,9.55,9511
2026-04-14,9.2,10.3,9,9.64,71227
2026-04-15,9.8,10,9.46,9.6,62496
2026-04-16,9.75,9.75,9.43,9.5,57890
2026-04-17,9.5,9.6,9.21,9.5,71760
2026-04-20,9.7,9.7,8.65,9.52,64797
2026-04-21,9.45,10.52,9,10.52,504324
2026-04-22,11.25,11.57,11,11.57,146553
2026-04-23,12.45,12.73,12.25,12.73,530272
2026-04-24,13.45,14,12.77,13.11,1054671
2026-04-27,13.3,13.3,11.81,12.41,201001
2026-04-28,12.4,13.65,12.17,13.65,767156
2026-04-29,14.05,14.9,13.05,14.21,498711
2026-04-30,13.2,14.3,12.8,13.13,120637
2026-05-04,13.69,13.79,12.5,12.93,108294
2026-05-05,12.32,13.58,12.32,13.03,61438
2026-05-06,13.84,14,12.75,13.34,78115
2026-05-07,13.35,13.7,12.6,13.69,119174
