date,open,high,low,close,volume
2024-01-10,377.01,381.0,377.0,377.91,7840
2024-01-11,376.2,380.0,376.2,379.96,6945
2024-01-12,382.0,382.0,378.0,379.8,16355
2024-01-15,380.0,384.88,374.0,374.95,12309
2024-01-16,379.4,379.4,369.0,374.03,26896
2024-01-17,377.13,385.0,377.0,381.99,184484
2024-01-18,384.49,384.49,376.15,382.42,63526
2024-01-19,384.5,385.81,382.0,383.63,11246
2024-01-22,383.0,390.5,383.0,388.52,27752
2024-01-23,383.8,389.0,381.01,384.07,35685
2024-01-24,381.5,412.88,381.2,412.88,231600
2024-01-25,425.0,440.0,418.0,423.29,206943
2024-01-26,428.0,428.0,413.0,421.34,74696
2024-01-29,420.0,420.01,412.0,416.12,25953
2024-01-30,410.12,415.01,399.0,407.19,45755
2024-01-31,409.0,411.0,400.0,401.04,18112
2024-02-01,404.5,406.5,395.0,405.45,31458
2024-02-02,408.0,411.99,405.01,409.73,29647
2024-02-06,409.0,409.0,385.21,397.85,75755
2024-02-07,395.51,402.0,393.0,399.97,122050
2024-02-09,400.0,400.0,388.03,389.48,31651
2024-02-12,392.0,392.0,362.0,363.61,483317
2024-02-13,361.0,365.85,354.0,359.87,380329
2024-02-14,363.5,386.86,363.5,382.13,281470
2024-02-15,372.51,378.45,368.0,368.76,16159
2024-02-16,374.94,374.94,358.55,361.32,39951
2024-02-19,351.0,366.45,351.0,363.26,38666
2024-02-20,363.0,372.0,360.0,365.27,16689
2024-02-21,371.0,375.0,365.0,371.44,32516
2024-02-22,369.99,375.0,365.0,367.78,18926
2024-02-23,372.95,385.0,366.28,379.19,32185
2024-02-26,371.0,398.0,371.0,395.33,144987
2024-02-27,398.0,399.9,385.01,391.22,32083
2024-02-28,391.23,394.98,389.0,390.0,8701
2024-02-29,394.79,395.9,390.05,391.08,16269
2024-03-01,390.05,395.5,385.0,393.75,21226
2024-03-04,399.89,416.25,395.0,415.22,100239
2024-03-05,424.9,424.9,406.11,410.28,21215
2024-03-06,412.0,415.0,404.99,406.73,21646
2024-03-07,405.8,413.4,403.69,408.08,14256
2024-03-08,406.55,409.0,398.99,401.69,15653
2024-03-11,401.75,405.5,400.5,402.32,7207
2024-03-12,403.01,406.0,400.01,401.91,12776
2024-03-13,401.0,401.0,394.51,395.16,63579
2024-03-14,399.99,399.99,388.0,394.89,49730
2024-03-15,397.95,397.95,388.0,390.56,8548
2024-03-18,394.89,394.89,387.0,388.93,93602
2024-03-19,394.8,402.47,386.68,398.0,168710
2024-03-20,399.9,399.99,392.1,395.29,366881
2024-03-21,399.65,399.65,386.13,388.28,25288
2024-03-22,381.01,393.0,381.01,385.79,11609
2024-03-25,381.02,386.9,379.1,380.68,23250
2024-03-26,384.8,384.8,376.8,378.71,10642
2024-03-27,384.0,384.0,375.0,375.85,23023
2024-03-28,384.45,386.6,380.0,381.88,10666
2024-03-29,383.1,385.0,376.3,379.05,19213
2024-04-01,376.2,382.0,373.0,374.48,29560
2024-04-02,376.9,379.9,372.02,376.6,26286
2024-04-03,379.8,384.99,375.6,381.83,50978
2024-04-04,380.11,395.0,379.11,386.62,17241
2024-04-08,387.0,393.9,387.0,393.46,13312
2024-04-09,395.0,400.9,392.1,399.71,27571
2024-04-15,398.0,399.0,393.0,397.85,18024
2024-04-16,399.5,401.99,395.01,399.41,10732
2024-04-17,395.51,398.0,395.0,395.01,19428
2024-04-18,392.03,398.75,390.26,392.22,18289
2024-04-19,392.25,400.0,388.07,397.84,30306
2024-04-22,399.95,403.0,391.01,398.55,55309
2024-04-23,400.0,405.0,396.01,403.15,27709
2024-04-24,399.0,404.4,399.0,401.56,16876
2024-04-25,401.02,403.0,391.9,392.13,30246
2024-04-26,395.0,395.0,385.0,388.83,37519
2024-04-29,390.0,390.0,385.0,385.49,18242
2024-04-30,383.0,389.98,381.0,381.81,21457
2024-05-02,386.98,387.98,378.0,379.83,24856
2024-05-03,384.99,385.98,378.0,380.71,16078
2024-05-06,384.99,390.0,381.79,386.53,35934
2024-05-07,386.91,390.84,380.0,383.98,23844
2024-05-08,384.98,384.98,379.05,382.35,13448
2024-05-09,385.0,385.0,380.0,380.51,17879
2024-05-10,379.0,385.9,379.0,380.69,16252
2024-05-13,380.01,397.96,380.01,385.78,75025
2024-05-14,389.9,392.0,384.35,389.61,25188
2024-05-15,389.0,389.0,382.0,382.91,21263
2024-05-16,386.99,392.0,383.99,388.14,20211
2024-05-17,385.61,393.5,385.61,390.76,7901
2024-05-20,390.0,395.95,388.0,392.4,28816
2024-05-21,394.5,396.8,391.0,394.97,32285
2024-05-22,395.0,395.0,386.0,391.13,20130
2024-05-23,391.8,395.95,388.0,394.75,14399
2024-05-24,391.45,401.5,391.45,400.32,47239
2024-05-27,402.0,402.0,392.0,398.48,75293
2024-05-29,395.02,402.0,395.02,399.28,60897
2024-05-30,396.55,401.0,396.55,399.0,17696
2024-05-31,399.0,400.0,397.11,398.78,27544
2024-06-03,401.99,402.0,397.0,399.0,12043
2024-06-04,399.0,399.0,395.01,399.0,53333
2024-06-05,399.0,400.89,398.95,398.95,6289
2024-06-06,402.0,402.93,395.12,399.7,10588
2024-06-07,400.0,400.0,389.0,397.22,60793
2024-06-10,398.0,398.0,385.0,391.37,17311
2024-06-11,394.0,394.4,387.0,391.01,43972
2024-06-12,393.9,395.9,390.01,395.9,1713
2024-06-13,397.0,410.0,394.04,403.92,160181
2024-06-14,400.11,410.0,397.0,401.46,43076
2024-06-20,405.0,405.05,400.0,402.02,126086
2024-06-21,402.0,404.89,388.52,389.82,69942
2024-06-24,389.0,389.0,385.0,386.1,119677
2024-06-25,389.98,394.99,387.01,387.45,11687
2024-06-26,390.95,392.0,385.0,385.02,22333
2024-06-27,388.97,389.95,384.07,384.26,15844
2024-06-28,388.89,390.0,383.83,386.24,21232
2024-07-01,387.0,391.65,387.0,390.04,25723
2024-07-02,390.01,402.94,390.01,400.07,60396
2024-07-03,401.0,414.5,401.0,409.36,45574
2024-07-04,412.0,418.0,408.0,414.93,48631
2024-07-05,414.99,417.0,408.0,409.13,6188
2024-07-08,409.5,415.0,406.0,412.9,15214
2024-07-09,412.9,417.98,412.9,416.3,12581
2024-07-10,413.01,416.0,409.0,413.64,10298
2024-07-11,413.5,415.0,410.0,414.69,10252
2024-07-12,417.89,417.89,406.0,412.35,6669
2024-07-15,414.99,418.0,411.0,415.47,28895
2024-07-18,416.9,417.0,410.0,414.38,15056
2024-07-19,410.01,422.0,407.0,418.8,59377
2024-07-22,418.8,422.0,405.0,406.88,72051
2024-07-23,413.99,413.99,405.0,409.63,32741
2024-07-24,405.0,421.9,395.1,419.93,234407
2024-07-25,422.0,445.0,420.0,433.89,104500
2024-07-26,438.0,438.0,420.0,421.68,63479
2024-07-29,415.5,427.98,415.5,418.05,30143
2024-07-30,424.5,425.0,410.0,411.91,27720
2024-07-31,418.96,420.99,410.0,416.9,27141
2024-08-01,416.9,424.0,416.5,420.02,15738
2024-08-02,425.0,425.0,416.01,420.0,3157
2024-08-05,410.12,423.96,410.12,417.46,61294
2024-08-06,419.0,419.0,400.01,414.18,43248
2024-08-07,417.0,425.0,417.0,417.65,10374
2024-08-08,423.0,442.0,410.1,436.76,137492
2024-08-09,440.01,455.0,438.0,452.96,173668
2024-08-12,454.0,456.0,435.0,438.05,14090
2024-08-13,446.5,446.5,442.0,444.91,9365
2024-08-15,445.0,445.0,439.05,441.88,9142
2024-08-16,445.0,449.0,438.0,446.63,22801
2024-08-19,449.95,455.0,444.0,445.12,125888
2024-08-20,445.12,451.0,445.0,447.13,7677
2024-08-21,440.52,447.4,440.51,447.15,10310
2024-08-22,449.9,469.8,449.1,459.42,54622
2024-08-23,463.0,468.0,448.0,453.92,52094
2024-08-26,459.0,460.0,413.1,458.66,32564
2024-08-27,458.66,459.9,427.0,449.99,44144
2024-08-28,450.0,453.0,445.0,445.06,28568
2024-08-29,446.05,453.0,445.0,447.31,13647
2024-08-30,451.4,452.89,440.0,444.88,10536
2024-09-02,447.07,463.98,418.06,422.87,160029
2024-09-03,425.59,426.0,416.0,416.63,18833
2024-09-04,419.75,420.0,413.21,414.9,13277
2024-09-05,419.89,419.89,412.75,413.89,37825
2024-09-06,419.0,419.0,408.75,409.69,10326
2024-09-09,410.02,413.99,380.11,406.35,13342
2024-09-10,406.42,410.0,406.42,408.6,2342
2024-09-11,413.89,413.89,391.1,399.24,33693
2024-09-12,398.99,404.96,395.0,397.02,9896
2024-09-13,404.0,404.0,397.0,397.67,7224
2024-09-16,395.11,400.0,395.06,399.73,6295
2024-09-18,399.99,439.7,371.51,402.99,59094
2024-09-19,405.05,433.0,403.0,424.49,141642
2024-09-20,420.97,433.0,414.0,423.79,66508
2024-09-23,420.01,429.01,420.01,424.84,13883
2024-09-24,415.51,425.03,410.05,414.89,77121
2024-09-25,415.1,418.99,410.1,415.29,50846
2024-09-26,419.9,420.01,405.0,409.46,32922
2024-09-27,411.99,412.01,401.1,407.18,82658
2024-09-30,406.0,408.0,399.9,402.0,105314
2024-10-01,403.5,406.2,402.1,404.1,11140
2024-10-02,408.01,418.0,405.11,415.93,29571
2024-10-03,419.0,425.0,415.0,420.76,70892
2024-10-04,415.55,425.15,415.55,420.2,62546
2024-10-07,421.1,425.0,418.0,419.81,102189
2024-10-08,424.97,434.0,416.1,427.64,91244
2024-10-09,418.88,422.0,403.0,418.95,199728
2024-10-10,419.0,430.05,412.0,415.28,278989
2024-10-11,419.98,429.0,419.98,428.09,94297
2024-10-14,434.85,435.0,429.5,432.41,27297
2024-10-15,432.41,444.5,421.6,441.85,42303
2024-10-16,441.85,486.04,441.85,462.81,355552
2024-10-17,450.26,468.5,448.0,450.15,48691
2024-10-18,450.15,456.0,430.0,435.78,70226
2024-10-21,430.6,474.0,429.5,454.66,85681
2024-10-22,463.0,463.0,446.0,448.72,80159
2024-10-23,459.0,459.0,446.0,451.88,28805
2024-10-24,448.0,460.0,445.0,445.89,68215
2024-10-25,446.0,472.0,446.0,463.41,156541
2024-10-28,463.4,465.0,450.0,450.67,71093
2024-10-29,453.0,453.0,448.15,448.78,8453
2024-10-30,451.99,459.89,434.1,438.57,28845
2024-10-31,444.0,445.0,438.57,439.04,24150
2024-11-01,445.0,445.0,433.64,439.27,123702
2024-11-04,441.98,441.98,432.22,438.07,64762
2024-11-05,440.97,440.98,433.43,437.5,31112
2024-11-06,438.99,443.98,438.05,440.0,24181
2024-11-07,443.5,445.99,440.02,445.0,11626
2024-11-08,445.01,451.96,437.8,446.46,53801
2024-11-11,450.0,453.0,441.0,446.84,17911
2024-11-12,442.0,450.5,442.0,446.15,14748
2024-11-13,446.5,450.0,445.0,446.0,43147
2024-11-14,447.0,449.0,443.1,448.37,39501
2024-11-15,448.37,450.0,446.2,448.65,24026
2024-11-18,449.0,451.68,448.0,449.01,38036
2024-11-19,450.0,450.9,446.5,446.92,26674
2024-11-20,450.0,459.86,440.1,449.46,35093
2024-11-21,452.56,454.95,440.2,444.66,20708
2024-11-22,447.99,450.0,442.11,446.35,187927
2024-11-25,451.4,456.5,446.77,450.21,25674
2024-11-26,450.21,450.21,430.0,436.98,65603
2024-11-27,436.98,459.0,436.98,451.75,452480
2024-11-28,453.0,469.98,442.11,468.44,91890
2024-11-29,462.16,501.0,456.06,496.3,312004
2024-12-02,505.16,540.0,492.5,512.72,161605
2024-12-03,518.16,534.9,506.0,532.63,70912
2024-12-04,531.1,544.16,524.01,526.35,72615
2024-12-05,525.0,535.5,473.72,533.71,83547
2024-12-06,533.74,537.07,520.0,523.74,230143
2024-12-09,525.0,544.55,505.0,521.77,106441
2024-12-10,523.0,544.2,515.0,520.74,73681
2024-12-11,524.76,535.0,520.01,532.94,67367
2024-12-12,531.77,545.18,527.0,542.03,102270
