date,open,high,low,close,volume
2023-07-19,12.5,13.5,11.5,13.5,105000
2023-07-20,14.25,14.5,14.25,14.38,19500
2023-07-21,14.6,14.6,14.6,14.6,1500
2023-07-24,14.8,15.7,13.69,15.51,43500
2023-07-25,15.51,15.51,14.35,14.37,92000
2023-07-27,13.31,15.45,13.29,13.5,30500
2023-07-31,13.9,13.9,13.9,13.9,500
2023-08-02,13,13.49,13,13.41,9000
2023-08-03,13,13,13,13,500
2023-08-07,12.5,14,12.5,12.7,55000
2023-08-08,12.7,13.05,12.7,13.05,11500
2023-08-10,12.9,13.01,12.9,13,11000
2023-08-22,13,13,13,13,2500
2023-08-30,12.1,12.9,12.1,12.9,1000
2023-09-07,12.1,13.9,12.1,13.72,40000
2023-09-08,14.75,14.75,14.75,14.75,18000
2023-09-11,15.34,15.6,13.64,13.64,64500
2023-09-12,12.62,13.85,12.62,12.62,33500
2023-09-13,12.26,12.9,11.62,11.96,79500
2023-09-14,11.75,11.75,11.75,11.75,1000
2023-09-19,11.6,11.6,11.6,11.6,5000
2023-09-21,11.5,12.4,11.45,12.11,5500
2023-09-22,12.5,12.5,12.2,12.35,2500
2023-09-26,12.85,13.35,12.01,12.86,129000
2023-09-27,12.9,13.6,12.01,12.29,73000
2023-09-28,12.05,12.05,12,12.03,1000
2023-10-02,12,12,12,12,6000
2023-10-03,12,12,12,12,3500
2023-10-05,12.3,13,12.3,13,25000
2023-10-06,14,14,14,14,31000
2023-10-09,14.99,15.05,14.5,15.05,129500
2023-10-10,15,16,15,16,23500
2023-10-11,15.8,17.2,15.8,17.2,211000
2023-10-13,16.1,18.49,16.1,18,20000
2023-10-17,18.99,18.99,18.99,18.99,500
2023-10-18,18,19,17.57,17.57,11000
2023-10-19,17.98,17.98,17.98,17.98,500
2023-10-20,18.99,18.99,18.88,18.88,3000
2023-10-27,19,19,19,19,1000
2023-10-31,17.58,17.58,17.58,17.58,500
2023-11-01,16.27,16.35,16.27,16.35,1000
2023-11-03,16.35,16.35,15.12,15.12,2000
2023-11-14,14.5,14.5,14.5,14.5,500
2023-11-15,13.62,14,13.5,14,6000
2023-11-17,14,14.1,13.9,14.1,8000
2023-11-20,14.9,14.9,14.9,14.9,1000
2023-11-22,14.01,14.01,14.01,14.01,500
2023-11-23,14,14,14,14,3500
2023-11-24,13.9,14,13.9,14,4000
2023-11-27,14.9,14.9,13.8,13.8,1500
2023-11-29,14.78,14.84,14.78,14.84,9000
2023-11-30,15.95,15.95,15.95,15.95,11500
2023-12-01,16.8,16.95,16.5,16.75,12000
2023-12-04,16.99,17,15.6,15.87,8000
2023-12-05,16,16,16,16,1000
2023-12-11,16,17,16,16.75,2000
2023-12-13,16,16.25,16,16.1,17000
2023-12-15,15.25,15.25,15.25,15.25,1000
2023-12-18,15.01,16.39,15,16,62000
2023-12-20,15.99,15.99,14.81,14.81,15500
2023-12-21,15.25,15.25,15.25,15.25,2500
2023-12-26,14.5,14.5,14.5,14.5,500
2023-12-27,14.5,15,14.5,15,2000
2024-01-02,15.5,15.5,15.49,15.49,2500
2024-01-09,14.5,16.65,14.5,15.86,152500
2024-01-10,15.28,15.3,15,15.01,49000
2024-01-11,15,15.7,15,15.7,9500
2024-01-12,16.38,16.38,16.38,16.38,500
2024-01-22,15.25,16.75,15.25,16.46,11500
2024-01-30,15.23,15.23,15.23,15.23,500
2024-02-01,15.74,15.74,15.74,15.74,500
2024-02-13,16.87,16.87,16.87,16.87,500
2024-02-20,15.85,15.85,15.6,15.6,2000
2024-02-21,14.5,15,14.5,14.83,3000
2024-02-22,14,14.69,14,14.39,3500
2024-02-23,14.8,15.46,14.8,15,5500
2024-02-27,14.55,15.87,14.55,15.43,201000
2024-02-28,15.3,15.5,15.3,15.37,1500
2024-02-29,16.15,16.45,16.15,16.45,201500
2024-03-01,17.63,17.63,15.22,16.83,1500
2024-03-04,17,17,16,16,1500
2024-03-05,14.82,14.82,14.82,14.82,201500
2024-03-07,15.89,15.89,15.89,15.89,191000
2024-03-12,15.7,15.7,15.7,15.7,500
2024-03-28,14.62,14.62,14.52,14.52,2000
2024-04-02,15.49,15.49,15.49,15.49,500
2024-04-09,14.56,14.56,14.55,14.55,3000
2024-04-15,14.99,15,14.99,15,2000
2024-04-16,14.56,14.56,13.88,13.92,8000
2024-04-17,14,14,14,14,5000
2024-04-18,14.9,15.05,14.25,15.05,38000
2024-04-19,15.45,15.45,15,15.45,3500
2024-04-22,15.01,15.01,15.01,15.01,500
2024-04-23,15.45,16.13,15.45,16.13,4000
2024-04-24,16.25,16.29,14.92,14.97,323500
2024-04-26,15.49,16.09,15,15.35,7000
2024-04-29,15,15.25,15,15.2,22000
2024-04-30,14.99,14.99,14.5,14.5,1500
2024-05-02,14.05,14.5,14.05,14.5,7000
2024-05-03,14.95,15.4,14.55,15.21,3000
2024-05-08,15.43,15.43,14.51,14.51,8000
2024-05-09,14.4,14.4,14.4,14.4,500
2024-05-10,14.9,15.48,14.9,15.32,10000
2024-05-13,15.01,15.9,15.01,15.9,1000
2024-05-14,15.01,16.24,15.01,16.24,2000
2024-05-17,15.9,16,15.2,16,3500
2024-05-20,15.01,15.01,14.9,14.9,2000
2024-05-21,15.7,15.7,15.7,15.7,500
2024-05-22,15.05,15.05,15,15,1500
2024-05-24,15,15.5,15,15.33,2000
2024-05-27,14.75,14.75,14.7,14.7,3778
2024-05-29,14.51,14.65,14.2,14.2,4900
2024-05-30,14.5,14.8,14.5,14.8,12200
2024-05-31,14.94,15.5,14.83,15.1,3519
2024-06-03,15.2,15.25,14.7,14.7,23699
2024-06-04,15,15,14.65,15,7102
2024-06-06,14.99,16.2,14.99,15.14,5410
2024-06-07,16.35,16.35,14.87,14.87,2000
2024-06-10,15,15,14.16,14.23,18200
2024-06-11,14.5,14.5,13.2,13.44,9454
2024-06-12,13.5,13.5,13.5,13.44,410
2024-06-13,13.9,13.9,13.27,13.35,5350
2024-06-14,14,14,13.53,13.53,4000
2024-06-20,13.4,14.5,13.4,13.59,6574
2024-06-21,13.4,13.8,13.4,13.5,14100
2024-06-24,13.4,14.72,13.06,13.33,34287
2024-06-25,13.6,13.6,13.45,13.49,2000
2024-06-26,13.5,13.65,13.5,13.65,10922
2024-06-28,13.59,13.6,13.59,13.6,5278
2024-07-02,13.41,13.66,13.41,13.6,374
2024-07-03,13.75,14.8,13.75,14.8,28274
2024-07-04,15.97,16.13,15,16.13,169677
2024-07-05,17.49,17.49,16.01,17.11,55901
2024-07-08,17.49,17.5,17.49,17.5,2500
2024-07-09,17.39,17.39,16.37,17,22601
2024-07-10,16.5,17.25,16.5,17.21,2540
2024-07-11,15.58,18.84,15.58,18.84,146747
2024-07-12,20.39,20.63,19,20,20826
2024-07-15,21.5,21.9,19.16,20.22,129085
2024-07-18,20.7,20.7,18.6,19.08,415500
2024-07-19,19,19,18.19,18.56,5160
2024-07-22,18.2,18.6,16.71,18.55,3976
2024-07-23,18.7,20.41,18.1,20.41,298162
2024-07-24,22,22.45,21.5,22.45,55950
2024-07-25,24.7,24.7,24.01,24.7,153453
2024-07-26,27.17,27.17,26.02,27.17,147439
