date,open,high,low,close,volume
2023-05-05,16,16,16,16,1500
2023-05-09,17.2,17.2,17.2,17.2,500
2023-05-16,18.48,18.48,18.48,18.48,500
2023-07-05,19,19,19,19,1500
2023-08-21,20.24,20.24,20.24,20.24,500
2023-10-16,20,21.2,19.1,21.2,21500
2023-10-17,21,21,21,21,500
2023-11-24,18.52,18.52,18.52,18.52,500
2023-11-28,19.91,19.91,17.13,19.89,2000
2023-12-04,20,20,20,20,500
2023-12-08,21,21,20.1,20.1,1500
2023-12-11,20,20,19.6,19.61,2000
2023-12-14,18.14,18.14,18.14,18.14,2000
2023-12-29,16.78,16.78,16.78,16.78,500
2024-02-14,15.53,15.53,15.53,15.53,500
2024-02-20,16.69,16.69,16.69,16.69,1000
2024-02-22,18.14,18.14,18.14,18.14,3000
2024-02-23,19.5,19.5,19.5,19.5,14000
2024-02-26,20.96,20.96,19.48,20.96,245000
2024-02-27,21.25,22.53,21.25,21.97,32500
2024-02-28,22,22,22,22,2000
2024-02-29,21,21,20.35,20.35,6500
2024-03-01,18.82,18.82,18.82,18.82,11500
2024-03-04,18,19.24,17.41,17.91,29500
2024-03-05,16.6,17,16.57,16.57,33500
2024-03-06,15.34,15.35,15.33,15.33,29500
2024-03-07,14.8,15.4,14.18,14.65,19000
2024-03-08,15.72,15.72,15.4,15.5,6500
2024-03-11,16.49,16.49,15,15,2000
2024-03-13,15.3,15.3,15.3,15.3,5000
2024-03-19,14.15,16.45,14.15,15.77,14500
2024-03-20,16.4,16.5,16.35,16.45,2000
2024-03-21,15.55,17.68,15.55,17.68,30500
2024-03-22,17.69,17.69,17.68,17.68,3500
2024-03-27,17.88,17.88,17.88,17.88,500
2024-03-28,19.22,19.22,19.21,19.21,6500
2024-04-15,18,18.15,18,18.15,1500
2024-04-16,18.99,19.51,18.99,19.5,12000
2024-04-26,18.11,18.11,18.11,18.11,500
2024-04-29,19.45,19.45,19.45,19.45,500
2024-04-30,20.91,20.91,20.2,20.2,1000
2024-05-07,18.69,18.69,18.69,18.69,500
2024-05-15,17.29,17.29,17.29,17.29,2000
2024-05-17,16.12,16.12,16.12,16.12,500
2024-05-22,17.33,17.33,15.2,16.2,2000
2024-05-31,14.9,15.01,14.9,14.9,547
2024-06-03,15.85,15.85,13.78,14.1,646
2024-06-04,15.23,15.23,14.01,15,4008
2024-06-05,15.84,15.93,14.02,14.05,2271
2024-06-06,15.17,15.17,13.57,13.57,4200
2024-06-07,14.66,14.66,13.2,13.2,3219
2024-06-10,14.32,14.32,14.32,14.32,501
2024-06-11,15.54,15.54,13.9,13.95,5151
2024-06-12,14.55,15.14,13.75,14.9,5851
2024-06-13,14.7,16.17,13.9,15.97,11000
