date,open,high,low,close,volume
2023-02-28,54.18,54.18,54.18,54.18,500
2023-03-06,58.24,58.24,58.24,58.24,500
2023-04-12,53.65,53.65,53.65,53.65,500
2023-04-28,57.2,57.2,57.2,57.2,500
2023-05-05,61,61,61,61,500
2023-07-13,56.43,56.43,56.43,56.43,500
2023-08-23,60,60,60,60,1500
2023-09-21,64.5,64.5,64.5,64.5,500
2023-12-07,55.51,55.51,55.51,55.51,4500
2023-12-21,59.66,59.66,59.66,59.66,500
2024-01-10,55.19,55.5,55.19,55.5,5000
2024-01-24,56,56,56,56,500
2024-04-16,51.81,51.81,51.8,51.8,2000
2024-05-29,55.92,55.92,55,51.8,4
2024-06-03,55.9,55.9,55.9,51.8,1
2024-06-04,55.7,55.75,55.7,51.8,101
2024-06-05,49,55,49,51.8,101
2024-06-06,47.66,47.66,47.66,51.8,1
2024-06-20,48,50,47.4,47.99,5201
2024-06-27,49.2,49.2,49.2,47.99,1
2024-07-10,49,52.55,43.43,52.28,2363
2024-07-30,47.05,47.05,47.05,47.05,500
2024-08-06,42.35,42.35,42.35,42.35,2153
2024-08-09,46.59,46.59,46.55,42.35,2
2024-08-12,46.45,46.45,42.37,42.35,2
2024-08-20,46.59,46.59,46.59,46.59,500
2024-08-22,42.51,42.51,42.51,46.59,1
2024-08-26,49,49,49,46.59,2
2024-08-29,43,43,43,46.59,10
2024-09-09,49,49,49,46.59,1
2024-09-10,51.25,51.25,51.25,51.25,901
2024-09-18,47.01,51,47.01,51.25,99
2024-09-19,48,56,48,51.25,2
2024-09-26,0,0,0,51.25,2
2024-10-02,50,50,50,51.25,1
2024-10-04,54,54,54,51.25,1
2024-10-07,54.99,55,54.99,55,108
2024-10-09,50,50,50,55,1
2024-10-23,50,50,50,55,3
2024-10-31,59,59,59,55,98
2024-11-05,49.5,58,49.5,53.81,1200
2024-11-06,48.43,55,48.43,53.81,200
2024-11-08,59,59.19,51,59.01,3901
2024-11-11,53.11,64.91,53.11,59.01,210
2024-11-12,53.11,64.91,53.11,64.9,10106
2024-11-13,71.39,71.39,58.41,71.38,1720
2024-11-14,65.08,78.52,64.24,78.52,30125
2024-11-15,85,86.37,70.67,72.24,23682
2024-11-18,70,70,70,70,764
2024-11-19,63.17,63.17,63.11,63.12,1500
2024-11-20,68.3,68.3,67.94,63.12,110
2024-11-21,63,63,63,63.12,10
2024-11-22,63.12,63.12,58.06,63.12,205
2024-11-25,63.13,63.13,63.13,63.12,55
2024-11-26,62.5,62.5,60.5,63.12,32
2024-11-27,60.5,60.5,60.5,63.12,15
2024-11-28,57.06,57.5,57.06,57.06,1405
2024-11-29,62.77,62.77,62.7,62.72,1842
2024-12-02,56.61,64,56.61,62.72,488
2024-12-03,57.21,62.5,57,57.34,3654
2024-12-04,57.36,60,57.36,57.34,6
2024-12-05,53,54,53,57.34,20
2024-12-06,57.34,57.75,57.34,57.34,32
2024-12-09,61.9,61.9,61.9,57.34,4
2024-12-10,56.01,56.01,56,57.34,118
2024-12-11,55.56,63.07,55.56,63.07,1928
2024-12-12,69.38,69.38,69.38,69.38,4066
2024-12-13,76.32,76.32,76.32,76.32,426
2024-12-16,83.95,83.95,70.25,71.09,14475
2024-12-17,77.99,77.99,71,71.09,215
2024-12-18,64.5,76,64.1,72.41,888
2024-12-19,77,77,75,72.41,184
2024-12-20,65.2,65.6,65.17,72.41,292
2024-12-23,74.99,74.99,74.99,72.41,1
2024-12-26,66,69.89,66,72.41,102
2024-12-30,69.9,69.9,69.9,69.9,550
2025-01-03,72,76.89,72,76.88,5334
2025-01-06,84,84.57,83.9,84.57,10339
2025-01-09,80,80,76.11,76.84,1720
2025-01-10,84.25,84.25,84.25,76.84,1
2025-01-13,83.5,83.5,69.16,76.84,105
2025-01-14,76.84,79.99,69.16,70.19,18646
2025-01-15,76,76,72.99,70.19,405
2025-01-16,76.99,76.99,73.99,70.19,3
2025-01-17,76.74,76.75,73,70.19,5
2025-01-20,76,76,69.9,70.19,194
2025-01-21,75.99,75.99,69.99,70.19,2
2025-01-22,71,71,71,70.19,51
2025-01-23,76.99,76.99,69.99,70.19,20
2025-01-24,76.24,76.24,73.75,70.19,2
2025-01-27,76.7,76.7,72.85,70.19,71
2025-01-28,70,73.2,70,70.19,102
2025-01-29,75.2,75.2,63.19,63.26,585
2025-01-30,68.99,69.49,68.89,63.26,4
2025-01-31,68.8,69.4,63,63.26,154
2025-02-03,69,69,65,65.01,692
2025-02-04,59,70.74,59,65.01,69
2025-02-06,70,70,70,65.01,1
2025-02-07,69.9,69.9,69.9,65.01,1
2025-02-11,65,65,65,65.01,21
2025-02-17,65,65,65,65.01,100
2025-02-18,66,70,65,65.01,77
2025-02-19,65,70,65,65.01,52
2025-02-20,71,71,71,65.01,1
2025-02-24,70,70,70,65.01,1
2025-02-25,70,70,58.51,67.01,722
2025-02-26,72.19,72.19,66,70.17,1010
2025-02-27,70,70,70,70,400
2025-02-28,70,70,70,70,5
2025-03-05,65,69.5,65,70,15
2025-03-10,69,69,69,70,55
2025-03-17,74.75,74.75,74.75,70,5
2025-03-20,70,70,70,70,162
2025-03-21,70,70,70,70,162
2025-03-24,76.6,76.6,76.6,70,1
2025-03-26,63,74.99,63,70,125
2025-04-03,63,70,63,70,2
2025-04-04,76.74,76.74,75.5,70,3
2025-04-08,63,70,63,70,346
2025-04-15,63,63,63,70,250
2025-04-16,63,69,63,67.95,1006
2025-04-17,70,70,70,67.95,2
2025-04-21,61.16,64.99,61.16,61.41,3359
2025-04-22,63,63,61.35,61.41,403
2025-04-23,66.99,66.99,57.01,62.95,1814
2025-04-24,58,58,58,62.95,7
2025-04-25,56.66,61.94,56.66,56.66,1132
2025-04-28,60,60,51,56.66,96
2025-05-05,59.89,59.89,59.89,56.66,2
2025-05-07,58,58,55,56.66,24
2025-05-09,61.95,61.95,61.95,56.66,1
2025-05-12,60,60,60,56.66,1
2025-05-16,57.66,62.33,57.66,61.6,626
2025-05-19,62,62,62,61.6,10
2025-05-21,57,57,57,61.6,2
2025-05-27,55.52,61.6,55.52,61.6,117
2025-05-29,56,61.5,55.44,61.6,227
2025-05-30,55.51,61.4,55.51,61.6,156
2025-06-02,55.44,67.4,55.44,61.6,343
2025-06-03,55.46,67,55.46,61.6,2
2025-06-05,55.44,62,55.44,56.01,1574
2025-06-10,61.45,61.45,56.11,57.26,697
2025-06-11,61.8,61.8,59.9,57.26,4
2025-06-12,62.7,62.7,56,57.26,1054
2025-06-13,62.5,62.5,61.94,57.26,6
2025-06-16,61.5,61.5,52,57.26,251
2025-06-17,61.4,61.4,52,57.26,205
2025-06-18,51.6,60,51.6,57.26,9
2025-06-23,51.9,51.9,51.53,57.26,400
2025-06-25,52.1,58,52.1,57.26,100
2025-06-27,57.25,57.25,57.25,57.26,1
2025-06-30,51.6,55.5,51.6,55.5,1097
2025-07-03,57.5,57.5,53.09,55.5,3
2025-07-04,55.5,61.05,55.5,56.62,1415
2025-07-07,56.62,56.62,56.62,56.62,1
2025-07-08,57.5,62.28,57.5,56.62,27
2025-07-09,62.27,62.28,62.27,62.28,6590
2025-07-10,68.51,68.51,68.5,68.51,10461
2025-07-11,75.36,75.36,74.5,75.36,25369
2025-07-14,82.8,82.89,67.82,67.95,18012
2025-07-15,69.5,72.8,67.95,68.11,1852
2025-07-16,69.9,69.9,67.9,68.11,201
2025-07-17,73.5,73.5,62.16,64.91,765
2025-07-18,71,71,59.36,67.92,2701
2025-07-21,63,63,61.13,67.92,394
2025-07-22,70.99,70.99,70.8,70.99,1896
2025-07-23,65.03,70,65.02,65.07,2078
2025-07-24,62,62,62,65.07,100
2025-07-25,65.07,65.07,58.6,61.91,3213
2025-07-28,64.99,64.99,61.94,62,488
2025-07-29,62,68.2,60,67.74,5510
2025-07-30,67,68.5,62.01,62.16,1229
2025-07-31,62.51,62.51,62.5,62.16,100
2025-08-01,68,68,68,62.16,1
2025-08-04,62.16,67.9,62.16,67.22,612
2025-08-05,62.01,67,62,65.06,1586
2025-08-06,67.99,67.99,67.96,65.06,2
2025-08-07,67.84,67.84,67.84,65.06,1
2025-08-08,62,63,62,65.06,95
2025-08-12,64,64,61.01,65.06,21
2025-08-13,61,67.8,58.55,58.61,1015
2025-08-15,58.61,62,55.1,58.61,14
2025-08-20,0,0,0,58.61,10
2025-08-21,58.61,64.47,54.5,58.01,482
2025-08-25,58.02,63.81,58.02,58.01,10
2025-08-28,58.01,58.01,58.01,58.01,4
2025-08-29,63.81,63.81,63.81,63.81,2698
2025-09-01,58,69.99,57.43,61.04,1623
2025-09-03,61.03,61.03,61.03,61.04,50
2025-09-04,58.02,58.02,58.02,58.02,450
2025-09-05,58.01,58.01,58,58,550
2025-09-11,58,60.99,58,58,1300
2025-09-12,63.8,63.8,63.8,63.8,9013
2025-09-15,68.8,68.9,60.01,66.76,6570
2025-09-16,62.5,68.95,62.5,66.76,201
2025-09-18,66.77,67.75,60.6,60.8,5430
2025-09-22,58.8,58.8,58,60.8,422
2025-09-23,62,63,62,62.18,500
2025-09-24,67,67,66.99,66.99,1406
2025-09-25,71.9,71.9,60.5,66.99,3
2025-09-26,68.99,68.99,68.99,66.99,802
2025-10-01,66.99,66.99,66.99,66.99,2
2025-10-02,61.2,64.8,60.29,60.46,7234
2025-10-03,63.3,64.7,55.2,58.58,1135
2025-10-06,56.01,62.2,56,56.02,511
2025-10-09,56.2,56.2,50.7,56.02,36
2025-10-10,59.99,60.5,53.8,60.47,3617
2025-10-14,54.42,60,54.42,60.47,33
2025-10-16,54.9,65.9,54.9,60.47,351
2025-10-27,60.5,60.5,57.01,60.47,13
2025-10-28,60.47,60.47,60.47,60.47,1
2025-10-29,60,60,60,60.47,1
2025-10-30,58.01,58.01,58,60.47,2
2025-10-31,60,60,60,60.47,7
2025-11-03,60,60,60,60.47,40
2025-11-04,62.99,66.45,58.24,65.68,1549
2025-11-06,59.35,59.35,59.35,65.68,1
2025-11-07,59.2,63.4,59.15,63.25,429
2025-11-11,57.06,57.06,57.06,63.25,115
2025-11-13,58.02,58.02,58.01,63.25,263
2025-11-19,58.01,63.2,58.01,63.25,100
2025-11-27,61,61,57.01,57.06,605
2025-11-28,62,62,62,57.06,2
2025-12-01,60,60,53.31,57.06,306
2025-12-02,60,60,60,57.06,4
2025-12-04,61.9,62.5,61.9,57.06,7
2025-12-05,62.7,62.72,59.01,57.06,155
2025-12-08,59.01,59.01,59,57.06,100
2025-12-11,58.6,58.85,58.6,57.06,8
2025-12-15,61.9,62.5,61.9,57.06,281
2025-12-17,58.8,58.8,58.8,57.06,52
2025-12-19,62,62,62,57.06,1
2025-12-22,59.01,62.12,59.01,57.06,2
2025-12-23,62,62,59.01,59.02,501
2025-12-24,62.1,62.1,62.1,59.02,35
2025-12-26,58.21,58.21,58.21,59.02,301
2026-01-01,59.41,59.41,59,59.02,400
2026-01-02,60.67,60.67,60.67,59.02,1
2026-01-12,59.01,59.02,59.01,59.02,53
2026-01-13,59,60.9,53.5,57.74,708
2026-01-19,57,63.51,55,63.29,50125
2026-01-20,69.5,69.62,68,69.62,9730
2026-01-21,76.58,76.58,64.03,76.58,18212
2026-01-22,79.99,84.24,68.92,70.65,86731
2026-01-23,70.65,72,63.59,63.61,8160
2026-01-26,59,65.99,59,61.1,482
2026-01-27,60.01,63.99,55.11,59.12,533
2026-01-28,62.99,63.84,60.01,59.12,21
2026-01-29,59.01,62.84,59,59.12,5
2026-01-30,60,60,59.1,60,502
2026-02-02,59.01,59.01,58.01,60,30
2026-02-03,0,0,0,60,1
2026-02-04,62.76,62.76,62,60,2
2026-02-06,66,66,66,66,5711
2026-02-09,72.6,72.6,65,66.49,3703
2026-02-10,72,72,60.12,63.54,590
2026-02-11,61.01,65.4,61.01,61.07,1356
2026-02-12,66.77,66.77,56.02,61.07,295
2026-02-13,67.14,67.18,60.01,67.17,15824
2026-02-16,67,70,61,63.11,2854
2026-02-17,60,69.4,59.5,69.01,3157
2026-02-18,70.9,74,62.11,62.11,7735
2026-02-19,62,62,62,62.11,2
2026-02-20,62.5,62.5,60,62.11,39
2026-02-23,62,62,62,62.11,196
2026-02-24,61,68.32,56.01,68.28,20615
2026-02-25,73.74,73.74,63,63.84,1272
2026-02-26,69,69,57.61,63.84,59
2026-02-27,58.01,59.51,58.01,59.5,977
2026-03-02,59.45,59.45,53.55,53.55,6631
2026-03-03,57,57,55,53.55,33
2026-03-04,54,58,48.21,49.63,531
2026-03-05,51,54.59,51,49.63,409
2026-03-06,53,53,53,49.63,10
2026-03-09,49.9,49.9,45.01,49.63,34
2026-03-10,53.99,54,53.99,49.63,30
2026-03-11,50.01,50.01,49,49.79,1041
2026-03-12,50,50,50,50,1392
2026-03-13,53.75,53.75,53.75,50,20
2026-03-16,53.7,53.75,53.7,53.75,680
2026-03-17,56,56,54,53.75,2
2026-03-18,58.99,58.99,52,53.75,407
2026-03-19,49.01,56,48.38,53.75,366
2026-03-24,57.45,57.45,49.65,53.75,19
2026-03-25,57.89,57.89,50.01,53.75,9
2026-03-26,52,52,51,51.17,1100
2026-03-27,56.19,56.19,53.1,51.17,155
2026-03-30,52.01,52.01,46.05,46.17,3509
2026-03-31,50.69,50.7,50.69,46.17,2
2026-04-01,50.7,50.79,47.21,50.79,1106
2026-04-02,54.9,54.9,54.9,50.79,2
2026-04-03,51,51,49.98,49.98,500
2026-04-06,49.99,49.99,49.99,49.98,1
2026-04-07,50.01,50.01,50.01,49.98,2
2026-04-08,54.9,54.9,53.9,49.98,46
2026-04-09,54.3,54.3,50.02,50.03,1470
2026-04-13,49.02,49.02,45.22,45.22,1511
2026-04-14,49.74,49.74,46.11,47.6,142
2026-04-15,50.43,52.36,50.43,52.36,4722
2026-04-16,57.5,57.6,53.12,57.6,5222
2026-04-17,63.35,63.35,58.01,61.37,6650
2026-04-20,65,65,57.05,57.07,3994
2026-04-21,62,62,52.25,57.07,702
2026-04-22,62,62,52.5,52.55,13462
2026-04-23,50,55.5,49.55,50,10978
2026-04-24,54.95,55,47,55,8910
2026-04-27,60.5,60.5,60.5,60.5,1790
2026-04-28,66.55,66.55,63.1,66.54,31747
2026-04-29,73.19,73.19,71,73.19,8438
2026-04-30,71,80.51,66.11,77.75,59262
2026-05-04,85,85.53,73,85.53,10448
2026-05-05,87.01,94.07,80,84.72,44430
2026-05-06,80.01,90,80.01,85.78,18379
2026-05-07,91.9,94.36,86.5,92.93,8388
2026-05-08,88.05,101.5,88.05,101.43,5913
2026-05-11,109.99,111.57,91.29,109.12,18922
2026-05-12,110,120.03,110,114.34,21427
2026-05-13,114.3,119,110,110.55,5600
2026-05-14,115,115,106,108.93,3672
2026-05-15,105,115,103,111.22,3646
2026-05-18,102,113.5,102,107.03,808
2026-05-19,110.9,115,100,108.23,1322
2026-05-20,102,111,100,109.82,3791
2026-05-21,120,120.8,109.9,113.07,1041
2026-05-22,110,114.99,104,113.85,1924
2026-05-25,122,122,104.5,114.8,1066
2026-05-29,114.77,126.28,108,114.8,3859
2026-06-01,111.5,115,111.5,114.8,99
2026-06-02,108,115,108,114.34,925
2026-06-03,110.45,117.01,110.45,115.45,700
2026-06-04,115,120,106,113.1,4959
2026-06-05,117,123,112,119.6,4242
2026-06-08,118,118,116.9,117.43,601
2026-06-09,129.17,129.17,115,119.13,15290
2026-06-10,121,125,119,124.61,12187
2026-06-11,125,125,117,123.49,7289
2026-06-12,127,127,120,121.66,3321
2026-06-15,125,125,121,123.35,2967
2026-06-16,123,125.5,120,125.22,3234
2026-06-17,125,125,119.5,121.57,4520
2026-06-18,122,122.49,116,118.68,669
2026-06-19,127,127,118,119.77,909
2026-06-22,123,123,115,120.82,375
2026-06-23,124.8,124.8,117,120.69,711
2026-06-24,120.7,122,116,118.78,1803
2026-06-29,121.75,124.99,116.5,122.43,4690
2026-06-30,126,134.67,124,131.36,13344
2026-07-01,132.01,144.5,132.01,142.82,25117
2026-07-02,150,155,142,146.18,19884
2026-07-03,142.01,160,140,154.56,4656
2026-07-06,152.5,152.5,145.06,145.11,1621
2026-07-07,144,154.99,130.6,135.45,12820
2026-07-08,147,147,130,139,2983
2026-07-09,140,144.96,129,139.34,3938
2026-07-10,140,140,130,139.96,4602
2026-07-13,132,141.98,129.5,137.22,5037
2026-07-14,131,140,131,138.39,844
2026-07-16,131.01,139,131.01,138.39,92
2026-07-17,137,152.23,137,144.01,2259
2026-07-20,143,149,131,139.93,4890
2026-07-21,144.5,144.5,132.5,133.24,2033
2026-07-22,130,134,130,131.07,2036
2026-07-23,143.9,143.9,128.01,130.12,1458
2026-07-24,126.01,143.13,119,127.9,1729
2026-07-27,138.88,140.69,131,137.09,3822
2026-07-28,149,149,124,138.49,2190
2026-07-29,144.89,144.89,125.26,132.87,1690
2026-07-30,140.5,140.5,128,138.45,3122
2026-07-31,138.99,140,130,136.31,4315
2026-08-03,139,142,126.5,141.4,13777
2026-08-04,139.45,147.98,139.45,144.86,1747
2026-08-05,145,145,135,144.86,57
2026-08-06,159,159,140,143.04,3087
2026-08-07,149,150,140,147.82,351
2026-08-10,147,150,137.1,144.04,1278
2026-08-11,145,145,134,144.04,74
2026-08-12,145,145,136.5,140.11,9390
2026-08-13,135.55,137,135.51,137,318
2026-08-17,135,137,130,130.08,7163
2026-08-18,136,143.09,132.01,143.09,43137
2026-08-19,157.4,157.4,157.4,157.4,6370
2026-08-20,173.14,173.14,160.06,173.14,27636
2026-08-21,189,190.45,173.14,190.45,27631
2026-08-24,209.5,209.5,189.99,209.5,26274
2026-08-25,220,230.45,220,230.45,41983
2026-08-27,240,253.5,207.41,207.41,49724
2026-08-28,186.67,214,186.67,186.67,42100
2026-08-31,177,199,171,172.88,50741
