date,open,high,low,close,volume
2024-01-01,480.0,494.94,480.0,494.94,800
2024-01-02,488.0,488.0,486.03,486.52,300
2024-01-03,494.98,500.0,492.5,497.66,9400
2024-01-04,495.0,500.0,490.0,499.77,2600
2024-01-05,499.25,499.98,480.0,499.98,3900
2024-01-09,480.0,485.0,480.0,485.0,2600
2024-01-10,490.0,494.9,490.0,493.0,400
2024-01-11,495.0,499.0,495.0,497.07,2200
2024-01-12,500.0,502.0,498.0,498.0,1400
2024-01-16,495.0,495.0,495.0,495.0,100
2024-01-17,495.0,495.0,495.0,495.0,300
2024-01-18,463.09,480.0,461.0,478.1,1600
2024-01-19,472.0,472.0,450.0,460.01,37500
2024-01-22,465.0,465.0,460.0,460.0,1500
2024-01-23,469.98,469.98,460.0,462.44,4000
2024-01-24,470.0,470.01,455.11,470.0,6900
2024-01-25,450.0,457.9,447.0,447.02,9200
2024-01-26,445.0,445.0,435.0,436.37,6500
2024-01-29,430.2,434.15,429.53,429.59,6200
2024-01-30,430.0,432.0,430.0,431.38,1000
2024-01-31,439.98,439.98,431.05,431.2,400
2024-02-01,430.0,430.0,430.0,430.0,300
2024-02-02,430.0,430.0,430.0,430.0,500
2024-02-06,430.0,430.0,428.0,429.64,4500
2024-02-07,429.64,429.64,424.01,427.01,1600
2024-02-12,427.01,427.01,426.01,427.0,2400
2024-02-13,427.0,428.99,427.0,428.99,1100
2024-02-14,435.0,437.0,435.0,436.0,300
2024-02-15,437.98,438.0,428.95,429.58,3000
2024-02-16,433.0,433.0,433.0,433.0,300
2024-02-19,431.0,431.0,429.95,429.99,600
2024-02-20,433.0,435.0,429.0,430.0,2600
2024-02-22,428.0,435.0,428.0,432.0,2000
2024-02-23,432.0,432.0,429.0,429.99,13200
2024-02-26,425.02,428.89,425.0,426.04,3000
2024-02-27,432.94,432.94,425.04,428.0,1300
2024-02-29,423.0,430.0,423.0,430.0,16300
2024-03-01,427.98,428.0,427.98,428.0,4900
2024-03-04,427.75,427.75,427.75,427.75,3300
2024-03-05,423.1,429.97,423.0,427.0,4600
2024-03-06,423.0,429.98,423.0,424.11,2600
2024-03-07,423.5,426.9,423.5,426.9,400
2024-03-08,425.0,426.97,425.0,426.94,4000
2024-03-11,434.95,434.95,429.89,429.89,1300
2024-03-12,421.12,422.0,421.0,421.27,800
2024-03-14,429.98,430.0,424.0,424.23,3300
2024-03-15,429.89,429.89,429.89,429.89,100
2024-03-18,421.01,422.01,421.01,422.01,300
2024-03-19,423.5,423.5,422.0,422.0,400
2024-03-20,420.0,420.0,420.0,420.0,500
2024-03-21,421.0,421.0,421.0,421.0,100
2024-03-22,421.0,421.0,420.0,420.0,2400
2024-03-25,420.0,420.0,420.0,420.0,200
2024-03-26,420.0,420.0,415.0,416.0,2200
2024-03-27,416.0,420.0,415.0,418.96,2900
2024-03-28,419.99,420.2,417.0,419.87,23200
2024-03-29,416.01,416.01,410.0,412.9,4600
2024-04-01,414.1,414.1,412.0,412.0,700
2024-04-02,412.5,412.5,410.0,410.5,5300
2024-04-04,413.0,420.0,412.0,418.98,21000
2024-04-08,424.97,425.0,420.0,425.0,6300
2024-04-09,420.1,424.0,415.0,424.0,12000
2024-04-15,419.1,419.98,419.0,419.0,1100
2024-04-16,420.0,424.98,420.0,420.03,1200
2024-04-17,424.98,425.0,418.0,418.0,3100
2024-04-18,423.0,423.0,419.95,419.95,1900
2024-04-19,421.0,421.0,408.0,410.5,6000
2024-04-22,410.0,420.0,408.12,410.35,2030
2024-04-23,413.0,415.01,410.0,412.39,3877
2024-04-24,415.99,415.99,412.0,412.0,867
2024-04-25,411.0,415.0,411.0,415.0,578
2024-04-26,411.0,418.99,411.0,416.99,325
2024-04-29,416.99,417.0,385.72,389.27,31558
2024-04-30,386.0,386.0,369.02,369.86,15949
2024-05-02,369.86,370.0,365.0,369.78,3089
2024-05-03,368.0,394.9,360.0,361.71,14053
2024-05-06,366.0,366.0,356.11,356.82,4436
2024-05-07,356.5,371.0,356.01,370.0,6207
2024-05-08,375.1,386.0,375.1,381.18,7001
2024-05-09,383.0,387.95,383.0,385.78,3799
2024-05-10,381.03,388.99,381.0,381.41,1228
2024-05-13,381.03,388.49,381.03,382.18,1539
2024-05-14,380.0,385.0,380.0,384.0,2226
2024-05-15,383.0,385.0,382.99,382.99,2454
2024-05-16,382.99,386.99,382.99,386.85,921
2024-05-17,386.98,386.98,379.88,379.89,3668
2024-05-20,382.0,382.0,365.01,370.74,4757
2024-05-21,375.0,375.0,372.0,372.14,2515
2024-05-22,380.0,380.0,372.0,372.1,6033
2024-05-23,370.0,370.0,369.0,369.17,2531
2024-05-24,369.99,370.0,365.0,368.71,7526
2024-05-27,368.72,369.89,365.3,365.91,21862
2024-05-29,365.02,365.02,362.0,363.0,4648
2024-05-30,364.0,364.0,351.0,358.93,3288
2024-05-31,360.0,360.0,352.2,356.99,4934
2024-06-03,357.01,370.0,357.0,366.28,24703
2024-06-04,366.0,370.0,360.1,365.48,9464
2024-06-05,366.12,367.9,364.95,364.98,5190
2024-06-06,358.0,368.99,358.0,360.0,2599
2024-06-07,353.0,360.0,353.0,360.0,1756
2024-06-10,364.0,365.91,360.0,365.67,2318
2024-06-11,362.0,363.0,355.0,355.92,3571
2024-06-12,352.12,358.49,350.0,351.03,3194
2024-06-13,357.0,357.0,351.11,355.94,1330
2024-06-14,352.0,362.0,351.01,355.86,4140
2024-06-20,353.0,357.5,353.0,355.0,3142
2024-06-21,355.0,357.45,352.1,354.72,7778
2024-06-24,356.0,359.85,355.0,357.49,2225
2024-06-25,359.96,360.99,355.0,359.65,121583
2024-06-26,355.0,359.96,327.28,349.12,119442
2024-06-27,350.0,350.0,345.11,350.0,902
2024-06-28,355.0,355.0,345.0,350.0,971
2024-07-01,350.0,354.0,345.0,345.62,1534
2024-07-02,350.0,350.0,345.0,348.05,3944
2024-07-03,345.03,347.0,340.0,346.0,9521
2024-07-04,349.99,350.0,341.3,343.67,12694
2024-07-05,342.0,349.0,342.0,346.75,659
2024-07-08,343.01,346.0,343.01,346.75,36
2024-07-09,344.0,349.75,342.02,343.67,2788
2024-07-10,343.31,350.9,341.0,342.57,6018
2024-07-11,340.05,345.0,338.0,345.0,7691
2024-07-12,342.42,344.75,342.0,342.75,863
2024-07-15,350.0,350.0,340.0,344.78,10932
2024-07-18,344.81,345.0,339.99,341.09,16824
2024-07-19,340.01,343.98,339.0,341.52,1252
2024-07-22,345.0,345.0,330.11,333.13,3930
2024-07-23,335.02,340.0,299.82,309.71,21562
2024-07-24,313.0,320.0,303.15,309.0,6511
2024-07-25,306.0,314.0,305.0,307.46,4432
2024-07-26,314.99,314.99,305.0,305.57,4400
2024-07-29,315.0,315.0,305.12,307.29,1456
2024-07-30,314.0,314.0,307.0,308.46,2129
2024-07-31,307.5,313.9,307.5,309.98,661
2024-08-01,308.0,310.0,305.12,307.94,1704
2024-08-02,308.0,313.25,305.0,305.8,1524
2024-08-05,312.0,312.0,305.0,309.0,965
2024-08-06,306.0,314.0,300.0,307.18,1560
2024-08-07,313.5,313.5,309.0,309.0,1091
2024-08-08,309.0,309.0,306.0,309.0,42
2024-08-09,305.01,315.0,303.0,307.23,605
2024-08-12,308.0,309.5,302.0,302.15,18250
2024-08-13,306.0,309.0,301.0,302.88,2707
2024-08-15,300.11,306.99,300.0,301.76,1176
2024-08-16,302.0,303.95,300.0,301.08,1352
2024-08-19,306.99,306.99,298.0,301.74,334
2024-08-20,303.01,304.0,300.0,300.02,1009
2024-08-21,300.01,303.97,298.11,300.26,337
2024-08-22,304.98,314.48,304.98,310.97,1788
2024-08-23,311.0,311.0,301.0,307.38,212
2024-08-26,312.0,312.0,300.0,300.89,8570
2024-08-27,305.7,305.7,300.0,300.0,1184
2024-08-28,300.01,302.5,298.0,298.05,923
2024-08-29,301.0,309.5,300.0,307.19,6237
2024-08-30,306.0,310.0,300.0,302.63,3286
2024-09-02,304.0,308.2,302.1,304.43,995
2024-09-03,302.5,305.0,300.0,301.52,2512
2024-09-04,305.0,308.0,302.1,306.56,1297
2024-09-05,311.0,311.0,299.51,299.87,8803
2024-09-06,302.4,302.4,297.0,297.92,858
2024-09-09,299.0,301.89,297.92,297.96,1081
2024-09-10,300.0,300.0,297.0,297.08,833
2024-09-11,301.8,301.8,292.01,296.58,1507
2024-09-12,300.0,300.0,290.11,292.1,8924
2024-09-13,292.1,293.0,290.0,290.69,6558
2024-09-16,292.0,292.0,288.0,288.9,7402
2024-09-18,290.0,300.0,288.0,298.72,6301
2024-09-19,300.0,300.0,292.06,292.93,8569
2024-09-20,292.01,295.0,290.0,290.19,3296
2024-09-23,297.0,297.0,290.5,292.25,3483
2024-09-24,290.0,294.93,288.0,288.15,2696
2024-09-25,292.9,295.99,290.1,288.15,42
2024-09-26,298.97,299.0,280.0,288.11,1701
2024-09-27,292.0,292.0,288.0,288.0,1385
2024-09-30,288.2,289.99,288.0,288.01,453
2024-10-01,291.99,291.99,286.05,288.0,3063
2024-10-02,293.0,295.0,284.0,284.05,3738
2024-10-03,286.9,288.0,276.0,277.5,5661
2024-10-04,271.0,280.0,256.05,273.39,12529
2024-10-07,284.0,284.99,278.05,280.0,4079
2024-10-08,280.0,280.0,276.0,277.04,5578
2024-10-09,275.12,280.0,275.1,279.04,1675
2024-10-10,279.5,281.85,277.5,278.11,4743
2024-10-11,277.5,277.6,272.0,275.5,3477
2024-10-14,276.0,280.0,267.55,269.96,5135
2024-10-15,274.0,275.0,269.0,269.9,2495
2024-10-16,270.01,274.97,262.0,270.05,16729
2024-10-17,269.0,270.5,265.0,267.57,6901
2024-10-18,270.0,280.0,266.0,274.69,113980
2024-10-21,288.0,302.16,280.0,296.87,113444
2024-10-22,298.99,304.9,294.25,294.75,31981
2024-10-23,299.0,300.0,285.55,291.0,14473
2024-10-24,288.01,296.0,287.0,290.97,10156
2024-10-25,291.0,296.87,291.0,292.25,8509
2024-10-28,297.0,298.9,290.0,295.29,16907
2024-10-29,295.0,324.82,295.0,305.05,80570
2024-10-30,307.0,323.0,303.77,318.14,61085
2024-10-31,323.99,323.99,286.33,286.33,44788
2024-11-01,270.0,290.0,257.7,269.95,117946
2024-11-04,272.1,284.0,272.1,276.12,196348
2024-11-05,276.25,285.5,276.25,284.57,18035
2024-11-06,286.0,300.15,285.5,297.47,17187
2024-11-07,300.0,327.22,300.0,327.22,89941
2024-11-08,345.0,355.6,340.0,348.01,99252
2024-11-11,350.0,350.0,333.33,334.31,32133
2024-11-12,334.32,335.49,326.0,333.41,18278
2024-11-13,327.01,335.0,310.16,317.77,15185
2024-11-14,322.49,349.55,322.0,348.85,225512
2024-11-15,354.0,367.0,350.0,354.19,63329
2024-11-18,346.51,360.0,346.51,349.75,20372
2024-11-19,359.48,364.99,350.0,350.44,65294
2024-11-20,354.88,385.48,354.88,385.48,161970
2024-11-21,388.0,424.03,388.0,424.03,93354
2024-11-22,435.0,459.0,405.0,413.61,72672
2024-11-25,413.0,427.69,413.0,426.22,41275
2024-11-26,426.22,427.86,411.0,415.83,57262
2024-11-27,428.5,430.0,416.5,425.06,64622
2024-11-28,425.0,435.0,421.4,424.85,73409
2024-11-29,424.85,429.95,385.11,420.24,48268
2024-12-02,427.0,430.0,421.0,429.95,37460
2024-12-03,430.0,442.0,430.0,438.8,28947
2024-12-04,447.0,447.0,438.8,440.03,45942
2024-12-05,440.0,447.0,440.0,440.03,18590
2024-12-06,439.5,442.99,430.0,440.0,17791
2024-12-09,430.0,450.0,425.0,440.15,26785
2024-12-10,448.0,448.0,420.0,439.55,31986
2024-12-11,441.0,450.0,439.99,449.08,116394
2024-12-12,445.0,453.0,445.0,449.79,17260
2024-12-13,460.0,460.0,430.01,448.38,8873
2024-12-16,448.55,448.55,442.0,442.05,14613
2024-12-17,435.0,445.0,431.11,437.01,6354
2024-12-18,439.0,444.99,415.1,417.43,61766
2024-12-19,414.0,438.7,386.01,399.36,24532
2024-12-20,385.0,415.0,385.0,406.77,15881
2024-12-23,445.0,445.0,412.0,439.61,13148
2024-12-24,454.4,454.4,434.0,447.42,22508
2024-12-26,447.42,458.0,440.0,454.6,20547
2024-12-27,455.0,455.0,440.0,443.22,2645
2024-12-30,444.8,470.0,444.0,465.02,14350
2024-12-31,468.0,480.0,465.0,474.63,16664
2025-01-01,485.0,485.0,457.0,458.09,51782
2025-01-02,459.99,467.0,451.11,452.0,4294
2025-01-03,450.01,454.0,440.01,451.99,2277
2025-01-06,460.0,460.0,425.0,431.94,39340
2025-01-07,423.0,443.77,420.0,426.0,10706
2025-01-08,430.0,442.75,420.0,422.5,1203
2025-01-09,421.0,426.0,415.0,420.0,9987
2025-01-10,429.0,429.0,420.0,425.16,7427
2025-01-13,420.11,426.99,420.0,421.11,1147
2025-01-14,420.0,431.0,420.0,430.49,6965
2025-01-15,436.0,445.8,436.0,445.09,8442
2025-01-16,447.0,447.0,431.0,438.0,1297
2025-01-17,435.0,438.0,420.3,438.0,2612
2025-01-20,428.14,441.0,428.14,439.9,3883
2025-01-21,446.0,446.0,433.11,436.02,1432
2025-01-22,441.99,442.0,432.51,435.02,499
2025-01-23,435.0,437.88,433.02,434.08,1083
2025-01-24,433.03,444.4,433.03,435.05,4922
2025-01-27,439.99,478.56,422.44,478.56,65262
2025-01-28,480.0,514.0,442.5,460.98,28085
2025-01-29,450.05,477.0,450.01,471.55,4487
2025-01-30,466.0,479.5,465.0,473.01,15446
2025-01-31,478.98,478.98,469.49,472.78,3739
2025-02-03,472.01,472.01,455.01,469.4,865
2025-02-04,460.01,460.01,446.0,452.0,16693
2025-02-06,450.02,459.95,450.0,450.06,960
2025-02-07,450.01,458.0,445.01,450.0,8031
2025-02-10,440.08,450.0,439.01,441.02,2234
