date,open,high,low,close,volume
2024-05-23,14.63,14.63,14.63,14.63,500
2024-05-31,13.6,13.61,13.51,13.51,2670
2024-06-03,13.8,14,13.8,14,1670
2024-06-07,13,13,13,14,1
2024-06-20,15.19,15.19,15.19,14,9
2024-07-04,13.25,13.25,13.25,13.25,5321
2024-07-09,12.01,12.01,12,13.25,90
2024-08-20,12,12.02,12,13.25,2
2024-08-27,14.58,14.58,14.58,14.58,503
2024-08-28,16,16,16,14.58,1
2024-09-11,13.12,16.04,13.12,16.04,3151
2024-09-12,14.45,17.64,14.44,14.49,4312
2024-09-13,14.25,14.26,14.25,14.25,600
2024-09-25,15.25,15.25,15.25,14.25,1
2024-10-03,15.68,15.68,15.6,14.25,2
2024-10-04,15.65,15.65,15.65,15.65,500
2024-10-07,17.2,17.2,17.2,15.65,2
2024-10-09,17.21,17.21,17.21,15.65,204
2024-10-11,17,17,17,15.65,100
2024-10-15,14.09,17.2,14.09,17.14,504
2024-11-06,18.84,18.85,15.43,17.14,200
2024-11-07,15.45,17,15.45,17.14,490
2024-11-15,16,16,16,17.14,1
2024-11-29,15.43,15.43,15.43,17.14,50
2024-12-02,15.43,17,15.43,17.14,218
2024-12-03,16.98,17,15.45,17.14,60
2024-12-05,15.5,15.5,15.5,17.14,46
2024-12-06,15.5,16.98,15.5,17.14,26
2024-12-11,15.5,16.98,15.5,17.14,2
2024-12-16,15.51,15.51,15.5,15.51,550
2024-12-17,16.83,16.83,16.83,15.51,2
2024-12-23,14,16.99,13.96,13.99,16257
2024-12-24,12.65,13,12.65,13.99,191
2024-12-31,13,13,13,13.99,16
2025-01-01,13.98,13.98,12.65,12.65,1050
2025-01-02,13.9,13.9,13.9,12.65,12
2025-01-03,12.5,12.99,12.5,12.99,960
2025-01-06,12.99,14.29,12.99,12.99,127
2025-01-08,14.29,14.29,14.29,12.99,303
2025-01-09,12.85,12.85,12.85,12.85,807
2025-01-10,13.5,13.5,13.5,12.85,100
2025-01-13,12.5,12.5,12.5,12.5,500
2025-01-14,13.5,13.75,13.49,13.51,570
2025-01-21,14.75,14.75,12.61,13.51,2
2025-02-13,14.86,14.86,12.6,14,520
2025-02-14,12.61,13.11,12.6,14,336
2025-02-19,14.5,14.5,14.5,14,30
2025-02-21,14.5,14.5,14.5,14,1
2025-02-26,15.4,15.4,15.29,14,150
2025-02-27,0,0,0,14,1
2025-03-24,15.4,15.4,15.4,14,1
2025-04-04,15.1,15.1,15.1,14,1
2025-04-07,14,14,14,14,200
2025-04-08,15.14,15.14,15,14,2
2025-04-10,15.1,15.1,15.1,14,2
2025-04-14,13,13,13,14,12
2025-04-17,15.1,15.1,15.1,14,1
2025-04-22,12.7,12.7,12.7,14,1
2025-04-23,14.5,14.5,14.5,14,10
2025-04-28,12.75,12.75,12.75,14,1
2025-05-05,15,15,15,14,20
2025-05-20,12.8,12.8,12.8,14,2
2025-05-30,14,14,14,14,1
2025-06-05,15.4,15.4,15.02,15.02,1664
2025-06-27,16.5,16.52,16.5,16.5,39
2025-06-30,18.15,18.15,17,18.1,2986
2025-07-01,18.45,18.45,18.45,18.1,15
2025-07-04,18.39,18.39,18.39,18.1,1
2025-07-08,18.99,18.99,18.99,18.1,1
2025-07-10,16.3,18.35,16.3,18.1,11
2025-07-14,18.4,18.4,17.1,18.1,475
2025-07-15,19,19,19,19,500
2025-07-16,17.1,17.1,17.1,19,10
2025-07-17,17.1,18.9,17.1,19,154
2025-07-18,20.75,20.75,17.1,19,4
2025-07-21,18.98,18.98,17.1,19,10
2025-07-22,19.57,19.57,19.57,19,10
2025-07-24,20.45,20.45,20.24,19,17
2025-07-25,17.1,20.84,17.1,19,17
2025-07-28,17.1,17.1,17.1,19,2
2025-07-29,20.55,20.55,17.1,19,20
2025-07-30,17.1,20.49,17.1,19,42
2025-07-31,20.77,20.77,19,19,2376
2025-08-01,20.9,20.9,17.1,20.89,646
2025-08-04,19.5,19.5,19.5,20.89,1
2025-08-05,19.5,20.95,19,19.25,1294
2025-08-06,20.9,21,18,19.25,289
2025-08-11,20,20,20,19.25,1
2025-08-12,20,20,17.33,19.25,131
2025-08-13,19.5,19.5,17.35,19.25,10
2025-08-18,19,19,17.35,17.37,503
2025-08-20,16.85,16.85,16.85,17.37,13
2025-08-21,16.82,17,16.82,17,537
2025-08-22,18.55,18.55,18.55,17,25
2025-08-26,18.7,18.7,18.7,17,80
2025-08-27,16.48,18.7,16.48,17,31
2025-08-29,18.7,18.7,18.7,17,10
2025-09-01,18.7,18.7,18.7,17,10
2025-09-03,18.7,18.7,16.8,17,314
2025-09-04,18.7,18.7,15.32,17,300
2025-09-11,15.35,15.35,15.35,17,100
2025-09-18,15.3,15.3,15.3,15.3,975
2025-09-19,16.83,16.83,16.83,15.44,5
2025-09-23,16.9,16.98,16.9,15.44,111
2025-09-25,16.98,16.98,16.98,15.44,25
2025-09-30,16.98,16.98,16.98,15.44,25
2025-10-01,16.98,16.98,16.98,15.44,10
2025-10-02,16.98,16.98,16.98,15.44,1
2025-10-07,16.98,16.98,16.98,15.44,10
2025-10-08,16.98,16.98,16.98,15.44,100
2025-10-09,16.98,16.98,16.98,15.44,10
2025-10-14,15.5,15.5,14,14,23686
2025-10-15,15.4,15.4,15.4,14,100
2025-10-16,15.4,15.4,15.4,14,10
2025-10-20,15.4,15.4,15.4,14,1
2025-10-21,15.4,15.4,15.4,14,10
2025-10-31,15.4,15.4,13,14,119
2025-11-04,15.4,15.4,15.4,14,100
2025-11-11,14.1,14.1,14.1,14,12
2025-11-14,14.25,15.4,14.25,14,11
2025-11-21,13,13,13,14,2
2025-11-24,15.4,15.4,15.4,14.15,3
2025-11-28,16.78,16.78,16.78,16.78,505
2025-12-01,18.46,18.46,18.46,18.46,545
2025-12-02,20.31,20.31,20.31,20.31,828
2025-12-03,22.34,22.34,22.34,22.34,520
2025-12-04,24.57,24.57,20.11,21.75,21476
2025-12-05,23.61,23.61,20,20.52,2158
2025-12-08,18.65,20.94,18.65,18.93,792
2025-12-09,20.8,20.82,20.74,20.77,6761
2025-12-10,19,21.41,19,20.77,613
2025-12-11,18.7,22.5,18.69,21.5,4456
2025-12-12,21.5,22.5,19.52,21.5,394
2025-12-15,20.5,23,20,21.5,281
2025-12-16,21,21,21,21.5,43
2025-12-17,22,22,22,22,600
2025-12-19,20,22,19.8,19.81,603
2025-12-22,19.2,19.2,19.2,19.81,1
2025-12-23,20.49,20.49,20.49,19.81,1
2025-12-24,19.5,20.5,19.5,19.81,39
2025-12-29,18.3,18.51,18.3,19.81,271
2025-12-30,20.99,20.99,20.99,19.81,1
2025-12-31,19.5,20,19.5,19.81,300
2026-01-05,18.05,20,18.05,19.81,226
2026-01-07,18.5,20,18.5,18.57,1050
2026-01-08,19,19,18.6,18.6,2236
2026-01-09,20,20,20,18.6,10
2026-01-12,19,19,19,18.6,82
2026-01-20,20.46,20.46,17.1,18.6,12
2026-01-21,20,20,17.61,18.6,2
2026-01-22,18.5,18.5,18,18.6,100
2026-01-23,20,20,17,18.6,17
2026-01-26,17.1,17.1,17.1,18.6,1
2026-01-27,20,20,17.51,18.6,3
2026-01-28,17,17,17,18.6,1
2026-01-29,18,18,18,18.6,100
2026-02-11,17.01,17.01,17.01,18.6,1
2026-02-12,20.46,20.46,17.1,18.6,362
2026-02-13,18,20.46,18,18.6,427
2026-02-18,19.99,20,19.99,18.6,23
2026-02-19,17.5,17.5,17.5,17.5,2605
2026-02-20,18.9,19.25,18.9,19.1,500
2026-02-23,19.1,21,19.1,19.1,124
2026-02-24,20.89,20.89,20.54,19.1,103
2026-02-26,18,18,18,19.1,50
2026-02-27,18,21.01,18,21,2135
2026-03-02,18.9,18.9,18.9,21,74
2026-03-09,18.9,18.9,18.9,21,7
2026-03-10,19,19,19,21,268
2026-03-11,23.1,23.1,23.1,23.1,12
2026-03-12,25.4,25.41,21.25,21.68,1020
2026-03-13,23.84,23.85,23.84,23.84,684
2026-03-17,26.2,26.2,26.2,23.84,10
2026-03-18,21.6,26.21,21.6,23.84,62
2026-03-19,26.21,26.21,22.5,23.84,18
2026-03-24,26.2,26.2,26.2,25.95,441
2026-03-25,28.54,28.55,28.54,28.38,97
2026-03-26,31.22,31.22,31.22,28.38,9
2026-03-30,31.22,31.22,31.22,31.18,25
2026-03-31,34.3,34.3,34.3,31.5,6
2026-04-01,34.65,34.65,34.65,31.5,10
2026-04-02,28.35,34.65,28.35,33.46,68
2026-04-03,36.75,36.81,36.75,33.46,27
2026-04-06,36.81,36.81,36.81,36.73,2
2026-04-07,40,40.4,40,40.15,849
2026-04-08,44.17,44.17,44.17,44.17,648
2026-04-09,48.59,48.59,48.59,48.59,565
2026-04-10,53.44,53.45,52,53.01,506
2026-04-13,58.3,58.31,47.74,48.14,4285
2026-04-14,52.4,52.5,43.4,46.75,2672
2026-04-15,50.9,50.99,42.08,42.09,10573
2026-04-16,42.3,42.3,39.05,42.06,1706
2026-04-17,37.95,42.3,37.85,37.91,1656
2026-04-20,41,41,37,37.91,166
2026-04-21,40,40,38,37.91,106
2026-04-22,38.99,38.99,35,37.91,126
2026-04-23,41,41,36,37.91,116
2026-04-24,41,41,34.12,34.77,3084
2026-04-27,32.05,36,32.05,34.94,1044
2026-04-28,32.01,35,32.01,34.94,300
2026-04-29,32,35.1,32,34.94,115
2026-04-30,31.5,34.89,31.45,31.49,4130
2026-05-04,34,34,30,33.87,1036
2026-05-05,37,37,36.4,33.87,205
2026-05-06,36,36,36,33.87,5
2026-05-07,36.9,36.9,36.5,33.87,16
2026-05-08,37,37,31,33.87,1009
2026-05-11,35,35,35,33.87,2201
2026-05-12,35,35,35,33.87,44
2026-05-13,34.89,34.89,34.8,33.87,403
2026-05-14,34.8,34.8,34.8,33.87,1058
2026-05-15,37,37,30.55,30.56,703
2026-05-18,33.22,33.22,33,33.22,1339
2026-05-19,33.22,36,33.22,33.22,156
2026-05-20,34.75,34.75,34.75,33.22,316
2026-05-21,30.01,30.02,30.01,30.02,853
2026-05-22,28,33.02,28,30.02,128
2026-05-25,31,33.02,28.5,32.4,597
2026-05-29,31,35.64,31,32.4,405
2026-06-01,34.6,34.6,34.44,32.4,37
2026-06-02,34.99,34.99,34.99,32.4,201
2026-06-03,34,34.1,33.7,33.84,1113
2026-06-04,37,37.22,36.8,33.84,712
2026-06-05,37,37.2,36,33.84,230
2026-06-08,36,36,36,33.84,39
2026-06-09,37,37.2,30.72,33.84,340
2026-06-10,37,37.19,33.84,36.62,1205
2026-06-11,39.89,39.89,33.65,37.49,858
2026-06-12,38.99,38.99,38.99,37.49,1
2026-06-15,35,41.23,35,37.49,138
2026-06-16,41.2,41.2,34.12,39.08,2150
2026-06-17,35.51,38,35.17,35.18,8216
2026-06-18,35.03,38.7,32.25,37.88,4287
2026-06-19,39.75,40.4,34.3,35.11,5137
2026-06-22,36.9,36.9,35,35.11,205
2026-06-23,37.5,37.5,36.9,35.11,150
2026-06-29,38,38,38,35.11,100
2026-07-01,37.75,37.75,34,37.68,1350
2026-07-02,34.1,34.3,34.1,34.1,603
2026-07-03,0,0,0,34.1,458
2026-07-06,37.25,37.5,37.25,34.1,1470
2026-07-07,37.1,37.1,31.2,33.93,766
2026-07-08,33.93,36,31.31,31.32,1123
2026-07-09,29.1,34.35,29.1,31.32,138
2026-07-10,29.3,34.4,29.3,31.32,56
2026-07-13,34.44,34.44,31.35,31.32,48
2026-07-14,29.31,34.4,29.31,31.32,172
2026-07-15,31,34.29,29.26,31.32,60
2026-07-16,29.6,34.42,29.6,31.32,23
2026-07-17,34.38,34.45,34.3,34.45,3370
2026-07-20,37.9,37.9,31.1,37.9,10570
2026-07-21,41.69,41.69,41.69,41.69,2440
2026-07-22,45.86,45.86,45.25,45.41,4935
2026-07-23,49.95,49.95,45.6,49.95,6398
2026-07-24,54.95,54.95,53.1,54.95,8394
2026-07-27,60.4,60.4,49.46,49.46,25306
2026-07-28,44.51,50,44.51,44.51,7616
2026-07-29,44.49,44.5,41.5,44,2116
2026-07-30,44,44,42,44,214
2026-07-31,44.9,44.9,40.2,41.12,957
2026-08-03,40,45,40,44.73,2853
2026-08-04,40.71,48.8,40.3,40.94,4776
2026-08-05,40,43,37.6,42.75,1398
2026-08-06,42.75,46,40.5,45.99,1100
2026-08-07,42.1,45,41.39,42.43,5095
2026-08-10,42.5,43,39,40.5,9968
2026-08-11,44,44,37.01,43,3043
2026-08-12,42,43,40,43,322
2026-08-13,40,43,38.95,39.82,5266
2026-08-17,40.1,40.1,36.65,39.82,158
2026-08-18,36.6,41,36.6,39.82,19
2026-08-19,41.8,41.8,36.6,36.78,4497
2026-08-20,39.49,40.45,35.6,39.83,1051
2026-08-21,37,37,37,39.83,21
2026-08-24,37.2,38,37.2,39.83,117
2026-08-25,36.15,36.55,36.15,39.83,110
2026-08-27,38.85,40.55,38.85,39.83,116
2026-08-28,40.5,40.5,40.5,39.83,21
2026-08-31,41,41,36.51,39.52,837
