date,open,high,low,close,volume
2024-01-12,24,24.35,23.74,23.79,600951
2024-01-15,23.62,23.84,23.32,23.4,147153
2024-01-16,23.31,23.78,22.71,22.99,241995
2024-01-17,22.99,24.25,22.7,24.02,1144654
2024-01-18,23.89,24.29,23.4,23.54,423316
2024-01-19,24.3,24.3,23.05,23.19,105079
2024-01-22,23.57,24.1,23,24,499945
2024-01-23,24.15,25.65,23.11,24.85,796529
2024-01-24,25,25.38,24.8,25.12,374944
2024-01-25,25.9,25.95,25.05,25.09,703103
2024-01-26,24.95,25.39,24.95,25.04,726356
2024-01-29,25.95,26.1,25.03,25.83,1399770
2024-01-30,26.23,26.95,24.8,25.15,3297516
2024-01-31,25.67,25.67,24.8,24.84,52329
2024-02-01,24.65,24.9,22.98,23.4,1160517
2024-02-02,23.26,23.48,22.9,23.05,502015
2024-02-06,23.29,23.44,22.85,23.2,265341
2024-02-07,23.38,23.79,23.3,23.52,389350
2024-02-09,23.1,23.29,22.6,22.97,198248
2024-02-12,22.91,23.18,22.1,22.26,138272
2024-02-13,21.8,22.5,21.11,22.38,173280
2024-02-14,22.7,23,22.31,22.51,107555
2024-02-15,22.5,22.9,22.06,22.42,226656
2024-02-16,22.49,22.55,21.5,21.71,194061
2024-02-19,21.85,22.35,21.6,21.96,71891
2024-02-20,21.8,22.5,21.8,21.9,44529
2024-02-21,22.4,22.49,21.96,22.2,75872
2024-02-22,22.2,22.5,22.05,22.25,53258
2024-02-23,22.1,22.2,21.71,21.91,198549
2024-02-26,22.45,22.45,21.85,21.91,386228
2024-02-27,21.96,22.25,21.05,21.78,460067
2024-02-28,21.01,21.9,21.01,21.19,183138
2024-02-29,21.25,21.5,20.78,21.37,166179
2024-03-01,21.68,21.79,21.13,21.53,96941
2024-03-04,21.84,22.1,21.65,21.76,216409
2024-03-05,21.75,22.35,21.5,21.75,195134
2024-03-06,21.47,21.99,21.47,21.72,48558
2024-03-07,21.45,21.95,21.35,21.84,51738
2024-03-08,22,23.48,21.51,23.48,1300102
2024-03-11,23.5,25.23,23.5,24.71,987774
2024-03-12,24.8,24.8,23.11,23.49,273311
2024-03-13,23.75,23.75,22.91,22.97,181458
2024-03-14,23.15,24.09,23.15,23.93,258523
2024-03-15,24.09,24.4,23.4,23.77,344047
2024-03-18,23.84,23.84,22.87,22.98,287959
2024-03-19,22.85,23.1,22.33,22.48,232176
2024-03-20,22.8,22.99,22.3,22.36,344374
2024-03-21,22.74,22.74,21.95,22.13,130951
