date,open,high,low,close,volume
2024-01-11,48.9,49,48.4,48.6,1311308
2024-01-12,49,49.3,48.52,49,1991420
2024-01-15,49,49.36,48.16,48.38,554705
2024-01-16,48.3,49,48,48.92,457181
2024-01-17,48.6,49.7,48.6,49.16,915567
2024-01-18,48.86,49.48,48.1,48.76,428477
2024-01-19,49.02,49.34,48.22,48.46,888088
2024-01-22,48.66,49.8,48.3,49.38,696342
2024-01-23,50,50.36,49.6,49.98,1750079
2024-01-24,50.5,52.6,49.8,51.3,5022983
2024-01-25,52,52,50,50.32,4691190
2024-01-26,50.26,50.5,49.56,49.8,750754
2024-01-29,50,50,48.36,48.64,4153566
2024-01-30,49.34,49.5,48.16,48.98,1360562
2024-01-31,49.12,51.48,49.12,50.5,3987311
2024-02-01,51,53.76,50.26,51.28,10327286
2024-02-02,51.6,51.6,50.46,50.82,1563078
2024-02-06,51,51.1,50.06,51,1640393
2024-02-07,51.14,52.1,50.8,51.98,2064380
2024-02-09,50.98,51.5,50.62,50.86,1415532
2024-02-12,51.04,51.2,49.2,49.98,1004635
2024-02-13,49.8,50.98,49.5,50.52,433959
2024-02-14,50.96,51.6,50.96,51.32,587849
2024-02-15,51.32,51.92,50.76,50.94,1081420
2024-02-16,50.62,51.38,50,50.58,557842
2024-02-19,50,51,50,50.36,451959
2024-02-20,50.7,51,50.26,50.34,487033
2024-02-21,50.7,51.2,50.52,50.76,652559
2024-02-22,50.96,51,50.12,50.3,1382405
2024-02-23,50.3,51.76,50.3,51.64,2098747
2024-02-26,51.1,53.14,51.1,52.98,1748493
2024-02-27,52.26,54.5,52.26,54.08,1586548
2024-02-28,54.9,55.5,53.5,55.2,2360174
2024-02-29,54.4,58,54.4,57.34,4517901
2024-03-01,57.9,58.86,56.52,58.44,5834010
2024-03-04,57.62,58.86,57.62,58.04,1778256
2024-03-05,57.12,58.74,57.12,58,637655
2024-03-06,58.48,58.66,57.7,58.04,754483
2024-03-07,58.48,58.48,57.46,57.94,209576
2024-03-08,58.4,58.6,56.52,57.58,7401248
2024-03-11,57.98,58,56.62,57.92,448930
2024-03-12,57.96,58.18,57.52,57.8,9472732
