date,open,high,low,close,volume
2023-02-01,35.47,35.47,35.47,35.47,500
2023-05-15,31.0,31.0,31.0,31.0,500
2023-06-01,26.0,27.0,26.0,27.0,1000
2023-06-12,29.0,29.0,28.99,28.99,1000
2023-10-04,27.0,27.0,26.82,26.82,4500
2023-10-05,25.1,25.1,25.0,25.0,2500
2023-10-19,26.86,26.87,26.86,26.87,1000
2023-10-25,28.89,28.89,28.89,28.89,500
2023-12-01,31.0,31.05,31.0,31.05,1000
2023-12-12,32.5,32.5,32.5,32.5,500
2023-12-27,34.9,34.9,34.9,34.9,500
2023-12-28,37.52,37.52,37.52,37.52,500
2024-01-02,40.6,40.6,40.6,40.6,500
2024-01-03,43.65,43.65,43.65,43.65,1000
2024-01-04,46.85,46.92,46.85,46.92,1000
2024-01-05,50.44,50.44,50.44,50.44,500
2024-01-09,58.29,58.29,58.29,58.29,500
2024-01-11,60.49,60.49,60.49,60.49,500
2024-04-26,60.13,60.13,60.13,60.13,500
2024-04-29,60.0,60.0,60.0,60.0,500
2024-05-17,59.21,59.21,59.21,59.21,500
2024-07-22,61.39,61.39,61.39,59.21,1
2024-08-01,61.25,61.25,61.25,59.21,1
2024-08-12,57.0,57.0,57.0,59.21,1
2024-08-20,53.29,53.29,53.29,59.21,2
2024-08-23,60.0,60.0,60.0,59.21,49
2024-08-28,59.21,59.21,59.21,59.21,600
2024-09-06,53.29,54.01,53.29,54.01,860
2024-09-10,48.75,59.41,48.75,54.01,94
2024-09-11,54.0,54.0,54.0,54.01,2
2024-09-16,48.65,48.65,48.65,48.65,611
2024-09-19,45.0,53.5,45.0,48.65,2
2024-09-26,45.0,45.0,45.0,48.65,100
2024-10-02,44.0,50.0,44.0,45.0,625
2024-10-08,41.0,41.0,41.0,45.0,1
2024-10-24,40.5,40.5,40.5,45.0,15
2024-11-04,41.0,41.0,41.0,45.0,294
2024-11-06,41.0,41.0,41.0,45.0,99
2024-11-11,49.5,49.5,49.5,45.0,100
2024-11-15,41.5,49.5,41.5,45.0,4
2024-11-18,49.5,49.5,41.0,44.4,600
2024-11-19,41.5,41.5,41.5,44.4,1
2024-11-20,48.75,48.75,48.75,44.4,1
2024-11-25,41.0,41.0,41.0,44.4,1
2024-11-26,41.0,41.0,41.0,44.4,10
2024-12-05,48.84,48.84,48.84,44.4,91
2024-12-09,41.0,41.0,41.0,44.4,100
2024-12-16,41.0,41.0,41.0,44.4,1
2024-12-18,48.75,48.75,45.0,44.4,151
2024-12-19,44.0,44.0,41.81,44.4,38
2024-12-23,0.0,0.0,0.0,44.4,1
2024-12-24,42.01,42.01,42.01,44.4,91
2024-12-26,48.25,48.25,48.25,48.25,555
2024-12-27,53.08,53.08,53.08,48.25,102
2025-01-03,48.25,48.25,48.25,48.25,2
2025-01-08,43.5,52.85,43.5,44.1,1188
2025-01-09,48.0,48.0,48.0,44.1,32
2025-01-10,44.5,48.5,44.5,44.52,558
