date,open,high,low,close,volume
2023-12-12,10.5,10.65,10.21,10.53,19500
2023-12-13,10.16,10.16,9.61,10,8500
2023-12-14,9.5,10.49,9.5,10.39,11000
2023-12-15,10.5,11.1,9.7,10.82,14000
2023-12-18,10.12,10.32,10.12,10.32,1000
2023-12-19,9.95,9.95,9.77,9.9,6500
2023-12-20,10.5,10.59,10.5,10.5,18500
2023-12-21,9.6,9.91,9.6,9.91,1500
2023-12-22,10.65,10.7,10.65,10.7,2500
2023-12-26,9.75,11.69,9.75,11.49,38500
2023-12-27,10.49,11,10.49,10.5,178500
2023-12-28,10.5,10.5,10.5,10.5,2000
2024-01-01,10.11,10.11,10.11,10.11,500
2024-01-02,10.3,10.3,10.3,10.3,500
2024-01-03,10,10,10,10,1500
2024-01-04,9.75,9.75,9.75,9.75,500
2024-01-24,10.29,10.29,10.29,10.29,500
2024-01-26,9.56,10,9.31,9.8,13500
2024-01-29,9.79,9.9,9.75,9.82,6000
2024-01-30,9.65,9.65,9.51,9.51,4000
2024-02-02,9.85,9.85,9.85,9.85,500
2024-02-12,9.52,10,9.2,9.81,8000
2024-02-13,9.35,9.65,9.2,9.63,7000
2024-02-14,10.5,10.5,9.56,9.56,52000
2024-02-15,9.6,9.62,9.55,9.55,15000
2024-02-16,9.7,9.7,9.65,9.65,1000
2024-02-19,10.45,10.65,10.45,10.65,4000
2024-02-20,10.35,11.64,10.15,11.41,22500
2024-02-21,11,11.25,10.7,10.7,6000
2024-02-22,10.76,10.9,10.75,10.9,8500
2024-02-23,11.4,11.4,11.4,11.4,500
2024-02-26,10.63,10.63,10.5,10.58,2000
2024-02-27,9.76,11.58,9.61,11.58,39500
2024-02-28,11.1,11.1,11.1,11.1,500
2024-02-29,10.65,10.83,10.65,10.83,24500
2024-03-01,11.39,11.4,11.39,11.4,1500
2024-03-07,10.6,11.98,10.6,11.83,6000
2024-03-08,11.95,12.83,11.75,12.83,29000
2024-03-11,13.01,13.01,12.41,12.41,12500
2024-03-12,11.75,11.75,11.7,11.72,1500
2024-03-13,10.8,10.8,10.8,10.8,500
2024-03-14,11.75,11.75,11.75,11.75,1000
2024-03-15,11.95,12.2,11.95,12,6500
2024-03-18,12.8,12.95,12.49,12.5,8000
2024-03-19,12.9,12.9,12.25,12.47,1500
2024-03-20,11.47,12.3,11.47,11.85,5500
2024-03-21,12.29,12.85,12.29,12.85,7500
2024-03-22,13.85,13.85,13.5,13.5,8500
2024-03-25,13,13,13,13,500
2024-03-27,12.99,13,12.99,13,5000
