date,open,high,low,close,volume
2024-01-15,43.55,43.7,43.55,43.65,2000
2024-01-17,43,43,43,43,2000
2024-01-18,43,43,40.01,42,48500
2024-01-19,41,42,41,42,5500
2024-01-22,42,42,41,41.4,7000
2024-01-23,40.9,43.4,40.9,42.77,6500
2024-01-24,44.43,45.44,43.11,44.54,11000
2024-01-25,45.29,46.84,43.61,43.87,7500
2024-01-26,43.11,43.11,43.11,43.11,5500
2024-01-29,42.02,42.02,41.22,41.22,7000
2024-01-30,41,42.4,40.98,42.4,16500
2024-01-31,40.7,40.7,40.01,40.25,3000
2024-02-01,41,41.01,41,41.01,1000
2024-02-02,40.2,41.94,40.2,41.94,4000
2024-02-06,42,42.75,42,42.37,3500
2024-02-07,42.88,43.25,42.79,43.25,14500
2024-02-09,42.02,42.02,41.38,41.39,7000
2024-02-12,41,41,40,40,11000
2024-02-13,40.5,40.5,40.01,40.01,7000
2024-02-14,41.5,41.5,40.25,40.25,4500
2024-02-15,40.5,40.5,40,40,2000
2024-02-16,40,42.95,40,40.8,8500
2024-02-19,40.95,43.86,39.01,42.9,36500
2024-02-20,46.12,46.12,46.12,46.12,37500
2024-02-21,49,49.58,47,49.26,129000
2024-02-22,51,52.9,49.05,52,83000
2024-02-23,52.02,53,51.04,51.46,12000
2024-02-26,51,53.88,51,52,49500
2024-02-27,53,55.9,52,55.9,146500
2024-02-28,57.5,58.5,55.5,57.16,140000
2024-02-29,57,57.4,55.8,55.97,112000
2024-03-01,56,56,54.04,55.21,24500
2024-03-04,55,55.77,53.35,53.35,45000
2024-03-05,53.25,54.78,53,53.97,67500
2024-03-06,54.8,58.02,54.6,58.02,175500
2024-03-07,61.88,62.37,61,62.37,98000
2024-03-08,67.05,67.05,67.05,67.05,41500
2024-03-11,72.08,72.08,70.2,72.08,257500
2024-03-12,77,77,67.18,69.38,143000
2024-03-13,69.98,74.58,69.9,74.58,103000
2024-03-14,80.17,80.17,80.17,80.17,34500
2024-03-15,86.18,86.18,86.18,86.18,4500
2024-03-18,92.64,92.64,81,92.64,451000
2024-03-19,92.7,98.5,88,94.85,321000
2024-03-20,101.96,101.96,97,101.95,322000
2024-03-21,103.05,107.75,97,97.77,189000
2024-03-22,98.05,98.05,91.01,92.23,108000
2024-03-25,89,99.15,85.31,99.15,307000
2024-03-26,106,106.59,98,106.59,194500
2024-03-27,113.88,114.58,111,114.58,150500
2024-03-28,120,120,112.25,115.56,218500
2024-03-29,109.1,120,109,118.94,95500
2024-04-01,119.4,125,116.2,122.71,94500
2024-04-02,118,124,115,121.38,93000
2024-04-03,120.5,128,120.5,124,90000
2024-04-04,124.5,125,118,119.55,56500
2024-04-08,124.99,125,120.1,121.02,46500
2024-04-09,124,124,118,120.77,44500
2024-04-15,120.75,129.83,120,125.1,294500
2024-04-16,126.74,127,122.28,124.95,44500
2024-04-17,124.9,126,120.1,122.92,38500
2024-04-18,125.75,132.14,124.99,132.14,335000
2024-04-19,134.99,142.05,134.99,142.05,227000
2024-04-22,146.01,152.7,142,150.12,383000
2024-04-23,153,153.5,138.86,144.65,562500
2024-04-24,147.8,155,136,152.28,485000
2024-04-25,159.1,159.1,146,149.66,228000
2024-04-26,151.99,153,147,147.54,103500
2024-04-29,142.9,147.9,136.47,138.11,288500
2024-04-30,140,140,129.56,131.05,164500
2024-05-02,133,140.88,125,140.53,298500
2024-05-03,140,151.07,140,151.07,283000
2024-05-06,162,162.4,155,162.34,239500
2024-05-07,164.5,167,155.17,166.1,282500
2024-05-08,167,167,152,157.43,192500
2024-05-09,158,165,153.52,160.67,266500
2024-05-10,157.01,172.72,156,171.43,420500
2024-05-13,172.7,172.7,167,168.73,116000
2024-05-14,166.5,168.7,157.55,160.6,252000
2024-05-15,163.4,163.4,155.73,157.41,75500
2024-05-16,157.99,157.99,152,153.16,37000
2024-05-17,153.6,155,147.05,152,80000
2024-05-20,155,155,143,145.96,185000
2024-05-21,143.1,144,139.19,141.29,72500
2024-05-22,142.69,151.89,140.19,150.22,261500
2024-05-23,147.95,155,143,152.61,98000
2024-05-24,153.75,156,145,146.16,150500
2024-05-27,143.2,147.8,142.25,143.25,44453
2024-05-29,141.1,141.5,136.78,137.92,62121
2024-05-30,138.89,142.25,136.1,136.68,35828
2024-05-31,138.99,147.6,137.02,145.58,316686
2024-06-03,145.6,156.9,142,152.83,315932
2024-06-04,153,155,145,146.86,280132
2024-06-05,148.99,150,139.01,140.07,181356
2024-06-06,140,145.99,134.05,137.02,146545
2024-06-07,135.01,142.25,132,141.17,105227
2024-06-10,139.99,144.6,139.99,144.01,52501
2024-06-11,145.97,145.97,138,141.62,20273
2024-06-12,142.98,145,142.98,143.6,10602
2024-06-13,145,148.94,142.25,144.97,95127
2024-06-14,147,147,140,140.07,50121
2024-06-20,138.5,145,138,138.99,77840
2024-06-21,139,139.83,136.52,137.02,25892
2024-06-24,136.6,136.6,130,131.96,43904
2024-06-25,132.99,132.99,130.55,131.21,5783
2024-06-26,133,133,130,131.29,16976
2024-06-27,133.99,133.99,128,129.01,11072
2024-06-28,131.9,133.98,126,131.19,20054
2024-07-01,131.19,133.98,126.09,128.32,31367
2024-07-02,129.99,132,128,128.54,12715
2024-07-03,129.7,130,126.51,128.16,23079
2024-07-04,128.5,135,128.5,129.38,32108
2024-07-05,130.01,133.98,129.02,131.63,39000
2024-07-08,125.52,133.5,125.52,130.15,6581
2024-07-09,132.69,132.69,128.62,131.93,34627
2024-07-10,133.5,133.5,127.87,128.55,13453
2024-07-11,129.78,129.78,125.65,126.13,26849
2024-07-12,125.98,126,120,122.19,19925
2024-07-15,123.97,123.99,119,119.68,30678
2024-07-18,119.5,131.05,119.5,131.05,69322
2024-07-19,131.05,137.38,129,133.31,56059
2024-07-22,135,135,126,134.23,38238
2024-07-23,135,136.5,130,130.57,19724
2024-07-24,131.98,133.6,128.15,128.89,22232
2024-07-25,128.07,130.5,128,128,5566
2024-07-26,130,130,126,128.17,4393
2024-07-29,130,140.99,121,140.54,105727
2024-07-30,141,146.05,136.5,139.22,68589
2024-07-31,143,143,136,136.3,31733
2024-08-01,138,138,132,132.3,17564
2024-08-02,132,135,132,134.35,9740
2024-08-05,130.53,133.97,127.5,130.38,4443
2024-08-06,130,133.9,129,131.44,60123
2024-08-07,133.7,141.01,129.01,139.1,42288
2024-08-08,139.12,140.99,136.5,136.78,23649
2024-08-09,137.01,139.52,130,130.9,21013
2024-08-12,129,129.98,120.2,124.07,34330
2024-08-13,122.7,123.5,115,119.88,28157
2024-08-15,120,124,119.99,122.71,21474
2024-08-16,123.45,123.45,118.5,118.84,6251
2024-08-19,122,122,115,115.62,10925
2024-08-20,118.35,118.35,115,115.49,1970
2024-08-21,114,117,105.16,111.1,13462
2024-08-22,114.95,114.95,100,104.32,26335
2024-08-23,106,107,93.89,94.51,97310
2024-08-26,94.51,94.51,85.1,86.01,53937
2024-08-27,82.12,86.95,82.12,83.51,28605
2024-08-28,84.97,91,84,90.17,90548
2024-08-29,89.89,96,89.89,95.59,72556
