date,open,high,low,close,volume
2024-01-04,7.55,7.73,7.48,7.6,29500
2024-01-05,6.6,7.5,6.6,6.98,1425000
2024-01-08,6.9,6.96,6.72,6.77,210500
2024-01-09,6.95,6.95,6.71,6.83,63500
2024-01-10,6.8,7.0,6.75,6.79,69500
2024-01-11,6.75,6.8,6.6,6.66,151500
2024-01-12,6.63,6.63,6.21,6.33,110500
2024-01-15,6.61,6.61,5.95,5.98,139000
2024-01-16,6.03,6.04,5.77,5.85,50000
2024-01-17,5.85,5.86,5.36,5.47,110500
2024-01-18,5.51,5.75,5.47,5.67,56500
2024-01-19,5.89,5.89,5.6,5.61,62000
2024-01-22,5.6,5.75,5.55,5.73,11500
2024-01-23,5.73,6.0,5.73,6.0,83000
2024-01-24,5.95,5.99,5.8,5.99,21500
2024-01-25,5.99,5.99,5.82,5.82,54500
2024-01-26,5.65,5.9,5.55,5.68,24000
2024-01-29,5.51,5.8,5.51,5.55,27500
2024-01-30,5.85,5.85,5.5,5.79,69000
2024-01-31,5.7,6.28,5.7,5.8,69000
2024-02-01,5.75,6.0,5.72,5.99,93500
2024-02-02,6.05,6.48,6.01,6.08,64500
2024-02-06,6.0,6.25,6.0,6.16,166500
2024-02-07,6.23,6.23,6.06,6.15,39500
2024-02-09,6.0,6.15,6.0,6.15,24000
2024-02-12,5.9,5.9,5.8,5.9,3000
2024-02-13,5.9,6.0,5.75,5.75,3500
2024-02-14,5.99,6.0,5.82,5.86,19000
2024-02-15,5.9,5.9,5.6,5.7,37000
2024-02-16,5.7,5.7,5.36,5.6,5000
2024-02-19,5.65,5.79,5.5,5.79,11500
2024-02-20,5.65,5.75,5.65,5.71,7000
2024-02-21,6.0,6.0,5.65,5.68,40500
2024-02-22,5.64,5.85,5.64,5.66,19500
2024-02-23,5.66,5.81,5.56,5.57,65000
2024-02-26,5.7,5.7,5.5,5.54,26000
2024-02-27,5.6,5.65,5.4,5.45,26000
2024-02-28,5.6,5.78,5.45,5.45,52000
2024-02-29,5.6,6.05,5.6,5.76,272500
2024-03-01,5.84,5.84,5.7,5.76,9500
2024-03-04,5.8,5.85,5.7,5.72,32000
2024-03-05,5.7,5.72,5.7,5.7,42500
2024-03-06,5.5,5.85,5.5,5.6,24000
2024-03-07,5.61,5.61,5.55,5.55,21500
2024-03-08,5.7,5.79,5.55,5.63,43000
2024-03-11,5.85,5.94,5.5,5.7,105000
2024-03-12,5.64,5.64,5.63,5.63,47000
2024-03-13,5.65,5.65,5.4,5.42,13500
2024-03-14,5.6,5.6,5.33,5.49,140000
2024-03-15,5.55,5.8,5.52,5.52,106000
2024-03-18,5.5,5.7,5.5,5.67,32000
2024-03-19,5.7,5.72,5.7,5.72,10000
2024-03-20,5.72,5.72,5.5,5.55,45500
2024-03-21,5.59,5.6,5.4,5.46,13000
2024-03-25,5.65,5.65,5.2,5.21,245000
2024-03-26,5.4,5.4,5.31,5.39,16500
2024-03-27,5.2,5.47,5.2,5.35,23500
2024-03-28,5.25,5.6,5.25,5.37,29500
2024-03-29,5.34,5.34,5.26,5.3,32500
2024-04-01,5.21,5.21,4.91,5.21,73000
2024-04-02,5.21,5.29,5.1,5.1,3500
2024-04-03,5.15,5.32,5.15,5.26,50000
2024-04-04,5.33,5.56,5.33,5.46,73000
2024-04-08,5.22,5.43,5.2,5.43,58000
2024-04-09,5.43,5.58,5.43,5.53,107000
2024-04-15,5.53,5.7,5.5,5.5,82500
2024-04-16,5.45,5.57,5.45,5.47,37500
2024-04-17,5.31,5.55,5.3,5.5,5500
2024-04-19,5.35,5.55,5.3,5.3,9500
2024-04-22,5.42,5.49,5.4,5.49,11000
2024-04-23,5.65,5.65,5.43,5.5,62500
2024-04-24,5.62,5.62,5.4,5.55,45500
2024-04-25,5.4,5.75,5.4,5.72,173000
2024-04-26,5.51,5.69,5.51,5.69,46500
2024-04-29,5.6,5.8,5.53,5.54,18000
2024-04-30,5.51,6.25,5.46,5.7,320000
2024-05-02,5.51,5.75,5.41,5.46,23000
2024-05-03,5.36,5.9,5.3,5.75,44500
2024-05-06,5.75,5.8,5.55,5.77,35000
2024-05-07,5.77,5.83,5.5,5.5,31500
2024-05-08,5.73,5.75,5.5,5.53,72500
2024-05-09,5.72,5.75,5.6,5.6,25500
2024-05-10,5.7,5.94,5.58,5.85,114000
2024-05-13,5.85,6.55,5.75,6.39,524000
2024-05-14,6.35,6.68,6.28,6.65,265500
2024-05-15,6.77,6.78,6.31,6.45,84000
2024-05-16,6.44,6.6,6.3,6.43,40000
2024-05-17,6.59,6.7,6.3,6.31,128000
2024-05-20,6.23,6.23,6.19,6.19,5500
2024-05-21,6.44,6.44,6.1,6.2,50000
2024-05-22,6.13,6.15,6.1,6.1,46000
2024-05-23,6.3,6.3,6.15,6.15,32000
2024-05-24,6.2,6.7,6.2,6.53,314500
2024-05-27,6.55,6.7,6.4,6.51,89502
2024-05-29,6.51,6.69,6.45,6.5,57422
2024-05-30,6.45,6.6,6.42,6.47,39748
2024-05-31,6.5,6.98,6.43,6.63,90498
2024-06-03,6.45,6.69,6.45,6.65,18046
2024-06-04,6.55,6.9,6.21,6.44,249665
2024-06-05,6.44,6.7,6.4,6.5,139855
2024-06-06,6.6,6.7,6.42,6.54,52457
2024-06-07,6.74,6.74,6.4,6.5,45386
2024-06-10,6.41,6.48,6.21,6.38,3662
2024-06-11,6.5,6.7,6.24,6.49,19773
2024-06-12,6.25,6.58,6.25,6.56,10470
2024-06-13,6.56,6.8,6.45,6.48,163574
2024-06-14,6.45,6.75,6.36,6.42,68484
2024-06-20,6.42,6.42,6.11,6.2,48206
2024-06-21,6.35,6.7,6.15,6.25,33571
2024-06-24,6.3,6.45,6.26,6.29,17944
2024-06-25,6.02,6.44,6.02,6.25,60022
2024-06-26,6.48,6.48,6.1,6.11,5526
2024-06-27,6.16,6.35,6.16,6.35,5057
2024-06-28,6.45,6.45,6.22,6.23,7697
2024-07-01,6.2,6.41,6.2,6.27,12602
2024-07-02,6.3,6.5,6.21,6.26,32322
2024-07-03,6.2,6.89,6.2,6.6,514543
2024-07-04,6.6,6.83,6.4,6.52,21964
2024-07-05,6.74,6.74,6.3,6.3,5203
2024-07-09,6.3,7.2,6.3,6.92,283636
2024-07-10,7.0,7.22,6.8,6.9,41775
2024-07-11,6.85,6.95,6.71,6.75,20541
2024-07-12,6.7,6.7,6.25,6.4,25170
2024-07-15,6.3,6.75,6.25,6.57,36862
2024-07-18,6.54,6.74,6.54,6.56,14753
2024-07-19,6.48,6.49,6.21,6.49,21054
2024-07-22,6.25,6.4,6.1,6.28,6256
2024-07-23,6.77,6.78,6.17,6.22,5556
2024-07-24,6.66,6.66,6.03,6.12,30174
2024-07-25,6.22,6.22,5.5,5.83,78130
2024-07-26,5.84,6.0,5.5,5.53,60811
2024-07-29,5.42,6.35,5.4,5.66,98513
2024-07-30,5.66,5.69,5.4,5.63,72575
2024-07-31,5.5,5.65,5.5,5.5,7012
2024-08-01,5.31,5.6,5.31,5.59,2106
2024-08-02,5.5,6.44,5.5,6.02,16937
2024-08-05,5.56,5.93,5.51,5.7,34315
2024-08-06,6.0,6.0,5.55,5.62,24318
2024-08-07,5.51,5.89,5.51,5.8,86997
2024-08-08,5.87,5.87,5.56,5.63,998
2024-08-09,5.52,5.89,5.52,5.61,17002
2024-08-12,5.96,5.96,4.67,5.46,37406
2024-08-13,5.5,5.5,5.2,5.49,17106
2024-08-15,5.35,5.43,5.35,5.4,2253
2024-08-16,5.55,5.75,5.5,5.56,8946
2024-08-19,5.84,5.84,5.3,5.5,10054
2024-08-20,5.33,5.62,5.31,5.55,3527
2024-08-21,5.55,5.8,5.55,5.79,6159
2024-08-22,5.78,5.93,5.78,5.87,26215
2024-08-26,6.25,6.25,5.65,5.75,6101
2024-08-27,5.76,6.0,5.76,5.8,601
2024-08-28,5.61,5.7,5.61,5.7,4509
2024-08-29,6.17,6.17,5.7,5.76,10760
2024-08-30,6.0,6.0,5.8,5.82,62509
2024-09-02,5.72,5.8,5.7,5.7,9703
2024-09-03,5.61,5.71,5.6,5.6,16106
2024-09-04,5.8,6.04,5.8,5.89,62312
2024-09-05,6.15,6.89,5.91,6.89,366215
2024-09-06,7.3,7.79,6.9,7.29,629147
2024-09-09,7.2,7.39,6.55,6.64,53220
2024-09-10,6.52,6.98,6.52,6.6,21582
2024-09-11,6.32,6.54,6.32,6.48,16703
2024-09-12,6.33,6.55,6.21,6.44,26562
2024-09-13,6.75,6.89,6.4,6.42,56969
2024-09-16,6.3,6.44,6.28,6.29,1339
2024-09-18,6.21,6.6,6.21,6.48,29147
2024-09-19,6.35,6.44,6.25,6.29,3926
2024-09-20,6.2,6.39,6.09,6.16,555
2024-09-23,6.25,6.25,6.14,6.14,4495
2024-09-24,6.25,7.14,6.25,6.42,183349
2024-09-25,6.33,6.99,6.1,6.19,17620
2024-09-26,6.26,6.74,6.2,6.2,13002
2024-09-27,6.25,6.7,5.81,6.31,53874
2024-09-30,6.22,6.3,6.17,6.31,23
2024-10-01,6.96,6.96,6.1,6.42,17018
2024-10-02,6.11,6.56,6.11,6.49,5256
2024-10-03,6.48,6.5,6.31,6.31,3554
2024-10-04,6.59,6.7,6.0,6.56,45602
2024-10-07,6.4,6.45,6.1,6.16,33767
2024-10-08,6.1,6.33,6.1,6.16,326
2024-10-09,6.15,6.4,6.15,6.16,2881
2024-10-10,6.25,6.38,6.15,6.16,2034
2024-10-11,6.39,6.39,5.81,5.86,10378
2024-10-14,5.91,6.15,5.8,5.8,6269
2024-10-15,6.1,6.14,5.55,5.6,56493
2024-10-16,5.79,6.49,5.79,5.91,32116
2024-10-17,6.18,6.18,5.95,5.99,771
2024-10-18,5.97,6.8,5.97,6.5,97352
2024-10-21,6.44,7.2,6.41,6.49,6677
2024-10-22,6.11,6.5,6.05,6.49,80400
2024-10-23,6.49,6.7,6.1,6.49,150099
2024-10-24,6.5,6.6,6.21,6.21,5630
2024-10-25,6.06,6.3,5.21,5.8,81279
2024-10-28,6.49,6.49,5.75,5.84,30496
2024-10-29,5.95,5.95,5.45,5.54,127312
2024-10-30,5.89,6.54,5.89,6.0,159410
2024-10-31,6.2,6.2,5.85,5.86,55310
2024-11-01,6.09,6.1,5.7,6.07,9908
2024-11-04,5.9,6.98,5.9,6.24,186835
2024-11-05,6.2,6.2,5.85,6.0,70614
2024-11-06,6.1,6.47,5.81,6.0,133068
2024-11-07,6.01,6.2,6.0,6.2,87401
2024-11-08,6.29,6.29,5.91,6.27,1554
2024-11-11,6.21,6.21,6.0,6.2,31594
2024-11-12,6.0,6.09,6.0,6.09,538
2024-11-13,6.0,6.1,6.0,6.03,2063
2024-11-14,5.96,6.24,5.96,6.15,10904
2024-11-15,6.25,6.25,5.95,6.14,87366
2024-11-18,6.2,6.2,6.0,6.0,44501
2024-11-19,6.01,6.19,6.01,6.18,2366
2024-11-20,6.21,6.21,5.91,6.0,33957
2024-11-21,6.04,6.04,5.94,6.01,63480
2024-11-22,6.18,6.18,5.83,6.01,45
2024-11-25,6.0,6.0,5.9,6.0,7902
2024-11-26,6.1,6.5,5.76,5.99,90395
2024-11-27,5.77,6.2,5.77,6.17,3470
2024-11-28,5.78,6.07,5.78,6.0,10508
2024-11-29,5.9,6.15,5.9,6.05,23835
2024-12-02,6.1,6.27,6.1,6.25,84524
2024-12-03,6.3,7.0,6.3,6.73,430751
2024-12-04,7.73,7.73,7.73,7.73,622327
2024-12-05,8.73,8.73,8.73,8.73,1079040
2024-12-06,9.73,9.73,9.12,9.73,3226587
2024-12-09,10.15,10.35,9.31,9.48,686383
2024-12-10,9.48,9.48,8.48,8.48,408167
2024-12-11,8.5,8.8,8.22,8.42,188389
2024-12-12,8.42,8.8,8.0,8.07,273162
2024-12-13,8.46,8.59,8.06,8.41,316756
2024-12-16,8.2,8.9,8.2,8.52,223152
2024-12-17,8.2,8.63,8.2,8.26,152257
2024-12-18,8.44,9.26,8.02,8.63,626646
2024-12-19,8.6,8.79,8.2,8.21,194215
2024-12-20,8.28,9.0,8.2,8.53,150732
2024-12-23,8.65,8.65,8.07,8.36,158290
2024-12-24,8.27,8.3,8.12,8.14,61342
2024-12-26,8.38,8.38,7.83,7.89,51903
2024-12-27,7.82,8.11,7.0,7.6,201513
2024-12-30,7.6,7.87,7.6,7.79,61709
2024-12-31,7.7,7.99,7.66,7.8,151161
2025-01-01,7.8,8.55,7.7,8.18,251702
2025-01-02,8.28,8.59,8.01,8.1,478799
2025-01-03,8.01,8.25,7.82,7.85,79686
2025-01-06,7.91,8.0,7.71,7.9,50301
2025-01-07,7.55,8.02,7.5,7.94,76456
2025-01-08,8.3,8.3,7.84,7.89,7349
2025-01-09,7.32,7.86,7.32,7.55,15215
2025-01-10,8.5,8.5,7.57,7.9,149849
2025-01-13,7.78,8.07,7.61,7.98,146589
2025-01-14,8.08,8.5,8.0,8.33,597433
2025-01-15,8.46,8.85,8.46,8.71,423272
2025-01-16,8.52,8.7,8.35,8.55,94751
2025-01-17,8.5,8.7,8.45,8.65,80121
2025-01-20,8.7,8.94,8.51,8.77,222960
2025-01-21,8.51,8.9,8.48,8.5,75894
2025-01-22,8.42,8.6,8.4,8.4,75684
2025-01-23,8.4,8.5,8.25,8.35,28651
2025-01-24,8.5,8.69,8.19,8.23,43652
2025-01-27,8.5,8.5,8.25,8.32,24222
2025-01-28,8.38,8.38,8.19,8.2,13215
2025-01-29,7.93,8.29,7.9,7.92,123730
2025-01-30,8.0,8.75,7.9,8.39,240227
2025-01-31,8.34,8.44,8.0,8.09,160514
2025-02-03,7.81,8.37,7.81,8.1,26665
2025-02-04,8.25,8.25,7.9,7.94,29538
2025-02-06,8.0,8.0,7.7,7.71,17529
2025-02-07,7.71,8.14,7.55,7.56,6141
2025-02-10,7.41,7.76,7.4,7.69,15501
2025-02-11,7.61,7.91,7.61,7.74,11588
2025-02-12,7.58,8.0,7.58,7.89,121005
2025-02-13,7.41,8.19,7.41,7.99,36791
2025-02-14,7.99,7.99,7.91,7.93,1806
2025-02-17,7.99,8.0,7.9,7.96,3517
2025-02-18,7.9,7.9,7.55,7.6,8530
2025-02-19,7.94,7.95,7.6,7.92,20124
2025-02-20,7.9,7.97,7.61,7.88,12176
2025-02-21,7.88,7.95,7.58,7.73,94211
2025-02-24,7.88,7.88,7.53,7.54,31563
2025-02-25,7.6,7.6,7.6,7.6,1006
2025-02-26,7.83,7.83,7.78,7.6,350
2025-02-27,8.6,8.6,8.6,8.6,348010
2025-02-28,9.57,9.6,9.0,9.6,1945326
2025-03-03,9.8,9.8,8.6,8.65,821007
2025-03-04,8.89,8.9,8.5,8.74,65880
2025-03-05,8.88,9.1,8.81,8.92,116897
2025-03-06,9.15,9.15,8.72,8.91,41600
2025-03-07,9.07,9.4,8.82,8.92,152748
2025-03-10,8.91,9.2,8.8,9.0,112207
2025-03-11,9.0,9.0,8.86,8.97,175518
2025-03-12,8.98,9.2,8.9,8.99,46435
2025-03-13,9.0,9.15,8.88,8.92,73210
2025-03-14,8.9,8.92,8.6,8.68,131200
2025-03-17,8.71,8.8,8.56,8.6,205581
2025-03-18,8.61,8.8,8.48,8.53,84296
2025-03-19,8.73,8.73,8.52,8.55,15127
2025-03-20,8.69,9.4,8.5,9.02,149126
2025-03-21,9.27,9.27,8.97,9.04,103503
2025-03-24,9.19,9.19,8.81,8.88,75629
2025-03-25,9.1,9.14,8.85,8.9,37529
2025-03-26,8.85,9.0,8.75,8.98,6614
2025-03-27,8.93,8.93,8.8,8.8,16982
2025-04-03,8.89,8.9,8.6,8.71,64008
2025-04-04,8.62,8.91,8.62,8.72,67938
2025-04-07,8.7,8.7,7.73,8.28,245090
2025-04-08,8.38,8.38,8.0,8.03,261961
2025-04-09,8.0,8.0,7.65,7.87,59839
2025-04-10,7.9,8.3,7.85,8.2,320909
2025-04-11,8.15,8.33,7.56,8.01,139523
2025-04-14,8.01,8.45,8.01,8.17,112686
2025-04-15,8.46,8.88,8.3,8.42,153773
2025-04-16,8.68,9.39,8.6,9.04,934287
2025-04-17,9.06,9.17,9.0,9.1,318487
