date,open,high,low,close,volume
2023-11-22,4.06,4.06,4.06,4.06,1000
2023-12-08,13.53,13.53,13.53,13.53,500
2023-12-11,14.54,14.54,14.54,14.54,500
2023-12-15,18.59,18.59,18.59,18.59,500
2023-12-20,21.48,21.48,21.48,21.48,1000
2023-12-21,19.87,23.08,19.87,23.08,2000
2023-12-22,24.81,24.81,24.81,24.81,500
2023-12-27,26.63,26.67,23.12,23.12,5500
2023-12-28,24.85,24.85,24.85,24.85,500
2024-01-01,26.71,26.71,26.71,26.71,2000
2024-01-02,28.71,28.71,28.71,28.71,500
2024-01-03,30.86,30.86,30.86,30.86,500
2024-01-04,33.17,33.17,33.17,33.17,500
2024-01-08,38.33,38.33,38.33,38.33,1000
2024-01-12,49.75,49.75,49.75,49.75,500
2024-01-18,66.44,66.44,66.44,66.44,500
2024-01-22,71.42,71.42,71.42,71.42,2500
2024-01-23,76.78,76.78,76.78,76.78,500
2024-01-26,95.38,95.38,84,95.38,1500
2024-01-29,102.53,102.53,88.23,102.49,8500
2024-01-31,94.85,95,94.82,94.82,2000
2024-02-01,87.71,87.71,87.71,87.71,1000
2024-02-02,81.13,81.13,81.13,81.13,500
2024-02-07,70.94,70.94,70.94,70.94,1500
2024-02-13,59.87,63,59.87,63,3000
2024-02-14,58.28,58.28,58.28,58.28,500
2024-02-15,53.91,62.65,53.91,53.91,7500
2024-02-16,49.87,54,49.87,49.87,12500
2024-02-19,46.13,51.25,46.13,46.13,11500
2024-02-20,42.67,45.95,42.67,42.67,3000
2024-02-21,39.47,42,39.47,39.47,15000
2024-02-22,36.53,42.43,36.51,42.43,31500
2024-02-23,45.39,45.39,41.19,41.19,4000
2024-02-26,40,40,39.55,39.55,3500
2024-02-27,37.05,39,37.05,38.4,8000
2024-02-28,37.5,37.5,35.52,35.52,3000
2024-03-01,37,38.15,35.95,37.5,8500
2024-03-04,39,40.31,39,40.31,13000
2024-03-05,42,43.33,42,42,6500
2024-03-06,43,45.15,43,45.15,4500
2024-03-07,47,48.54,46,48.54,10000
2024-03-08,52.17,52.18,52.17,52.18,9000
2024-03-11,56.09,56.09,56.09,56.09,2500
2024-03-12,60.3,60.3,60.3,60.3,1500
2024-03-13,64.82,64.82,55.8,55.87,7000
2024-03-14,59.55,59.55,56.2,58.95,2500
2024-03-15,55.01,56,54.53,54.55,17500
2024-03-19,50.46,51,50.46,50.71,4500
2024-03-20,52.7,52.7,47.01,49.75,9500
2024-03-21,50.98,51.35,50.98,51.35,3500
2024-03-25,48,48,47.51,47.71,2000
2024-03-28,44.35,44.35,44.35,44.35,500
2024-04-01,41.12,41.12,41.11,41.11,2000
2024-04-08,41,41,41,41,500
2024-04-29,38,38,38,38,500
2024-05-02,38.51,40.85,38.5,40.85,6500
2024-05-03,43.9,43.91,43.89,43.9,3000
2024-05-06,47.19,47.19,47.19,47.19,4000
2024-05-07,50.73,50.73,50.73,50.73,2000
2024-05-08,54.53,54.53,46.93,49.99,7000
2024-05-09,53.73,53.74,53,53.64,4500
