date,open,high,low,close,volume
2025-03-10,22.02,22.02,22.02,22.02,38928
2025-03-11,24.22,24.22,24.22,24.22,41405
2025-03-12,26.64,26.64,26.64,26.64,4468001
2025-03-13,29,29.25,27.1,28.4,24680233
2025-03-14,28.4,30,28.05,29.48,9717375
2025-03-17,29.5,29.5,27.05,27.54,7596593
2025-03-18,27.4,28.74,26.75,27.52,10258343
2025-03-19,27.9,28.26,27.4,27.55,2693230
2025-03-20,27.54,28.35,27.3,27.77,3791460
2025-03-21,27.83,27.83,27.18,27.3,708805
2025-03-24,27.3,27.4,26.75,26.98,1867083
2025-03-25,27.02,27.1,25.51,25.9,2624228
2025-03-26,26.1,26.64,26.1,26.25,919693
2025-03-27,26.26,26.5,25.99,26.05,475811
2025-04-03,26,26.74,25.95,26.13,2571625
2025-04-04,26.19,26.19,25.07,25.29,1293836
2025-04-07,25.05,25.06,22.76,24,3754722
2025-04-08,23.55,25,23.55,24.76,674619
2025-04-09,24.51,24.69,23.88,24.2,490517
2025-04-10,24.9,26.13,24.6,24.77,2094925
2025-04-11,24.7,25.25,24.2,24.93,611734
2025-04-14,25.01,27.42,25.01,27.42,4374632
2025-04-15,28,28.61,26.8,27.12,5047752
2025-04-16,27.1,27.5,26.56,26.71,1463493
2025-04-17,26.75,26.95,26.51,26.6,286664
2025-04-18,26.58,28.8,26.1,28.08,5411885
2025-04-21,28.9,29.98,28.63,29.26,6796752
2025-04-22,29.31,32.19,28.45,32.19,12092164
2025-04-23,32.8,34.73,31.27,32.35,16119243
2025-04-24,30.76,31.86,29.6,30.17,5988007
2025-04-25,30.15,31.1,28.58,29.08,2955711
2025-04-28,29.3,29.75,26.6,26.9,3547428
2025-04-29,26.66,29.14,26.66,28.61,3541309
2025-04-30,28.3,28.3,26.4,27.01,2714063
2025-05-02,27.6,28.74,27.6,27.98,1526874
2025-05-05,28.3,28.74,27.6,28.52,1168827
2025-05-06,29,29.5,28.5,28.79,2330838
2025-05-07,26.04,28.24,26.04,27.13,2896610
2025-05-08,27.31,28.24,24.42,24.99,2077568
2025-05-09,24.81,26.69,24.1,26.42,1387044
2025-05-12,29.06,29.06,29,29.06,988881
2025-05-13,31,31,28.46,28.63,2823558
2025-05-14,28.88,29.9,28.3,28.64,4747186
2025-05-15,28.97,29.43,28.51,28.74,2381344
2025-05-16,29,29.33,28.45,28.64,1975714
2025-05-19,28.78,29.68,28.32,28.78,2781737
2025-05-20,28.65,29.48,28.58,28.99,2376729
2025-05-21,29,29.35,28.8,28.93,1833950
2025-05-22,29.08,29.6,28.5,28.79,3835149
2025-05-23,28.73,29,28.6,28.68,730725
2025-05-26,28.7,28.8,28,28.19,1097044
2025-05-27,28.19,28.48,27.9,28.33,1011366
2025-05-29,28.5,28.99,28.3,28.69,2397467
2025-05-30,28.69,28.8,28.35,28.45,754403
2025-06-02,28.5,28.69,28.2,28.27,481892
2025-06-03,28.44,28.44,27.75,28.11,918773
2025-06-04,28.11,28.35,27.99,28.14,620934
2025-06-05,28.29,28.29,27.99,28.15,492830
2025-06-10,28.49,29.5,28.31,28.8,4796971
2025-06-11,29.05,31.68,29,30.07,17124632
2025-06-12,30.2,31.44,29.8,30.37,6308181
2025-06-13,29.56,30.84,29.45,30.46,3614714
2025-06-16,30.5,33.51,30.5,32.4,11826100
2025-06-17,32.5,33.39,31.51,31.69,4389070
2025-06-18,31.6,31.75,30.5,30.7,2218478
2025-06-19,30.74,32.4,30.7,31.69,4236490
2025-06-20,31.6,33.9,31.02,32.92,8401904
2025-06-23,32.4,32.88,29.81,30.15,4118532
2025-06-24,31.9,33,31.52,32.74,5266783
2025-06-25,33.3,34.35,32.7,33.92,5327716
2025-06-26,34.49,37.24,34.49,36.4,19820236
2025-06-27,37.11,40.04,37,40.04,9992127
2025-06-30,42.74,43.97,40.25,40.95,14771565
2025-07-01,40.75,43.24,39.23,41.89,9211196
2025-07-02,43.2,44,41.6,41.75,5791156
2025-07-03,42.25,42.25,40.56,41.17,3882015
2025-07-04,41.25,41.9,40,40.92,4634711
2025-07-07,41,42.3,40,41.06,4531294
2025-07-08,41.07,42.48,40.7,41.21,3634417
2025-07-09,41.3,41.85,40.8,40.98,2536153
2025-07-10,40.99,41.45,40.08,40.39,3847679
2025-07-11,40.85,40.99,39.39,39.52,3757218
2025-07-14,39.53,39.89,38.4,38.93,3517680
2025-07-15,38.93,39,37.51,37.84,1540381
2025-07-16,37.99,38.25,37.4,37.81,1721195
2025-07-17,38,40.75,37.86,39.19,4594801
2025-07-18,39.5,39.5,38.02,38.63,1252153
2025-07-21,38.7,39.24,38.5,39.11,1141459
2025-07-22,39.9,40.75,39.01,40.37,4174041
2025-07-23,40.44,42.25,39.8,41.68,10392092
2025-07-24,42.06,42.5,40.89,41.12,3462864
2025-07-25,41.14,41.69,40.5,40.91,1738208
2025-07-28,40.6,40.99,39.9,40.04,1340916
2025-07-29,40.27,40.27,39,39.11,1927375
2025-07-30,39,39.55,38.01,38.42,928610
2025-07-31,38.9,39.35,38.5,38.71,759240
2025-08-01,39.38,39.38,38.55,39.01,490406
2025-08-04,38.74,39.51,38.41,39.34,483012
2025-08-05,39.48,39.5,39,39.31,372040
2025-08-06,39.48,39.5,38.9,39,1026367
2025-08-07,39,39.39,38.56,38.76,600232
2025-08-08,38.76,39.7,38.3,39.26,1170479
2025-08-11,39.64,41.1,39.64,40.37,1924257
2025-08-12,40.6,42.72,40.6,41.57,6096991
2025-08-13,42.14,42.14,40.69,40.79,1461694
2025-08-15,41,41.25,40.13,40.44,584429
2025-08-18,40.89,40.89,40,40.61,439919
2025-08-19,40.5,41.7,40.33,40.63,924092
2025-08-20,41.01,41.01,40.07,40.2,787831
2025-08-21,40.4,42,40.2,41.56,3523814
2025-08-22,41.9,43.7,41,42.47,4414832
2025-08-25,42.97,42.97,41.48,41.58,1043402
2025-08-26,41.59,41.9,41.26,41.56,361641
2025-08-27,41.79,41.98,41,41.2,619565
2025-08-28,41.01,42.5,40.5,41.73,3865748
2025-08-29,41.73,43,41.15,42.42,4326275
2025-09-01,42.3,43.4,42,43.16,1552860
2025-09-02,43.36,46.37,43.2,45.3,6383864
2025-09-03,45.55,46.95,44.35,44.52,2890009
2025-09-04,44.85,46.88,44.13,45.68,3063043
2025-09-05,46,46.59,42.9,43.86,3791077
2025-09-08,43.79,44.8,43.5,44.5,2048395
2025-09-09,44.8,44.89,44,44.28,818748
2025-09-10,44.5,44.5,43.4,43.53,1614527
2025-09-11,43.79,45,43,43.93,3996339
2025-09-12,44,45.25,40.12,41.44,6377248
2025-09-15,41.44,43.4,41.44,43.01,2627205
2025-09-16,43,43.5,42.2,42.7,1549309
2025-09-17,42.76,46.97,42.5,46.97,7116089
2025-09-18,47.45,49.25,47,48.03,8922975
2025-09-19,48.48,48.48,46,46.32,3058858
2025-09-22,46.6,47.37,46,46.55,1203200
2025-09-23,46.61,47,44.5,44.88,1896224
2025-09-24,45.11,45.8,43.86,44.04,1839617
2025-09-25,44.01,45,43.9,44.74,962442
2025-09-26,44,45.99,44,45.14,551499
2025-09-29,45.45,45.71,44.6,44.83,807480
2025-09-30,45.19,45.2,44.15,44.32,1118209
2025-10-01,44.83,44.9,44,44.78,837410
2025-10-02,44.9,45.64,44.5,45.03,1177460
2025-10-03,45.4,45.47,44.7,44.77,389990
2025-10-06,44.77,45.2,43.81,44.36,1170106
2025-10-07,44.99,45.75,44.5,44.65,1321497
2025-10-08,44.75,45,44.02,44.42,486647
2025-10-09,44.69,44.8,44,44.1,357150
2025-10-10,44,44.1,43.31,43.48,585173
2025-10-13,43.4,43.4,41.45,41.7,1647548
2025-10-14,42.5,43.55,42.44,42.86,982727
2025-10-15,42.95,43.45,41.5,41.77,1748252
2025-10-16,41.5,42.29,40.42,40.69,897412
2025-10-17,41,41,40.21,40.5,1244775
2025-10-20,40.99,41.5,40.2,41.05,1340768
2025-10-21,41.49,42.14,40.97,41.06,1179505
2025-10-22,41.3,41.3,40.75,40.92,568738
2025-10-23,40.98,41,40.2,40.61,565285
2025-10-24,40.85,41.01,40.41,40.97,601882
2025-10-27,40.65,41.14,40.26,40.67,676673
2025-10-28,40.8,41,40.3,40.52,998479
2025-10-29,40.6,41.2,40.24,40.83,1603149
2025-10-30,41.59,41.59,37.1,37.82,2564412
2025-10-31,39,39.4,38,38.54,1455589
2025-11-03,38.96,39.01,38.4,38.72,619363
2025-11-04,38.81,39.24,38.22,38.34,520817
2025-11-05,38.5,38.8,37.9,38.11,415977
2025-11-06,38.34,38.35,38,38.17,242747
2025-11-07,38.4,39,38,38.33,194311
2025-11-10,38.2,39.01,36.5,38.51,420814
2025-11-11,38.51,38.87,37.19,37.47,359001
2025-11-12,37.5,37.85,37.1,37.46,327547
2025-11-13,38,38.38,37.5,37.83,119288
2025-11-14,37.5,38.64,37.4,38.5,191360
2025-11-17,38.88,38.97,38.1,38.68,274381
2025-11-18,38.88,40.9,38.25,40.02,1156208
2025-11-19,41.94,43.3,41.1,41.5,3603167
2025-11-20,41.6,41.75,40.46,40.56,839561
2025-11-21,41,41,39.45,39.62,426425
2025-11-24,39.16,39.79,38.45,38.89,595276
2025-11-25,38.88,39.4,38,38.41,624050
2025-11-26,38.65,39.25,37.85,38.55,484755
2025-11-27,38.69,39.39,38.3,39,455151
2025-11-28,39.1,39.5,38.6,38.86,766031
2025-12-01,39.1,39.36,38.76,39.24,356605
2025-12-02,39.5,43.16,39.25,43.16,4855150
2025-12-03,43.96,44.4,41.51,41.8,2162014
2025-12-04,41.8,42.21,40.1,40.48,997348
2025-12-05,40.98,42,40.48,41.07,741685
2025-12-08,41,41.4,40.01,40.74,489757
2025-12-09,40.8,41.89,40.5,41.25,655381
2025-12-10,41.5,41.59,40.63,41.25,491694
2025-12-11,41.22,41.22,40.4,40.76,527589
2025-12-12,41,44.1,40.61,42.73,2524696
2025-12-15,42.5,43.79,42.5,43.45,1372415
2025-12-16,44,44.1,42,42.27,1469496
2025-12-17,42.6,42.6,41.77,42,391071
2025-12-18,42.1,42.57,41.51,42,670366
2025-12-19,42.5,43.1,41.7,41.95,512449
2025-12-22,41.7,41.99,41.21,41.83,165147
2025-12-23,41.93,41.93,41.52,41.63,113359
2025-12-24,41.95,41.95,41.28,41.36,109244
2025-12-26,41.5,42.11,41.2,41.56,209618
2025-12-29,42.5,42.65,41.71,41.99,506723
2025-12-30,42.5,44,42.1,43.44,2295001
2025-12-31,44,44,42.85,43.06,740439
2026-01-01,43.1,44.6,42.7,43.72,2452730
2026-01-02,44.4,44.49,43.1,43.55,937004
2026-01-05,43.6,45.4,43.55,44.56,2453041
2026-01-06,44.94,44.94,43.13,43.79,568126
2026-01-07,43.51,44.74,43.02,43.81,801970
2026-01-08,43.98,44.2,42.9,42.98,1643492
2026-01-09,43.49,44.7,42.75,43.78,2425953
