date,open,high,low,close,volume
2024-10-21,78.48,78.48,74.55,76.55,5237439
2024-10-22,76.5,84.21,76.06,83.86,6084146
2024-10-23,85.85,92.25,84.11,85.86,7359678
2024-10-24,85.79,87,82.78,84.77,2255061
2024-10-25,84.7,88.5,83.9,86.11,2362772
2024-10-28,91,93,88.2,91.8,3654507
2024-10-29,93,95.5,92.2,94.06,1462857
2024-10-30,95.4,98,93.25,93.69,1682856
2024-10-31,95,95,87,89.81,865080
2024-11-01,89.89,93.7,89.6,91.14,471897
2024-11-04,93.99,94.25,91,91.33,493370
2024-11-05,93,93.9,91,93.16,553801
2024-11-06,93.99,96,93,93.41,1158867
2024-11-07,93.59,94.55,93.01,94.33,369350
2024-11-08,94,95,93,94.73,220796
2024-11-11,94,101.98,93.5,99.11,1971014
2024-11-12,100.12,102,96,96.75,1544819
2024-11-13,97.25,100.1,95.1,98.07,735672
2024-11-14,99.88,104.2,97.01,102.73,1432093
2024-11-15,104.24,113,104,113,845275
2024-11-18,124.3,124.3,120,124.3,4768093
2024-11-19,128.49,136.73,128.49,136.73,2585327
2024-11-20,139.9,150.4,135.1,149.9,6253351
2024-11-21,153.89,160,147.02,150.22,4539616
2024-11-22,148.98,150,135.2,140.31,3486346
2024-11-25,140.5,151.7,140.22,148.92,3750423
2024-11-26,150,153.9,135.05,141.57,4161311
2024-11-27,150,154.25,145,148.94,3938584
2024-11-28,149.89,163.83,149,163.83,2827002
2024-11-29,180.21,180.21,180.21,180.21,1325482
2024-12-02,189.74,198.23,188,198.23,2040978
2024-12-03,214.9,218.05,183,214.29,6887099
2024-12-04,224.34,235.5,211,231.04,3921887
2024-12-05,233.89,249.45,229.25,243.36,3518287
2024-12-06,246,251.5,230,234.71,3544612
2024-12-09,235.38,237,211.24,214.33,3468774
2024-12-10,217.96,217.96,192.9,192.9,3464878
2024-12-11,186,201,185.51,188.18,2232494
2024-12-12,189.98,207,187.02,207,2342419
2024-12-13,218,227.7,212,216.77,4003067
2024-12-16,220,226.98,204,206.98,2417475
2024-12-17,202.98,215.9,198,205.13,2128086
2024-12-18,206,213,195,197.36,2166819
2024-12-19,200,202.88,187,191.26,1345141
2024-12-20,191.26,210.39,189.5,210.39,2177492
2024-12-23,221,231.43,218,231.43,3384624
2024-12-24,235,253.9,215,233.6,3936196
2024-12-26,234.9,246.95,229,236.73,1579225
2024-12-27,242,243.4,230.02,236.97,1900465
2024-12-30,240,244.12,237.5,240.51,1304751
2024-12-31,243.8,245,233.6,234.85,849042
2025-01-01,235,237.49,229.9,231.15,726019
2025-01-02,233,245,231.5,234.11,1468431
2025-01-03,235.5,244.88,235,242.93,2292081
2025-01-06,246.99,253.97,236,237.2,1933849
2025-01-07,240,242,224.01,228.33,1117414
2025-01-08,230.01,234,215.1,220.04,792094
2025-01-09,222.99,223,204,208.22,606266
2025-01-10,208.8,214,188.11,191.19,1663918
2025-01-13,193,196.01,184.5,191.15,2143102
2025-01-14,193,210.27,192.45,210.27,1596341
2025-01-15,219.89,231.3,219.89,231.3,2981826
2025-01-16,240,245.97,222,223.45,3535573
2025-01-17,226,231.49,219.01,227.81,2121771
2025-01-20,228,236.23,225,229.23,1944566
2025-01-21,231.9,242.99,225,229.04,2930614
2025-01-22,230,236.86,221.55,223.92,1979699
2025-01-23,224.74,230,221,222.84,2203924
2025-01-24,224.03,234.97,222.9,225.13,2313182
2025-01-27,225.94,227,208.17,212.98,1171042
2025-01-28,213.01,218.5,208.63,212.8,1340623
2025-01-29,213.89,230,211,219.32,3196788
2025-01-30,219.11,228,219,224.61,2377059
2025-01-31,227.99,229,222,223.48,1568926
2025-02-03,224,224.5,211.5,213.41,522180
2025-02-04,216.85,219,208,209.19,572955
2025-02-06,210.11,213.1,201.2,203.1,759479
2025-02-07,204.05,210,202,205.72,1344941
2025-02-10,206.98,214.98,203.95,212.6,2464924
2025-02-11,213.98,221.98,213,217.55,2281446
2025-02-12,220,224,216,218.83,1991499
2025-02-13,220,221.55,215.65,217.05,759673
2025-02-14,218,219,210,212.78,1486264
2025-02-17,213,214.5,197.1,199.22,1108105
2025-02-18,198.99,202,195,195.94,1378780
2025-02-19,195.94,204.39,195,201.23,4503274
2025-02-20,201.99,203.8,196.49,197.16,2568154
2025-02-21,198,198.3,188.8,190.72,1781775
2025-02-24,191.11,199.8,191.05,195.82,3172431
2025-02-25,196.98,198.2,189,190.38,2407159
2025-02-26,192,193.98,182.02,185.01,2166419
2025-02-27,183.99,184.83,166.51,166.52,2869426
2025-02-28,156.57,173,155.11,166.12,2064275
2025-03-03,168.01,169,156.51,157.88,404731
2025-03-04,155,173.67,155,173.67,1191277
2025-03-05,177.01,180.05,165.4,167.13,951746
2025-03-06,167.8,171.5,167.02,168.26,378149
2025-03-07,169.98,173.44,164.1,172.07,683586
2025-03-10,180,189.28,170.11,189.28,3233860
2025-03-11,189.4,191,181.16,182.84,1298689
2025-03-12,181.97,192,179.2,184.45,1897044
2025-03-13,182.15,188,182.15,185.14,1376306
2025-03-14,187,188,182.5,183.55,1315198
2025-03-17,184.79,185.5,177.5,178.62,1111116
2025-03-18,179.9,180.01,172.01,172.98,961592
2025-03-19,174.48,177.5,167,168.49,1410096
2025-03-20,170.49,170.49,163.6,164.26,1527788
2025-03-21,165.1,172,164.9,165.94,1576596
2025-03-24,166.99,171.6,165.5,166.2,1033389
2025-03-25,166.98,167.5,163.3,165.02,508572
2025-03-26,168.96,168.99,164.5,165.09,668144
2025-03-27,166.5,167,164.83,166.57,325453
2025-04-03,167,169.9,166.5,167.26,614587
2025-04-04,167.26,168.65,164.5,164.98,330064
2025-04-07,164.4,164.4,148.48,153.68,1450381
2025-04-08,156,160,154,155.33,593800
2025-04-09,154.89,156,150.01,151.1,554403
2025-04-10,155.44,157,152.7,153.22,778419
2025-04-11,151.05,163.73,151.01,157.59,2003731
2025-04-14,160,162,157.5,158.1,694933
2025-04-15,158.2,160,155.52,156.23,648981
2025-04-16,155.08,163,154.5,155.5,1190631
2025-04-17,155,158.5,153.01,155.88,322634
2025-04-18,156.5,158,155.15,155.77,251780
2025-04-21,157,157,153.94,155.22,481350
2025-04-22,155.75,162.55,155,160.15,1261666
2025-04-23,163.49,164.5,157.23,160.01,1539454
2025-04-24,155.01,157.99,151,153.19,549478
2025-04-25,154,155.5,149.8,151.65,443015
2025-04-28,152.7,153.25,137.9,140.25,512482
2025-04-29,145,145,128.99,134.52,1775685
2025-04-30,133,133.8,121.51,125.1,2112785
2025-05-02,132.45,137.61,129,137.61,1178930
2025-05-05,139,151.37,136.5,151.37,2235610
2025-05-06,155,158.99,146,146.63,1484571
2025-05-07,132.55,141.9,131.97,135.01,1352155
2025-05-08,136.56,142.5,121.51,122.42,1305701
2025-05-09,123.01,132,117,129.29,1285313
2025-05-12,142.22,142.22,140,142.22,564703
2025-05-13,144.98,156.44,141,154.48,1838323
2025-05-14,158.98,159,151.01,153.2,1004050
2025-05-15,152.98,155,150.07,152.75,500176
2025-05-16,152.85,168.03,152,168.03,2912058
2025-05-19,173,176,166.3,172.42,4437348
2025-05-20,172.55,183.9,171,174,5369526
2025-05-21,176,180,174,176.1,1759428
