date,open,high,low,close,volume
2023-01-03,3.69,3.7,3.69,3.7,1000
2023-01-04,3.3,4.68,3.3,3.5,13500
2023-01-06,4,4,4,4,500
2023-01-11,3.5,3.95,3.5,3.95,6500
2023-01-24,3.65,3.65,3.65,3.65,500
2023-01-26,4,4,3.65,4,1000
2023-02-06,4.1,4.1,4.1,4.1,1000
2023-02-10,4.49,4.49,4.49,4.49,1000
2023-02-21,4.49,4.49,4.49,4.49,500
2023-03-17,5,5,5,5,500
2023-04-27,4,4,4,4,2500
2023-04-28,4.05,4.05,4.05,4.05,1000
2023-05-02,4,4,4,4,500
2023-05-04,4.5,4.5,4.5,4.5,500
2023-05-23,4.99,4.99,4.99,4.99,24000
2023-05-24,4.5,4.5,4.5,4.5,500
2023-07-06,4.95,4.95,4.95,4.95,1000
2023-07-07,4.94,5.6,4,4.84,223500
2023-07-12,4,4.5,3.84,4.5,3000
2023-08-07,4.9,5,4.9,5,51000
2023-08-08,4.5,5,4.5,5,11500
2023-08-09,5,5,5,5,5000
2023-08-10,5,5,5,5,1000
2023-08-11,5,5,5,5,2000
2023-08-25,5,5,5,5,1000
2023-09-04,5,5,5,5,1000
2023-09-05,5,5,5,5,2000
2023-09-13,5,5,5,5,1000
2023-09-14,5,5,5,5,500
2023-09-18,5,5,5,5,500
2023-10-24,5,5,5,5,500
2023-10-30,5.65,5.65,5.65,5.65,500
2023-11-07,4.7,5.1,4.7,5.1,4000
2023-11-10,4.4,4.4,4.4,4.4,500
2023-11-14,4.8,4.8,4.8,4.8,500
2023-11-20,5.2,5.2,5.2,5.2,500
2023-11-22,5,5.5,5,5.5,1500
2023-11-24,5.5,5.5,5.5,5.5,5000
2023-11-27,5.3,5.5,5.3,5.37,4500
2023-11-30,5.5,5.5,5.5,5.5,4000
2023-12-04,5,5.5,5,5.5,1500
2023-12-08,5.84,5.84,5.84,5.84,500
2023-12-12,5.84,5.85,5.84,5.85,2000
2023-12-13,5,5,5,5,500
2023-12-18,5.5,5.5,5.5,5.5,500
2023-12-21,5.5,5.5,5.5,5.5,3000
2024-01-01,5.5,5.5,5.5,5.5,2500
2024-01-03,5.5,5.5,5.5,5.5,1500
2024-01-04,5.5,5.5,5.5,5.5,1000
2024-01-05,5.6,5.8,5.6,5.8,4000
2024-01-08,5.7,5.8,5.7,5.8,2000
2024-02-20,5.5,5.5,5.5,5.5,1000
2024-03-06,6,6.4,4.5,6,7500
2024-03-08,5,5.5,5,5.5,5500
2024-03-28,4.75,4.75,4.75,4.75,500
2024-04-03,5,5,5,5,500
2024-04-16,4.67,4.67,4.65,4.65,5000
2024-04-29,5,5.1,5,5.1,1500
2024-05-03,5.75,5.9,5.75,5.83,1000
2024-05-06,5.95,6,5.95,6,4000
2024-05-08,5.75,6,5.75,5.98,3000
2024-05-30,5.06,5.12,5.06,5.12,501
2024-06-04,4.56,4.56,4.56,5.12,1
2024-06-06,5.6,5.6,5.6,5.12,10
2024-06-20,4.4,5,4.4,5,738
2024-07-04,5.95,5.95,5.95,5,1
2024-07-09,4.1,4.1,4.1,5,1
2024-07-15,5.95,6,5.95,6,16944
2024-07-18,6.5,7,6.25,6.89,174101
2024-07-19,7,7.87,7,7,25145
2024-07-22,7.95,7.95,7.8,7,65
2024-07-23,6.05,8,6.05,7.5,64020
2024-07-24,7.25,8.25,7.25,8,114908
2024-07-25,8.43,9,8.39,9,70653
2024-07-26,9.84,10,8.5,9.8,32800
2024-07-29,10.3,10.3,9.01,9.98,3105
2024-07-30,10.35,10.35,9.02,9.95,4034
2024-07-31,9.01,10.95,9.01,10.94,27799
2024-08-01,11.94,11.94,10.6,11.8,3450
2024-08-02,11.71,12.98,11,12.53,69148
2024-08-05,12.5,13.5,11.8,11.85,15208
2024-08-06,12.47,12.47,10.67,11.11,6954
2024-08-07,11.11,11.95,10.25,11.5,5202
2024-08-08,11.95,11.95,11.85,11.5,3
2024-08-09,11.85,12.49,11.7,11.85,1283
2024-08-12,12.5,12.5,11,11.99,2001
2024-08-13,10.79,11.99,10.79,11.8,3698
2024-08-15,12.42,12.44,12,12,1100
2024-08-16,12,12.45,12,12,240
2024-08-19,12,12.48,12,12,120
2024-08-20,10.8,13.2,10.8,13.14,2230
2024-08-21,11.83,14,11.83,11.92,14441
2024-08-22,12.97,12.97,10.73,11.12,16943
2024-08-23,11.5,11.5,11.25,11.12,51
2024-08-26,11.9,11.9,11.25,11.12,32
2024-08-27,11.7,11.7,10.01,10.01,23116
2024-08-28,10.8,10.8,9.01,9.01,29929
2024-08-29,9.4,9.4,8.05,8.46,31030
2024-08-30,7.55,9.46,7.55,8.93,7109
2024-09-02,9.5,9.5,8,8.31,1671
2024-09-03,8,9.31,7.9,8.7,6062
2024-09-04,8.5,9,8.3,8.46,3218
2024-09-05,8.99,8.99,8.45,8.45,2211
2024-09-06,8.88,9.45,8.05,9.22,2154
2024-09-09,8.4,9.23,8.4,8.73,1874
2024-09-10,8.5,8.73,8,8.73,2364
2024-09-11,8.8,8.8,8.75,8.73,2
2024-09-12,8.61,8.61,8.45,8.73,4
2024-09-13,8.61,8.61,8.61,8.73,101
2024-09-16,8.49,9.49,8.49,8.54,2197
2024-09-18,9,9,8.48,8.8,880
2024-09-19,8.98,8.98,8.5,8.5,510
2024-09-20,7.5,9,7.5,8.24,2445
2024-09-23,8.99,8.99,8.5,8.24,3
2024-09-24,8.95,8.95,8,8.35,20692
2024-09-25,0,0,0,8.35,2
