date,open,high,low,close,volume
2024-01-11,122.98,129.75,122.51,128.18,433600
2024-01-12,129,129,125,126.32,75800
2024-01-15,127,127,122.03,122.84,30200
2024-01-16,120.02,126.5,118.02,119.67,40900
2024-01-17,118.28,121.89,118,119.8,47500
2024-01-18,118,119,117,118.13,12700
2024-01-19,118.3,121.5,118,119,9300
2024-01-22,116.55,119.9,116.55,119.07,11200
2024-01-23,120.95,125,117,122.4,83100
2024-01-24,123,124,122,122.94,28500
2024-01-25,123,124.99,121.7,123.31,63000
2024-01-26,125,126.99,120.9,123,38200
2024-01-29,121.01,123,120,121.77,65000
2024-01-30,123.49,123.95,117,118.18,64400
2024-01-31,119.9,120,117.99,118,13500
2024-02-01,116.66,117.99,116,116.94,26300
2024-02-02,117.5,121.97,117,117.04,10200
2024-02-06,118,121,118,120.79,25700
2024-02-07,121,123,120,121.5,13700
2024-02-09,115.75,121,115.75,119,9300
2024-02-12,120,120,110.08,112.04,30000
2024-02-13,110,115,109.8,112.2,32500
2024-02-14,115,115,112,114.02,37000
2024-02-15,112.55,114,112.05,113.5,34500
2024-02-19,111.6,112.5,109,109.9,23300
2024-02-20,111.8,112.49,109.9,109.99,9300
2024-02-21,112.44,114.98,110.21,114.42,10700
2024-02-22,114.79,114.79,110,113.15,8000
2024-02-23,110,112.5,104.66,104.66,30500
2024-02-26,96.81,96.81,96.81,96.81,18500
2024-02-27,92,99,92,96.74,247100
2024-02-28,96.5,100,96.01,96.72,74100
2024-02-29,97.88,97.99,95.51,95.68,11900
2024-03-01,95.01,96,94,95.04,41900
2024-03-04,97.5,97.95,94.1,94.86,16300
2024-03-05,94.5,94.5,92,93.01,108400
2024-03-06,94.4,97.99,94.4,95.69,61900
2024-03-07,94.55,98,94.55,96.25,9200
2024-03-08,97.5,98.5,96.25,98.32,10200
2024-03-11,100,102.75,99.5,100.5,41900
2024-03-12,100,100,97.8,97.85,6600
2024-03-13,97,100,97,99.02,20900
2024-03-14,100,100,99.99,99.99,2200
2024-03-15,101,101,99.99,100.68,5000
2024-03-18,100,104.5,100,102.42,36200
2024-03-19,101.25,101.25,99,100.24,45400
2024-03-20,101,103,101,102,4600
2024-03-21,103,106.44,99,100.33,55000
2024-03-22,100,100.01,99,99.99,58000
2024-03-25,101.9,104.88,101.75,102.15,46100
2024-03-26,104.9,105,102,103.92,34000
2024-03-27,105.85,107.5,104,104,8800
2024-03-28,105.23,105.23,103.3,103.9,3200
2024-03-29,101.75,102.7,100,102,7400
2024-04-01,100.11,101,100,100.05,29000
2024-04-02,100,100.98,100,100,14100
2024-04-03,101,102,101,101.02,7900
2024-04-04,102,103,101,101.66,20000
2024-04-08,104,108,100,106.33,51300
2024-04-09,104.01,108,100.51,106.37,27300
2024-04-15,105.2,109,105,107.74,12800
2024-04-16,107,111,107,107.29,73600
2024-04-17,107.7,115.34,107.7,115.34,255400
2024-04-18,118.85,123.75,115,117.27,234600
2024-04-19,118.5,118.5,110.3,117.12,36600
2024-04-22,115.01,116,113,113.34,42661
2024-04-23,113,116,113,113.08,45187
2024-04-24,114.99,115.55,111.45,113.03,25761
2024-04-25,113,116,107.5,107.93,50908
2024-04-26,106.1,107.5,103.4,105.02,26609
2024-04-29,107,107,103.01,105,18151
2024-04-30,103.55,105,103,103.31,14870
2024-05-02,105,106.5,103,105,11628
2024-05-03,106,106.5,103.03,105.24,13797
2024-05-06,108,109.98,105.5,106.44,23976
2024-05-07,105.05,107.39,104,104,15831
2024-05-08,106.95,106.99,104,104.77,4606
2024-05-09,103,104.9,103,104.05,11282
2024-05-10,104,105.5,103.5,104.05,24880
2024-05-13,103.5,111.85,103.5,111.85,104044
2024-05-14,119.79,119.79,111,111.84,183380
2024-05-15,112.95,114.99,110,111.7,65653
2024-05-16,110.53,112.8,108.75,108.99,50931
2024-05-17,111.99,115.14,108,111.98,87242
2024-05-20,112.3,112.3,108.99,109.04,14697
2024-05-21,111.45,111.45,108.85,109.05,41278
2024-05-22,108.92,109.95,108,108.49,25647
2024-05-23,109.5,109.5,107,107.84,34794
2024-05-24,107.5,110.9,107,108.07,34397
2024-05-27,110,110,106.16,106.38,10640
2024-05-29,105.1,106.5,104,105.02,23892
2024-05-30,107.8,108,106,106,20244
2024-05-31,107,107.99,105.3,105.6,4250
2024-06-03,106.5,106.5,105,105.05,25645
2024-06-04,106.5,106.5,102.71,103.47,34875
2024-06-05,102.15,103,101,102.15,6965
2024-06-06,102.49,102.49,100,100.07,12304
2024-06-07,101.5,102,99,100.47,23777
2024-06-10,101,104,100,100.24,5760
2024-06-11,99.15,100.8,99,100.08,16147
2024-06-12,98.5,100.99,98.5,100,15807
2024-06-13,102.48,103,100,102.14,22579
2024-06-14,98.88,104,98.88,102.22,8619
2024-06-20,103.95,104.3,102.5,103.6,20471
2024-06-21,103.5,104.78,102,103.99,31450
2024-06-24,103,104,102,102.36,19489
2024-06-25,104,105,102,102.01,27889
2024-06-26,103.9,103.9,101.55,102.1,29068
2024-06-27,103,103,101,101.03,1835
2024-06-28,102.98,102.98,101.04,102,7044
2024-07-01,103.98,103.98,101,101,4033
2024-07-02,103.75,103.75,100,100.49,2932
2024-07-03,99.99,102,99.99,101.2,8702
2024-07-04,102.38,102.38,97.5,98.3,47783
2024-07-05,98.9,100,96.43,97.19,15452
2024-07-08,99.95,100.98,97,97.22,10386
2024-07-09,99.99,100,97,99.1,19809
2024-07-10,98,99.5,97.01,98.01,9976
2024-07-11,99.4,107.32,98.5,104.54,566192
2024-07-12,103.3,105,99,101.3,236766
2024-07-15,103,110.92,102,110.61,492459
2024-07-18,114.01,121.12,109.55,118.15,610850
2024-07-19,119,120,108,114.26,120777
2024-07-22,110.6,113.1,109,109.13,86819
2024-07-23,114,114,110,110.76,31238
2024-07-24,111.9,112.1,109,109.03,42274
2024-07-25,111.48,111.48,105,106.78,17951
2024-07-26,107.9,108.4,104.99,105.01,28368
2024-07-29,107,108,105.05,107.01,56712
2024-07-30,106,108,105,105.96,21315
2024-07-31,108,108,105,105,24341
2024-08-01,107,107,103,103.75,27447
2024-08-02,105,106,104,104.57,12912
2024-08-05,108,108,102,103.83,43882
2024-08-06,104,104,100,103,25989
2024-08-07,103.5,105,102.99,103.94,20924
2024-08-08,103,105.1,103,104.9,34299
2024-08-09,106,106,103.17,103.82,19840
2024-08-12,103.55,105,103.1,103.74,23600
2024-08-13,103.5,104.5,102.02,103.23,13282
2024-08-15,104.99,109,102,104.3,99241
2024-08-16,107,107,102.02,104.34,63294
2024-08-19,104.99,106,101.55,103.57,25406
2024-08-20,105.49,105.49,101.11,103.04,22398
2024-08-21,102,108.5,102,106.02,112634
2024-08-22,106.52,107,105,105.51,34450
2024-08-23,104,116.06,103.35,115.67,695981
2024-08-26,118,119.8,111.11,111.93,95108
2024-08-27,111.25,113,109,109.97,108837
2024-08-28,109.48,116,109.48,114,216707
2024-08-29,115,120,115,116.51,243777
2024-08-30,118.98,119.75,115,116.28,130041
2024-09-02,118.75,127.74,117,120.61,415646
2024-09-03,118,122.5,118,118.38,69472
2024-09-04,121,122,119,119.37,49919
2024-09-05,119.01,122.93,118.5,121.99,111668
2024-09-06,122,134.19,122,134.19,701306
2024-09-09,139,147.59,134.25,135.77,394767
2024-09-10,137.5,137.5,132.8,135.11,55380
2024-09-11,133.1,136,127.01,129.88,76219
2024-09-12,129.9,134.5,128.6,133,239315
2024-09-13,136,138.3,131.5,132.6,190522
2024-09-16,132.01,135,130.15,133.54,23548
2024-09-18,135,136.99,130,130.63,42512
2024-09-19,129.03,130,122,123.2,48820
2024-09-20,123,123,117.03,122.03,158915
2024-09-23,121,124.9,116,116.92,48083
2024-09-24,119.9,119.9,105.23,106.89,197304
2024-09-25,106.9,107,100,104.91,151384
2024-09-26,109,109,102.5,105,98856
2024-09-27,103.1,115.5,103.1,111.77,319920
2024-09-30,115.1,116.68,112,115.73,32063
2024-10-01,116,118.5,111.55,112.21,20154
2024-10-02,112.5,115,109.1,111.6,77597
2024-10-03,110.1,111.5,110,110,2436
2024-10-04,107.8,111.99,105,106.62,44508
2024-10-07,106.61,114.9,105.16,110.95,53316
2024-10-08,111.99,114.7,108.6,110.92,40741
2024-10-09,110,110,107.6,109.28,168233
2024-10-10,108,113.5,108,111.48,10113
