date,open,high,low,close,volume
2024-01-10,22.34,22.7,21.95,22.08,1644643
2024-01-11,21.92,23.74,21.91,23.62,10293293
2024-01-12,24.0,24.44,23.5,23.93,5529999
2024-01-15,24.2,25.4,24.0,24.22,5504068
2024-01-16,23.97,26.04,23.69,25.9,7349304
2024-01-17,26.0,27.07,25.4,25.65,4529191
2024-01-18,25.82,25.82,24.65,24.97,3020760
2024-01-19,25.25,26.3,25.0,25.2,3293642
2024-01-22,24.7,25.77,24.5,24.65,2898812
2024-01-23,24.95,25.4,24.6,25.07,1591083
2024-01-24,25.0,26.22,24.88,25.53,3114758
2024-01-25,25.69,25.95,24.75,24.86,1329725
2024-01-26,25.0,25.25,24.52,24.71,1062289
2024-01-29,24.9,25.18,24.23,24.9,1538405
2024-01-30,24.77,25.1,24.06,24.2,959027
2024-01-31,24.5,25.0,24.01,24.32,1819047
2024-02-01,24.59,24.59,24.02,24.33,923871
2024-02-02,24.35,24.65,24.3,24.5,753695
2024-02-06,24.51,24.94,24.41,24.57,386408
2024-02-07,24.61,25.39,24.6,25.12,924048
2024-02-09,24.89,24.89,23.7,24.53,1313871
2024-02-12,24.5,24.59,23.69,23.91,1899289
2024-02-13,23.99,24.3,23.1,23.75,1531441
2024-02-14,24.16,24.18,23.7,24.09,592486
2024-02-15,24.1,24.68,23.42,24.23,2137243
2024-02-16,24.11,24.39,23.72,23.91,614091
2024-02-19,23.8,24.9,23.3,24.62,773680
2024-02-20,24.3,25.2,24.3,24.61,625791
2024-02-21,25.0,25.14,24.52,24.81,489359
2024-02-22,24.71,25.13,24.7,24.92,378584
2024-02-23,24.94,25.07,24.75,24.88,410002
2024-02-26,24.99,26.45,24.99,25.87,1562824
2024-02-27,25.75,26.79,25.7,26.28,1681239
2024-02-28,26.01,27.12,24.31,24.31,3735285
2024-02-29,22.71,23.7,22.71,23.46,5915576
2024-03-01,23.38,24.6,23.31,24.37,1811448
2024-03-04,24.61,24.7,23.5,23.75,1438904
2024-03-05,23.9,23.9,23.35,23.41,597826
2024-03-06,23.4,23.9,23.22,23.29,843794
2024-03-07,23.47,23.5,22.77,22.88,3076176
2024-03-08,23.2,23.9,22.75,22.8,1711046
2024-03-11,22.99,22.99,22.65,22.74,620018
2024-03-12,22.59,22.81,22.46,22.5,1256572
2024-03-13,22.5,22.7,22.35,22.4,299370
2024-03-14,22.45,22.5,21.9,22.36,474131
2024-03-15,22.48,22.8,22.45,22.68,633321
2024-03-18,22.7,23.26,22.5,22.76,766182
2024-03-19,22.24,22.45,21.5,21.58,710797
2024-03-20,21.87,21.87,21.23,21.38,754114
2024-03-21,21.48,21.48,21.0,21.21,206513
2024-03-22,21.45,21.45,20.73,20.81,430980
2024-03-25,20.98,20.98,19.9,20.05,817919
2024-03-26,20.44,20.69,19.95,20.05,1034554
2024-03-27,20.25,20.85,20.0,20.72,1884043
2024-03-28,21.0,21.5,20.91,21.0,1741159
2024-03-29,21.19,21.2,20.55,20.74,592802
2024-04-01,20.9,21.4,20.64,21.29,526824
2024-04-02,21.39,22.89,21.0,22.79,2263690
2024-04-03,23.1,23.62,22.73,23.36,3253808
2024-04-04,23.45,23.45,22.8,23.03,409269
2024-04-08,23.09,23.17,22.35,22.95,1791464
2024-04-09,23.09,23.6,22.85,23.35,1222811
2024-04-15,23.3,23.85,22.91,22.99,1857854
2024-04-16,23.15,23.5,22.85,22.93,1114739
2024-04-17,23.02,24.65,22.85,24.57,6217394
2024-04-18,24.75,24.75,23.8,24.23,2042390
2024-04-19,23.88,24.85,23.75,24.41,4427561
2024-04-22,24.49,25.44,24.32,25.32,2562811
2024-04-23,25.4,25.4,23.76,24.0,2656092
2024-04-24,24.0,24.3,23.4,23.52,1885302
2024-04-25,23.52,23.85,22.75,22.87,1624969
2024-04-26,22.9,23.0,22.35,22.54,2557424
2024-04-29,22.65,23.08,22.55,22.61,1138938
2024-04-30,22.99,23.0,21.78,21.97,2910433
2024-05-02,22.19,22.22,21.6,21.81,889565
2024-05-03,22.04,22.5,21.9,22.01,864447
2024-05-06,22.06,22.3,22.0,22.04,1044019
2024-05-07,22.23,22.23,21.6,21.84,2218297
2024-05-08,22.1,22.11,21.7,21.86,458425
2024-05-09,21.6,22.2,21.6,21.95,403150
2024-05-10,22.0,22.19,21.84,21.86,685716
2024-05-13,21.88,22.35,21.85,22.2,701302
2024-05-14,22.21,22.64,22.21,22.5,893731
2024-05-15,22.64,22.78,22.28,22.38,827778
2024-05-16,22.5,22.59,22.2,22.25,169845
2024-05-17,22.3,22.4,22.01,22.3,175222
2024-05-20,22.42,22.55,22.22,22.32,297911
2024-05-21,22.4,22.49,22.2,22.31,994041
2024-05-22,22.42,22.44,21.99,22.02,825176
2024-05-23,22.11,22.11,21.85,22.0,250992
2024-05-24,22.0,22.3,21.87,22.02,491765
2024-05-27,22.25,23.7,22.01,23.26,5796077
2024-05-29,23.47,23.55,22.71,22.87,1033771
2024-05-30,22.66,22.95,22.0,22.33,387946
2024-05-31,22.48,23.0,22.2,22.81,1511256
2024-06-03,23.0,23.1,22.34,22.47,749268
2024-06-04,22.4,22.4,22.02,22.06,377495
