date,open,high,low,close,volume
2024-01-17,2.25,2.25,2.13,2.15,617000
2024-01-18,2.15,2.19,2.11,2.12,351000
2024-01-19,2.2,2.2,2.15,2.15,287000
2024-01-22,2.19,2.19,2.11,2.15,94500
2024-01-23,2.19,2.19,2.12,2.15,233000
2024-01-24,2.17,2.17,2.11,2.15,294500
2024-01-25,2.13,2.16,2.12,2.14,316500
2024-01-26,2.14,2.16,2.12,2.13,179500
2024-01-29,2.13,2.15,2.1,2.13,127500
2024-01-30,2.11,2.14,2.08,2.09,386500
2024-01-31,2.1,2.1,2.03,2.05,1109500
2024-02-01,2.03,2.07,2.01,2.06,52500
2024-02-02,2.07,2.2,2.05,2.1,133500
2024-02-06,2.05,2.2,2.05,2.16,263500
2024-02-07,2.11,2.2,2.11,2.17,241000
2024-02-09,2.1,2.15,2.06,2.1,20500
2024-02-12,2.15,2.15,2.03,2.06,57500
2024-02-13,2.05,2.1,2,2.1,641500
2024-02-14,2.1,2.22,2.06,2.15,289500
2024-02-15,2.15,2.28,2.04,2.07,836000
2024-02-16,2.14,2.16,2.05,2.15,143000
2024-02-19,2.14,2.18,2.1,2.15,217500
2024-02-20,2.12,2.2,2.1,2.18,252500
2024-02-21,2.19,2.19,2.1,2.18,332500
2024-02-22,2.13,2.18,2.11,2.16,78500
2024-02-23,2.16,2.18,2.12,2.14,350500
2024-02-26,2.19,2.19,2.1,2.15,132500
2024-02-27,2.15,2.16,2.11,2.15,41500
2024-02-28,2.1,2.15,2,2.09,389000
2024-02-29,2.11,2.15,2.05,2.12,89500
2024-03-01,2.2,2.25,2.14,2.21,748500
2024-03-04,2.21,2.22,2.15,2.17,676000
2024-03-05,2.18,2.2,2.15,2.18,424000
2024-03-06,2.19,2.2,2.15,2.17,251500
2024-03-07,2.13,2.18,2.1,2.17,224000
2024-03-08,2.15,2.15,2,2.09,686500
2024-03-11,2.16,2.16,2.08,2.12,89500
2024-03-12,2.08,2.14,2,2.07,219500
2024-03-13,2.05,2.09,2,2,708000
2024-03-14,2.11,2.11,2.04,2.09,91500
2024-03-15,2.03,2.1,2.01,2.04,149500
2024-03-18,2.15,2.15,2.03,2.09,26000
2024-03-19,2.09,2.1,2,2,1669500
2024-03-20,2.04,2.08,2.01,2.07,94000
2024-03-21,2.03,2.05,2,2,164500
2024-03-22,2.09,2.09,2,2.05,182500
2024-03-25,2.14,2.17,1.98,2,310000
2024-03-26,2,2.08,1.99,2,71000
2024-03-27,2.1,2.4,1.95,2.11,715000
2024-03-28,2.08,2.15,2.05,2.1,123000
2024-03-29,2.04,2.1,2.02,2.07,19500
2024-04-01,2.09,2.1,2.05,2.07,153500
2024-04-02,2.09,2.09,2.02,2.05,50500
2024-04-03,2.12,2.12,2.03,2.09,51000
2024-04-04,2.1,2.15,2,2.08,552000
2024-04-08,2.05,2.15,2.02,2.09,163000
2024-04-09,2.07,2.12,2.03,2.1,88500
2024-04-15,2.1,2.12,2.06,2.08,180500
2024-04-16,2.1,2.11,2.07,2.08,46000
2024-04-17,2.1,2.11,2.02,2.04,403000
2024-04-18,2.09,2.11,2,2.07,754500
2024-04-19,2.14,2.14,2.03,2.09,295500
2024-04-22,2.04,2.11,2.03,2.03,395500
2024-04-23,2.05,2.05,2.01,2.01,782500
2024-04-24,2.01,2.05,2.01,2.02,825000
2024-04-25,2.03,2.06,2.02,2.05,110000
2024-04-26,2.05,2.05,2.01,2.05,92000
2024-04-29,2.02,2.05,1.96,1.98,1035500
2024-04-30,1.92,2,1.9,1.9,820500
2024-05-02,1.89,1.94,1.89,1.91,420500
2024-05-03,1.92,1.99,1.89,1.95,368500
2024-05-06,1.89,2,1.89,1.99,99500
2024-05-07,2,2.03,1.6,1.9,821500
2024-05-08,1.96,1.97,1.84,1.94,121500
2024-05-09,1.99,1.99,1.87,1.96,106000
2024-05-10,1.9,2,1.9,1.99,154000
2024-05-13,1.99,2.05,1.95,2.01,309000
2024-05-14,2.03,2.05,1.9,1.91,973500
2024-05-15,1.98,2.02,1.92,2,1751500
2024-05-16,2,2.04,1.91,1.95,434000
2024-05-17,1.93,1.95,1.9,1.9,528000
2024-05-20,1.95,1.95,1.88,1.93,234500
2024-05-21,1.99,1.99,1.89,1.9,428500
2024-05-22,1.85,1.93,1.84,1.86,311500
2024-05-23,1.86,1.9,1.85,1.89,537000
2024-05-24,1.77,2.02,1.77,1.97,1275000
2024-05-27,2.02,2.02,1.85,1.93,24552
2024-05-29,1.95,1.96,1.87,1.88,1186044
2024-05-30,1.88,1.91,1.86,1.89,369020
2024-05-31,1.9,1.92,1.86,1.9,275501
2024-06-03,1.94,1.94,1.85,1.89,209296
2024-06-04,1.94,1.94,1.86,1.89,230943
2024-06-05,1.9,1.9,1.8,1.83,522911
2024-06-06,1.84,1.89,1.8,1.88,902920
2024-06-07,1.81,1.89,1.79,1.85,590685
2024-06-10,1.9,1.9,1.8,1.87,197764
2024-06-11,1.84,1.94,1.81,1.84,436232
2024-06-12,1.86,1.86,1.8,1.8,475801
2024-06-13,1.86,1.89,1.78,1.82,438940
2024-06-14,1.88,1.9,1.79,1.83,1175388
2024-06-20,1.85,1.95,1.85,1.94,1538117
2024-06-21,1.94,2.09,1.9,1.93,2365453
2024-06-24,1.95,2,1.9,1.98,501849
2024-06-25,1.99,2,1.86,1.95,204022
2024-06-26,1.97,1.98,1.85,1.88,857651
2024-06-27,1.84,1.94,1.84,1.89,253513
2024-06-28,1.97,1.97,1.82,1.84,381781
2024-07-01,1.92,2.15,1.84,2.08,4370764
2024-07-02,2.15,2.15,2.02,2.08,1671366
2024-07-03,2.1,2.3,2.06,2.1,4141522
2024-07-04,2.09,2.14,2.03,2.08,947735
2024-07-05,2.02,2.15,2.02,2.09,1382334
2024-07-08,2.09,2.19,2.09,2.15,698927
2024-07-09,2.09,2.39,2.08,2.22,5195672
2024-07-10,2.23,2.36,2.22,2.31,2512252
2024-07-11,2.33,2.42,2.2,2.25,2311490
2024-07-12,2.23,2.29,2.06,2.15,1425192
2024-07-15,2.1,2.31,2.1,2.27,1147542
2024-07-18,2.3,2.3,2.18,2.29,579485
2024-07-19,2.29,2.3,2.1,2.12,1007308
2024-07-22,2.15,2.19,2,2.06,620508
2024-07-23,2.14,2.16,2.01,2.09,531719
2024-07-24,2.04,2.13,2,2.1,579257
2024-07-25,2.15,2.15,2.04,2.05,334612
2024-07-26,2.1,2.13,2,2.01,641549
2024-07-29,2.09,2.09,2,2.01,282759
2024-07-30,2.05,2.05,1.95,2,597164
2024-07-31,2.05,2.08,1.98,2,563625
2024-08-01,2.05,2.09,1.99,2,326367
2024-08-02,2.07,2.07,2.02,2.03,127250
2024-08-05,1.93,2.05,1.93,2.01,136161
2024-08-06,2.02,2.05,2,2,306058
2024-08-07,2,2.05,1.98,2,175309
2024-08-08,2,2.04,1.95,2,109479
2024-08-09,1.92,2.04,1.92,1.94,123223
2024-08-12,2.05,2.05,1.95,1.98,186718
2024-08-13,1.97,2,1.95,1.99,149084
2024-08-15,2,2.02,1.95,1.95,351746
2024-08-16,2.08,2.08,1.94,1.96,313722
2024-08-19,2,2,1.92,1.96,141722
2024-08-20,2,2.08,1.94,2,1075958
2024-08-21,2.02,2.12,2.02,2.08,593732
2024-08-22,2.08,2.08,2,2.04,498392
2024-08-23,2.09,2.14,2.04,2.07,389659
2024-08-26,2.15,2.17,2.1,2.11,792521
2024-08-27,2.15,2.2,2.11,2.2,308718
2024-08-28,2.19,2.2,2,2.02,812431
2024-08-29,2.02,2.18,2.01,2.06,807516
2024-08-30,2.09,2.09,1.97,2,1143825
2024-09-02,2.07,2.07,1.9,1.92,810327
2024-09-03,2.02,2.02,1.94,1.95,275192
2024-09-04,2.03,2.14,1.94,2.11,2620395
2024-09-05,2.17,2.29,2.09,2.17,3070510
2024-09-06,2.19,2.3,2.1,2.16,2250147
2024-09-09,2.22,2.25,2.07,2.1,373642
2024-09-10,2.19,2.19,2.08,2.13,50319
2024-09-11,2.1,2.15,1.97,2,1074644
2024-09-12,2.1,2.23,2.05,2.07,2527950
2024-09-13,2.19,2.19,2.09,2.1,1445695
2024-09-16,2.16,2.17,2,2.02,1159279
2024-09-18,2.14,2.14,2,2.02,1737322
2024-09-19,2.02,2.09,2,2.01,602184
2024-09-20,2.08,2.08,2,2.03,157943
2024-09-23,2.09,2.09,2.01,2.03,255159
2024-09-24,2.02,2.05,2.01,2.02,397182
2024-09-25,2.06,2.15,2.02,2.05,823875
2024-09-26,2.14,2.15,2.06,2.06,579417
2024-09-27,2.14,2.14,2,2.04,751878
2024-09-30,2.05,2.08,1.96,2.01,236451
2024-10-01,2,2.08,1.96,2.03,781739
2024-10-02,2.07,2.09,1.99,1.99,218489
2024-10-03,2.07,2.07,1.97,2,256230
2024-10-04,2.08,2.18,1.96,2.14,1733858
2024-10-07,2.18,2.18,2,2.05,509709
2024-10-08,2.17,2.17,2.05,2.11,288659
2024-10-09,2.13,2.15,2.03,2.06,541251
2024-10-10,2.1,2.12,2.05,2.06,808961
2024-10-11,2.1,2.1,2,2.05,454384
2024-10-14,2.05,2.14,2,2.04,413918
2024-10-15,2.14,2.15,1.99,2,896613
2024-10-16,2.06,2.06,1.99,2,247918
2024-10-17,2.08,2.08,1.99,1.99,260815
2024-10-18,2.08,2.08,1.98,2.04,53985
2024-10-21,2.04,2.05,1.99,2,625952
2024-10-22,2.01,2.07,1.91,1.96,1678563
2024-10-23,1.99,2.04,1.94,1.97,823572
2024-10-24,1.99,2,1.94,2,160284
2024-10-25,1.99,2.06,1.9,1.94,2021612
2024-10-28,1.9,1.99,1.9,1.96,291613
2024-10-29,2.01,2.01,1.92,1.95,343054
2024-10-30,1.94,2.2,1.92,2.13,2624284
2024-10-31,2.2,2.5,2.2,2.35,17644000
2024-11-01,2.44,2.44,2.1,2.12,3232648
2024-11-04,2.12,2.18,2.06,2.08,1472932
2024-11-05,2.1,2.15,2,2.03,1229686
2024-11-06,2.05,2.11,2.02,2.09,866326
2024-11-07,2.03,2.11,2,2.04,718531
2024-11-08,2.09,2.09,2.02,2.03,373112
2024-11-11,2.1,2.14,2,2.07,1140357
2024-11-12,2.13,2.14,2.03,2.08,516291
2024-11-13,2.08,2.11,2.04,2.05,712453
2024-11-14,2.04,2.12,2.01,2.03,1292796
2024-11-15,2.09,2.09,2.02,2.06,666845
2024-11-18,2.03,2.12,2.01,2.05,201570
2024-11-19,2.08,2.09,2,2.01,581648
2024-11-20,2.08,2.08,2.01,2.04,392511
2024-11-21,2.08,2.25,2.06,2.16,2321638
2024-11-22,2.16,2.26,2.1,2.12,3535980
2024-11-25,2.2,2.24,2.12,2.17,1050170
2024-11-26,2.13,2.24,2.1,2.1,2871557
2024-11-27,2.1,2.79,2.1,2.68,37218539
2024-11-28,3,3,2.6,2.73,60297878
2024-11-29,2.8,2.94,2.76,2.8,33703641
2024-12-02,2.89,2.94,2.75,2.83,14238902
2024-12-03,2.83,2.83,2.7,2.73,9430558
2024-12-04,2.76,2.77,2.55,2.7,7503542
2024-12-05,2.66,3.07,2.53,2.88,21422516
2024-12-06,2.92,3.07,2.8,2.89,13917206
2024-12-09,2.89,2.91,2.72,2.77,6934978
2024-12-10,2.79,2.89,2.55,2.68,8234666
2024-12-11,2.66,2.8,2.65,2.67,3759700
