date,open,high,low,close,volume
2023-12-13,12.23,12.3,11.5,12.3,25000
2023-12-14,13.28,13.3,13.28,13.3,21500
2023-12-15,14.3,14.3,13.07,13.2,21500
2023-12-18,12.26,13,12.22,13,4500
2023-12-19,12.01,12.01,12,12,3000
2023-12-20,11.33,11.5,11.33,11.5,8000
2023-12-21,11.48,11.5,11.48,11.5,4000
2023-12-22,10.8,11.95,10.8,11.95,1500
2023-12-26,11,11,11,11,3000
2023-12-27,11.1,11.73,10.75,10.88,10500
2023-12-28,11.8,11.8,11.8,11.8,1000
2023-12-29,11.49,12.5,11.49,12.17,19000
2024-01-01,11.5,13.17,11.5,13.17,16500
2024-01-03,12.22,12.99,12.22,12.28,2500
2024-01-04,11.41,12.46,11.41,12.46,1500
2024-01-05,12,12.5,11.46,11.46,6000
2024-01-08,11.03,11.96,11.03,11.16,5500
2024-01-10,11.12,11.75,11.08,11.75,7000
2024-01-11,11.5,12.68,11.5,12.6,6500
2024-01-12,11.63,12,11.6,11.63,33500
2024-01-15,11.1,12.28,11.1,12.28,4000
2024-01-17,11.44,11.99,11.43,11.99,2000
2024-01-18,11.11,11.11,11.1,11.1,3000
2024-01-22,11.03,11.03,11,11,5000
2024-01-23,11.03,11.84,11.02,11.55,9500
2024-01-25,11.03,11.05,11.03,11.05,1500
2024-01-30,11.1,11.1,11.05,11.06,3000
2024-01-31,11.05,11.05,11.05,11.05,500
2024-02-02,11.03,11.2,11.03,11.2,1000
2024-02-06,11.02,12,11.02,11.27,13500
2024-02-07,11.35,11.35,11.3,11.33,2000
2024-02-12,11.06,11.95,11.05,11.95,4000
2024-02-13,11.78,11.78,11.78,11.78,500
2024-02-15,11.11,11.11,11.09,11.1,1500
2024-02-19,11.3,11.3,11,11,11000
2024-02-20,10.61,11.85,10.61,11.27,7000
2024-02-21,11.74,11.75,11.74,11.75,15000
2024-02-22,11.13,11.13,11.13,11.13,1000
2024-02-29,11,12,11,11.88,11000
2024-03-04,11.3,11.3,11.3,11.3,1000
2024-03-05,11.75,11.75,11.74,11.75,2500
2024-03-06,10.76,12.1,10.76,11.08,9500
2024-03-07,12.06,12.08,12.06,12.08,10500
2024-03-08,13.08,13.08,13.08,13.08,24500
2024-03-11,14.08,14.08,13.84,14.07,80000
2024-03-12,14.1,15,14.1,14.46,45500
2024-03-13,14.47,14.8,14.47,14.5,18500
2024-03-14,14.55,15,14.1,14.6,25000
2024-03-15,14.4,14.95,14.4,14.63,15500
2024-03-18,14.79,14.79,14,14.5,20500
2024-03-19,14.5,14.85,14.42,14.77,26500
2024-03-20,14.85,14.95,14.71,14.85,23000
2024-03-21,11.8,13.48,11.8,12.5,16000
2024-03-22,12.5,12.5,11.8,12.05,16000
2024-03-25,11.92,12.49,11.91,12.36,6000
2024-03-26,12.89,12.9,12.89,12.9,1000
2024-03-27,12.5,12.51,12.5,12.5,3500
2024-03-28,12.02,12.49,12.02,12.05,8000
2024-03-29,12,12.15,11.92,11.92,1500
2024-04-01,12.69,12.69,12.69,12.69,1000
2024-04-02,12.95,12.95,11.9,12.06,12000
2024-04-03,12,12.75,12,12.25,9500
2024-04-04,12.73,12.73,12.32,12.33,1500
2024-04-08,12.46,12.46,12.15,12.15,11500
2024-04-09,12.15,12.69,12.15,12.32,15500
2024-04-15,12.1,12.1,11.9,11.91,14500
2024-04-16,11.91,12,11.91,11.94,3500
2024-04-17,12.05,12.49,11.85,12.43,18500
2024-04-18,12.3,12.43,12.13,12.16,6500
2024-04-19,12,12.48,11.64,12.01,6500
2024-04-23,12.1,12.15,12,12,2000
2024-04-24,11.8,12.19,11.78,11.78,5000
2024-04-25,11.7,11.77,11.7,11.77,2500
2024-04-26,11.73,11.73,11.58,11.58,4500
2024-04-29,11,12,11,12,7500
2024-04-30,11.3,11.8,11.3,11.62,4000
2024-05-02,10.96,11.31,10.96,11.3,4500
2024-05-03,11.5,11.73,10.9,11.36,12500
2024-05-06,12.28,12.28,11.7,11.7,7500
2024-05-07,11.5,11.9,11.5,11.9,21500
2024-05-08,11.56,11.56,11.55,11.55,3000
2024-05-10,11.88,11.89,10.76,11.88,4000
2024-05-13,11.13,11.23,11.11,11.22,4000
2024-05-15,11.5,12,11.32,11.8,18500
2024-05-16,11.5,11.5,11.11,11.25,5000
2024-05-17,10.93,11.49,10.93,11.49,4500
2024-05-20,11.21,11.38,11,11.38,21000
2024-05-21,11.36,12,11.36,12,13000
2024-05-22,11.2,12,11.2,11.5,10500
2024-05-23,11.9,11.95,11.9,11.91,2000
2024-05-24,11.26,12.5,11.22,11.91,13500
2024-05-27,11.9,11.9,11.29,11.37,3343
2024-05-29,11.6,12.2,11.33,11.91,13669
2024-05-30,12.49,12.49,11.91,11.92,799
2024-05-31,12.49,12.49,11.1,11.9,3209
2024-06-03,11.51,12,11.01,11.75,5955
2024-06-04,11.61,11.99,11.16,11.34,2684
2024-06-05,11.86,11.9,11.5,11.52,2080
2024-06-06,11.04,11.98,11.04,11.19,3038
2024-06-07,11.73,11.73,11.5,11.5,2163
2024-06-10,11.06,11.44,11.02,11.09,7087
2024-06-11,11.9,11.9,10.1,10.9,24842
2024-06-12,11.19,11.7,11.1,11.7,15240
2024-06-13,11.99,12.15,11.84,12,11002
2024-06-14,12.4,12.79,11,11.14,3123
2024-06-20,11.79,12.14,11.79,12.14,19922
2024-06-21,12.05,12.28,11.53,11.69,13270
2024-06-24,11.9,11.9,10.82,11.15,60746
2024-06-25,11.49,11.5,11.15,11.15,4583
2024-06-26,11.4,11.49,11.2,11.39,8925
2024-06-27,11.46,11.46,11.23,11.24,1501
2024-06-28,11.24,11.99,11,11.86,11343
2024-07-01,11.86,11.87,11.8,11.86,501
2024-07-02,11.01,11.79,11.01,11.86,241
2024-07-03,11.27,11.86,11.27,11.41,2540
2024-07-04,11.5,11.89,11.01,11.6,3106
2024-07-05,11.74,11.75,11.16,11.52,4403
2024-07-08,11.91,12.61,11.91,12.61,90495
2024-07-09,12.97,13.75,12.65,13.67,54045
2024-07-10,12.51,13.48,12.51,12.8,27084
2024-07-11,12.25,13.1,12.16,12.97,17377
2024-07-12,13.31,13.31,12.35,13,1664
2024-07-15,12.99,13.1,11.96,13,16749
2024-07-18,12.75,12.75,12.65,12.75,3206
2024-07-19,13.49,13.49,11.76,12.72,16898
2024-07-22,12.61,12.61,11.78,11.85,713
2024-07-23,12.37,13.04,12.16,12.85,7016
2024-07-24,12.85,14,12.55,12.72,17549
2024-07-25,13.72,13.72,12.6,12.6,2728
2024-07-26,12.41,12.65,12.4,12.6,132
2024-07-29,13.7,13.7,12.01,12.37,2887
2024-07-30,12.06,12.6,12.06,12.2,1077
2024-07-31,12.22,12.22,12.22,12.22,500
2024-08-01,12.61,13,12,12.57,14380
2024-08-02,12.68,12.7,12.65,12.65,1120
2024-08-05,12.97,12.97,12.91,12.92,1431
2024-08-06,12.4,12.88,12.01,12.16,1729
2024-08-07,12.68,12.76,11.41,12.75,8067
2024-08-08,12.95,12.95,12.2,12.75,88
2024-08-09,12.95,12.95,12.15,12.46,743
2024-08-12,12.16,12.55,12.13,12.15,3320
2024-08-13,12,12,12,12,12252
2024-08-15,12.99,12.99,12.5,12.69,1432
2024-08-16,12,12.69,12,12.5,3310
2024-08-19,11.5,11.5,11.5,12.5,5
2024-08-20,12.49,12.5,11.62,12.14,2077
2024-08-21,12.01,12.93,12,12.89,7316
2024-08-22,12.89,13.29,12.03,12.12,6905
2024-08-23,12.99,12.99,12.03,12.39,2182
2024-08-26,12.3,13.2,12.3,12.55,2882
2024-08-27,12.21,12.95,12.2,12.2,1126
2024-08-28,13.24,13.29,11.52,12,8844
2024-08-29,12.1,12.5,12.05,12.26,2658
2024-08-30,12.03,12.5,12,12,2968
2024-09-02,12,12.94,11.27,12.36,1928
2024-09-03,12.5,12.5,12.01,12.2,1204
2024-09-04,11.3,12.3,11.3,12.1,3155
2024-09-05,12,12.75,11.47,12.19,11615
2024-09-06,11.3,12.3,11.3,12.19,101
2024-09-09,12,12.4,11.52,12.2,4622
2024-09-10,12.63,12.63,11.82,11.96,1286
2024-09-11,12.48,13,12,12.02,5805
2024-09-12,12.28,13,11.18,12.57,38707
2024-09-13,12.97,13,12,12,2163
2024-09-16,12.06,12.59,12.06,12,54
2024-09-18,12,12.06,12,12.04,580
2024-09-19,12.02,12.02,11.02,11.88,36305
2024-09-20,12,12.44,11.66,12.38,10600
2024-09-23,12.4,12.4,12.36,12.38,159
2024-09-24,12.9,12.9,11.65,11.7,2088
2024-09-25,12.23,12.23,12.23,11.7,1
2024-09-26,12.29,12.5,11.9,12.34,6322
2024-09-27,11.74,11.82,11.62,11.62,3418
2024-09-30,12.48,12.48,12.47,11.62,56
2024-10-02,11.48,11.5,11.42,11.42,1809
2024-10-03,10.29,12.1,10.29,11.8,1869
2024-10-04,11.35,12.96,11.35,12.47,12123
2024-10-07,12.48,12.48,12.1,12.16,1724
2024-10-08,12.89,12.89,11.67,11.93,4343
2024-10-09,13.05,13.12,11.1,12.65,18271
2024-10-10,12.15,12.94,12.15,12.55,1522
2024-10-11,13.48,13.48,11.65,12.87,2752
2024-10-14,12.93,12.93,11.71,12.32,9447
2024-10-15,12.76,12.76,11.51,12.02,6183
2024-10-16,12.99,12.99,11.7,12,6707
2024-10-17,12.2,12.45,12,12.18,14841
2024-10-18,12.06,12.49,11.5,11.5,1344
2024-10-21,12.49,12.49,12.1,12.24,4642
2024-10-22,12.1,12.2,12,12,2510
2024-10-23,12.95,12.95,11.8,12,4336
2024-10-24,12.48,12.48,12,12.06,1363
2024-10-25,11.63,12,11.63,11.9,3044
2024-10-28,11.8,11.92,11.72,11.9,4804
2024-10-29,11.9,12.46,11.65,12.19,18232
2024-10-30,12.42,12.42,11.69,12,1788
2024-10-31,12.39,12.39,11.92,12.22,526
2024-11-01,12.01,12.49,12,12,3112
2024-11-04,12.3,12.3,11.8,11.8,4424
2024-11-05,11.5,12.2,11.5,12.2,15771
2024-11-06,12.3,12.6,12.17,12.3,6604
2024-11-07,12.5,12.99,12.3,12.48,20017
2024-11-08,12.55,13.69,12.01,12.51,13505
2024-11-11,13.4,13.4,12.21,12.99,5711
2024-11-12,13.48,13.48,12.55,12.78,3856
2024-11-13,12.78,13,12.78,13,12718
2024-11-14,13.5,13.75,12.26,13.54,115468
2024-11-15,14.43,14.43,12.5,12.87,3543
2024-11-18,13.79,13.79,12.4,13.47,953
2024-11-19,13.5,13.5,13,13.47,58
2024-11-20,13.46,13.46,12.45,12.52,6757
2024-11-21,12.9,13.2,12.55,13,49534
2024-11-22,13.3,14.24,12.34,13.98,14901
2024-11-25,13.25,13.9,12.9,13.44,3599
2024-11-26,12.9,14,12.9,13.99,10203
2024-11-27,14.79,14.9,13.01,14.39,19088
2024-11-28,13.13,14,13.13,13.38,8545
2024-11-29,13.51,14.48,13.3,14,28134
2024-12-02,14,15.38,13.61,15.2,10381
2024-12-03,15.14,15.15,13.96,14.25,10873
2024-12-04,14.99,14.99,14,14.41,11708
2024-12-05,15.54,15.55,14.15,14.96,34458
2024-12-06,15.73,15.74,14.18,14.98,24362
2024-12-09,14.98,15,14.98,14.99,3833
2024-12-10,13.7,15,13.7,14.9,10825
