date,open,high,low,close,volume
2024-01-11,6.48,6.69,6.48,6.62,6248487
2024-01-12,6.65,6.79,6.46,6.54,11128476
2024-01-15,6.58,6.68,6.46,6.48,10068627
2024-01-16,6.42,6.55,6.22,6.45,8838046
2024-01-17,6.36,6.5,6.32,6.4,6534948
2024-01-18,6.3,6.43,5.95,6.22,18468448
2024-01-19,6.22,6.39,6.2,6.27,3123509
2024-01-22,6.27,6.33,6.2,6.26,3684324
2024-01-23,6.27,6.46,6.22,6.44,3261417
2024-01-24,6.5,6.57,6.36,6.41,10471711
2024-01-25,6.42,6.5,6.27,6.3,7930191
2024-01-26,6.3,6.35,6.12,6.17,6924189
2024-01-29,6.2,6.25,6.01,6.03,5029530
2024-01-30,6.09,6.1,5.7,5.8,15921977
2024-01-31,5.8,6.26,5.72,6.2,20853316
2024-02-01,6.23,6.39,6.07,6.23,11856210
2024-02-02,6.2,6.39,6.19,6.22,4203295
2024-02-06,6.27,6.37,6.27,6.35,5861770
2024-02-07,6.41,6.48,6.29,6.41,5658230
2024-02-09,6.25,6.25,5.8,6.04,5904364
2024-02-12,6,6.17,5.8,6.08,11127312
2024-02-13,6,6.43,5.92,6.18,12529415
2024-02-14,6.34,6.42,6.26,6.37,8564843
2024-02-15,6.39,6.45,5.99,6.03,14408647
2024-02-16,6.01,6.06,5.84,5.88,11684920
2024-02-19,5.99,6.06,5.82,6.02,7445620
2024-02-20,6.1,6.75,5.86,6.27,117022297
2024-02-21,6.44,6.5,6.09,6.24,35437903
2024-02-22,6.29,6.29,6.16,6.2,7235137
2024-02-23,6.18,6.32,6.12,6.24,12235161
2024-02-26,6.24,6.33,6.22,6.25,5948354
2024-02-27,6.25,6.47,6.19,6.27,47571335
2024-02-28,6.28,6.38,6.24,6.27,8362283
2024-02-29,6.28,6.35,6.25,6.27,6121004
2024-03-01,6.31,6.36,6.23,6.32,8336479
2024-03-04,6.36,6.45,6.26,6.32,12040373
2024-03-05,6.38,6.38,6.18,6.2,8576025
2024-03-06,6.21,6.28,6.15,6.16,10161968
2024-03-07,6.2,6.25,6.09,6.15,11080427
2024-03-08,6.12,6.27,6.12,6.19,6160551
2024-03-11,6.13,6.38,6.13,6.22,9495698
2024-03-12,6.29,6.3,6.15,6.17,5020932
2024-03-13,6.2,6.27,5.97,6.02,18744663
2024-03-14,6.04,6.21,6.04,6.18,9734917
2024-03-15,6.2,6.27,6.13,6.22,9033178
2024-03-18,6.22,6.26,6.15,6.23,7545903
