date,open,high,low,close,volume
2023-12-01,18,18.05,18,18,7000
2023-12-04,18.5,19,17.75,18.68,27500
2023-12-05,19,19,19,19,500
2023-12-06,18.51,19.49,18.5,18.51,24500
2023-12-07,19,19.48,18.85,19.44,13000
2023-12-08,19.49,20.9,19.49,20.9,42500
2023-12-11,22.47,22.47,22.47,22.47,31000
2023-12-12,22.59,24.16,22.59,23.42,78500
2023-12-13,23.99,25.18,23.75,23.75,110000
2023-12-14,23.51,24.75,22.51,23.02,51500
2023-12-15,23.49,23.49,22.01,22.42,8000
2023-12-18,22.15,22.15,21.75,21.75,4000
2023-12-19,21.5,21.6,20.51,20.59,14000
2023-12-20,20.32,20.32,20.01,20.25,3500
2023-12-21,20.01,20.01,19.51,19.51,2500
2023-12-22,20,20.75,20,20,2500
2023-12-26,19.75,19.75,19.51,19.51,2500
2023-12-27,19.51,19.51,19,19.02,5500
2023-12-28,18.75,18.8,18.55,18.55,4500
2023-12-29,19,19,18.51,18.51,2000
2024-01-01,19.48,19.71,19.48,19.71,3500
2024-01-02,19.1,19.1,19.1,19.1,500
2024-01-03,18.7,19,18.7,19,1500
2024-01-04,18.66,18.66,18.51,18.51,2000
2024-01-08,18.57,18.57,18.4,18.51,1500
2024-01-09,18.5,18.7,18.5,18.7,2500
2024-01-12,18.5,18.5,18.33,18.33,1500
2024-01-15,18.25,18.25,18.01,18.05,2500
2024-01-18,18.05,18.05,18.01,18.01,1500
2024-01-23,18.3,18.3,18.3,18.3,500
2024-01-24,17.76,17.76,17.76,17.76,500
2024-01-25,17.75,17.75,17.25,17.25,4500
2024-01-26,17.7,17.7,17.7,17.7,500
2024-01-29,18,18,17.5,17.5,4500
2024-01-31,17.4,17.4,16.75,16.9,17500
2024-02-01,16.65,16.88,16.25,16.55,19000
2024-02-06,16.5,16.5,16.5,16.5,500
2024-02-09,17.2,17.2,17.2,17.2,500
2024-02-12,16.32,16.32,15.91,15.91,9000
2024-02-13,16.49,17.1,15.51,17.1,20000
2024-02-14,17.49,18.38,17.49,18.38,9000
2024-02-15,19.25,19.76,19.25,19.76,10000
2024-02-16,19.99,21.24,19.25,20.25,24500
2024-02-19,19.25,19.25,19.01,19.01,1500
2024-02-21,19.5,19.5,19.1,19.1,4000
2024-02-22,19.4,19.4,19.3,19.3,2000
2024-02-23,19.6,19.6,19.31,19.31,2000
2024-02-26,19.5,19.7,18.77,18.89,2500
2024-02-27,18.75,18.75,17.52,18.29,19500
2024-02-28,17.52,17.85,17.01,17.85,29500
2024-02-29,17.75,17.75,17.75,17.75,500
2024-03-01,17.5,17.5,17.5,17.5,500
2024-03-04,17.89,17.89,17,17.18,6000
2024-03-05,16.8,17.9,16.79,17.9,1500
2024-03-06,17,17.05,17,17,8500
2024-03-08,16.75,17.7,16.75,17.7,2000
2024-03-11,17.1,17.1,17.05,17.05,1000
2024-03-12,16.93,16.93,16.75,16.84,2500
2024-03-15,16.66,16.66,16.66,16.66,500
2024-03-18,16.9,17.91,16.9,17.91,21500
2024-03-19,18.48,19.25,18.48,19.25,14000
2024-03-20,20.68,20.69,20.31,20.69,31000
2024-03-21,22.16,22.24,22.16,22.24,39000
2024-03-22,23.91,23.91,23.91,23.91,13500
2024-03-25,25.69,25.7,25.69,25.7,39000
2024-03-26,25.99,26.06,23.78,23.78,37000
2024-03-27,23.51,23.51,22,22.1,38000
2024-03-28,22.95,23.76,22.95,23.76,45000
2024-03-29,24.25,25.5,23.75,25.33,71000
2024-04-01,25.48,26.48,25.48,26.1,43500
2024-04-02,26.48,27.49,26.4,27.31,33500
2024-04-03,27.48,28.78,27.1,28.3,47500
2024-04-04,28.99,30.25,28.99,29.98,39000
2024-04-08,29.99,30.75,29.25,30.54,27000
2024-04-09,30.2,31.49,29.97,31.32,30000
2024-04-15,30.25,31.25,30,31.1,26500
2024-04-16,31.22,31.75,31.01,31.38,120000
2024-04-17,31,31.25,30.75,31.08,7000
2024-04-18,31.5,32.99,31.01,32.67,32500
2024-04-19,32.11,32.9,32,32.21,19000
2024-04-22,32.75,33.48,32.01,32.01,212500
2024-04-23,32.01,32.01,30.51,30.71,11000
2024-04-24,30.55,30.55,28.99,29.18,13500
2024-04-25,28.76,28.76,27.27,27.27,13000
2024-04-26,27.25,27.25,27.01,27.01,2000
2024-05-02,26.95,26.95,26.25,26.25,3500
2024-05-06,27.25,27.25,26.25,26.25,3000
2024-05-07,26.5,26.5,26.5,26.5,500
2024-05-08,26.01,26.01,26,26,1500
2024-05-09,26.05,26.05,24.25,25.25,11500
2024-05-10,24.5,24.5,24.5,24.5,1000
2024-05-14,24.25,24.45,23.5,23.6,7000
2024-05-15,23.25,23.25,23.25,23.25,500
2024-05-16,23.5,23.5,23.5,23.5,500
2024-05-17,23.25,23.99,23.01,23.99,2000
2024-05-20,23.98,23.98,23.98,23.98,500
2024-05-21,23.98,23.98,23.98,23.98,500
2024-05-22,23.01,23.01,23.01,23.01,5500
2024-05-24,22.75,22.75,22.52,22.52,2000
2024-05-27,22.51,23.4,22.51,23.4,2000
2024-05-29,23.4,23.4,23.4,23.4,1001
2024-05-31,22.3,23,22.3,23.4,5
2024-06-03,22.25,23.49,22.25,23.49,3891
2024-06-04,23.49,23.73,22.55,23.49,8002
2024-06-05,23.7,23.7,23.02,23.02,2000
2024-06-06,23.01,23.01,23.01,23.01,901
2024-06-07,23,23.01,22.5,22.96,55997
2024-06-10,23.49,23.49,22.75,22.75,26001
2024-06-11,23.75,24.49,23.26,24.37,20079
2024-06-12,24.2,26.44,24,25.62,28446
2024-06-13,26.75,27.8,26.75,27.76,36210
2024-06-14,28,29.45,27.01,27.25,129409
2024-06-20,27.01,27.99,26.75,26.93,10818
2024-06-21,26.8,26.8,25.25,25.45,18450
2024-06-24,25.3,25.3,25.3,25.45,10090
2024-06-25,25.25,25.47,24.75,24.75,12986
2024-06-26,24.51,24.51,23.75,23.77,15138
2024-06-28,24.1,24.49,24.1,23.77,15
2024-07-01,24,24.74,23.75,24.1,4005
2024-07-02,23.75,24,23.51,23.54,3110
2024-07-03,23.7,23.7,23.25,23.25,3000
2024-07-04,23.26,23.99,23.26,23.99,1540
2024-07-05,24.19,26.15,24.19,26.15,36006
2024-07-08,26.17,26.99,26,26.32,18229
2024-07-09,25.75,25.75,24.5,25.08,81901
2024-07-10,24.51,25.49,24.51,25.08,60
2024-07-11,25.49,25.49,24.51,25.08,232
2024-07-15,24.52,27.4,23.5,27.12,82162
2024-07-18,26.25,29.35,26,26.72,215259
2024-07-19,26.96,26.98,24.18,24.57,25528
2024-07-22,24.05,24.53,24,24.04,1766
2024-07-23,23.75,23.99,23.5,23.67,7475
2024-07-24,23.3,24.35,23.3,23.42,14309
2024-07-25,23.3,24.48,23.25,23.3,2618
2024-07-26,23.3,25.63,23.3,25.63,107574
2024-07-29,25.99,28.19,25.99,28.19,77152
2024-07-30,29.5,30.99,26,26.22,232336
2024-07-31,26.98,28.75,25.75,27.82,58124
2024-08-01,28.29,29.49,26.75,28.49,30872
2024-08-02,28.51,30.75,28.5,29.84,176370
2024-08-05,29,32.82,28.5,32.82,324178
2024-08-06,33,36.1,33,36.1,104280
2024-08-07,39.49,39.71,39.48,39.71,49350
2024-08-08,43.68,43.68,41.51,43.68,132815
2024-08-09,45.97,47.5,39.31,39.99,428944
2024-08-12,39.75,40.99,36,36.8,133902
2024-08-13,35.75,36.75,34.51,34.81,49608
2024-08-15,35.49,35.74,32,32.3,82754
2024-08-16,31.75,35.53,31.75,34.15,316976
2024-08-19,34.1,34.1,31.51,31.59,54479
2024-08-20,31.51,32.75,31.51,31.97,31447
2024-08-21,31.66,33.5,31.5,32.1,62814
2024-08-22,32.75,33.75,31.6,32.05,79342
2024-08-23,32.1,33.74,32.05,32.13,24477
2024-08-26,32.31,32.75,31.75,32,30879
2024-08-27,32.75,34.69,32.5,34.4,105446
2024-08-28,34.75,34.99,31.51,32.05,64105
2024-08-29,32.49,33.85,31.52,33.68,49438
2024-08-30,33.5,35.5,31.5,32.8,190568
2024-09-02,32.46,32.49,31,31,21867
2024-09-03,30.76,31.75,30.73,31,25596
2024-09-04,31.89,32,31,31,19875
2024-09-05,30.75,31.98,30.01,30.26,29060
2024-09-06,30.75,30.75,28.75,28.82,40910
2024-09-09,28.6,29.7,28.25,29.45,31470
2024-09-10,28.52,29.69,28.52,28.59,14900
2024-09-11,29.69,29.75,29.69,29.74,11461
2024-09-12,29.75,31.99,29.75,31.02,44289
2024-09-13,31.5,31.5,28.5,28.69,34529
