date,open,high,low,close,volume
2023-11-21,12.7,12.7,12.51,12.7,14500
2023-11-22,12.65,12.65,12.58,12.58,111000
2023-11-23,13.49,13.5,12.65,12.66,1064500
2023-11-24,12.65,13.66,12.65,13.65,696000
2023-11-28,13.15,13.25,13.15,13.25,1500
2023-11-29,13.3,13.3,12.65,12.66,605500
2023-11-30,12.81,13,12.8,13,35000
2023-12-01,12.66,13,12.66,13,2500
2023-12-04,13.11,13.11,13.11,13.11,500
2023-12-05,12.86,12.91,12.83,12.83,15500
2023-12-06,13.03,13.11,13.03,13.11,9000
2023-12-07,13.5,13.8,13.5,13.67,89000
2023-12-08,13.77,14.28,13.03,14.28,5500
2023-12-11,14.3,14.45,14.07,14.22,3000
2023-12-12,13.42,14.3,13.42,14.22,18000
2023-12-13,14.01,14.48,13.9,14.48,20000
2023-12-14,14.89,15.57,14.6,14.6,3500
2023-12-15,14.99,15.6,14.99,15.6,3000
2023-12-18,14.5,16.77,14.45,15.76,15000
2023-12-19,14.6,15.74,14.6,15.25,2500
2023-12-20,14.56,14.56,14.56,14.56,500
2023-12-21,14.4,14.46,14.4,14.4,75500
2023-12-22,14.46,15.48,14.46,15,9000
2023-12-26,15.49,15.49,14.08,14.69,2500
2023-12-27,15.07,15.07,14.06,14.06,78500
2023-12-28,14.99,14.99,14.99,14.99,1000
2023-12-29,14.99,15.99,14.99,15.99,3000
2024-01-01,14.79,15.79,14.79,14.91,4000
2024-01-02,15.01,15.32,14.5,14.78,4500
2024-01-03,15.77,15.8,14.07,14.25,5000
2024-01-04,15.14,15.14,14.02,14.02,1500
2024-01-05,14.99,14.99,13.72,14.74,2000
2024-01-08,13.83,15,13.83,14.98,1500
2024-01-11,15.87,16,15.5,15.86,8000
2024-01-12,15.8,16.99,15.07,15.59,3500
2024-01-15,16.73,16.73,16.73,16.73,1000
2024-01-16,17.48,17.48,15.48,15.82,18500
2024-01-17,16.74,16.74,14.68,16.67,275500
2024-01-18,16,17.49,16,17.03,5000
2024-01-19,17.88,17.88,15.76,16.95,2000
2024-01-22,17.74,17.74,15.68,16.83,5500
2024-01-23,17.49,17.49,15.57,15.95,6000
2024-01-25,14.77,15,14.7,14.7,5000
2024-01-29,14,14,13.71,13.72,3500
2024-01-30,14,14.25,14,14.25,10500
2024-01-31,14.38,14.5,14.38,14.5,11000
2024-02-01,13.61,14.78,13.61,14.5,5000
2024-02-02,15.58,15.58,15.58,15.58,1000
2024-02-06,14.42,15,14.42,14.99,16500
2024-02-07,14.99,14.99,14.99,14.99,500
2024-02-09,15.83,15.99,15.83,15.99,1000
