date,open,high,low,close,volume
2023-01-09,365,365,364,364,900
2023-01-11,350,350,350,350,200
2023-01-12,372,376.25,350,376.25,5500
2023-01-30,376.25,376.25,376.25,376.25,2600
2023-02-02,370,370,370,370,400
2023-02-03,370,370,370,370,1200
2023-02-07,370,370,370,370,2000
2023-02-08,370,370,370,370,1100
2023-02-14,360,360,360,360,100
2023-02-16,345,345,345,345,100
2023-02-17,369.99,370,369.99,370,1100
2023-02-20,351.01,351.01,351.01,351.01,100
2023-02-22,377.33,377.33,377.33,377.33,2300
2023-02-23,360,375,360,375,800
2023-02-24,375,375,375,375,500
2023-03-02,360.1,360.1,360,360,1000
2023-03-06,333.01,384.99,333.01,384.99,500
2023-03-07,357,357,357,357,100
2023-03-08,383.75,383.75,383.75,383.75,100
2023-03-09,355,355,355,355,500
2023-03-10,355,355,350,350,1400
2023-03-13,340.01,340.01,340.01,340.01,100
2023-03-14,345.01,345.01,345.01,345.01,100
2023-03-16,350.11,364.9,350.1,364.9,500
2023-03-17,345,369.99,337.54,369.99,1400
2023-03-20,369.99,369.99,369.99,369.99,300
2023-03-28,342.25,342.25,342.25,342.25,2900
2023-03-29,330,338.99,325.1,334.52,600
2023-03-30,349.95,349.95,325.01,325.01,700
2023-04-03,325,325,315.01,315.06,500
2023-04-06,338.68,338.68,325.6,325.6,1400
2023-04-07,340,340,330.1,330.1,400
2023-04-10,330,330.1,330,330,2900
2023-04-13,330,330,329.99,329.99,300
2023-04-20,325.01,325.01,325.01,325.01,200
2023-04-26,325,325,325,325,200
2023-05-05,320,329.99,320,329.99,200
2023-05-08,315.01,315.01,315.01,315.01,100
2023-05-09,315.01,315.01,315.01,315.01,500
2023-05-12,325,325,325,325,2000
2023-05-15,335,349.38,330,349.3,6400
2023-05-17,375,375.5,375,375.5,800
2023-05-18,376,376,376,376,100
2023-05-19,375,375,370,375,2200
2023-05-22,370,370,370,370,1000
2023-05-23,370,370,370,370,2000
2023-05-25,397.75,397.75,397.75,397.75,2500
2023-05-29,427.58,427.58,427.58,427.58,400
2023-05-30,459.65,459.65,430,430.5,4400
2023-06-06,462.79,462.79,425,430,2100
2023-06-07,461.99,461.99,412,412,300
2023-06-09,400,441.99,400,441.99,300
2023-06-13,452,452,410,424.9,600
2023-06-14,405,419,393.03,419,700
2023-06-15,449,449,387.58,387.58,900
2023-06-21,358.51,358.51,358.51,358.51,100
2023-06-22,333,333,331.62,331.62,200
2023-07-04,355,355,355,355,28000
2023-07-12,350,350,350,350,100
2023-07-13,374,376.25,374,376.25,300
2023-07-31,376.25,376.25,369.98,369.98,500
2023-08-02,342.25,342.25,342.23,342.24,200
2023-08-03,350,367.5,350,367.5,900
2023-08-04,392,392,392,392,500
2023-09-21,419.5,419.5,419.5,419.5,1000
2023-09-25,401,401,401,401,200
2023-09-26,372,372,372,372,100
2023-10-03,370,370,370,370,1000
2023-10-05,370.01,370.01,370.01,370.01,1000
2023-10-18,350.01,350.01,350.01,350.01,1000
2023-10-23,350,376.26,350,376.26,200
2023-10-24,349,349,349,349,500
2023-10-25,350,374,350,374,3100
2023-11-01,335,335,335,335,200
2023-11-08,344.99,344.99,344.99,344.99,200
2023-11-13,359.99,359.99,359.99,359.99,200
2023-11-17,333,333.01,333,333,800
2023-11-20,333.05,333.05,333.05,333.05,100
2023-11-21,333.05,333.05,333.05,333.05,100
2023-11-24,320,320,320,320,200
2023-11-27,340,344,340,344,700
