date,open,high,low,close,volume
2023-09-26,18.66,18.66,18.66,18.66,500
2023-09-28,18.05,18.05,18,18.04,5500
2023-10-11,19.2,19.39,19.2,19.31,3500
2023-10-13,20.74,20.76,20.74,20.76,3500
2023-10-16,19.8,19.8,19.8,19.8,500
2023-10-17,18.5,19.75,18.5,19.75,1500
2023-10-23,19.75,19.75,19.75,19.75,500
2023-10-25,19.75,19.75,19.25,19.25,3000
2023-10-26,18.76,18.76,18.75,18.75,9000
2023-11-03,20.1,20.16,20.1,20.16,4000
2023-11-07,19.25,19.8,19.25,19.8,4000
2023-11-08,19.25,20,19.25,20,3000
2023-11-10,20.25,21,20.25,21,7000
2023-11-13,20.9,20.99,19.82,20.99,11000
2023-11-14,21,21,21,21,1000
2023-11-15,20.5,20.5,20.03,20.03,3500
2023-11-16,21,21.12,21,21.11,9000
2023-11-20,22.02,22.02,21,21.04,4500
2023-11-21,22.24,22.6,22.24,22.36,19000
2023-11-24,21.85,21.85,21.85,21.85,1000
2023-11-27,20.9,20.9,20.9,20.9,500
2023-11-28,22,22.3,22,22,9500
2023-11-30,20.38,21,20.35,21,4500
2023-12-04,20.03,20.21,20.03,20.21,1500
2023-12-05,20.03,20.03,20.03,20.03,500
2023-12-06,20.5,21,20,20,110000
2023-12-07,20.9,21,20.6,20.7,28500
2023-12-08,21.5,22.25,21.5,22,24500
2023-12-11,20.6,20.65,20.6,20.65,2000
2023-12-12,20.5,22.2,20.5,21.98,11500
2023-12-13,22.1,23.63,22.1,23.63,25000
2023-12-15,24.4,24.6,24.01,24.01,23500
2023-12-18,24.5,24.5,24.5,24.5,5000
2023-12-21,22.66,22.8,22.66,22.8,5000
2023-12-26,21.12,21.12,21.09,21.09,3000
2024-01-04,21.1,21.18,21.1,21.18,2000
2024-01-08,22.55,22.55,22.55,22.55,500
2024-01-10,22.5,23.25,22.5,23.25,3500
2024-01-11,23.9,24,23.9,24,5000
2024-01-22,23.25,23.89,23.25,23.66,2500
2024-01-23,21.91,22.15,21.89,22.15,2500
2024-01-24,22,23,22,22.94,4500
2024-01-25,22,23.5,22,23.5,6500
2024-01-29,22.01,22.01,21.75,21.75,5000
2024-01-30,20.51,20.51,20.51,20.51,500
2024-01-31,20.9,20.95,20.9,20.95,1000
2024-02-01,20.95,20.95,20.95,20.95,3500
2024-02-06,20.51,20.55,20.51,20.55,2000
2024-02-12,20.01,20.01,20.01,20.01,2500
2024-02-15,21.45,21.45,21.3,21.3,7500
2024-02-16,21,21,21,21,1000
2024-02-20,21,21,21,21,10000
2024-03-11,21.3,21.3,21.3,21.3,500
2024-03-12,22.65,22.65,22.65,22.65,500
2024-03-14,24.35,24.35,24.35,24.35,4500
2024-03-15,26.18,26.18,26.18,26.18,6000
2024-03-18,28.14,28.14,27.01,27.69,137500
2024-03-19,28.5,28.5,26,27.28,12000
2024-03-20,27.65,27.68,27.05,27.32,20000
2024-03-21,29,29,27.65,27.92,32000
2024-03-22,26.77,27.1,26.77,27.1,1000
2024-03-25,27.75,27.9,27.25,27.54,11500
2024-03-26,27.95,28,27.95,28,18000
2024-03-27,27.95,27.98,27.95,27.98,1000
2024-03-28,27.98,27.98,26.95,27.88,50500
2024-03-29,26.9,27.7,26.9,27.3,14500
2024-04-01,27.2,27.6,26,27.45,22000
2024-04-02,27.55,27.88,27.5,27.88,10000
2024-04-03,29,29.97,28.02,29.58,47000
2024-04-04,29.95,30.95,29.95,30.51,36000
2024-04-08,31,32.79,30.31,32.17,62500
