date,open,high,low,close,volume
2024-01-16,33,33.24,31.8,32.04,361500
2024-01-17,32.06,32.19,31,31.21,353000
2024-01-18,30.91,31.2,30.01,31.03,450000
2024-01-19,31,31.35,30.3,30.5,212000
2024-01-22,30.61,31.38,30.2,31.02,117500
2024-01-23,31.59,31.59,30.9,31.03,296500
2024-01-24,31.4,31.79,31.1,31.46,289000
2024-01-25,31.26,31.6,30.9,31.04,167500
2024-01-26,31,31,30.26,30.44,123000
2024-01-29,30.4,30.69,28.55,29.29,517500
2024-01-30,29.11,29.9,28.65,29.06,165000
2024-01-31,29.1,29.8,29.05,29.12,75500
2024-02-01,29.01,29.3,28.5,28.93,213500
2024-02-02,28.9,29.9,28.9,29.69,70500
2024-02-06,29.99,30.99,29.81,30.86,313000
2024-02-07,30.98,30.99,30.45,30.71,133500
2024-02-09,30.05,30.05,28.5,28.8,867000
2024-02-12,28.5,28.51,26.75,26.99,554000
2024-02-13,26.98,27.5,25.5,27.47,452500
2024-02-14,27.75,28.1,27.5,27.74,338500
2024-02-15,27.5,27.9,27,27.4,204500
2024-02-16,27.44,27.44,26,26.52,325000
2024-02-19,25.53,26.82,25.51,26.41,127000
2024-02-20,26.8,27.19,26.51,26.68,87000
2024-02-21,27.48,27.99,26.85,27.54,347500
2024-02-22,27.9,29.34,27.6,28.23,831000
2024-02-23,28.25,28.74,27.71,27.79,437500
2024-02-26,27.99,28.19,27.7,27.85,230000
2024-02-27,27.97,28,27.61,27.86,279000
2024-02-28,27.8,28.26,27.5,27.61,280000
2024-02-29,27.94,28.23,27.4,27.46,458000
2024-03-01,27.5,27.99,27.22,27.89,228000
2024-03-04,28.05,28.69,27.91,27.99,356000
2024-03-05,28.01,28.15,27.49,27.61,141500
2024-03-06,27.79,27.93,27.52,27.85,277500
2024-03-07,27.89,27.9,27.51,27.69,97500
2024-03-08,27.51,27.9,27.4,27.62,394000
2024-03-11,27.67,29.69,27.67,28.69,3977000
2024-03-12,28.7,29.4,27.75,28.09,1261500
2024-03-13,28.25,28.4,26.51,26.94,380000
2024-03-14,27,28.15,27,27.72,531500
2024-03-15,28.01,28.04,26.85,27.09,573000
2024-03-18,27.15,27.4,26.7,26.88,205500
2024-03-19,27,27.99,26.67,27.62,530000
2024-03-20,28,29.69,28,29.55,3825000
2024-03-21,29.55,30.48,28.25,28.54,1727500
2024-03-22,28.55,29.35,28.26,28.94,426500
2024-03-25,29.2,29.51,28.55,28.69,174500
2024-03-26,28.69,29.19,28.09,29.01,373500
2024-03-27,28.81,29.39,28.3,28.4,264000
2024-03-28,28.4,29.4,28.4,28.58,291500
2024-03-29,28.95,29.14,28.44,28.83,399000
2024-04-01,29,29,28.22,28.4,38000
2024-04-02,28.22,28.63,28,28.12,245000
2024-04-03,28,28.4,27.8,28.03,480500
2024-04-04,28.06,28.26,27.93,28.06,215000
2024-04-08,28.87,28.87,27.75,28.16,227000
2024-04-09,28.11,29.25,28.05,28.61,898000
2024-04-15,28.49,28.7,28.05,28.29,416500
2024-04-16,28.5,28.65,27.8,28.02,667500
2024-04-17,27.81,28.25,27.75,27.94,830500
2024-04-18,28.28,29.94,28.02,29.33,2742500
2024-04-19,29,30,28.51,29.45,1579000
2024-04-22,29.56,30.5,29.31,29.89,1541500
2024-04-23,30.29,30.5,29.4,29.51,757500
2024-04-24,29.74,31.2,29.5,30.58,1318000
2024-04-25,30.95,31.01,29.6,29.82,810500
2024-04-26,29.6,29.85,29.05,29.2,308500
2024-04-29,29.32,29.75,28.76,28.93,417000
2024-04-30,28.8,29,28.2,28.28,259500
2024-05-02,28.28,28.29,27.2,27.55,556000
2024-05-03,27.37,27.99,27.37,27.62,564000
2024-05-06,27.79,29.3,27.75,28.81,724000
2024-05-07,29,30.97,29,29.76,3400500
2024-05-08,30,30.6,29.6,29.84,845500
2024-05-09,30.25,32.08,30,32.05,1724500
2024-05-10,33,34.45,33,34.37,5303000
2024-05-13,35.5,36,34,34.2,1865388
2024-05-14,34.58,35,33.4,33.68,1327957
2024-05-15,33.8,34,32.66,32.85,1188983
2024-05-16,33,34.48,32.1,34.1,1349057
2024-05-17,34.5,34.9,33.75,34.52,1459174
2024-05-20,34.78,34.9,33.75,34.45,633757
2024-05-21,34.7,35.5,34.05,34.19,792860
2024-05-22,34.01,34.3,33,33.14,460458
2024-05-23,33.45,33.68,32.5,33.08,182792
2024-05-24,33.1,34,32.99,33.29,511136
2024-05-27,33.69,33.95,33.05,33.36,326682
2024-05-29,33.26,33.35,32.15,32.48,323066
2024-05-30,32.5,33.44,32.2,32.45,277939
2024-05-31,32.61,33.45,32.51,32.86,621347
2024-06-03,33.33,33.33,32.65,32.8,133699
2024-06-04,32.7,33,32,32.14,224564
2024-06-05,32.8,32.8,30,30.5,595098
2024-06-06,30.95,31.25,29.85,30.12,849413
2024-06-07,30.5,30.5,29.51,29.79,627434
2024-06-10,30,30.02,29.52,29.59,97232
2024-06-11,30,30.15,28.7,29.09,277853
2024-06-12,29,29.75,28.68,29.52,68316
2024-06-13,29.99,32.03,29.99,31.95,876010
2024-06-14,31.06,32.01,31,31.07,193120
2024-06-20,31,32.15,31,31.99,245633
2024-06-21,32.4,32.65,31.55,31.8,414915
2024-06-24,32.2,32.2,30.5,30.54,287779
2024-06-25,30.1,30.75,30.1,30.27,102957
2024-06-26,30.25,30.43,29.4,29.9,383879
2024-06-27,29.58,30.1,29.16,29.83,62103
2024-06-28,30,30.8,29.31,29.95,138307
2024-07-01,30.18,30.21,29.6,29.83,130721
2024-07-02,29.56,30.38,29.56,30.02,68608
2024-07-03,30.05,31,30.05,30.44,183855
2024-07-04,30.5,31.2,30.5,30.68,223989
2024-07-05,30.99,31.96,30.6,31.09,1098164
2024-07-08,31.09,34,30.85,31.05,96784
2024-07-09,31,31,30.25,30.44,261371
2024-07-10,30.41,31,30.41,30.58,191183
2024-07-11,30.41,31.3,30,30.8,884997
2024-07-12,31.2,31.45,30.27,30.68,335542
2024-07-15,31.15,31.44,30.55,30.69,170561
2024-07-18,31.1,32.42,30.69,31.71,1064801
2024-07-19,32,32.4,29.8,30.12,853514
2024-07-22,30.15,30.5,29.1,29.51,426612
2024-07-23,29.98,30.6,29.49,30.47,441380
2024-07-24,30.06,30.39,29.63,29.82,295915
2024-07-25,29.51,30.14,29.4,29.54,258187
2024-07-26,29.75,29.75,28.75,28.93,271735
2024-07-29,29,30.15,29,29.94,206291
2024-07-30,30,30,29.1,29.18,125323
2024-07-31,29.26,29.44,28.85,28.91,119320
2024-08-01,28.82,28.91,27.92,28.12,194285
2024-08-02,28.47,28.59,27.85,28.12,405740
2024-08-05,28.25,28.39,27.8,27.86,190238
2024-08-06,27.81,28.24,27.5,27.55,269363
2024-08-07,27.65,29,27.6,28.53,300196
2024-08-08,28.79,31.34,28.79,29.82,1994657
2024-08-09,30.3,31.2,30,30.08,923790
2024-08-12,30.15,30.6,29,29.17,493727
2024-08-13,29.5,29.5,28.6,29.1,109369
2024-08-15,29.5,30.99,29,29.8,455861
2024-08-16,30.33,30.74,29.05,29.66,300204
2024-08-19,27.16,28.5,26.69,26.69,1035109
2024-08-20,26.11,26.48,24.95,25.5,1870772
2024-08-21,25.9,26.35,25.7,25.93,475254
2024-08-22,26.33,26.33,25.5,25.85,684808
2024-08-23,26,26,25.42,25.51,550345
2024-08-26,25.69,25.7,25.38,25.55,271155
2024-08-27,25.51,25.67,24.7,24.89,529648
2024-08-28,25.27,25.6,24.9,25.31,347270
2024-08-29,25.48,25.54,25,25.21,226861
2024-08-30,25.03,25.69,25.03,25.14,263229
2024-09-02,25.5,25.5,24.87,24.98,240701
2024-09-03,24.83,25.18,24.62,24.75,289418
2024-09-04,24.75,25.25,24.63,25.01,323931
2024-09-05,25.48,25.48,24.8,24.94,148777
2024-09-06,25.19,25.59,24.84,25.01,474452
2024-09-09,25.08,25.24,24.7,24.88,134191
2024-09-10,24.8,25,24.7,24.88,228068
2024-09-11,25,25.8,25,25.67,525162
2024-09-12,25.96,25.96,25.21,25.87,180291
2024-09-13,26.01,26.19,25.31,25.55,459145
2024-09-16,25.31,25.6,25.3,25.32,39755
2024-09-18,25.72,25.72,25,25.17,77226
2024-09-19,25.29,25.29,25.01,25.04,113633
2024-09-20,25.01,25.2,24.68,25,1062971
2024-09-23,25.25,25.25,24.8,25.13,62894
2024-09-24,25.01,25.01,24.49,24.66,1014948
2024-09-25,24.8,24.99,24.6,24.73,34068
2024-09-26,25.24,25.25,24.58,24.63,113574
2024-09-27,24.6,25.15,24.4,24.46,249387
2024-09-30,24.55,25.15,24.13,24.96,108661
2024-10-01,25.07,25.57,24.5,25.35,419919
2024-10-02,25.4,25.4,24.7,24.94,312659
2024-10-03,25,25.75,24.9,25.59,988277
2024-10-04,25.49,25.84,25.11,25.44,120535
2024-10-07,25.79,25.79,24.9,25.06,427926
2024-10-08,24.56,25.5,24.56,25.02,238091
2024-10-09,25.25,25.4,24.9,25.1,153099
2024-10-10,24.95,25.2,24.77,24.8,126921
2024-10-11,24.7,24.88,24.42,24.54,176458
2024-10-14,24.75,24.98,24.7,24.9,162805
2024-10-15,24.99,25.14,24.52,24.7,139953
2024-10-16,24.93,25.1,24.7,24.84,293374
2024-10-17,24.87,24.9,24.71,24.77,188529
2024-10-18,24.73,24.76,24.51,24.68,194106
2024-10-21,24.95,25.6,24.92,25.46,355439
2024-10-22,25.5,26.8,25.5,25.97,1252880
2024-10-23,26.47,26.65,26,26.43,447715
2024-10-24,26.55,26.55,26.09,26.15,389708
2024-10-25,26.15,26.2,25.49,25.52,479935
2024-10-28,25.89,26.4,25.75,25.93,397457
2024-10-29,25.7,26.35,25.45,25.5,497550
2024-10-30,25.77,25.77,25,25.2,309464
2024-10-31,25.02,25.48,24.5,24.87,489921
2024-11-01,25.29,25.29,24.55,24.97,229586
2024-11-04,24.97,25.3,24.63,25.23,225903
2024-11-05,25.49,27.4,25.23,25.76,2053011
2024-11-06,25.66,26.65,25.66,26.02,440922
2024-11-07,26.3,27,26.25,26.41,949213
2024-11-08,26.42,29.05,26.42,29.05,2343783
2024-11-11,30.9,31.96,29.05,30.51,5027183
2024-11-12,30.4,30.45,29.71,29.95,1168869
2024-11-13,30,30.75,29.1,29.69,795443
2024-11-14,29.75,30.15,28.8,28.88,1166379
2024-11-15,29.4,30.4,28.71,29.7,1103905
2024-11-18,30,30.35,29.4,29.51,426159
2024-11-19,29.36,29.83,29.35,29.52,500948
2024-11-20,29.88,29.88,28.6,28.84,726377
