date,open,high,low,close,volume
2023-01-12,57.9,58,57.9,58,1000
2023-01-20,62,62.15,62,62.08,1000
2023-02-01,61.73,61.73,61.73,61.73,500
2023-02-03,57,57,57,57,500
2023-02-06,52.75,52.75,52.73,52.73,38500
2023-02-07,50,56.68,50,56.68,4000
2023-05-03,52.43,52.43,52.43,52.43,500
2023-05-09,49,49,49,49,500
2023-06-05,47,47.1,46.1,47.1,150000
2023-06-08,46.7,46.7,44,44.68,2000
2023-06-09,41.35,41.35,41.35,41.35,1000
2023-07-11,44.45,44.45,44.45,44.45,500
2023-10-02,47,47.78,47,47.78,2500
2023-10-09,52,52,52,52,500
2023-10-16,50,55.9,50,55.9,7500
2023-10-17,55,60.09,55,60.09,2000
2023-10-20,55.6,55.62,55.6,55.6,2500
2023-10-24,59.77,59.77,59.77,59.77,6000
2023-10-25,64.25,64.25,64.25,64.25,8000
2023-10-27,69.07,69.07,69.07,69.07,5000
2023-11-06,74.25,74.25,74.25,74.25,500
2023-11-14,70.1,70.1,70.1,70.1,1500
2023-11-17,70,75.36,70,75.36,11000
2023-11-20,79,81.01,79,81.01,2000
2023-11-21,87.08,87.09,87,87.08,8000
2023-11-22,93.59,93.61,91.5,93.5,11500
2023-11-23,86.5,86.51,86.5,86.51,5000
2023-12-07,80.02,80.02,80.02,80.02,1000
2023-12-11,74.02,74.02,74.02,74.02,1000
2023-12-13,70.05,70.05,68.7,68.7,6000
2023-12-15,64,65,64,65,4500
2023-12-22,65,65,65,65,500
2024-01-01,65.5,69.88,65.5,69.88,6000
2024-02-01,69,69,69,69,500
2024-05-06,68.5,68.5,68.5,68.5,500
2024-05-10,63.36,63.36,63.36,63.36,500
2024-05-13,61,61,61,61,5500
2024-05-27,63,63,56.2,61,3
2024-05-29,60,60,60,61,1
2024-05-31,59,59,58,61,2
2024-06-03,58,58,56.13,61,300
2024-06-04,59,59,59,61,33
2024-06-05,56.2,56.2,56.2,61,100
2024-06-06,59,59,59,61,88
2024-06-10,55.82,58.95,55.82,61,3
2024-06-11,55.82,59,55.82,59,1037
2024-06-12,59.99,59.99,59.99,59,299
2024-06-25,62,62,62,59,13
2024-06-27,59,59,59,59,12923
2024-07-02,55,58,55,58.95,299
2024-07-03,54.11,58,54.11,58.95,11
2024-07-04,58,63,57.99,58.01,2199
2024-07-12,57.99,62,57.99,59,7198
2024-07-23,64.9,64.9,64.9,59,1
2024-07-29,54.02,54.02,54.01,54.01,1503
2024-08-07,54,54,54,54,2000
2024-08-08,59.4,59.4,59.4,59.4,1000
2024-08-09,65.34,65.34,53.5,65.34,530
2024-08-12,71,71,71,65.34,1
2024-08-16,58.82,58.82,58.82,58.82,501
2024-08-19,53.05,53.05,53.05,58.82,435
2024-08-22,53,53,53,58.82,1
2024-09-04,64.7,64.7,64.7,58.82,1
2024-09-19,58.82,58.82,58.82,58.82,1
2024-09-23,0,0,0,58.82,1
2024-10-02,53,64.7,53,58.82,3
2024-10-07,53,53,53,53,1019
2024-10-08,58.3,58.3,47.88,47.88,3329
2024-10-09,45,49.99,45,47.88,8
2024-10-10,43.1,43.1,43.1,47.88,3
2024-10-14,52.67,52.67,43.1,47.88,2
2024-10-15,52.67,52.67,43.1,47.88,10
2024-10-16,52.67,52.67,52.67,52.67,5241
2024-10-17,56,57.94,47.4,49.36,15750
2024-10-18,51.49,51.49,44.5,45.43,2006
2024-10-21,48.99,49.97,41.21,49.65,3311
2024-10-22,45.61,45.61,45.61,49.65,230
2024-10-24,49,49.97,49,49.97,1130
2024-10-25,45,54.95,45,49.97,256
2024-10-30,44.98,47,44.98,45.02,526
2024-10-31,45.02,45.02,41,43.97,400
2024-11-06,45,45,45,43.97,1
2024-11-08,39.6,39.6,39.6,43.97,140
2024-11-12,43.97,43.97,43.97,43.97,368
2024-11-15,39.6,39.6,39.6,43.97,1
2024-11-21,44,44,44,43.97,123
2024-11-26,39.6,39.6,39.6,43.97,100
2024-12-13,39.6,39.6,39.6,43.97,17
2024-12-20,40.01,40.01,40.01,43.97,1
2024-12-24,39.6,40.16,39.6,43.97,6
2025-01-10,43.97,43.97,43.97,43.97,5
2025-01-13,43.97,43.97,43.97,43.97,300
2025-01-14,43.97,44.01,43.97,43.97,18928
2025-01-15,44,44,44,44,8500
2025-01-16,44,44,40.13,43.99,6092
2025-01-20,44.01,44.01,44.01,44.01,33021
2025-01-29,40.51,40.51,40.51,44.01,100
2025-01-30,43,43,43,44.01,39
2025-02-25,41.51,41.51,41.51,41.51,2000
2025-03-06,41.6,41.6,41.6,41.56,15
2025-03-24,45.72,45.72,45.72,41.56,108
2025-03-25,45.7,45.7,45.7,41.56,11
2025-03-26,45.7,45.7,45.69,45.69,1089
2025-04-03,50.26,50.26,41.21,45.69,341
2025-04-04,50.25,50.25,50.25,50.25,501
2025-04-15,54.45,55,45.25,50.25,26
2025-04-17,55.25,55.25,55.25,50.25,146
2025-04-18,45.25,45.25,45.25,50.25,100
2025-04-25,55.25,55.25,55.2,50.25,2
2025-05-21,50,50,50,50.25,100
2025-06-03,0,0,0,50.25,400
2025-06-04,49,49,49,50.25,116
2025-06-10,55.28,55.28,55.28,50.25,101
2025-06-11,50.2,50.2,50.2,50.25,2
2025-06-16,52,52,52,50.25,114
2025-06-19,45.26,45.26,45.25,50.25,98
2025-06-24,55.28,55.28,55.28,50.25,301
2025-06-25,55,55,55,50.25,238
2025-06-30,55.28,55.28,55.28,50.25,4597
2025-07-01,45.25,45.25,45.25,50.25,96
2025-07-02,52,52,45.25,48.32,879
2025-07-07,48.32,48.32,48.32,48.32,2
2025-07-10,44.01,44.01,44.01,48.32,1
2025-07-17,50,50,50,48.32,7
2025-07-28,50,50,50,48.32,2
2025-07-29,51.01,53.15,51.01,51.05,6180
2025-07-31,46.02,56.16,46.02,51.05,12
2025-08-07,46.02,55,46.02,51.05,19
2025-08-08,46,50,46,51.05,4
2025-08-11,54.99,56.15,46.03,48.25,4830
2025-08-12,53.05,53.05,50.05,50.05,700
2025-08-13,47.78,47.78,47.77,50.05,73
2025-08-15,45.1,55,45.1,50.05,2
2025-08-18,55,55.06,55,50.05,261
2025-08-19,50.01,50.01,50.01,50.05,25
2025-08-22,55.05,55.06,47,50.05,51
2025-08-27,52,52,52,50.05,1
2025-09-02,50,53,50,50.05,12
2025-09-03,50.01,50.01,50.01,50.05,11
2025-09-04,50,55.06,50,53.06,26
2025-09-05,58.37,58.37,58.37,58.37,1020
2025-09-08,64.21,64.21,64.21,64.21,1100
2025-09-09,70.63,70.63,70.63,70.63,2000
2025-09-11,85.46,85.46,85.46,85.46,2932
2025-09-12,94.01,94.01,77,90.37,16350
2025-09-15,90.4,93.29,81.33,83.1,9743
2025-09-16,83.1,83.1,75.11,79.03,3539
2025-09-17,79.03,81.3,79,81.18,2634
2025-09-18,73.53,73.53,73.15,73.31,1300
2025-09-19,73.15,79,73.13,77.24,1059
2025-09-22,78.97,78.97,78.9,77.24,129
2025-09-23,79.24,79.24,77.24,77.24,285
2025-09-24,78,78,78,78,405
2025-09-26,70.26,77.99,70.26,73.58,2141
2025-09-29,73.58,73.58,70,70.15,744
2025-09-30,65.01,70,65.01,66.46,378
2025-10-01,67,67,67,66.46,52
2025-10-02,73.11,73.11,70,70.06,600
2025-10-03,70,70,70,70.06,300
2025-10-06,70,70,70,70.06,11
2025-10-07,69,70,65.01,68.04,720
2025-10-08,73.99,73.99,61.99,68.04,326
2025-10-10,74.84,74.84,61.61,64.44,478
2025-10-13,70.85,70.85,64,64.44,217
2025-10-14,69,69,69,64.44,100
2025-10-15,64.44,70,64.41,64.41,632
2025-10-16,64.8,69.9,64.41,64.41,13
2025-10-17,64.41,64.41,58.25,64.41,200
2025-10-20,64.6,64.6,64.6,64.41,99
2025-10-21,69.99,69.99,68,64.41,6
2025-10-22,70.8,70.8,64,64.41,26
2025-10-24,64,64,64,64.41,21
2025-10-31,0,0,0,64.41,1
2025-11-03,69,69,69,64.41,202
2025-11-04,70.5,70.5,70.5,64.41,12
2025-11-05,0,0,0,64.41,1
2025-11-06,70.85,70.85,58.2,64.41,17
2025-11-10,70.82,70.82,70.82,64.41,3
2025-11-11,63.83,63.83,63.83,64.41,2
2025-11-14,58.1,58.1,58.1,64.41,160
2025-11-19,59.02,59.02,59.02,64.41,273
2025-11-20,70.8,70.8,70.8,64.41,101
2025-11-21,65.99,65.99,65.99,64.41,5
2025-11-24,64.01,64.01,64.01,64.41,1
2025-11-27,70.84,70.84,70.84,64.41,12
2025-12-01,70.85,70.85,58.5,64.41,54
2025-12-02,69.95,70.85,69.95,64.41,315
2025-12-08,70.83,70.85,58.01,59.86,2515
2025-12-09,60,60,59.02,59.76,452
2025-12-10,64,64,60,61.71,745
2025-12-11,65.22,65.22,65.22,61.71,1
2025-12-12,66.89,66.89,66.89,61.71,53
2025-12-15,61.69,61.69,61.5,61.5,1079
2025-12-16,62.2,62.2,56,59.82,541
2025-12-17,62.27,62.27,54.01,59.82,29
2025-12-18,59.8,59.8,54.5,54.58,1211
2025-12-19,54.6,60,54.6,54.58,176
2025-12-23,59.99,59.99,55,54.58,3
2025-12-24,54.58,54.58,54.58,54.58,1
2025-12-29,54.58,58.95,54.58,54.58,131
2025-12-30,56,60,56,54.58,41
2025-12-31,60,60,55,54.58,35
2026-01-05,54.58,59.99,54.58,54.58,62
2026-01-06,54.61,54.61,54.6,54.58,315
2026-01-07,54.58,60.04,54.58,54.58,99
2026-01-08,59.99,60,59.99,54.58,207
2026-01-09,60,60,59.99,54.58,48
2026-01-14,60.04,60.04,56.5,54.58,24
2026-01-16,0,0,0,54.58,1
2026-01-22,54.6,60.04,50.5,54.58,69
2026-01-28,60.04,60.04,60.04,54.58,68
2026-01-29,54.58,60.04,54.58,54.58,162
2026-02-03,59.99,60.04,59.99,60.04,536
2026-02-04,66.04,66.04,55.25,56.04,2618
2026-02-06,53.06,53.06,53.06,56.04,1
2026-02-10,56.12,56.12,56.12,56.04,6
2026-02-11,50.61,61.64,50.44,60.9,34312
2026-02-12,55.01,65,55,62.73,672
2026-02-13,62.73,69,60,62.73,94
2026-02-16,58.11,58.51,58.11,62.73,5
2026-02-17,59.11,59.11,59.11,62.73,100
2026-02-18,56.85,60,56.85,62.73,352
2026-02-19,57,58,56.46,56.75,442
2026-02-20,56.46,58,52,56.75,211
2026-02-24,52.02,56.5,51.08,56.75,152
2026-02-26,56.49,60.99,56.49,56.75,162
2026-02-27,62.43,62.43,51.22,51.33,969
2026-03-02,52,56,52,51.33,6
2026-03-03,47,55.49,47,51.33,7
2026-03-04,55.39,55.39,55.29,51.33,21
2026-03-05,47.25,47.25,47.25,51.33,9
2026-03-06,55.89,55.89,55.89,51.33,5
2026-03-09,56.45,56.45,46.2,51.33,2
2026-03-10,46.2,56.4,46.2,51.33,97
2026-03-13,55.97,55.98,55.97,51.33,11
2026-03-16,47,47,46.51,51.33,70
2026-03-17,46.9,49,46.2,46.43,507
2026-03-18,51.06,51.07,51.06,51.07,702
2026-03-19,55.53,55.53,51.07,51.07,390
2026-03-24,56.11,56.18,46,51.07,311
2026-03-25,53.94,53.94,53.94,51.07,5
2026-03-26,46.21,54,46.2,51.07,328
2026-03-27,55.97,55.98,55.97,51.07,16
2026-03-30,56.18,56.18,46.21,51.07,326
2026-03-31,55.9,55.9,55.3,51.07,16
2026-04-01,46.32,55,46.32,51.07,6
2026-04-02,46.22,54,46.22,51.07,10
2026-04-03,54.95,54.95,47,49.96,1058
2026-04-06,52.9,54.95,48.01,49.96,425
2026-04-07,54.96,54.96,47,54.96,862
2026-04-08,60.46,60.46,49.5,60.35,1217
2026-04-09,65,66.39,54.32,66.39,10440
2026-04-10,66.66,72.99,60.72,63.09,1578
2026-04-13,56.85,64,56.78,57.99,794
2026-04-14,56.78,60,52.3,55.74,1136
2026-04-15,59.99,59.99,55.75,55.74,2
2026-04-16,61.23,61.23,55.75,55.74,113
2026-04-17,60,61.3,50.61,55.74,296
2026-04-20,61.2,61.2,55.51,55.74,108
2026-04-21,0,0,0,55.74,21
2026-04-22,55.01,55.01,55,55.74,19
2026-04-23,61.25,61.25,50.5,55.81,781
2026-04-24,51.01,51.01,51.01,55.81,100
2026-04-27,55,61.39,53,59.99,3411
2026-04-28,65.89,65.89,56.26,59.99,29
2026-04-29,65.65,65.65,54.11,59.99,313
2026-04-30,0,0,0,59.99,40
2026-05-04,65.89,65.89,63.99,59.99,101
2026-05-05,59.99,59.99,59.99,59.99,10
2026-05-06,54.23,59.99,54.11,59.99,263
2026-05-07,56,59.99,56,59.99,33
2026-05-12,54.11,59,54.11,59.99,172
2026-05-13,60,60,59.96,59.99,11
2026-05-14,59.99,59.99,59.99,59.99,19
2026-05-15,64.95,65,54.21,59.99,24
2026-05-18,65,65,54.21,59.99,407
2026-05-19,54.2,56,54.1,59.99,398
2026-05-20,55,59,55,59.99,291
2026-05-21,58,58,58,59.99,5
2026-05-22,54.31,60,54.31,59.99,9
2026-05-25,57.01,57.01,54.36,59.99,7
2026-05-29,63.63,63.63,62,59.99,32
2026-06-01,54.26,63,54.26,59.99,17
2026-06-02,62.99,62.99,54.26,59.99,216
2026-06-03,62.97,62.97,56.51,59.99,200
2026-06-04,56.1,59.99,56.1,59.99,25
2026-06-05,62.99,62.99,62.99,59.99,8
2026-06-08,64.84,64.84,54.26,59.99,31
2026-06-10,55.11,59.99,55.11,59.99,41
2026-06-12,60.99,65.99,55,59.99,24
2026-06-15,63.79,63.79,55.5,60.54,615
2026-06-16,55.33,64,55.33,60.54,108
2026-06-17,65,66.59,64,66.59,13481
2026-06-18,69,69.75,61.6,67.39,6202
2026-06-19,67,68,60.7,63.61,3425
2026-06-22,65.94,65.94,63,63.84,435
2026-06-23,62.5,62.5,60,63.84,2650
2026-06-24,58.21,63.9,58.21,62.88,1171
2026-06-29,62,64.69,59,59.01,1511
2026-06-30,63.99,63.99,54.15,56.88,4501
2026-07-01,56.88,61.5,55.5,59.33,2187
2026-07-02,64,64,55.61,57.78,680
2026-07-03,57.78,60.94,56,57.9,1180
2026-07-06,62,62,59,59.79,3502
2026-07-07,61,61.2,59.99,60.62,1663
2026-07-08,63,63,60,62.45,1831
2026-07-09,56.61,63,56.61,62.97,1541
2026-07-10,57.11,63,57.11,63,1035
2026-07-14,57.52,63,57.51,61.61,399
2026-07-15,57.35,61.5,57.35,61.61,3
2026-07-16,61.5,61.5,57.41,57.45,1836
2026-07-17,58,60,58,58.89,903
2026-07-20,60,60,60,58.89,109
2026-07-21,55.05,59.99,55.05,58.89,6
2026-07-23,55,64.78,55,58.36,12588
2026-07-24,61.39,61.39,61,58.36,28
2026-07-27,61.28,61.28,56.53,58.36,303
2026-07-28,58.37,63.49,54.12,58.35,1718
2026-07-29,56.01,61,56.01,58.35,97
2026-07-30,54.65,61,54.65,58.35,163
2026-07-31,56.57,64,56.57,58.35,10
2026-08-03,62.99,62.99,62.99,58.35,144
2026-08-04,56.9,61.9,55.02,58.35,220
2026-08-05,59,59,59,58.35,74
2026-08-06,62.99,62.99,58.23,58.35,48
2026-08-07,63.89,63.89,55,58.35,47
2026-08-10,60.66,60.66,56.96,58.35,19
2026-08-11,58,58.06,58,58.35,4
2026-08-12,57,57,57,58.35,2
2026-08-13,56.11,60.98,56.1,58.35,19
2026-08-17,54.12,63.29,54.12,55.93,1131
2026-08-18,61.5,61.52,56.1,61.49,1473
2026-08-19,67.64,67.64,61.49,65.31,1569
2026-08-20,65.31,65.31,59.2,61.09,2340
2026-08-21,61.09,67.2,56.05,66.6,1634
2026-08-24,73.25,73.25,62.01,64.19,1417
2026-08-25,64.1,64.5,60.28,64.19,262
2026-08-27,0,0,0,64.19,5
2026-08-28,64.5,67,60.26,64.19,41
2026-08-31,60.36,64.5,60.36,64.19,102
