date,open,high,low,close,volume
2023-11-28,63,63,57.33,61,3000
2023-11-29,61,61,61,61,1500
2023-11-30,62.5,65.58,62.5,65.27,23500
2023-12-01,70.17,70.17,69.5,70.12,56000
2023-12-04,70.2,71.1,66.6,67.05,17500
2023-12-05,67.5,69,63.2,69,10500
2023-12-06,64.26,67,64.26,65,19000
2023-12-07,65,66.5,64.7,64.88,40000
2023-12-08,64,69.75,64,69.75,55500
2023-12-11,74.98,74.98,72.99,72.99,1000
2023-12-12,74.94,74.94,67.52,67.81,87500
2023-12-13,67.99,68,64.26,64.26,11500
2023-12-14,65.99,66.93,64.51,66.49,7500
2023-12-15,66.74,66.74,64.15,65.45,2500
2023-12-18,63.42,64.94,63.42,64.94,2000
2023-12-19,63,65,60.52,64.55,15500
2023-12-20,65.5,65.5,62.03,64.99,2000
2023-12-21,62.52,64.99,62.52,64.74,2000
2023-12-22,64.88,64.88,64.88,64.88,500
2023-12-26,61.11,62.98,61.11,61.88,5000
2023-12-27,63.49,66.52,63.49,65.95,10500
2023-12-28,66.99,66.99,65,65.99,6500
2023-12-29,66,66,65.1,65.8,6000
2024-01-01,66,69,66,67.1,33500
2024-01-02,68.34,68.34,66.5,66.77,2500
2024-01-03,67,69,66,66,36000
2024-01-04,64.64,65.01,64.64,65.01,3000
2024-01-05,69.89,69.89,65.01,66.5,12500
2024-01-08,66.5,66.5,66.5,66.5,500
2024-01-09,66.99,67,66.99,67,3500
2024-01-10,65.08,65.08,65.07,65.07,1000
2024-01-11,68.45,68.45,66.97,66.97,10000
2024-01-12,67.7,67.7,67,67.2,2500
2024-01-15,67.58,67.58,67.58,67.58,2500
2024-01-16,66.26,66.26,66.25,66.25,8000
2024-01-17,67.49,67.49,65.01,65.03,19500
2024-01-18,65,65,64,64,4000
2024-01-23,65.01,65.65,64.53,64.53,5000
2024-01-24,66.66,66.8,65,65.46,5500
2024-01-25,65,66.66,65,66.66,7000
2024-01-26,67,68.99,66.1,66.1,2000
2024-01-29,65.9,66,65.02,65.02,4000
2024-01-30,66.97,67.99,66.97,67,14000
2024-01-31,67,67,67,67,2000
2024-02-02,69,72.03,67,72.03,127000
2024-02-06,75.5,75.5,72,72.49,34000
2024-02-07,72.99,72.99,71,71.3,18000
2024-02-09,66.5,69.45,66.5,68.99,18500
2024-02-12,69,69.87,66.02,68.5,10500
2024-02-13,69.25,71.1,69.25,70.46,5000
2024-02-14,65.1,65.1,63,63.5,2500
2024-02-15,63,63,63,63,1500
2024-02-16,63,63,60.5,60.5,6500
2024-02-19,60,60,60,60,2000
2024-02-20,61,61,58,60,8000
2024-02-21,60,60,60,60,6500
2024-02-22,60,61,60,61,5000
2024-02-23,61.99,62,61.99,62,1000
2024-02-26,62.3,62.3,62.25,62.25,3500
2024-02-27,59.9,66.92,59.9,66.92,31000
2024-02-28,65.5,65.5,64,64,13000
2024-02-29,67.75,67.75,62,63.94,7500
2024-03-01,64,68,64,67.9,5500
2024-03-04,66.89,66.89,66.89,66.89,500
2024-03-05,66.99,66.99,66.99,66.99,500
2024-03-06,66.61,66.61,64.1,64.1,2000
2024-03-07,65,65,65,65,1000
2024-03-14,65,65,65,65,4000
2024-03-15,64,64,64,64,2500
2024-03-18,63.05,63.05,63,63,1000
2024-03-19,63,65,63,65,3500
2024-03-20,65,67.9,65,65.05,3000
2024-03-21,63.51,64.89,63.51,63.83,2500
2024-03-25,64.95,65,64.95,64.98,1000
2024-03-27,63,63,63,63,6500
2024-03-28,63,63,63,63,5000
2024-03-29,63,63,63,63,1500
2024-04-01,62,62,62,62,2500
2024-04-04,63,63,63,63,500
2024-04-08,61,62.98,61,62,11500
2024-04-09,64.99,64.99,62,62.06,3500
2024-04-15,62,64.5,62,64.5,1000
2024-04-16,63.99,64,63.5,63.5,5500
2024-04-18,63,63,62.16,62.21,14500
2024-04-19,61.05,64.95,61,63,5500
2024-04-22,63,64,63,63.08,3000
2024-04-23,63.01,63.01,63.01,63.01,3000
2024-04-24,64,65,64,64,11000
2024-04-25,64,65,64,64,3000
2024-04-26,65,65.01,65,65.01,1000
2024-04-29,65,65,65,65,1500
2024-04-30,67.9,67.9,64,65.8,4500
2024-05-02,65,66,65,66,11000
2024-05-03,66,69,66,68.88,36500
2024-05-06,72.8,74.05,70,73.1,52000
2024-05-07,76,78.58,76,78.58,43500
2024-05-08,83.9,83.9,79,79.04,18000
2024-05-09,74.35,79,74.35,76,10500
2024-05-10,78.75,78.75,76,76.94,8000
2024-05-13,75.01,77.5,75.01,75.6,5000
2024-05-14,78.9,78.9,77,77.05,6000
2024-05-15,75,78,75,78,1000
2024-05-16,76,76,76,76,500
2024-05-17,75.5,76,75.4,76,5000
2024-05-20,79,81.7,79,81.7,47500
2024-05-21,83.9,87.83,83.9,87.83,28000
2024-05-22,92.89,94,84.51,88.27,31000
2024-05-23,92,92.9,81.65,81.93,64000
2024-05-24,82.49,84.5,79,79.22,5500
2024-05-27,84,84,72.88,72.97,62817
2024-05-29,72.89,72.89,68.9,69.62,4442
2024-05-30,69.5,71,69.2,69.53,1236
2024-05-31,70,71,69.99,71,1870
2024-06-03,71,73.75,71,71.31,949
2024-06-04,70,70,67.25,70,1041
2024-06-05,70.99,71,68.05,70,1355
2024-06-06,70.71,70.71,67,70,1840
2024-06-07,65.01,70.5,65.01,68.81,1284
2024-06-10,69.99,69.99,67.7,68.81,200
2024-06-11,65,70,63,63.53,1312
2024-06-12,66,68.93,58.13,63.15,6287
2024-06-13,64.9,68.52,64.9,67.67,4242
2024-06-14,70,70,66.25,69.48,4100
2024-06-20,66.66,72,66.66,69.48,73
2024-06-21,71,73.25,65.35,71.19,676
2024-06-26,75,75,65.01,67.18,964
2024-06-27,67,67.5,67,67.18,70
2024-06-28,66.01,67.25,63.51,67.18,101
2024-07-01,73.23,73.23,65.1,70.56,476
2024-07-02,73,73,64.5,66.94,1488
2024-07-03,66.94,71.9,65,66.01,625
2024-07-04,65,69.9,64.15,66.01,403
2024-07-05,67,67,65,66.01,25
2024-07-09,65,70,65,70,1020
2024-07-10,71.89,71.89,63.35,67.58,751
2024-07-11,64.08,70.99,64.08,68.49,4506
2024-07-12,64,64,64,64,900
2024-07-15,69.01,69.01,65.01,68.49,1665
2024-07-18,66.75,69,65.1,65.71,5707
2024-07-19,70,71.95,66,71.55,3103
2024-07-22,72.5,73.5,66,71.55,261
2024-07-23,70,70,70,71.55,50
2024-07-24,71.5,77.7,69,70.15,5132
2024-07-25,69.04,69.04,67,67.5,3070
2024-07-26,67.01,70,60.75,60.75,16197
2024-07-29,58,58,54.68,55.9,14400
2024-07-30,53.5,56.9,53.5,54.03,9870
2024-07-31,52,53,50.5,52.95,2830
2024-08-01,52.95,53.61,47.66,47.79,12428
2024-08-02,47.79,52.57,47.79,52.57,5561
2024-08-05,56.5,56.93,50.1,50.42,5752
2024-08-06,53.9,54.46,48.1,54.46,3062
2024-08-07,52,55.25,52,54.46,162
2024-08-08,56.5,56.99,51,51.46,6931
2024-08-09,53.9,56.48,53.75,54.21,4235
2024-08-12,57,57,48.79,49.16,18701
2024-08-13,52,53.5,49,49.11,5356
2024-08-15,52.49,53.75,50,50.56,8608
2024-08-16,53.99,54.5,47.5,48.06,11723
2024-08-19,50,50,48,48.12,3680
2024-08-20,48.15,51.5,48.15,50.94,757
2024-08-21,52.85,52.85,49,50.3,927
2024-08-22,50,50,49,50.3,356
2024-08-23,49,49,48.26,48.95,2087
2024-08-26,48.95,51,48.95,50.75,3725
2024-08-27,50.75,51,50.75,51,2113
2024-08-28,52.25,52.25,50,50.01,1436
2024-08-29,51.88,53,51.87,53,2110
2024-08-30,52.25,52.25,52.25,53,65
2024-09-03,52.5,52.5,52.5,53,305
2024-09-04,50.1,52.9,50.1,53,60
2024-09-05,52.59,52.59,50,53,157
2024-09-06,52.49,53.15,52.49,53,967
2024-09-09,53,58.3,52.5,58.3,7968
2024-09-10,64.09,64.09,58.5,62.01,33263
2024-09-11,62.01,62.01,58,59.78,1123
2024-09-12,59.78,62.75,56.1,62.29,16525
2024-09-13,63,64.89,58,58.96,628
2024-09-16,60,63,60,61.84,2171
2024-09-18,59.1,59.1,59,61.84,150
2024-09-19,63,63,56.51,61.84,29
2024-09-20,59.99,64,59.99,62.8,600
2024-09-23,60,62.9,57.55,61.26,3688
2024-09-24,58,62,56.51,58.11,606
2024-09-25,62,62,56.51,58.11,46
2024-09-26,58.01,60,58.01,60,13100
2024-09-27,56.5,62,56.5,60,69
2024-09-30,55.01,61.99,55.01,60,4
2024-10-01,62.62,62.62,56.51,60,335
2024-10-02,61.98,61.98,58,60,719
2024-10-03,57.85,60.99,57.85,60,1807
2024-10-04,57.85,62,57.85,60,35
2024-10-07,58.2,61.39,58.2,60,2972
2024-10-08,58.85,59.99,55.51,58.5,2002
2024-10-09,60,60,54.1,59.31,8975
2024-10-10,0,0,0,59.31,1
2024-10-11,59.98,59.99,57.5,59.76,822
2024-10-14,57.85,59.9,55.55,56.5,1466
2024-10-15,60,60,57,56.5,120
2024-10-16,59.64,59.64,56,57.44,843
2024-10-17,59.9,59.9,58,58,1367
2024-10-21,58.25,58.85,58.25,58,150
2024-10-22,58.95,63.8,58.5,62.34,26325
2024-10-23,64.8,64.8,58.55,62.34,317
2024-10-24,63.5,63.5,60.15,61.01,1507
2024-10-25,63,63,57,58.61,6342
2024-10-28,61.99,61.99,59,59.01,612
2024-10-29,59,59,58,58,2437
2024-10-30,58,58.03,58,58,11
2024-10-31,61,61,61,58,3
2024-11-01,58,60.95,58,58.01,4501
2024-11-04,61,61,57.85,59,5161
2024-11-05,56.5,64.28,56.2,58.73,15559
2024-11-06,59,60,58.75,59.03,1161
2024-11-07,60,60,59,59.21,1050
2024-11-08,58.1,61.9,58.1,59.21,646
2024-11-11,63.9,63.9,58,60,757
2024-11-12,60,62,58.01,60.29,610
2024-11-13,60.29,63,60.29,61.58,2063
2024-11-14,61.79,61.8,59,60.1,33938
2024-11-15,63.49,63.49,60,60,603
2024-11-18,60,65,60,63.93,16099
2024-11-19,60.15,64,60.15,63.93,95
2024-11-20,62,62,62,63.93,52
2024-11-21,60.11,65.99,60,65.34,4193
2024-11-22,69.88,69.88,62,65.34,171
2024-11-25,68,68,66.99,65.34,46
2024-11-26,64,65.49,63,63.02,2443
2024-11-27,65,65,63.02,63.02,12
2024-11-28,65,67.44,63,65.07,1661
2024-11-29,65,67,61.2,63.18,465
2024-12-02,68,68,62,63.18,47
2024-12-03,66,69.5,63,69.5,33071
2024-12-04,74,76,68,70.15,9858
2024-12-05,70.15,73.98,68.5,70.15,123
2024-12-06,72.98,73,68,68.24,1657
2024-12-09,68.24,71.45,68,68,12501
2024-12-10,68,74.8,68,74.12,26490
2024-12-11,76.89,76.89,68.1,71.13,9151
2024-12-12,68.33,72,68.32,71.59,8714
2024-12-13,74.99,74.99,74.99,71.59,10
2024-12-16,74.98,74.98,69,72.99,6709
2024-12-17,80.27,80.27,74,74.66,614
2024-12-18,70.1,72.97,70,74.66,151
2024-12-19,69.1,69.99,67.2,67.34,6413
2024-12-20,74,74,68,69.2,3899
2024-12-23,62.55,72,62.55,69.79,1789
2024-12-24,69.68,70.71,69.68,70.01,1116
2024-12-26,73,74.98,70,73.18,2360
2024-12-27,76.9,77,68.01,72.24,1642
2024-12-30,79.1,79.1,65.26,68.95,433
2024-12-31,73.75,73.75,70,70,1253
2025-01-01,72.43,72.43,72.39,70,3
2025-01-02,66.8,70,66.8,67.88,2834
2025-01-03,65.01,69.98,65.01,67,2432
2025-01-06,69.89,69.89,62.1,63.51,2267
2025-01-07,64,64.99,64,64,990
2025-01-08,66,69,64.1,65,1947
2025-01-09,66,66,66,65,100
2025-01-10,65,65,64.1,65,18
2025-01-15,71.5,71.5,65,68.1,659
2025-01-16,67.95,71,65.01,68.63,646
2025-01-17,70,70,70,70,400
2025-01-24,72,72,72,70,1
2025-01-28,63.65,74.9,63.65,70,40
2025-01-29,75.5,75.5,68,73.31,502
2025-01-30,74.99,74.99,66,73,3798
2025-01-31,80.3,80.3,70,80.3,45868
2025-02-03,80.3,82.72,73.56,74.97,41067
2025-02-04,75,82.47,68.2,82.47,67828
2025-02-06,90.72,90.72,86.51,90.46,37571
2025-02-07,90.99,90.99,81.41,84.55,20337
2025-02-10,78.5,85,77.19,81.73,2686
2025-02-11,87.3,88,77.01,83.23,7892
2025-02-12,83.23,90,81.56,87.85,638
2025-02-13,80.12,87.49,80.12,86.53,1136
2025-02-14,87.48,87.48,77.95,86.82,530
2025-02-17,87,87,79,81.48,1766
2025-02-18,81.48,89.59,73.35,76.95,5598
2025-02-19,76,81.75,76,80.07,1531
2025-02-20,76,81.99,76,78.03,43247
2025-02-21,83,83.89,78.03,81.01,2019
2025-02-24,83,88.98,80.02,84.96,6157
2025-02-25,83.93,83.97,83.89,83.96,604
2025-02-26,83.9,83.96,82,83.4,10024
2025-02-27,83.8,83.8,79,83.4,210
2025-02-28,82.58,82.59,78,80.86,803
2025-03-04,75,79.99,75,80.86,49
2025-03-05,81,81,79,79.1,2324
2025-03-06,80,80,79,79.5,400
2025-03-10,80,80,78.5,79.99,877
2025-03-11,81,81,80,80,724
2025-03-12,80,83,73.01,79.66,2110
2025-03-13,84.99,84.99,72.51,76.37,731
2025-03-14,80,80,70.03,77,1634
2025-03-17,76.9,76.9,72.17,75.62,5681
2025-03-18,78,78,75.5,75.52,10462
2025-03-19,75.52,75.52,68,69.65,10977
2025-03-20,70.99,70.99,66.05,68,16882
2025-03-21,68,74.74,67.99,72.37,10070
2025-03-24,75,75,67,69.76,2891
2025-03-25,69.9,69.9,65.51,66.4,990
2025-03-26,69.85,70,65,69.9,17402
2025-03-27,66,69.69,66,67.09,643
2025-04-03,67.12,72,60.4,71.99,5344
2025-04-04,70.5,71.85,65.11,69.99,7912
2025-04-07,69.99,69.99,62.99,64.96,3943
2025-04-08,69.99,69.99,59.42,62.1,6369
2025-04-09,64.89,64.89,59.3,62.1,56
2025-04-10,63.22,64.5,59.51,63.99,11090
2025-04-11,64.98,64.98,58.36,59.27,9333
2025-04-14,59.5,62.7,59.5,62,11503
2025-04-15,60.25,63,60,62.01,5965
