date,open,high,low,close,volume
2024-01-10,160.25,163.9,160.25,162.06,18860
2024-01-11,163.99,165.69,161.5,162.04,259831
2024-01-12,161.12,164.88,158.2,159.88,107723
2024-01-15,162.0,162.0,156.74,157.88,55447
2024-01-16,157.01,159.39,154.5,156.23,55867
2024-01-17,156.95,157.9,153.95,154.85,27756
2024-01-18,152.6,155.5,151.0,153.84,36809
2024-01-19,155.84,155.84,151.13,152.43,27444
2024-01-22,154.4,154.4,150.1,150.33,21450
2024-01-23,151.77,154.0,149.0,151.15,228162
2024-01-24,151.99,156.45,151.2,154.78,456001
2024-01-25,155.0,159.0,155.0,157.57,614606
2024-01-26,158.2,159.0,152.07,157.72,568178
2024-01-29,157.29,158.89,154.5,157.91,366241
2024-01-30,157.01,158.0,155.0,155.01,741615
2024-01-31,155.55,158.95,152.0,152.54,31377
2024-02-01,155.8,155.8,150.05,152.86,43339
2024-02-02,154.0,159.84,151.0,159.28,59566
2024-02-06,160.0,163.0,159.0,160.96,129820
2024-02-07,161.38,162.56,159.0,160.5,53010
2024-02-09,149.11,160.0,149.11,155.46,66177
2024-02-12,147.01,155.0,147.01,151.25,26706
2024-02-13,146.52,159.4,146.0,152.12,97491
2024-02-14,150.3,155.0,150.3,153.89,43546
2024-02-15,154.97,155.5,146.1,148.65,24510
2024-02-16,144.0,151.0,141.5,145.7,145640
2024-02-19,146.0,148.5,144.06,148.32,25693
2024-02-20,147.62,149.0,146.0,146.27,4869
2024-02-21,148.05,153.0,147.02,152.41,33411
2024-02-22,151.99,153.0,149.52,150.96,12110
2024-02-23,152.5,153.0,149.05,150.2,84533
2024-02-26,149.01,156.0,149.01,154.59,139834
2024-02-27,154.1,160.0,154.1,157.37,185541
2024-02-28,157.35,163.47,156.14,159.32,493728
2024-02-29,160.0,161.9,155.9,157.8,976789
2024-03-01,159.0,159.0,153.6,154.63,352745
2024-03-04,156.5,156.99,153.55,154.47,144674
2024-03-05,153.0,156.99,152.5,152.68,111764
2024-03-06,154.0,154.0,151.5,151.98,304675
2024-03-07,153.39,153.39,150.3,152.05,43469
2024-03-08,150.8,154.47,150.8,152.61,40999
2024-03-11,154.75,157.0,151.47,155.07,272830
2024-03-12,155.5,156.0,153.0,153.37,37040
2024-03-13,154.35,155.0,150.0,154.49,68442
2024-03-14,153.55,157.17,153.55,155.26,113733
2024-03-15,156.0,156.0,153.0,153.98,15638
2024-03-18,153.0,155.0,153.0,153.27,12593
2024-03-19,155.87,155.87,151.2,152.73,183176
2024-03-20,153.78,155.0,151.0,153.1,256613
2024-03-21,152.89,153.0,148.0,149.1,122733
2024-03-22,149.99,152.25,149.1,150.03,71232
2024-03-25,150.0,151.1,149.55,150.87,34873
2024-03-26,148.1,152.0,146.0,150.39,336161
2024-03-27,149.51,153.0,149.51,152.43,102379
2024-03-28,153.0,154.4,152.1,153.47,161237
2024-03-29,153.9,154.5,151.57,152.11,79203
2024-04-01,153.0,153.0,151.01,152.89,179265
2024-04-02,152.85,152.95,150.0,150.07,37637
2024-04-03,151.82,161.33,150.5,161.33,910496
2024-04-04,163.0,163.0,155.2,156.91,538029
2024-04-08,158.0,159.89,153.05,158.16,25030
2024-04-09,158.19,161.8,157.06,160.08,298823
2024-04-15,158.65,161.75,158.65,160.6,538185
2024-04-16,160.99,163.1,159.4,160.92,135553
2024-04-17,161.07,163.1,160.0,161.51,86287
2024-04-18,161.51,163.8,161.0,162.6,305903
2024-04-19,161.99,165.0,161.0,162.0,74356
2024-04-22,162.85,167.0,161.8,163.81,375112
2024-04-23,164.0,171.0,163.05,164.49,1170073
2024-04-24,164.6,171.85,164.6,169.25,698920
2024-04-25,170.9,170.9,165.16,165.72,275529
2024-04-26,165.06,167.5,165.0,166.47,151629
2024-04-29,168.0,168.8,162.11,162.85,335866
2024-04-30,164.95,164.95,158.11,160.29,75798
2024-05-02,162.8,162.85,158.0,159.23,608386
2024-05-03,161.94,163.0,160.0,162.55,152831
2024-05-06,163.0,166.4,163.0,165.62,428794
2024-05-07,164.98,167.0,160.6,162.0,162244
2024-05-08,162.98,165.25,160.16,162.96,121492
2024-05-09,163.0,164.0,160.02,162.72,72330
2024-05-10,162.51,171.2,162.51,166.93,1259530
2024-05-13,166.41,168.5,164.1,165.16,441975
2024-05-14,166.98,169.48,163.0,167.74,487723
2024-05-15,169.0,169.94,167.0,167.99,581176
2024-05-16,166.81,168.95,165.0,167.73,93601
2024-05-17,167.5,171.0,166.05,167.75,171343
2024-05-20,168.0,168.39,163.8,166.8,91107
2024-05-21,164.11,167.0,163.23,163.9,88511
2024-05-22,163.8,165.9,162.02,162.49,50187
2024-05-23,162.4,165.9,161.06,164.88,42976
2024-05-24,165.5,166.0,160.5,162.3,392555
2024-05-27,162.1,163.64,155.0,156.78,377030
2024-05-29,155.54,159.4,152.0,153.02,626597
2024-05-30,153.98,157.5,153.98,155.76,149737
2024-05-31,155.61,159.0,155.61,158.42,120946
2024-06-03,159.75,161.25,157.0,158.28,250307
2024-06-04,159.4,160.6,156.55,157.73,131543
2024-06-05,158.51,159.75,157.5,157.68,140797
2024-06-06,157.51,159.5,154.5,156.25,39968
2024-06-07,156.0,160.0,150.0,159.56,160670
2024-06-10,160.0,161.63,157.5,158.76,112539
2024-06-11,160.5,161.35,154.27,154.84,83626
2024-06-12,153.3,156.49,153.0,155.79,14020
2024-06-13,154.99,164.99,154.99,163.95,832683
2024-06-14,161.5,167.97,161.5,164.14,561831
2024-06-20,165.0,169.25,162.5,168.28,486156
2024-06-21,168.1,169.5,162.0,162.6,110043
2024-06-24,163.8,163.8,160.9,161.62,67650
2024-06-25,160.42,162.8,160.0,160.45,42248
2024-06-26,161.8,162.6,160.0,161.42,38357
