date,open,high,low,close,volume
2024-06-03,4.4,4.4,4.4,4.4,28001
2024-06-04,4.8,4.8,3.49,3.53,647994
2024-06-05,3.6,3.6,3.1,3.1,89250
2024-06-06,3.19,4.1,2.8,3.57,901177
2024-06-07,3.9,4.57,3.01,4.38,980900
2024-06-10,4.11,4.22,3.45,3.51,190827
2024-06-11,3.71,3.71,3.25,3.26,71537
2024-06-12,3.49,3.49,3.09,3.13,66824
2024-06-13,2.75,3.31,2.75,3.07,3330
2024-06-14,3.37,3.37,2.92,2.96,26015
2024-06-20,3.0,3.5,2.9,3.13,229035
2024-06-21,3.04,3.04,2.9,2.96,60648
2024-06-24,2.9,2.9,2.7,2.83,7900
2024-06-25,2.85,2.9,2.5,2.63,79666
2024-06-26,2.4,3.39,2.4,2.65,224294
2024-06-27,2.97,2.97,2.74,2.9,15214
2024-06-28,2.6,3.21,2.6,3.06,1292370
2024-07-01,3.04,3.24,2.81,2.88,371315
2024-07-02,3.1,3.12,2.82,3.02,386847
2024-07-03,3.15,3.52,2.85,3.1,962451
2024-07-04,3.23,3.28,2.72,3.14,377481
2024-07-05,3.25,3.32,3.01,3.06,450745
2024-07-08,3.27,4.06,3.27,3.46,1058526
2024-07-09,3.47,3.85,3.13,3.24,819370
2024-07-10,3.39,3.39,2.93,3.0,317814
2024-07-11,3.0,3.1,2.8,2.89,132207
2024-07-12,2.99,3.24,2.76,2.95,179487
2024-07-15,3.1,3.95,3.0,3.31,2525161
2024-07-18,3.39,3.42,2.75,2.82,1054130
2024-07-19,2.99,2.99,2.73,2.84,95618
2024-07-22,2.9,2.9,2.52,2.75,96627
2024-07-23,2.85,2.96,2.71,2.76,64986
2024-07-24,2.93,2.93,2.74,2.79,37091
2024-07-25,2.79,2.92,2.73,2.73,9040
2024-07-26,2.94,2.94,2.62,2.7,9245
2024-07-29,2.93,3.49,2.64,3.17,685000
2024-07-30,3.39,3.5,2.85,2.91,1016902
2024-07-31,3.07,3.07,2.7,2.79,141574
2024-08-01,2.81,2.93,2.7,2.81,16151
2024-08-02,2.92,2.95,2.67,2.7,197722
2024-08-05,3.08,3.08,2.61,2.8,98900
2024-08-06,2.9,3.1,2.8,2.86,112746
2024-08-07,2.97,3.15,2.7,2.95,170321
2024-08-08,3.09,3.18,2.72,2.97,227465
2024-08-09,3.14,3.14,2.56,2.74,219501
2024-08-12,2.98,3.27,2.85,3.02,326827
2024-08-13,3.17,3.24,3.05,3.09,126394
2024-08-15,3.24,3.24,2.97,3.0,120184
2024-08-16,3.14,3.14,2.85,2.92,75751
2024-08-19,2.91,3.05,2.81,2.82,63622
2024-08-20,2.76,2.94,2.7,2.79,121071
2024-08-21,2.9,3.29,2.9,3.12,980785
2024-08-22,3.28,3.34,3.1,3.13,191752
2024-08-23,3.02,3.19,3.0,3.01,241364
2024-08-26,3.02,3.02,2.81,2.9,124842
2024-08-27,3.1,3.15,2.91,2.92,158196
2024-08-28,3.09,3.1,2.9,2.9,69399
2024-08-29,3.1,3.28,3.07,3.09,272569
2024-08-30,3.18,4.09,3.15,3.85,2789137
2024-09-02,3.99,4.85,3.75,4.85,2185872
2024-09-03,5.3,5.85,5.2,5.85,735719
2024-09-04,6.85,6.85,6.25,6.85,2086503
2024-09-05,7.85,7.85,7.07,7.85,5383096
2024-09-06,8.83,8.83,7.01,7.38,1509482
2024-09-09,7.45,7.45,6.6,7.2,503770
2024-09-10,7.2,8.15,6.6,7.53,492081
2024-09-11,7.65,8.53,7.32,7.62,2516691
2024-09-12,7.98,7.98,6.99,7.04,461798
2024-09-13,7.43,8.04,7.0,7.84,1307991
2024-09-16,7.95,8.12,7.5,7.6,313547
2024-09-18,7.79,7.8,7.0,7.62,163296
2024-09-19,7.68,7.68,6.9,7.03,245111
2024-09-20,7.48,7.48,6.05,6.65,63570
2024-09-23,6.79,6.79,6.1,6.37,106753
2024-09-24,5.8,6.4,5.8,6.11,151905
2024-09-25,6.0,6.4,5.16,6.28,193503
2024-09-26,6.31,6.48,5.95,6.1,215640
2024-09-27,5.61,6.45,5.61,5.96,44911
2024-09-30,6.29,6.29,5.65,6.0,65908
2024-10-01,6.33,6.33,5.7,5.74,13377
2024-10-02,6.24,6.24,5.76,5.91,36754
2024-10-03,6.24,6.24,5.36,5.54,66577
2024-10-04,6.13,6.13,5.1,5.33,12740
2024-10-07,5.8,5.8,4.5,5.22,101359
2024-10-08,5.69,5.69,4.64,4.93,45334
2024-10-09,5.3,5.3,4.77,5.1,152400
2024-10-10,5.05,5.74,5.05,5.14,248197
2024-10-11,5.67,5.67,5.0,5.1,82447
2024-10-14,5.48,5.64,4.81,4.89,143861
2024-10-15,5.25,5.25,5.0,5.09,2551
2024-10-16,5.1,5.2,4.22,5.06,91918
2024-10-17,4.98,5.3,4.65,4.69,71721
2024-10-18,4.99,4.99,4.56,4.67,18639
2024-10-21,4.65,4.7,4.52,4.59,11801
2024-10-22,4.7,4.7,4.5,4.52,79932
2024-10-23,4.65,4.65,3.62,4.51,90366
2024-10-24,4.6,4.94,4.3,4.68,122189
2024-10-25,4.79,4.99,4.52,4.52,1804
2024-10-28,4.65,5.0,4.31,4.6,39019
2024-10-29,4.56,4.8,4.5,4.63,60338
2024-10-30,4.8,4.8,4.25,4.66,58934
2024-10-31,4.98,4.98,4.51,4.6,16605
2024-11-01,4.99,4.99,4.6,4.89,35475
2024-11-04,4.88,5.2,4.86,5.19,57398
2024-11-05,5.2,6.19,5.1,6.01,105276
2024-11-06,6.05,6.96,6.05,6.44,267487
2024-11-07,6.75,6.75,6.16,6.56,53088
2024-11-08,6.79,6.79,5.81,6.7,4748
2024-11-11,7.5,7.5,6.15,6.22,40520
2024-11-12,6.4,6.4,5.81,6.01,25699
2024-11-13,6.4,6.4,5.61,6.04,23315
2024-11-14,6.3,6.7,5.72,6.0,13048
2024-11-15,6.35,6.35,5.5,5.51,43646
2024-11-18,6.0,6.0,5.45,5.5,7779
2024-11-19,5.85,5.85,5.2,5.38,7539
2024-11-20,5.6,5.6,5.3,5.44,25040
2024-11-21,5.5,5.65,5.1,5.41,11093
2024-11-22,5.7,5.7,5.2,5.24,4547
2024-11-25,4.71,5.25,4.71,5.03,11022
2024-11-26,5.7,5.7,4.8,5.06,34927
2024-11-27,5.8,5.8,4.31,5.05,8984
2024-11-28,5.23,5.23,4.8,5.0,25895
2024-11-29,5.74,5.74,4.75,5.06,9131
2024-12-02,5.35,5.35,5.0,5.12,6304
2024-12-03,5.4,5.4,4.87,5.3,28842
2024-12-04,5.49,5.49,5.0,5.1,21972
2024-12-05,5.44,5.45,5.1,5.44,12553
2024-12-06,5.38,5.38,5.0,5.2,17902
2024-12-09,5.2,6.14,4.77,5.65,86571
2024-12-10,5.64,5.64,4.9,4.97,54679
2024-12-11,5.25,5.39,4.81,5.03,70392
2024-12-12,5.24,5.25,4.91,5.03,32511
2024-12-13,5.45,5.8,4.75,5.33,14367
2024-12-16,5.69,5.69,5.0,5.01,123025
2024-12-17,5.24,5.24,4.05,4.76,45735
2024-12-18,4.99,5.24,4.55,4.74,137639
2024-12-19,4.6,5.1,3.74,3.8,1423452
2024-12-20,4.24,4.8,3.52,4.21,1974967
2024-12-23,4.21,4.4,4.08,4.35,209554
2024-12-24,3.98,4.58,3.98,4.13,447843
2024-12-26,3.77,4.3,3.75,4.24,53121
2024-12-27,4.3,4.4,4.05,4.1,236318
2024-12-30,4.29,4.49,4.15,4.2,192201
2024-12-31,4.2,4.36,4.2,4.33,141546
2025-01-01,4.4,4.6,4.3,4.39,192647
2025-01-02,4.58,4.7,4.49,4.5,222896
2025-01-03,4.6,4.6,4.35,4.54,78625
2025-01-06,4.7,5.54,4.7,5.54,940566
2025-01-07,5.84,6.52,5.7,5.82,1295837
2025-01-08,6.14,6.14,5.25,5.39,225008
2025-01-09,5.1,5.2,4.76,4.99,283075
2025-01-10,4.99,5.83,4.7,5.38,292702
2025-01-13,5.9,5.9,5.2,5.44,23395
2025-01-14,5.82,6.44,5.33,6.34,2147828
2025-01-15,6.47,6.47,6.0,6.03,179608
2025-01-16,5.85,6.19,5.74,5.84,67625
2025-01-17,6.69,6.69,5.74,6.02,114248
2025-01-20,6.02,6.09,5.5,5.55,142262
2025-01-21,5.51,5.73,5.3,5.54,51700
2025-01-22,5.45,5.46,5.25,5.34,44234
2025-01-23,5.1,5.28,5.01,5.06,70178
2025-01-24,5.25,5.34,5.0,5.04,39123
2025-01-27,5.28,5.75,5.26,5.27,66044
2025-01-28,5.12,5.49,5.0,5.18,53010
2025-01-29,5.33,5.33,4.95,5.07,58647
2025-01-30,5.29,5.3,4.9,5.2,80510
2025-01-31,5.02,5.2,4.85,5.08,222731
2025-02-03,4.8,5.13,4.62,4.7,124292
2025-02-04,4.8,4.88,4.5,4.75,507933
2025-02-06,4.6,4.86,4.58,4.61,196168
2025-02-07,4.7,4.85,4.4,4.52,73032
2025-02-10,4.56,4.6,4.26,4.44,141892
2025-02-11,4.6,4.6,4.3,4.35,57758
2025-02-12,4.49,4.6,4.41,4.54,4102
2025-02-13,4.25,4.84,4.25,4.39,45846
2025-02-14,4.62,4.62,4.15,4.27,27023
2025-02-17,4.21,4.42,4.2,4.25,10065
2025-02-18,4.43,4.43,4.22,4.28,9433
2025-02-19,4.44,4.5,4.15,4.16,59708
2025-02-20,4.17,4.85,4.17,4.75,113881
2025-02-21,4.85,4.95,4.5,4.51,58101
2025-02-24,4.75,4.75,4.38,4.47,6485
2025-02-25,4.38,4.67,4.38,4.52,17442
2025-02-26,4.6,4.6,4.4,4.4,9583
2025-02-27,4.3,4.5,4.3,4.41,16560
2025-02-28,4.64,4.64,4.11,4.41,9085
2025-03-03,4.33,4.49,4.17,4.49,4200
2025-03-04,4.22,4.22,4.06,4.13,62500
2025-03-05,4.2,4.2,4.05,4.16,26343
2025-03-06,4.16,4.19,4.1,4.19,34006
2025-03-07,4.4,4.4,4.0,4.2,20761
2025-03-10,4.2,4.22,4.09,4.1,38111
2025-03-11,4.29,4.29,4.05,4.05,9866
2025-03-12,4.25,4.25,3.95,4.0,59359
2025-03-13,4.05,4.05,3.85,3.87,73981
2025-03-14,3.89,4.0,3.77,3.85,84529
2025-03-17,3.92,4.05,3.91,4.0,31315
2025-03-18,4.03,4.1,3.9,3.93,41806
