date,open,high,low,close,volume
2024-01-17,25.5,26.6,25.5,26.6,253000
2024-01-18,27.47,28.6,26,28.6,1339000
2024-01-19,29.99,30.75,28.62,29.68,1824500
2024-01-22,29,29.39,28.01,28.36,521000
2024-01-23,28.6,28.6,27,27.31,260000
2024-01-24,27.4,29.36,27,29.36,786000
2024-01-25,30.01,30.69,28.56,28.93,658000
2024-01-26,29.24,29.44,28.5,28.77,94500
2024-01-29,28.3,30.93,28,30.93,1471500
2024-01-30,31.25,33.25,29.5,32.55,1611000
2024-01-31,33.75,34.74,32,32.36,975000
2024-02-01,31.75,33.9,30.6,33.61,1006500
2024-02-02,33.45,33.99,32.3,32.56,151500
2024-02-06,32.51,32.99,30.81,31.4,409000
2024-02-07,32.1,33.76,32.1,33.76,817000
2024-02-09,33.1,34.4,32,32.09,766000
2024-02-12,32,32.05,29.68,29.69,741500
2024-02-13,29,29.99,27.5,28.84,657500
2024-02-14,29.65,30.4,29,29.39,397000
2024-02-15,29.7,29.79,28,28.41,124500
2024-02-16,28.48,28.48,26.28,26.52,227000
2024-02-19,26.25,27.25,25.66,26.83,278000
2024-02-20,26.95,27.8,26.25,26.51,233500
2024-02-21,27.19,27.9,26.8,27.15,177500
2024-02-22,26.95,27.68,26.9,26.96,101000
2024-02-23,27.35,27.67,27.25,27.35,104500
2024-02-26,27.74,28.75,27.71,28.46,291500
2024-02-27,27.8,28.29,27,27.14,140500
2024-02-28,27.49,27.85,26.8,27.35,139500
2024-02-29,27.5,28.2,27.03,27.23,165500
2024-03-01,27.3,27.6,26.66,26.87,68500
2024-03-04,27,27.99,26.7,27.45,123000
2024-03-05,27.12,28.4,26.9,27.68,179500
2024-03-06,28.35,29.76,27.36,29.76,1189000
2024-03-07,31.28,31.99,29.6,31.99,1732500
2024-03-08,32.5,32.8,29.59,29.84,1004500
2024-03-11,30.05,30.74,29,29.22,506000
2024-03-12,29,29,27.35,27.54,186000
2024-03-13,27.78,28.6,26.6,27.01,157000
2024-03-14,27.48,28.2,27.3,28.03,148000
2024-03-15,28,28.6,27.5,27.69,126000
2024-03-18,27.69,27.75,27,27.44,76500
2024-03-19,27.85,28.99,27.5,28.56,155500
2024-03-20,28.98,30.7,28.61,30.69,965500
2024-03-21,31.5,32.99,31.5,32.69,1391000
2024-03-22,33.99,35.14,33.22,35.14,772500
2024-03-25,37.78,37.78,36.5,37.7,1116500
2024-03-26,39.9,39.9,36.27,36.98,762000
2024-03-27,37.85,38.35,36.7,37.96,540000
2024-03-28,38.48,38.99,36.5,36.84,382500
2024-03-29,36.9,36.9,35,35.61,313500
2024-04-01,35.61,37.75,35.1,36.97,293500
2024-04-02,37.3,39.74,37.3,39.74,614500
2024-04-03,41.01,41.99,38.3,38.54,683500
2024-04-04,38.9,39.5,37.06,38.67,341500
2024-04-08,39,40,37,37.75,708500
2024-04-09,37.55,37.95,35.35,36,281000
2024-04-15,35.97,38.7,35.85,38.7,1006000
2024-04-16,40,40.89,38.56,38.79,913000
2024-04-17,38.55,39,37.9,38,243500
2024-04-18,38.49,39.5,37.4,37.54,611000
2024-04-19,38.35,38.35,37.26,37.42,177000
2024-04-22,38.2,38.2,36.85,36.9,277000
2024-04-23,37.5,37.5,36.25,36.57,136500
2024-04-24,36.42,39.31,36.42,38.27,611500
2024-04-25,38.75,38.75,36.8,37.14,309500
2024-04-26,37.26,39.93,37.15,39.93,1432000
2024-04-29,41.48,42.92,40.97,42.92,1417000
2024-04-30,42.92,44,39.76,41,2188500
2024-05-02,40.8,40.8,39.1,39.44,278500
2024-05-03,40.23,41.79,39.3,40.22,510500
2024-05-06,41.05,43.24,41,42.96,1605000
2024-05-07,43.4,46.18,42.15,45.5,2194000
2024-05-08,45.95,48.68,43.05,48.68,1208000
2024-05-09,51.05,52.33,50.55,52.33,1104000
2024-05-10,54.75,54.75,49.5,50.8,1251000
2024-05-13,51.4,51.5,49.13,49.8,636000
2024-05-14,49,51.5,48.75,49.5,1287500
2024-05-15,49.6,49.9,47,47.94,901500
2024-05-16,48.1,48.9,47,48.01,294500
2024-05-17,48.49,48.6,47,47.26,309500
2024-05-20,47,47.9,46.05,46.74,362152
2024-05-21,46.56,47,45.3,45.82,237658
2024-05-22,46.2,49.26,45.25,49.07,1106536
2024-05-23,49,52.3,48,51.75,1526717
2024-05-24,52.26,52.26,50.5,51.54,571531
2024-05-27,50.66,51.22,49.66,50.13,148731
2024-05-29,49.95,49.97,47.97,48.78,212443
2024-05-30,48.26,48.55,47.14,48.04,147154
2024-05-31,48.65,49.75,47.85,48.24,202654
