date,open,high,low,close,volume
2024-01-16,1595,1596,1580.11,1587.28,3680
2024-01-17,1587.92,1588,1572.73,1577.04,2060
2024-01-18,1573,1597,1545,1578.6,2660
2024-01-19,1580,1589.95,1574,1586.61,1340
2024-01-22,1580,1580.01,1570,1578.94,5800
2024-01-23,1591.99,1591.99,1565.02,1571.67,3700
2024-01-24,1578.01,1579.99,1568,1569.34,4180
2024-01-25,1584,1584,1560,1570.66,4300
2024-01-26,1560.02,1579.98,1550.1,1561.38,8100
2024-01-29,1589.89,1589.89,1550,1553.6,4400
2024-01-30,1568,1568,1437.08,1444.33,13720
2024-01-31,1445,1449.5,1385,1404,6060
2024-02-01,1424,1424,1394,1408.03,1960
2024-02-02,1428,1428.99,1406.07,1418.66,10300
2024-02-06,1420,1420.02,1385,1416.72,5000
2024-02-07,1430,1446,1421.2,1429.44,5660
2024-02-09,1410,1420,1323,1402.64,3360
2024-02-12,1436,1436,1380,1388.86,1420
2024-02-13,1371.11,1384,1301,1379.48,3860
2024-02-14,1412,1414,1393,1401.14,3220
2024-02-15,1393.02,1404,1390,1398.26,1260
2024-02-16,1400,1400,1379,1380.29,2220
2024-02-19,1380.29,1380.29,1345,1360.83,3720
2024-02-20,1380,1380,1350,1353.27,3680
2024-02-21,1365,1380,1350,1360.82,1820
2024-02-22,1379,1379,1350,1359.55,2340
2024-02-23,1359.55,1360,1355,1360,2840
2024-02-26,1365,1370,1356.01,1359.92,4000
2024-02-27,1360,1360,1350,1352.99,3700
2024-02-28,1379,1379,1348.01,1351.68,3560
2024-02-29,1368,1379,1345,1350.3,6720
2024-03-01,1368,1368,1344.02,1355.87,9480
2024-03-04,1350,1353,1338,1343.57,10660
2024-03-05,1350,1354,1340,1340.62,4640
2024-03-06,1341,1349.99,1338,1341.19,8720
2024-03-07,1345,1345,1336,1337.64,3160
2024-03-08,1331,1340,1331,1338.01,2260
2024-03-11,1342.99,1342.99,1338,1339,3360
2024-03-12,1339,1339,1326.02,1331,4040
2024-03-13,1338,1338,1324.01,1326.25,2740
2024-03-14,1330,1330,1322.11,1330,3960
2024-03-15,1356,1356,1328,1330.19,20900
2024-03-18,1334,1334,1270,1311.02,4480
2024-03-19,1329.99,1329.99,1301,1318.43,4020
2024-03-20,1329.99,1330,1321.11,1329.97,7640
2024-03-21,1333.95,1333.95,1320,1322.72,3760
2024-03-22,1316,1325,1308,1321.82,9520
2024-03-25,1315.02,1329,1310,1318.46,4120
2024-03-26,1332,1333,1320.01,1324.06,1060
2024-03-27,1325,1330,1316,1329.82,1800
2024-03-28,1335,1339.99,1326,1329.86,6280
2024-03-29,1325.01,1357,1325.01,1352.57,2660
2024-04-01,1378,1378,1340,1345.96,10720
2024-04-02,1345,1345,1329,1332.47,10000
2024-04-03,1330.01,1334.96,1325,1329.62,3320
2024-04-04,1330,1336,1325,1329.73,8800
2024-04-08,1330,1334,1325,1329.93,5080
2024-04-09,1338.99,1338.99,1325,1329.92,16340
2024-04-15,1330,1331,1325,1328.45,7040
2024-04-16,1328,1330,1327.01,1329.16,6220
2024-04-17,1329,1329,1320,1323.56,5820
2024-04-18,1329.99,1329.99,1319.05,1319.98,5780
2024-04-19,1319.3,1325,1318.02,1320.32,15040
2024-04-22,1322,1325,1320,1324.82,8123
2024-04-23,1325,1325,1318.95,1319.01,11659
2024-04-24,1319.01,1321,1313,1315.73,13843
2024-04-25,1317.15,1324.91,1305,1314.82,8440
2024-04-26,1320,1324.8,1310.1,1316.06,7820
2024-04-29,1322.9,1322.9,1301.11,1312.24,8869
2024-04-30,1313.25,1324.93,1298.98,1301.14,15999
2024-05-02,1310,1310,1290,1299.93,28624
2024-05-03,1300,1305,1290,1299.97,16053
2024-05-06,1315,1315,1292,1299.36,15050
2024-05-07,1300,1304,1298,1299.5,21294
2024-05-08,1300,1300,1299,1299.84,11662
2024-05-09,1300,1303.99,1298,1300,19578
2024-05-10,1300,1305,1298.1,1300.17,16520
2024-05-13,1300,1334,1299,1299.9,157125
2024-05-14,1300,1310,1296,1299.98,30025
2024-05-15,1304.98,1308,1293,1299.96,18506
2024-05-16,1300,1303,1290,1296.19,14310
2024-05-17,1296.19,1304.89,1295,1298.24,12241
2024-05-20,1303.9,1303.9,1298,1300.11,15479
2024-05-21,1300,1302.9,1298.5,1299.02,5014
2024-05-22,1299.02,1300,1295,1297.81,4693
2024-05-23,1295,1295,1290,1294.93,8056
2024-05-24,1297,1297.99,1291.02,1293.93,9673
2024-05-27,1294,1294,1285,1287.44,24749
2024-05-29,1289,1293.98,1274,1276.8,12819
2024-05-30,1277.01,1285,1273.99,1278.43,4723
2024-05-31,1275.02,1290,1275.02,1284.65,3664
2024-06-03,1280,1288.95,1280,1284.99,7289
2024-06-04,1285,1286,1279,1280.61,9194
2024-06-05,1285.45,1285.45,1276,1278.63,7236
2024-06-06,1278.63,1280,1271,1277.88,4038
2024-06-07,1271.06,1280.5,1260,1278.01,4542
2024-06-10,1260,1282,1260,1270.92,6387
2024-06-11,1280.05,1281,1269,1273.62,4076
2024-06-12,1273.63,1277.8,1226,1247.65,19736
2024-06-13,1246,1249,1141.6,1167.11,76014
2024-06-14,1179.99,1200,1125,1195.93,32327
2024-06-20,1200,1249,1200,1244.94,14063
2024-06-21,1249.85,1250,1245,1246.53,8635
2024-06-24,1246.53,1250,1230,1236.19,12384
2024-06-25,1239.97,1239.97,1225.6,1230,4742
2024-06-26,1230.01,1234,1222.05,1224.6,7893
2024-06-27,1227.8,1230,1217,1219.88,6907
2024-06-28,1232.95,1232.95,1211,1219.92,6764
2024-07-01,1219.99,1220,1213.5,1216.8,16560
2024-07-02,1219,1228,1206.52,1208.82,8883
2024-07-03,1210,1210,1200,1201.02,13256
2024-07-04,1205,1214,1197.97,1199.71,14121
2024-07-05,1203.99,1210,1199,1199.96,20013
2024-07-08,1100,1200,1100,1195.68,6910
2024-07-09,1200,1200,1181.07,1187.46,13515
2024-07-10,1188.1,1191,1170.01,1189.71,5679
2024-07-11,1189.71,1190,1175,1184.46,7155
2024-07-12,1184.99,1190,1175,1184.82,5107
2024-07-15,1183,1190,1170,1183.12,18668
2024-07-18,1185,1190,1178,1179.91,19114
2024-07-19,1186,1188.9,1178,1179.05,14162
2024-07-22,1184.96,1184.96,1175,1179.21,15395
2024-07-23,1180.1,1189,1177.13,1180.03,13111
2024-07-24,1180,1187.99,1179,1179.96,16516
2024-07-25,1179.99,1184,1170,1177.08,17760
2024-07-26,1180,1180,1170,1179.81,3737
2024-07-29,1180,1255.81,1179.99,1180.88,83080
2024-07-30,1180,1210,1179.8,1180.5,44499
2024-07-31,1185,1198,1175,1178.48,40882
2024-08-01,1180,1188,1110,1152.78,30077
2024-08-02,1150,1181,1142,1177.77,22231
2024-08-05,1177,1180,1140,1165.71,21017
2024-08-06,1164.99,1171,1149.06,1150.21,30904
2024-08-07,1151,1163,1147,1149.23,23621
2024-08-08,1150.05,1155,1133,1138.91,10721
2024-08-09,1138,1146.01,1135,1143.83,117927
2024-08-12,1135,1140,1099.89,1111.16,32105
2024-08-13,1111.16,1119,1090,1107.45,23431
2024-08-15,1108,1128,1108,1120.2,12536
2024-08-16,1130,1134,1090,1130.24,17584
2024-08-19,1128.99,1138,1117,1125.29,8684
2024-08-20,1129,1140,1118,1127.24,12391
2024-08-21,1139.99,1145,1120.01,1139.36,25437
2024-08-22,1135,1140,1120,1139.91,22887
2024-08-23,1140,1145.34,1124.5,1140.02,10557
2024-08-26,1130,1140.99,1128,1135.68,7607
2024-08-27,1139.98,1140,1130,1132.5,6893
2024-08-28,1132.49,1135.6,1125,1130.2,8852
2024-08-29,1125.1,1230,1125,1218.17,41231
2024-08-30,1216,1280,1216,1263.48,27318
2024-09-02,1268,1279.9,1232.2,1247.61,10607
2024-09-03,1246,1246,1220,1229.44,7585
2024-09-04,1211.39,1230,1201,1208.61,10149
2024-09-05,1222.99,1222.99,1210,1215.96,2306
2024-09-06,1229,1230,1207,1222.22,4721
2024-09-09,1230,1230,1205,1215.91,3832
2024-09-10,1219.99,1219.99,1175.06,1205.11,5845
2024-09-11,1215,1215,1188,1193.15,5697
2024-09-12,1210,1210,1185,1200.53,3179
2024-09-13,1201,1237,1201,1231.61,19367
2024-09-16,1235,1268.08,1228,1245.02,20559
2024-09-18,1211.99,1211.99,1163.81,1191.3,10886
2024-09-19,1204.98,1204.98,1172.3,1184.83,7071
2024-09-20,1185,1200,1180,1182.52,4519
2024-09-23,1187,1198.25,1161,1174.38,5278
2024-09-24,1179.99,1180,1150,1158.9,9417
2024-09-25,1160,1178.88,1043.01,1169.88,8020
2024-09-26,1175,1195,1170.06,1190.85,6636
2024-09-27,1190.85,1199,1175,1191.19,5766
2024-09-30,1199.99,1199.99,1180,1195,4082
2024-10-01,1190,1207,1190,1201.05,5089
2024-10-02,1190.99,1209,1190.99,1199.96,3629
2024-10-03,1213,1213,1170,1191.98,6155
2024-10-04,1198.9,1200,1176,1188.02,4952
2024-10-07,1190,1200,1185,1189.43,13662
2024-10-08,1197,1198.48,1186,1196.68,4030
2024-10-09,1210,1218,1171.81,1182.46,2222582
2024-10-10,1185,1210,1173.81,1190.7,2345022
2024-10-11,1195,1231,1180.1,1220.19,48228
2024-10-14,1220,1225,1200,1202.93,12822
2024-10-15,1205,1216.99,1187.7,1197.71,18104
2024-10-16,1190,1213.5,1190,1200.68,19234
2024-10-17,1200.9,1200.9,1192,1196.81,3945
2024-10-18,1196.81,1224.95,1192.1,1208.28,28620
2024-10-21,1208,1215,1190,1209.7,17862
2024-10-22,1200,1224.98,1200,1217.03,17039
2024-10-23,1221,1225,1210,1215.09,7974
2024-10-24,1207.96,1224,1207.96,1215.33,4689
2024-10-25,1220.98,1229.5,1200.55,1224.91,19325
2024-10-28,1234,1329,1210,1308.32,78675
2024-10-29,1338,1371,1316,1326.61,39058
2024-10-30,1329,1362,1287,1300.55,24851
2024-10-31,1306.99,1307,1260,1269.96,17693
2024-11-01,1276,1300,1255,1293.61,7610
2024-11-04,1300,1309.61,1267,1298.91,13972
2024-11-05,1294,1300,1285,1291.4,13783
2024-11-06,1292.01,1327.98,1291.95,1299.94,30946
2024-11-07,1283,1309.96,1283,1298.88,6593
2024-11-08,1308.99,1350,1299,1336.28,27417
2024-11-11,1339,1400,1335,1393.01,42929
2024-11-12,1410,1410,1375.5,1387.02,25755
2024-11-13,1380,1387.99,1365.01,1379.11,19084
2024-11-14,1372,1381.99,1350,1364.94,10820
2024-11-15,1360,1378,1360,1370.3,8235
2024-11-18,1370,1379.9,1363.5,1370.24,20817
2024-11-19,1370,1385,1363,1378.98,11043
2024-11-20,1380,1516.88,1370,1480.88,57084
2024-11-21,1500,1501,1450,1474.25,22411
2024-11-22,1490,1494,1455.11,1461.67,14890
2024-11-25,1463,1479,1450.22,1466.42,6820
2024-11-26,1454,1464.88,1405,1417.62,17242
2024-11-27,1420,1463,1420,1446.35,12838
2024-11-28,1464.95,1464.95,1450,1458.68,10056
2024-11-29,1459.01,1550,1454,1507.3,16254
2024-12-02,1525,1570,1491.1,1539.04,43067
2024-12-03,1554.99,1564.94,1515.15,1529.86,10657
2024-12-04,1531.01,1550,1521,1547.75,16151
2024-12-05,1560,1565,1542.04,1545.23,12309
2024-12-06,1545.25,1550,1530.01,1544.26,8383
2024-12-09,1540.04,1569,1530.01,1538.57,22983
2024-12-10,1548.99,1552,1500,1514.05,20203
2024-12-11,1528,1539,1486.56,1516.05,15716
2024-12-12,1520,1528,1485,1516.27,10269
2024-12-13,1523.9,1551,1510,1548.29,19101
2024-12-16,1548.29,1550,1521.55,1534.69,14829
2024-12-17,1543,1560,1515,1526.32,29332
2024-12-18,1535.99,1547,1510,1523.97,29803
2024-12-19,1515,1523.5,1500,1505.65,8740
2024-12-20,1500,1514.48,1495.5,1499.95,13464
2024-12-23,1510,1531,1486,1516.77,135311
2024-12-24,1527.99,1527.99,1500,1502.15,13304
2024-12-26,1500,1540,1490,1511.06,11159
2024-12-27,1511.06,1579,1503,1517.08,5785
2024-12-30,1523,1533,1497,1499.9,29920
2024-12-31,1506.11,1514,1490,1503.3,10105
2025-01-01,1514.97,1514.97,1497,1502.11,10664
2025-01-02,1508.04,1513.49,1480,1489.38,20284
2025-01-03,1500,1500,1480,1490.18,9794
2025-01-06,1498,1504.95,1480,1496.37,7629
2025-01-07,1485,1499,1485,1497.61,5142
2025-01-08,1495,1505,1494.3,1498.59,9723
2025-01-09,1499.99,1500,1491,1491.38,1747
2025-01-10,1491.39,1495,1485,1492.15,5349
2025-01-13,1492.15,1500,1487,1495.08,3784
2025-01-14,1500,1505,1488,1491.38,4569
2025-01-15,1491,1499,1431.11,1494.59,6433
2025-01-16,1485.05,1499.95,1482.05,1484.56,4820
2025-01-17,1485.01,1498,1480,1491.59,8076
2025-01-20,1499.99,1530,1499.99,1515.49,10616
2025-01-21,1528.9,1530,1510,1515.23,6378
2025-01-22,1521,1521,1512.02,1515.05,14366
2025-01-23,1515.45,1540,1515.01,1520.33,5748
2025-01-24,1529,1599,1522,1537.98,8961
2025-01-27,1530,1550,1490,1497.88,27222
2025-01-28,1497,1509,1476,1500.02,14831
2025-01-29,1507,1508,1485,1486.68,11170
2025-01-30,1490,1501,1485,1490.97,6181
2025-01-31,1491.01,1499,1487,1490.22,5230
2025-02-03,1498.59,1498.59,1470,1473.61,17096
2025-02-04,1439.9,1480,1439.9,1468.35,16986
2025-02-06,1468.01,1479.94,1468,1475.37,13770
