date,open,high,low,close,volume
2024-01-08,115,117.3,113.51,115.73,16700
2024-01-09,116.25,116.5,114.01,115.5,9500
2024-01-10,113.25,116.94,113.25,115,2600
2024-01-11,114.99,115,113,113,15500
2024-01-12,114,114.95,112.15,112.15,8500
2024-01-15,110,112.33,110,111,14700
2024-01-16,110.1,110.5,110,110.5,6500
2024-01-18,110,110,109.5,109.5,3900
2024-01-19,111.79,114.5,111.79,113,12700
2024-01-22,113.25,114,113,113.3,7000
2024-01-23,114.75,121.8,114.01,121.8,98000
2024-01-24,124.79,129.8,122.09,123.21,242300
2024-01-25,126,126,120.06,121.53,13400
2024-01-26,123.88,123.88,120,120,1300
2024-01-29,117.1,118.5,115,116.15,11000
2024-01-30,118,118,112.65,112.69,14400
2024-01-31,111.25,113.5,111.25,113.5,2100
2024-02-01,111.56,113,111.1,112,6100
2024-02-02,111.7,111.7,111.7,112,100
2024-02-06,112,114.45,111.99,112.94,8300
2024-02-07,112.5,112.5,111.6,111.9,900
2024-02-12,110,114.99,109.88,113.66,241900
2024-02-13,114,118.5,113.9,117.93,81700
2024-02-14,118.8,120.15,118,120.15,9700
2024-02-15,115.56,118,115,117.14,140100
2024-02-16,115.1,118.75,114.25,114.96,64800
2024-02-19,114.5,118,114.16,117.03,94500
2024-02-20,119,124.45,119,123.96,43900
2024-02-21,125,130.1,125,129.74,79200
2024-02-22,129.75,132,129.25,131.5,45800
2024-02-23,132,133,128.25,131.76,58400
2024-02-26,133.95,133.95,130.76,133,3200
2024-02-27,136.44,136.45,131.4,135,85000
2024-02-28,135,135.5,135,135.01,600200
2024-02-29,135.15,140.74,130,131.2,665800
2024-03-01,125.01,133.49,125.01,129.93,19400
2024-03-04,131,131.8,129,129.72,40500
2024-03-05,133.33,133.33,126.1,126.81,4200
2024-03-06,126.94,127.95,125,125.73,22700
2024-03-07,124.2,126.75,124,126.75,1800
2024-03-08,126,127.9,123.15,127.18,35300
2024-03-11,121.31,127.6,121.31,125.52,8800
2024-03-12,125,126,123,123.84,3400
2024-03-13,121.06,122.2,121,122.01,5800
2024-03-15,122.01,122.01,122,122,1600
2024-03-19,121.01,124,121.01,122,3600
2024-03-20,122.1,124,122,122,4900
2024-03-21,124.95,124.95,121.04,121.88,3700
2024-03-22,121,122.01,119,120.82,13500
2024-03-25,121,121.5,121,121.5,2700
2024-03-26,122,122,122,122,2500
2024-03-27,122.5,122.5,122.01,122.43,3400
2024-03-28,122.5,123,122,123,5400
2024-03-29,123,123.95,123,123.8,4200
2024-04-01,122.5,122.5,122.5,122.5,300
2024-04-02,125.25,125.25,125.25,125.25,500
2024-04-03,124.95,126,124.95,125.38,4000
2024-04-04,122.7,124.4,120.75,124.06,15200
2024-04-08,121.5,121.5,121.5,124.06,100
2024-04-15,124,125,124,124.8,6300
2024-04-16,124.84,124.84,124.5,124.5,700
2024-04-17,124,125,124,124,6000
2024-04-18,125.85,125.85,123.01,124.74,5600
2024-04-19,125,126,122,122,11200
2024-04-22,123.5,123.99,122.16,123.07,3144
2024-04-23,127.99,127.99,123.01,124.11,12181
2024-04-24,126.95,127.5,122.75,124,19753
2024-04-25,122.27,126,122.27,123.65,11722
2024-04-26,123.27,132.92,122.51,130.77,222542
2024-04-29,125.1,127.95,122.56,123.29,61653
2024-04-30,124.95,124.95,118,118.25,30203
2024-05-02,118.99,120,116.02,118.44,93625
2024-05-03,119.8,121.95,117,117.67,111117
2024-05-06,120.95,121.89,116.5,119.32,16842
2024-05-07,120.98,121.8,119.13,121.55,39730
2024-05-08,122,122,119.21,119.21,12994
2024-05-09,121.9,126.49,120,122.82,74462
2024-05-10,123.9,131.74,123.85,125.42,102489
2024-05-13,125,127,124.14,124.77,14292
2024-05-14,126.94,126.94,122.5,123.52,16814
2024-05-15,124.9,125.5,122,123.2,34036
2024-05-16,122.01,125,121.75,123.24,28610
2024-05-17,125.3,125.3,121.6,122.77,8426
2024-05-20,126.45,126.45,123,123.72,14095
2024-05-21,126.9,126.9,124,125.71,20140
2024-05-22,123.14,126.5,122.1,124,13390
2024-05-23,125.7,125.7,123.25,124,5774
2024-05-24,125,125.84,120.01,123.71,9815
2024-05-27,122.1,124.85,122,123,13085
2024-05-29,121.61,122.99,118.1,120,27067
2024-05-30,121,121,120,120,12893
2024-05-31,122,122,120,120.56,3310
2024-06-03,118.1,122.95,113.26,120.79,13957
2024-06-04,119,122.75,118.01,121.42,16167
2024-06-05,118.05,120.49,118.05,118.76,19736
2024-06-06,121.75,121.75,117.3,118.83,8592
2024-06-07,118,119.95,117.05,117.84,249
2024-06-10,119.99,119.99,118.5,118.5,5010
2024-06-11,118,118.5,117.5,117.5,15543
2024-06-12,119.9,119.9,118,118.54,2816
2024-06-13,118.54,122.5,118.54,118.98,7709
2024-06-14,119.02,120.9,117.24,118.07,17165
2024-06-20,119,120.24,118,118.57,27342
2024-06-21,122.29,122.29,120,121.01,43097
2024-06-24,122.75,123.93,120.05,121.16,79903
2024-06-25,119.51,121.9,117.8,119.46,60900
2024-06-26,119.95,119.95,117,117.67,61120
2024-06-27,117.27,118.99,116.06,117.5,10576
2024-06-28,117.99,118.45,117,118.04,6975
2024-07-01,118,122,117.77,118.52,10275
2024-07-02,117.5,125.01,117.5,119.1,11718
2024-07-03,123.7,123.79,118.75,122.03,13328
2024-07-04,124,124,118,118.35,18104
2024-07-05,123.75,124.95,119,121.44,36407
2024-07-08,120,123,119.95,119.98,3176
2024-07-09,119.98,122.85,117.5,118.99,10601
2024-07-10,118.1,120,117,118.5,21857
2024-07-11,118,119.45,116.56,117.35,20210
2024-07-12,119,119,112,116.87,15628
2024-07-15,119.81,119.81,118.99,119.7,255
2024-07-18,120.25,120.25,118,120,33912
2024-07-19,120,120.03,117.1,117.59,31417
2024-07-22,119.8,119.8,117,117.13,5025
2024-07-23,117.02,117.49,115,116,18125
2024-07-24,116.65,117,115.06,117,11855
2024-07-25,118.79,118.79,116,116.95,7835
2024-07-26,116.95,118,113.56,115.05,2012
2024-07-29,116,116.95,115.75,116.16,32028
2024-07-30,116,116.2,115.1,115.1,2233
2024-07-31,116,117.44,114,114.55,13098
2024-08-01,114.25,115.7,113.6,114.02,14659
2024-08-02,114.01,116.5,114.01,115.47,8006
2024-08-05,114.5,117.95,113.52,114.17,12145
2024-08-06,113.51,114.75,112.55,113.29,11489
2024-08-07,110.1,114.7,110.1,112.7,10810
2024-08-08,112.7,113,110.51,112.49,40411
2024-08-09,112,123.5,112,115,54933
2024-08-12,115.12,118.4,115.12,117.2,67264
2024-08-13,117,117.44,116.5,116.51,25993
2024-08-15,115.6,117.9,114,114.19,42158
2024-08-16,116.95,118.5,115.05,117.94,74929
2024-08-19,118.75,118.8,114.25,115.24,32129
2024-08-20,113.1,116,113,114.02,28159
2024-08-21,114.99,114.99,114,114.12,49440
2024-08-22,115.15,117.75,114.12,114.87,95721
2024-08-23,115,116,108.11,109,76352
2024-08-26,110,110,104.99,106.11,77578
2024-08-27,106.9,107,106,106,61550
2024-08-28,105.11,106.95,104.11,105.17,50823
2024-08-29,106,108.5,105.9,106.61,81750
2024-08-30,106,108.75,104.5,106.49,25607
2024-09-02,107,107.8,105.1,105.35,8536
2024-09-03,105.35,109,105,105.11,49848
2024-09-04,105.99,105.99,104.5,104.52,28674
2024-09-05,107,107,104,105.75,30159
2024-09-06,106.02,106.75,104.9,106.75,31595
2024-09-09,108,108.1,103,103.23,38748
2024-09-10,104,104,102.55,103.5,29094
2024-09-11,105,105.9,104,104.88,26113
2024-09-12,104.07,106.5,104.07,104.92,25029
2024-09-13,107,108,105.99,108,60215
2024-09-16,108,108,105,106,67949
2024-09-18,105.01,105.01,104.06,105,28563
2024-09-19,104.3,106.35,104.3,105.78,79423
2024-09-20,104,105.95,103.52,105.79,23903
2024-09-23,104.02,105.94,104.02,104.72,23692
2024-09-24,104.99,104.99,103.07,103.2,24237
2024-09-25,104.75,104.75,104.73,104.74,23420
2024-09-26,104.9,105.49,102.8,103.07,40239
2024-09-27,103,103.77,103,103,27675
2024-09-30,102,102,99.5,99.51,38598
2024-10-01,99.51,102.91,99.51,100.64,9857
2024-10-02,102.93,102.93,102,102,26353
2024-10-03,101,103.48,101,102.85,44769
2024-10-04,102.8,102.8,100,102,39640
2024-10-07,102.9,103,102,102.34,33426
2024-10-08,102.99,102.99,102,102,24519
2024-10-09,102,102.75,102,102.49,29092
2024-10-10,101.52,103,100.05,102,29406
2024-10-11,101.05,103.81,101,103,30762
2024-10-14,102,102.8,100.08,101.55,41393
