date,open,high,low,close,volume
2024-01-10,2.47,2.6,2.45,2.46,94000
2024-01-11,2.55,2.59,2.42,2.45,72500
2024-01-12,2.67,2.67,2.44,2.5,80000
2024-01-15,2.4,2.44,2.3,2.33,173000
2024-01-16,2.31,2.38,2.3,2.31,114000
2024-01-17,2.4,2.43,2.27,2.3,41500
2024-01-18,2.49,2.49,2.23,2.24,123500
2024-01-19,2.39,2.39,2.17,2.2,57500
2024-01-22,2.26,2.27,2.2,2.27,45000
2024-01-23,2.28,2.39,2.28,2.38,11500
2024-01-24,2.25,2.44,2.16,2.36,61500
2024-01-25,2.43,2.43,2.3,2.3,17500
2024-01-26,2.4,2.4,2.11,2.16,261500
2024-01-29,2.15,2.24,2.05,2.1,301000
2024-01-30,2.11,2.17,1.99,2.02,121500
2024-01-31,2.12,2.12,2.02,2.05,107000
2024-02-01,2.14,2.15,2.0,2.0,36500
2024-02-02,2.05,2.14,2.01,2.03,169500
2024-02-06,1.99,2.13,1.99,2.06,409000
2024-02-07,2.14,2.15,2.07,2.15,131500
2024-02-09,2.06,2.14,2.03,2.05,160000
2024-02-12,2.29,2.29,1.55,1.86,255000
2024-02-13,1.81,1.98,1.75,1.87,272000
2024-02-14,1.99,2.06,1.82,2.0,316000
2024-02-15,2.0,2.13,1.95,2.02,90500
2024-02-16,1.96,2.0,1.9,1.91,84000
2024-02-19,1.9,2.04,1.86,2.04,237500
2024-02-20,2.09,2.09,1.96,1.97,40000
2024-02-21,2.0,2.15,1.9,1.96,78000
2024-02-22,1.95,2.0,1.75,1.9,794000
2024-02-23,1.9,1.99,1.9,1.95,244500
2024-02-26,1.98,2.03,1.97,1.97,122000
2024-02-27,2.04,2.13,1.95,1.98,222500
2024-02-28,1.95,1.97,1.9,1.94,151000
2024-02-29,2.0,2.02,2.0,2.01,38500
2024-03-01,2.1,2.37,2.05,2.29,674000
2024-03-04,2.37,2.54,2.34,2.43,713000
2024-03-05,2.5,2.54,2.32,2.5,436000
2024-03-06,2.55,2.75,2.47,2.53,875000
2024-03-07,2.59,2.73,2.4,2.62,982000
2024-03-08,2.72,2.75,2.45,2.51,842000
2024-03-11,2.68,2.69,2.5,2.52,758000
2024-03-12,2.62,2.62,2.37,2.38,247000
2024-03-13,2.47,2.48,2.2,2.22,379000
2024-03-14,2.36,2.4,2.31,2.38,85000
2024-03-15,2.4,2.4,2.3,2.32,94500
2024-03-18,2.32,2.39,2.28,2.32,128500
2024-03-19,2.4,2.5,2.36,2.45,330000
2024-03-20,2.51,2.6,2.4,2.5,216000
2024-03-21,2.5,2.6,2.33,2.4,143000
2024-03-22,2.55,2.65,2.4,2.51,691000
2024-03-25,2.8,3.15,2.71,3.03,7377500
2024-03-26,3.48,3.48,3.1,3.16,5318500
2024-03-27,3.18,3.23,2.93,2.98,1513000
2024-03-28,2.92,3.0,2.8,2.82,1789000
2024-03-29,2.92,2.94,2.36,2.58,4147500
2024-04-01,2.59,2.6,2.48,2.49,1378500
2024-04-02,2.6,2.6,2.23,2.33,1595000
2024-04-03,2.44,2.45,2.1,2.15,1280500
2024-04-04,2.17,2.39,2.15,2.23,955500
2024-04-08,2.37,2.43,2.26,2.3,636500
2024-04-09,2.25,2.4,2.22,2.29,217000
2024-04-15,2.33,2.33,2.16,2.27,270500
2024-04-16,2.19,2.32,2.19,2.22,588500
2024-04-17,2.25,2.3,2.22,2.25,365000
2024-04-18,2.28,2.3,2.25,2.26,131500
2024-04-19,2.13,2.3,2.13,2.24,222000
2024-04-22,2.24,2.3,2.12,2.19,376000
2024-04-23,2.25,2.3,2.16,2.2,512000
2024-04-24,2.24,2.25,2.19,2.21,146500
2024-04-25,2.21,2.3,2.19,2.2,457000
2024-04-26,2.22,2.42,2.18,2.32,1630000
2024-04-29,2.35,2.37,2.2,2.21,483000
2024-04-30,2.36,2.36,2.18,2.2,340500
2024-05-02,2.25,2.35,2.21,2.31,3196500
2024-05-03,2.38,2.69,2.35,2.56,3245500
2024-05-06,2.59,2.65,2.5,2.59,1203500
2024-05-07,2.64,2.64,2.4,2.45,529500
2024-05-08,2.44,2.62,2.4,2.59,1615000
2024-05-09,2.72,2.83,2.6,2.73,2998500
2024-05-10,2.72,2.85,2.65,2.71,650000
2024-05-13,2.8,2.8,2.62,2.65,4987500
2024-05-14,2.79,3.0,2.65,2.77,8288500
2024-05-15,2.9,2.9,2.53,2.6,793000
2024-05-16,2.69,3.09,2.51,2.99,4589500
2024-05-17,3.15,3.2,2.85,3.06,4167500
2024-05-20,3.1,3.1,2.89,2.9,796500
2024-05-21,3.0,3.0,2.76,2.82,469500
2024-05-22,2.83,3.25,2.6,3.01,3441500
2024-05-23,3.26,3.88,3.01,3.44,24765500
2024-05-24,3.58,3.59,3.03,3.25,3626000
2024-05-27,3.25,3.37,3.1,3.15,2399819
2024-05-29,3.27,3.27,2.98,3.01,8757787
2024-05-30,3.0,3.64,3.0,3.24,17943851
2024-05-31,3.4,3.4,3.15,3.21,1423465
2024-06-03,3.3,3.45,3.15,3.16,2348902
2024-06-04,3.29,3.29,3.09,3.11,894581
2024-06-05,3.09,3.19,3.03,3.05,792707
2024-06-06,3.05,3.25,2.99,3.04,1879460
2024-06-07,2.96,3.15,2.87,3.14,1414507
2024-06-10,3.03,3.2,3.01,3.06,889470
2024-06-11,3.18,3.18,2.95,2.99,470165
2024-06-12,3.16,3.33,2.92,3.11,8124660
2024-06-13,3.27,3.27,3.01,3.19,6139444
2024-06-14,3.24,3.24,3.07,3.07,478960
2024-06-20,3.03,3.18,3.0,3.03,816671
2024-06-21,3.14,3.14,2.92,2.96,799034
2024-06-24,2.96,3.09,2.9,3.0,911424
2024-06-25,3.02,3.02,2.9,2.94,278146
2024-06-26,2.98,3.0,2.87,2.88,3528586
2024-06-27,2.85,2.98,2.81,2.82,163587
2024-06-28,2.9,2.92,2.8,2.81,900573
2024-07-01,2.94,2.94,2.77,2.8,515991
2024-07-02,2.89,3.34,2.89,3.07,9380092
2024-07-03,3.12,3.17,2.51,3.05,1722762
2024-07-04,3.1,3.17,2.9,2.93,2479996
2024-07-05,2.97,3.0,2.9,2.94,399139
2024-07-08,2.96,3.06,2.9,2.91,517430
2024-07-09,3.03,3.05,2.85,2.88,1003141
2024-07-10,2.72,2.88,2.72,2.83,1163444
2024-07-11,2.88,3.0,2.76,2.8,5632760
2024-07-12,2.89,2.94,2.72,2.77,5442691
2024-07-15,2.9,2.91,2.75,2.79,234633
2024-07-18,2.89,2.89,2.73,2.77,210572
2024-07-19,2.74,2.84,2.68,2.71,747837
2024-07-22,2.78,2.78,2.59,2.66,251510
2024-07-23,2.74,2.74,2.55,2.63,260733
2024-07-24,2.61,2.74,2.61,2.69,145359
2024-07-25,2.72,2.72,2.45,2.6,256054
2024-07-26,2.6,2.75,2.52,2.59,111658
2024-07-29,2.6,2.7,2.5,2.59,4160973
2024-07-30,2.65,2.66,2.46,2.53,382081
2024-07-31,2.53,2.95,2.41,2.7,5896480
2024-08-01,2.82,2.82,2.62,2.66,149931
2024-08-02,2.7,2.7,2.45,2.57,676133
2024-08-05,2.62,2.94,2.55,2.77,2164613
2024-08-06,2.9,3.04,2.7,2.75,1468158
2024-08-07,2.81,2.81,2.68,2.71,149444
2024-08-08,2.84,2.84,2.62,2.69,800758
2024-08-09,2.84,2.94,2.62,2.87,1793265
2024-08-12,2.79,2.99,2.65,2.79,536855
2024-08-13,2.72,2.88,2.7,2.76,530167
2024-08-15,2.78,2.88,2.71,2.85,718946
2024-08-16,2.87,3.18,2.75,2.94,3679818
2024-08-19,2.91,2.93,2.75,2.76,1189420
2024-08-20,2.8,2.91,2.78,2.81,755324
2024-08-21,2.88,3.21,2.8,3.07,5469529
2024-08-22,3.18,3.22,3.01,3.15,1767239
2024-08-23,3.17,3.19,3.11,3.13,828305
2024-08-26,3.18,3.18,3.0,3.08,808035
2024-08-27,3.07,3.29,3.07,3.18,1295042
2024-08-28,3.2,3.28,3.14,3.15,3843442
2024-08-29,3.1,3.23,3.09,3.1,268252
2024-08-30,3.05,3.29,3.05,3.18,4667047
2024-09-02,3.25,3.25,2.9,2.96,688708
2024-09-03,3.0,3.0,2.9,2.91,331026
2024-09-04,2.98,3.55,2.98,3.31,3991015
2024-09-05,3.5,3.5,3.1,3.16,1927226
2024-09-06,2.96,3.25,2.96,3.11,1296261
2024-09-09,3.11,3.24,3.05,3.1,1306067
2024-09-10,3.13,3.19,3.07,3.08,539401
2024-09-11,3.14,3.15,3.03,3.07,279186
2024-09-12,3.06,3.14,3.05,3.06,410863
2024-09-13,3.07,3.36,3.06,3.24,1929013
2024-09-16,3.28,3.28,3.15,3.16,330016
2024-09-18,3.29,3.32,3.02,3.27,1022486
2024-09-19,3.34,3.34,3.05,3.07,743237
2024-09-20,3.06,3.1,2.98,3.0,800305
2024-09-23,3.11,3.12,3.0,3.02,86153
2024-09-24,3.0,3.0,2.85,2.97,430977
2024-09-25,2.99,2.99,2.9,2.96,170778
2024-09-26,3.02,3.09,2.85,2.86,611809
2024-09-27,2.81,2.99,2.78,2.85,233227
2024-09-30,2.76,2.97,2.71,2.8,147850
2024-10-01,2.81,2.87,2.8,2.83,97778
2024-10-02,2.81,2.85,2.75,2.76,109292
2024-10-03,2.84,2.84,2.65,2.7,1100519
2024-10-04,2.78,2.83,2.7,2.79,116351
