date,open,high,low,close,volume
2024-01-11,3.4,3.64,3.3,3.6,196500
2024-01-12,3.7,3.7,3.3,3.35,12000
2024-01-15,3.36,3.36,3.12,3.2,129000
2024-01-16,3.1,3.19,3.04,3.18,90500
2024-01-17,3.11,3.13,3.1,3.12,29500
2024-01-18,3.12,3.12,3,3.04,104500
2024-01-19,3.03,3.08,2.9,2.99,295500
2024-01-22,3.17,3.17,3,3,20000
2024-01-23,2.92,3,2.92,3,10000
2024-01-24,2.92,3.15,2.92,3.1,29000
2024-01-25,3.01,3.18,3.01,3.04,33500
2024-01-26,3.01,3.03,2.9,2.92,85000
2024-01-29,2.94,2.94,2.86,2.86,63500
2024-01-30,2.85,2.92,2.75,2.9,29000
2024-01-31,2.9,2.96,2.77,2.77,12000
2024-02-01,2.92,2.92,2.92,2.92,1000
2024-02-02,2.88,2.96,2.88,2.95,1500
2024-02-06,2.97,3.09,2.97,3.09,35000
2024-02-07,3.01,3.06,3,3.01,20500
2024-02-09,2.76,3.03,2.76,2.95,2000
2024-02-12,2.9,2.9,2.78,2.81,70000
2024-02-13,2.81,2.87,2.8,2.81,11500
2024-02-14,2.89,2.89,2.85,2.86,4500
2024-02-15,2.15,2.85,2.15,2.8,22500
2024-02-16,2.68,2.8,2.62,2.63,16000
2024-02-19,2.66,2.79,2.66,2.79,28000
2024-02-21,2.78,2.95,2.56,2.71,3000
2024-02-22,2.76,2.97,2.76,2.95,7000
2024-02-23,2.98,3.4,2.98,3.14,428000
2024-02-26,2.96,3.32,2.96,3.13,160000
2024-02-27,2.9,3.14,2.9,3.09,95000
2024-02-28,2.95,3.15,2.95,3.1,38500
2024-02-29,2.91,3.08,2.91,2.99,46000
2024-03-01,2.98,3.18,2.98,3.11,83000
2024-03-04,2.94,3.18,2.94,3.01,73000
2024-03-05,3.14,3.14,2.91,2.92,9500
2024-03-06,2.86,3.19,2.85,3,54500
2024-03-07,3,3.1,2.91,2.91,32000
2024-03-08,3.07,3.08,3.07,3.08,2000
2024-03-11,3.05,3.05,2.9,2.98,55000
2024-03-12,3.1,3.1,2.9,3,63000
2024-03-13,2.98,2.98,2.85,2.85,51500
2024-03-14,2.84,2.99,2.84,2.86,15500
2024-03-15,2.91,2.91,2.84,2.85,11500
2024-03-18,2.84,2.84,2.84,2.84,3000
2024-03-19,2.85,2.9,2.85,2.9,4500
2024-03-20,2.84,2.88,2.75,2.85,40000
2024-03-21,2.85,2.85,2.8,2.8,94000
2024-03-22,2.75,2.77,2.75,2.77,10000
2024-03-25,2.71,2.85,2.7,2.8,38000
2024-03-26,2.64,2.9,2.64,2.8,27500
2024-03-27,2.9,2.9,2.75,2.75,48500
2024-03-28,2.75,2.8,2.7,2.76,26000
2024-03-29,2.7,2.7,2.64,2.64,13500
2024-04-01,2.79,2.79,2.69,2.71,8500
2024-04-02,2.7,2.74,2.7,2.7,25000
2024-04-03,2.75,2.75,2.74,2.75,13500
2024-04-04,2.95,2.95,2.85,2.88,5000
2024-04-08,2.95,2.95,2.67,2.75,20500
2024-04-09,2.68,2.8,2.68,2.74,21500
