date,open,high,low,close,volume
2023-07-05,17.0,17.88,16.99,17.0,74500
2023-07-06,17.5,17.67,17.5,17.67,7000
2023-07-07,17.08,17.45,17.05,17.45,12000
2023-07-10,17.64,18.76,17.64,18.76,128000
2023-07-11,18.8,19.5,18.76,19.0,57500
2023-07-12,19.15,19.2,18.95,19.0,6500
2023-07-13,19.0,19.15,18.7,18.98,29000
2023-07-14,18.6,19.0,18.55,19.0,2000
2023-07-17,19.35,19.75,18.25,19.0,139500
2023-07-18,18.5,18.5,18.33,18.49,13500
2023-07-19,18.45,18.51,17.81,17.85,59000
2023-07-20,17.7,18.5,17.62,18.5,4500
2023-07-21,18.69,18.69,18.5,18.5,1500
2023-07-24,17.76,18.8,17.7,18.01,14000
2023-07-25,17.55,18.39,17.55,18.16,3000
2023-07-26,18.25,18.8,18.25,18.8,13000
2023-07-27,18.88,19.01,18.55,19.0,21000
2023-07-31,19.01,19.5,19.01,19.25,25500
2023-08-01,19.5,20.69,19.0,20.68,112000
2023-08-02,21.49,22.23,21.0,21.49,123500
2023-08-03,21.0,22.1,21.0,21.73,23000
2023-08-04,21.5,22.0,21.01,21.55,4500
2023-08-07,21.05,21.05,20.9,21.01,11000
2023-08-08,20.5,21.5,20.5,21.0,16500
2023-08-09,21.35,21.35,21.35,21.35,1000
2023-08-10,20.36,20.36,20.36,20.36,500
2023-08-11,20.1,21.25,20.1,21.04,6500
2023-08-15,20.06,21.0,20.05,21.0,6000
2023-08-16,21.45,21.49,20.52,20.52,7500
2023-08-17,20.1,20.26,19.51,19.85,10000
2023-08-18,20.7,20.7,19.6,19.72,4000
2023-08-21,19.5,19.5,19.0,19.5,21000
2023-08-23,19.5,19.5,19.5,19.5,2500
2023-08-24,18.75,19.5,18.75,19.5,5000
2023-08-25,19.0,19.0,19.0,19.0,500
2023-08-28,18.5,18.5,18.5,18.5,2000
2023-08-29,17.99,17.99,17.62,17.68,9500
2023-08-30,17.51,17.51,16.86,16.91,8500
2023-08-31,17.9,18.0,17.9,17.99,10000
2023-09-04,18.0,18.25,18.0,18.1,1500
2023-09-06,18.55,18.55,18.55,18.55,500
2023-09-08,18.0,18.0,18.0,18.0,5500
2023-09-13,17.52,17.52,17.52,17.52,1000
2023-09-14,17.95,18.24,17.95,18.23,8000
2023-09-15,18.25,18.25,18.25,18.25,2000
2023-09-19,17.99,17.99,17.99,17.99,1000
2023-09-20,17.75,17.75,17.02,17.5,13000
2023-09-22,17.5,17.5,17.5,17.5,3500
2023-09-26,17.99,18.0,17.99,18.0,6000
2023-09-27,18.0,18.0,18.0,18.0,5000
2023-09-28,17.99,18.0,17.99,18.0,11000
2023-10-02,18.08,18.33,18.08,18.32,5000
2023-10-03,18.5,18.5,18.01,18.01,3500
2023-10-04,18.0,18.5,18.0,18.14,22000
2023-10-05,18.05,18.75,18.05,18.56,10000
2023-10-06,18.25,18.25,18.15,18.15,1000
2023-10-10,18.6,18.75,18.6,18.7,12000
2023-10-11,18.61,18.95,18.6,18.95,1500
2023-10-12,19.3,20.37,19.3,20.28,103500
2023-10-13,20.5,21.8,20.5,21.8,184000
2023-10-16,22.1,22.4,21.7,21.76,45000
2023-10-17,21.98,21.98,20.35,20.64,37500
2023-10-18,20.64,20.75,20.0,20.33,35000
2023-10-19,20.3,21.0,20.2,20.42,17500
2023-10-20,20.61,20.62,20.6,20.6,16000
2023-10-23,21.0,22.15,21.0,22.15,65500
2023-10-24,22.97,23.81,22.96,23.81,93500
2023-10-25,24.81,25.58,24.0,24.25,28000
2023-10-26,23.4,24.49,22.43,22.43,63000
2023-10-27,21.61,22.0,20.9,21.02,67500
2023-10-30,21.99,21.99,21.05,21.1,3500
2023-10-31,21.3,22.2,21.3,21.89,21500
2023-11-01,22.72,23.53,22.05,22.26,159500
2023-11-02,22.0,22.5,22.0,22.25,55000
2023-11-03,22.67,23.0,22.5,22.9,23000
2023-11-06,23.38,24.62,23.2,24.04,167500
2023-11-07,24.05,24.05,23.3,24.0,17000
2023-11-08,24.0,24.84,23.8,23.8,3000
2023-11-10,25.0,25.45,24.27,24.7,35000
2023-11-13,25.0,25.4,24.51,25.3,24000
2023-11-14,25.0,25.0,25.0,25.0,10000
2023-11-15,24.02,24.99,24.0,24.41,9500
2023-11-16,24.99,25.97,24.99,25.31,28000
2023-11-17,24.77,25.95,24.55,25.18,34500
2023-11-20,25.2,25.5,25.2,25.5,7000
2023-11-21,25.0,25.6,25.0,25.34,11500
2023-11-22,25.5,25.6,25.3,25.31,11000
2023-11-23,25.75,27.0,25.75,26.87,18500
2023-11-24,27.0,27.05,26.5,26.51,13000
2023-11-27,27.75,28.45,26.85,27.9,36000
2023-11-28,27.25,28.88,27.25,27.9,4000
2023-11-29,27.02,27.2,26.5,26.51,35000
2023-11-30,26.5,27.0,26.5,26.51,16000
2023-12-01,27.0,27.05,26.5,26.6,29500
2023-12-04,27.4,27.5,27.0,27.0,34000
2023-12-05,26.57,27.0,26.51,27.0,34500
2023-12-06,27.2,28.25,27.2,28.03,37500
2023-12-07,28.1,29.35,28.1,29.35,16000
2023-12-08,30.09,31.55,30.09,31.55,117000
2023-12-11,33.89,33.89,32.01,32.15,98000
2023-12-12,32.2,32.2,31.3,31.5,47000
2023-12-13,31.5,31.5,29.2,30.19,30500
2023-12-14,29.0,30.5,29.0,30.33,12000
2023-12-15,30.95,31.3,30.21,31.0,84500
2023-12-18,30.5,31.5,30.3,30.43,19000
2023-12-19,29.5,30.0,28.9,29.0,70500
2023-12-20,28.05,28.2,27.01,27.75,39000
2023-12-21,27.5,27.95,27.02,27.94,26500
2023-12-22,28.0,28.0,27.2,27.9,7500
2023-12-26,26.52,26.52,26.51,26.51,1000
2023-12-27,27.9,27.9,27.9,27.9,500
2023-12-28,27.5,28.0,27.5,28.0,1500
2023-12-29,27.21,28.0,27.21,27.35,4000
2024-01-01,28.5,28.88,28.0,28.65,15000
2024-01-02,28.01,28.99,28.01,28.99,3000
2024-01-03,28.99,28.99,28.3,28.5,10500
2024-01-04,28.25,28.26,28.1,28.22,9500
2024-01-05,28.16,28.16,28.0,28.0,4500
2024-01-08,28.7,28.7,28.0,28.0,12500
2024-01-09,27.67,27.7,27.5,27.57,18000
2024-01-10,28.5,28.5,28.0,28.0,1000
2024-01-11,27.6,27.6,27.55,27.55,1000
2024-01-12,27.4,27.4,27.36,27.39,7000
2024-01-15,27.23,27.5,27.22,27.5,9500
2024-01-17,28.01,28.25,27.9,27.9,4000
2024-01-19,28.1,28.1,28.1,28.1,500
2024-01-22,27.51,28.0,27.51,28.0,20500
2024-01-23,27.6,27.6,27.5,27.5,5000
2024-01-24,27.0,28.25,27.0,28.0,40000
2024-01-25,28.45,28.69,28.1,28.1,12000
2024-01-26,28.0,28.5,28.0,28.4,5000
2024-01-29,28.0,28.0,28.0,28.0,15000
2024-01-30,27.7,27.7,27.5,27.5,5500
2024-01-31,27.5,27.5,27.4,27.4,1000
2024-02-01,27.26,28.0,27.06,28.0,11500
2024-02-02,27.52,28.5,27.52,27.86,5000
2024-02-06,28.49,28.5,28.49,28.5,2000
2024-02-07,28.01,28.01,27.8,27.8,17500
2024-02-09,27.5,28.0,27.5,27.6,2500
2024-02-12,27.16,27.16,27.01,27.01,24000
2024-02-13,26.11,27.49,26.11,27.49,9000
2024-02-14,27.01,27.06,27.01,27.06,2500
2024-02-15,28.4,28.4,28.0,28.15,12500
2024-02-16,28.0,28.0,27.65,28.0,7500
2024-02-20,27.99,27.99,27.5,27.52,10500
2024-02-21,27.56,27.56,27.26,27.34,15000
2024-02-26,27.5,28.75,27.5,28.55,21500
2024-02-27,28.06,28.06,27.51,27.97,16000
2024-02-28,28.15,28.15,28.0,28.0,1500
2024-02-29,28.49,28.5,28.49,28.5,3000
2024-03-01,28.5,30.64,28.25,30.59,88500
2024-03-04,31.45,31.45,29.3,29.45,64000
2024-03-05,29.5,29.8,28.75,28.75,7500
2024-03-06,29.0,29.8,29.0,29.35,19000
2024-03-07,29.05,29.35,28.81,28.92,16500
2024-03-08,28.9,30.49,28.9,30.09,70000
2024-03-11,30.3,30.8,27.83,27.83,109500
2024-03-12,26.46,26.46,25.74,25.74,158000
2024-03-13,25.4,25.49,25.0,25.06,72500
2024-03-14,25.0,25.0,25.0,25.0,12500
2024-03-15,24.76,25.0,24.31,24.98,6000
2024-03-18,25.0,25.3,25.0,25.15,4000
2024-03-19,25.25,26.5,25.25,25.9,66000
2024-03-20,26.0,26.0,25.5,25.63,8000
2024-03-21,25.65,25.65,25.61,25.61,5500
2024-03-22,25.26,25.35,24.71,24.75,41500
2024-03-25,24.51,24.51,24.51,24.51,500
2024-03-26,25.0,25.0,25.0,25.0,1000
2024-03-27,25.1,25.1,24.5,24.9,11500
2024-03-28,24.75,25.46,24.75,25.0,4000
2024-03-29,24.86,24.86,24.85,24.86,1000
2024-04-01,25.0,25.0,24.25,24.25,5500
2024-04-02,24.95,24.95,24.9,24.9,1500
2024-04-04,24.86,25.3,24.86,24.98,16000
2024-04-08,25.13,25.13,25.01,25.05,7000
2024-04-09,25.5,25.57,25.25,25.47,12500
2024-04-15,25.0,26.05,24.3,26.0,32500
2024-04-16,26.0,26.3,26.0,26.01,9000
2024-04-17,26.01,26.25,26.0,26.0,8000
2024-04-18,25.75,25.75,25.75,25.75,1500
2024-04-19,25.5,26.0,25.25,26.0,15500
2024-04-22,25.93,26.0,25.0,25.85,48000
2024-04-23,26.1,26.5,26.0,26.1,35500
2024-04-24,26.0,26.1,26.0,26.0,4500
2024-04-25,26.49,26.9,26.48,26.5,7500
2024-04-26,25.65,26.0,25.65,25.87,21000
2024-04-29,26.25,26.5,26.01,26.22,18000
2024-04-30,28.19,28.19,28.19,28.19,18000
2024-05-02,30.1,30.1,29.0,29.2,364000
2024-05-03,29.51,29.68,29.0,29.19,161000
2024-05-06,29.89,30.75,29.12,29.41,307500
2024-05-07,29.95,29.95,29.5,29.68,96500
2024-05-08,29.58,30.9,29.35,30.09,302500
2024-05-09,26.5,26.5,25.0,25.99,55500
2024-05-10,25.95,26.0,25.45,25.51,16000
2024-05-13,25.26,26.65,24.55,25.5,36500
2024-05-14,26.5,26.5,25.9,25.93,24500
2024-05-15,26.0,26.95,25.71,25.84,17500
2024-05-16,25.76,25.76,25.01,25.44,15000
2024-05-17,25.94,25.99,25.93,25.98,5000
2024-05-20,25.42,25.65,25.2,25.65,15000
2024-05-21,25.65,25.97,25.65,25.67,2500
2024-05-22,25.02,26.0,25.02,25.79,18000
2024-05-23,25.8,26.25,25.8,26.0,13500
2024-05-24,26.0,26.65,26.0,26.47,35500
2024-05-27,26.47,26.47,25.9,25.91,20270
2024-05-29,25.76,25.99,25.7,25.71,15024
2024-05-30,25.51,26.35,25.51,26.0,2301
2024-05-31,25.25,26.25,25.25,26.21,22205
2024-06-03,26.2,26.2,25.52,25.58,7050
2024-06-04,25.6,26.0,25.59,25.79,1338
2024-06-05,25.7,26.24,25.44,26.0,1902
2024-06-06,25.7,25.71,25.7,25.7,3501
2024-06-07,25.26,25.9,25.26,25.4,4330
2024-06-10,25.51,25.51,25.26,25.3,3901
2024-06-11,25.75,25.75,25.0,25.01,24991
2024-06-12,25.0,25.68,24.9,25.01,16
2024-06-13,25.9,26.49,25.45,26.33,20988
2024-06-14,25.51,26.75,25.51,26.49,92389
2024-06-20,26.25,27.0,26.25,27.0,12539
2024-06-21,26.15,27.9,25.55,27.14,19210
2024-06-24,26.75,26.99,26.5,26.51,4645
2024-06-25,26.25,27.0,26.25,26.28,4747
2024-06-26,26.04,26.06,26.03,26.05,3300
2024-06-27,26.1,26.5,25.76,25.96,6025
2024-06-28,26.9,26.9,25.78,25.8,10700
2024-07-01,26.0,26.85,26.0,26.32,1452
2024-07-02,26.95,26.95,26.0,26.44,3542
2024-07-03,26.44,26.94,26.25,26.51,3204
2024-07-04,26.08,26.84,26.08,26.75,3617
2024-07-05,26.0,26.75,25.25,26.5,8064
2024-07-08,25.77,27.85,25.77,26.0,25967
2024-07-09,26.73,26.73,25.0,25.24,39787
2024-07-10,26.2,26.25,25.75,25.94,3248
2024-07-11,25.94,25.94,25.48,25.53,11653
2024-07-12,25.8,25.8,24.95,25.8,14277
2024-07-15,25.98,25.98,25.56,25.63,15820
2024-07-18,25.95,26.0,25.5,25.84,31069
2024-07-19,26.0,26.23,25.51,25.54,14419
2024-07-22,25.5,26.0,25.35,25.89,14667
2024-07-23,26.0,26.0,25.4,25.94,1572
2024-07-24,25.8,25.8,25.3,25.3,4606
2024-07-25,25.51,25.99,25.0,25.0,19809
2024-07-26,25.49,25.49,24.8,24.85,7820
2024-07-29,25.01,25.25,24.25,24.36,19472
2024-07-30,25.25,25.25,24.96,25.15,620
2024-07-31,24.4,25.0,24.1,24.12,16300
2024-08-01,24.1,24.49,23.97,23.99,11684
2024-08-02,24.0,24.2,24.0,24.0,7048
2024-08-05,23.75,24.24,23.25,23.68,13143
2024-08-06,24.24,24.25,23.34,24.0,7516
2024-08-07,24.49,24.75,24.29,24.3,31620
2024-08-08,24.0,24.48,24.0,24.01,13358
2024-08-09,24.44,24.44,24.3,24.43,651
2024-08-12,24.01,24.01,23.81,23.83,25138
2024-08-13,23.77,24.88,23.07,23.15,10078
2024-08-15,23.15,24.73,23.03,24.5,44377
2024-08-16,24.5,24.75,24.0,24.0,12043
2024-08-19,24.07,24.07,24.05,24.05,2000
2024-08-20,24.03,24.04,23.78,23.78,24106
2024-08-21,23.75,24.0,23.75,24.0,10904
2024-08-22,24.49,24.49,24.38,24.44,1872
2024-08-23,23.53,24.24,22.05,23.85,134979
2024-08-26,23.85,24.25,23.5,23.67,39710
2024-08-27,23.9,23.9,23.4,23.5,22534
2024-08-28,23.35,23.9,23.35,23.6,15150
2024-08-29,23.4,23.79,23.4,23.52,1225
2024-08-30,23.4,25.87,23.3,25.8,274145
2024-09-02,25.99,26.25,24.0,24.04,102182
2024-09-03,24.0,24.88,23.8,24.57,181900
2024-09-04,24.11,24.55,24.02,24.1,16731
2024-09-05,24.06,24.3,24.0,24.08,22181
2024-09-06,24.06,24.35,24.05,24.2,39803
2024-09-09,24.18,24.71,23.83,23.91,10302
2024-09-10,23.9,24.0,23.26,23.5,82345
2024-09-11,23.31,23.5,23.1,23.12,114203
2024-09-12,23.59,23.69,23.2,23.6,2269
2024-09-13,23.9,23.99,23.22,23.65,28056
2024-09-16,23.25,23.9,23.25,23.61,2953
2024-09-18,23.9,23.9,23.2,23.2,17201
2024-09-19,23.4,24.0,23.4,23.9,13493
2024-09-20,23.42,23.8,23.21,23.54,4178
2024-09-23,23.1,23.79,23.1,23.26,13521
2024-09-24,23.1,23.44,23.01,23.04,11125
2024-09-25,23.01,23.29,22.55,23.2,39686
2024-09-26,23.39,23.4,23.07,23.13,2461
2024-09-27,23.44,23.44,22.61,22.79,3809
2024-09-30,23.43,24.0,23.25,23.97,72878
2024-10-01,24.0,24.05,23.65,23.99,14951
2024-10-03,23.99,23.99,23.5,23.59,700
2024-10-04,23.02,23.79,23.0,23.47,51001
2024-10-07,23.49,23.89,23.15,23.52,4020
2024-10-08,23.93,23.93,23.04,23.05,23005
2024-10-09,23.89,23.89,23.69,23.84,5012
2024-10-10,23.89,23.9,23.55,23.8,2991
2024-10-11,23.03,23.8,23.03,23.14,2325
2024-10-15,23.14,23.7,23.11,23.34,1678
2024-10-16,23.11,24.9,23.11,24.5,165500
2024-10-17,24.7,24.8,24.1,24.29,33556
2024-10-18,24.7,24.7,24.02,24.63,12335
2024-10-21,23.75,24.49,23.75,24.02,8090
2024-10-22,24.0,24.47,24.0,24.01,5075
2024-10-23,24.49,24.8,24.15,24.73,40104
2024-10-24,24.7,25.24,24.0,24.17,48000
2024-10-25,24.11,24.8,24.11,24.52,9302
2024-10-28,24.75,25.49,24.3,24.31,37646
2024-10-29,24.8,24.9,23.63,23.77,33200
2024-10-30,23.75,25.0,23.75,24.1,42850
2024-10-31,24.5,24.68,24.11,24.55,1675
2024-11-01,24.5,24.75,24.25,24.6,21065
2024-11-04,24.5,24.76,24.26,24.73,9005
2024-11-05,24.32,24.81,24.31,24.5,5116
2024-11-06,24.6,24.99,24.26,24.4,16964
2024-11-07,24.3,24.8,24.3,24.5,11026
2024-11-08,24.38,24.8,24.01,24.7,35800
2024-11-11,24.78,25.74,24.78,25.26,155793
2024-11-12,25.69,25.7,25.3,25.47,13900
2024-11-13,25.17,25.75,25.17,25.75,43711
2024-11-14,25.9,25.99,25.55,25.95,17854
2024-11-15,26.0,28.55,26.0,28.22,386206
2024-11-18,27.8,28.39,27.36,27.47,55648
2024-11-19,27.47,27.99,27.04,27.4,55258
2024-11-20,27.2,27.6,26.4,26.98,34103
2024-11-21,27.45,29.48,27.28,28.82,102727
2024-11-22,28.9,29.45,27.0,27.03,446549
2024-11-25,27.03,28.2,26.82,27.64,498269
2024-11-26,27.5,28.34,26.91,26.97,266968
2024-11-27,27.49,27.85,27.0,27.47,65688
2024-11-28,27.92,28.88,27.3,28.32,228925
2024-11-29,27.76,28.5,27.7,27.94,44226
2024-12-02,28.0,29.2,27.82,28.52,110395
2024-12-03,28.99,28.99,28.0,28.21,225313
2024-12-04,28.5,28.85,28.01,28.64,132744
2024-12-05,28.8,31.5,28.6,29.13,1074877
2024-12-06,29.89,29.89,29.16,29.62,67698
2024-12-09,29.5,31.5,29.02,30.07,244761
2024-12-10,30.85,31.48,29.53,30.01,353327
2024-12-11,29.7,33.01,29.7,33.0,547667
2024-12-12,34.0,36.08,33.5,35.81,885723
2024-12-13,36.89,36.89,34.0,34.5,126357
2024-12-16,34.99,37.95,34.0,37.67,744487
2024-12-17,38.49,38.7,35.3,36.64,290827
2024-12-18,36.9,37.0,35.5,35.99,243348
2024-12-19,36.0,36.46,33.05,33.47,241348
2024-12-20,33.99,34.99,33.33,34.64,115946
2024-12-23,35.75,36.0,34.8,35.68,120173
2024-12-24,36.5,36.99,35.0,35.37,102176
2024-12-26,34.03,36.3,34.02,35.23,22899
2024-12-27,35.6,36.98,35.6,35.79,45482
2024-12-30,36.88,39.0,35.55,38.38,159696
2024-12-31,38.0,38.7,37.55,38.02,118911
2025-01-01,38.99,40.9,38.06,38.5,72011
2025-01-02,38.99,38.99,37.06,37.31,106729
2025-01-03,36.98,39.0,36.01,37.06,86665
2025-01-06,38.0,38.0,36.01,36.44,53593
2025-01-07,36.99,37.95,35.1,36.39,149696
2025-01-08,36.5,37.4,35.5,35.97,28939
2025-01-09,35.0,36.0,34.15,35.21,20241
2025-01-10,34.5,36.95,34.0,36.0,33056
2025-01-13,35.3,38.0,35.3,35.93,47190
2025-01-14,35.75,36.5,35.59,36.35,11968
2025-01-15,33.16,36.8,33.16,36.0,14932
2025-01-16,35.5,36.99,35.35,35.48,14255
2025-01-17,36.49,36.5,35.69,36.33,7321
2025-01-20,36.48,37.1,36.4,36.8,89577
2025-01-21,37.85,37.85,36.4,36.4,13192
2025-01-22,36.1,36.74,35.51,35.66,31007
2025-01-23,36.79,36.79,35.02,35.36,3866
2025-01-24,36.85,36.85,35.01,35.08,119430
2025-01-27,35.75,35.75,35.0,35.0,6197
2025-01-28,35.49,35.49,34.12,34.51,21175
2025-01-29,34.45,35.9,34.4,35.0,72582
2025-01-30,35.88,35.88,34.85,35.49,5500
2025-01-31,36.5,36.5,34.61,35.02,5210
2025-02-03,35.0,35.5,34.98,35.0,3765
2025-02-04,35.98,35.98,34.56,34.65,2480
2025-02-06,36.0,36.0,34.21,34.5,6917
2025-02-07,35.5,35.69,34.5,35.0,22859
2025-02-10,34.0,35.49,33.93,34.0,33960
2025-02-11,34.9,34.9,33.75,34.0,53507
