date,open,high,low,close,volume
2023-11-01,13.56,13.56,13.56,13.56,500
2023-11-07,14.73,14.73,14.73,14.73,2500
2023-11-08,15.83,15.83,14.26,15.83,3000
2023-11-10,14.65,16.9,14.65,16,17500
2023-11-13,15.05,16.95,14.92,14.92,2500
2023-11-14,14.94,15.01,14.92,15.01,3500
2023-11-16,16,16.14,15.02,16.14,11500
2023-11-17,17.35,17.35,17,17,9000
2023-11-21,16.01,16.9,16.01,16.06,10500
2023-11-22,16.07,16.07,16.07,16.07,1000
2023-11-24,15.99,16,15.45,15.45,6500
2023-11-28,16,16,15.1,15.22,6500
2023-11-29,15.99,15.99,15.5,15.5,7500
2023-11-30,15.5,16.66,15.01,15.01,6500
2023-12-01,16,16,16,16,11500
2023-12-04,16,16.94,16,16.5,2000
2023-12-06,16,16,15.65,15.65,2000
2023-12-07,15.65,15.65,15.65,15.65,1000
2023-12-08,16.65,16.65,16.65,16.65,500
2023-12-11,16,16,16,16,500
2023-12-12,17.15,17.15,15.25,15.25,2000
2023-12-14,15,15,15,15,500
2023-12-15,15.96,16.13,15.96,16.11,11500
2023-12-18,16.49,16.5,15.31,15.31,1500
2023-12-20,14.55,14.55,14.55,14.55,500
2023-12-21,14.2,15.64,14.2,15.64,6500
2023-12-26,14.55,14.55,14.55,14.55,500
2023-12-28,13.51,15.64,13.51,15.64,8000
2024-01-02,16,16,14.5,14.5,3500
2024-01-03,15.5,15.59,15.5,15.5,3000
2024-01-04,14.55,14.55,14.55,14.55,500
2024-01-05,15.64,15.64,15.64,15.64,10000
2024-01-15,15.5,15.5,15.5,15.5,1000
2024-01-16,15.5,15.5,15.5,15.5,1000
2024-01-17,16.65,16.66,16.65,16.66,2500
2024-01-18,16.8,16.8,16.8,16.8,2000
2024-01-23,15.77,15.77,15.77,15.77,500
2024-01-26,16.95,16.95,16.95,16.95,500
2024-01-29,15.7,15.7,15.7,15.7,500
2024-02-01,14.55,14.55,14.55,14.55,500
2024-02-07,14.75,14.75,14.75,14.75,500
2024-02-09,15,15,13.7,13.7,1500
2024-02-13,15.01,15.01,15.01,15.01,500
2024-02-19,15,15,15,15,500
2024-02-21,16.13,16.13,16.13,16.13,500
2024-02-23,17.3,17.3,17.3,17.3,500
2024-02-28,16,16,16,16,1500
2024-02-29,15.11,16.47,15.1,16.47,7000
2024-03-01,17.1,17.1,15.23,15.23,6500
2024-03-04,15.01,15.01,15.01,15.01,500
2024-03-05,15.01,15.01,14.8,14.8,12500
2024-03-11,15.85,15.85,15.85,15.85,2500
2024-03-12,15.01,15.95,14.66,14.72,5000
2024-03-13,14.21,14.21,14.21,14.21,500
2024-03-14,14.24,15.19,14.24,15.19,5000
2024-03-18,15.45,15.45,15.45,15.45,500
2024-03-19,14.32,14.5,14.29,14.43,8000
2024-03-20,14,14,13.81,13.81,1000
2024-03-26,13.95,13.95,13.95,13.95,500
2024-03-28,13.8,13.8,13.8,13.8,500
2024-03-29,12.78,12.78,12.78,12.78,500
2024-04-08,12.5,13.5,12.5,13.5,1000
2024-04-18,13.01,14.35,13.01,14.35,2000
2024-04-19,15.19,15.19,14.99,14.99,1500
2024-04-22,14.05,15.75,14.05,15.22,3500
2024-04-23,14.08,14.32,14.08,14.32,2000
2024-04-24,14.74,14.75,13.32,13.32,1500
2024-04-25,13.26,14.27,13.26,13.4,1500
2024-04-26,13.1,13.1,13.1,13.1,1000
2024-04-29,14.06,14.1,14.06,14.1,1500
2024-04-30,15.16,15.16,15.16,15.16,8000
2024-05-02,16.3,16.3,16.3,16.3,5000
2024-05-03,17.52,17.52,17.52,17.52,1500
2024-05-06,18.83,18.83,17.98,18.83,16000
2024-05-07,20.24,20.24,20.24,20.24,10500
2024-05-08,21.76,21.76,21.75,21.76,5500
2024-05-09,23.39,23.39,23.39,23.39,3500
2024-05-10,25.14,25.14,25.14,25.14,9500
2024-05-13,27.03,27.03,27,27.03,9500
2024-05-14,29.06,29.06,29.05,29.06,9000
2024-05-15,31.24,31.24,31.24,31.24,3000
2024-05-16,33.58,33.58,33.58,33.58,14500
2024-05-17,36.1,36.1,36.1,36.1,9000
2024-05-20,38.81,38.81,36.2,38.81,56500
2024-05-21,41.72,41.72,41.72,41.72,3000
2024-05-22,44.85,44.85,44.84,44.85,24000
