date,open,high,low,close,volume
2024-06-03,4.12,4.12,4.12,4.12,536919
2024-06-04,4.7,4.75,3.92,4.02,1847685
2024-06-05,3.8,3.85,3.28,3.33,615947
2024-06-06,3.23,4.33,3.2,4,2749084
2024-06-07,4,4.4,3.61,3.91,1053436
2024-06-10,4.3,4.3,3.1,3.25,1199440
2024-06-11,3.2,3.7,2.56,2.74,637134
2024-06-12,2.76,3.1,2.74,2.88,139066
2024-06-13,2.99,3.19,2.23,2.93,1222805
2024-06-14,3.12,3.12,2.71,2.77,337883
2024-06-20,2.99,3.77,2.65,3.77,3581422
2024-06-21,4.34,4.35,3.82,4.04,2848301
2024-06-24,4.2,5.04,3.9,4.88,5098501
2024-06-25,4.85,5.25,4.32,4.84,6333875
2024-06-26,4.95,5.35,4.67,4.93,3140253
2024-06-27,5,5.23,4.83,5.11,933785
2024-06-28,5,5.49,5,5.04,2142237
2024-07-01,5.02,5.17,4.98,5,566833
2024-07-02,5,6,4.95,6,3050559
2024-07-03,6.84,7,5.71,5.96,4855065
2024-07-04,6,6.1,5.65,5.7,673800
2024-07-05,5.7,5.9,5.2,5.27,595936
2024-07-08,5.25,5.8,4.75,5.06,260938
2024-07-09,5.18,5.25,5,5.01,440846
2024-07-10,5.08,5.21,4.83,5,418281
2024-07-11,5.01,5.15,4.53,4.68,704790
2024-07-12,4.52,4.78,4.41,4.5,305976
2024-07-15,4.6,4.85,4.5,4.71,328769
2024-07-18,4.71,5.69,4.67,5.5,1841926
2024-07-19,5.5,5.8,5,5.09,372296
2024-07-22,5.01,5.14,4.7,4.88,154413
2024-07-23,4.99,5.09,4.55,4.72,147101
2024-07-24,4.8,4.89,4.5,4.75,182779
2024-07-25,4.9,5.7,4.5,5.44,1432077
2024-07-26,5.48,5.78,5.1,5.29,545037
2024-07-29,5.4,6.29,5.12,6.29,4220824
2024-07-30,6.5,6.75,6,6.68,6787784
2024-07-31,6.65,6.97,6.17,6.29,1457625
2024-08-01,6.3,6.45,6.02,6.25,463717
2024-08-02,6.29,6.35,5.81,5.97,354264
2024-08-05,6.17,6.87,5.8,6.1,1112814
2024-08-06,6.25,6.5,6.02,6.11,671919
2024-08-07,6.15,6.42,6,6.2,441189
2024-08-08,6.37,6.4,6.19,6.23,391691
2024-08-09,6.12,6.35,6.1,6.26,631990
