date,open,high,low,close,volume
2024-01-11,13.9,13.99,13.8,13.92,255000
2024-01-12,13.85,13.97,13.85,13.88,255500
2024-01-15,14.04,14.04,13.9,13.92,2430000
2024-01-16,13.95,13.96,13.83,13.9,552500
2024-01-17,13.98,13.98,13.8,13.81,670000
2024-01-18,13.88,13.93,13.81,13.86,1099500
2024-01-19,13.9,13.93,13.84,13.87,505000
2024-01-22,13.9,13.9,13.85,13.88,401500
2024-01-23,13.6,13.6,13.5,13.57,1238500
2024-01-24,13.59,13.61,13.5,13.59,564000
2024-01-25,13.6,13.62,13.55,13.56,445500
2024-01-26,13.55,13.71,13.55,13.61,198000
2024-01-29,13.73,13.73,13.55,13.59,237500
2024-01-30,13.68,13.68,13.53,13.54,388500
2024-01-31,13.6,13.69,13.54,13.55,333500
2024-02-01,13.65,13.65,13.51,13.59,552000
2024-02-02,13.56,13.65,13.49,13.59,353000
2024-02-06,13.65,13.65,13.54,13.56,256500
2024-02-07,13.64,13.64,13.54,13.56,368000
2024-02-09,13.51,13.6,13.46,13.6,113000
2024-02-12,13.64,13.64,13.5,13.56,369500
2024-02-13,13.56,13.6,13.5,13.55,256500
2024-02-14,13.56,13.6,13.54,13.6,543000
2024-02-15,13.59,13.68,13.5,13.52,411500
2024-02-16,13.52,13.62,13.52,13.58,121500
2024-02-19,13.59,13.6,13.53,13.55,171500
2024-02-20,13.65,13.65,13.54,13.58,184000
2024-02-21,13.56,13.59,13.55,13.59,128500
2024-02-22,13.56,13.64,13.55,13.64,209500
2024-02-23,13.61,13.65,13.55,13.6,606000
2024-02-26,13.65,13.75,13.62,13.74,2716500
2024-02-27,13.75,13.75,13.65,13.68,342500
2024-02-28,13.61,13.78,13.56,13.74,4329500
2024-02-29,13.75,13.8,13.65,13.7,148500
2024-03-01,13.75,13.78,13.6,13.6,789000
2024-03-04,13.6,13.8,13.6,13.75,265000
2024-03-05,13.75,13.85,13.75,13.78,170000
2024-03-06,13.78,13.83,13.75,13.81,123000
2024-03-07,13.8,13.85,13.8,13.85,1031500
2024-03-08,13.85,13.85,13.75,13.8,101000
2024-03-11,13.85,13.98,13.75,13.9,3391000
2024-03-12,13.87,13.9,13.7,13.85,141000
2024-03-13,13.83,13.95,13.83,13.86,564500
2024-03-14,13.86,13.95,13.86,13.94,76500
2024-03-15,13.91,14,13.91,13.92,142500
2024-03-18,14,14,13.92,13.99,64000
2024-03-19,13.98,14,13.94,13.98,630500
2024-03-20,14,14,13.97,13.97,121000
2024-03-21,14,14.02,13.9,13.96,205500
2024-03-22,13.96,14.04,13.9,14,368000
2024-03-25,14,14,13.91,13.98,84500
