date,open,high,low,close,volume
2024-01-17,3.5,3.54,3.36,3.4,94000
2024-01-18,3.28,3.5,3.12,3.47,161000
2024-01-19,3.35,3.5,3.25,3.38,116000
2024-01-22,3.45,3.45,3.25,3.29,30000
2024-01-23,3.26,3.28,3.25,3.25,49000
2024-01-24,3.25,3.6,3.25,3.44,251500
2024-01-25,3.6,3.9,3.45,3.55,1374000
2024-01-26,3.55,3.7,3.4,3.41,189500
2024-01-29,3.4,3.5,3.2,3.26,172500
2024-01-30,3.31,3.31,3.1,3.12,481500
2024-01-31,3.43,3.43,3.01,3.17,194000
2024-02-01,3.13,3.2,3.01,3.2,223500
2024-02-02,3.2,3.35,3.13,3.26,600500
2024-02-06,3.11,3.35,3.06,3.27,54000
2024-02-07,3.21,3.4,3.15,3.26,28500
2024-02-09,3.2,3.4,3.19,3.19,51000
2024-02-12,3.35,3.35,3,3.02,122500
2024-02-13,2.77,3.1,2.77,3.02,216500
2024-02-14,3.1,3.2,3.08,3.19,182000
2024-02-15,3.18,3.25,3.1,3.15,101000
2024-02-16,3.26,3.26,2.93,2.95,96000
2024-02-19,3.03,3.19,3,3.13,48500
2024-02-20,3.18,3.18,3.05,3.05,27000
2024-02-21,3.16,3.25,3.1,3.23,87000
2024-02-22,3.25,3.3,3.14,3.14,122000
2024-02-23,3.03,3.79,3.03,3.52,1865500
2024-02-26,3.73,3.74,3.36,3.41,410000
2024-02-27,3.43,3.43,3.2,3.22,301000
2024-02-28,3.16,3.39,3.16,3.27,236500
2024-02-29,3.39,3.39,3.25,3.28,122000
2024-03-01,3.17,3.67,3.17,3.65,541000
2024-03-04,3.7,3.77,3.6,3.67,675000
2024-03-05,3.75,3.75,3.4,3.44,190500
2024-03-06,3.59,3.59,3.33,3.35,118500
2024-03-07,3.35,3.36,3.08,3.22,938500
2024-03-08,3.22,3.38,3.22,3.28,57000
2024-03-11,3.25,3.48,3.25,3.32,24500
2024-03-12,3.31,3.31,3.2,3.2,24500
2024-03-13,3.2,3.3,3.13,3.15,95000
2024-03-14,3.48,3.48,3.18,3.33,5000
2024-03-15,3.2,3.3,3.13,3.19,74500
2024-03-18,3.2,3.2,3.11,3.14,32000
2024-03-19,3.18,3.29,3.11,3.16,55500
2024-03-20,3.2,3.3,3.2,3.25,43500
2024-03-21,3.25,3.25,3.1,3.13,155500
2024-03-22,3.12,3.25,3.11,3.22,14500
2024-03-25,3.11,3.15,3.09,3.09,70500
2024-03-26,3.11,3.11,2.96,3.01,182000
2024-03-27,3,3.05,2.95,3,118500
2024-03-28,2.95,3,2.85,2.98,135500
2024-03-29,3.09,3.09,2.92,2.95,11500
2024-04-01,3.14,3.14,2.95,2.97,15000
2024-04-02,3,3,2.93,2.97,43000
2024-04-03,3.1,3.14,2.95,3.08,15500
2024-04-04,3.01,3.1,3,3.01,50000
2024-04-08,3.08,3.1,3,3.08,21500
2024-04-09,3.14,3.14,2.96,3.02,7000
2024-04-15,3.1,3.1,2.99,3.07,27500
2024-04-16,3.1,3.25,3.01,3.21,190000
2024-04-17,3.24,3.4,3.18,3.26,429500
2024-04-18,3.4,3.4,3.15,3.25,156500
2024-04-19,3.12,3.96,2.51,3.54,2865000
2024-04-22,3.69,3.9,3.51,3.53,1239000
2024-04-23,3.54,3.63,3.36,3.5,220000
2024-04-24,3.39,3.7,3.33,3.65,401000
2024-04-25,3.78,3.79,3.51,3.56,334500
2024-04-26,3.51,3.83,3.48,3.62,480000
2024-04-29,3.65,3.74,3.31,3.51,147500
2024-04-30,3.65,3.65,3.41,3.42,220500
2024-05-02,3.45,3.55,3.34,3.48,94500
2024-05-03,3.4,3.5,3.25,3.44,121000
2024-05-06,3.35,3.4,3.28,3.3,193000
2024-05-07,3.3,3.35,3.22,3.24,105000
2024-05-08,3.25,3.3,3.16,3.19,209000
2024-05-09,3.2,3.45,3.2,3.3,329000
2024-05-10,3.38,3.65,3.37,3.5,295500
2024-05-13,3.33,3.59,3.33,3.44,69000
2024-05-14,3.55,3.55,3.35,3.37,245000
2024-05-15,3.38,3.54,3.28,3.32,164500
2024-05-16,3.4,3.52,3.4,3.47,517000
2024-05-17,3.5,3.95,3.5,3.68,2431500
2024-05-20,3.74,3.74,3.4,3.61,301000
2024-05-21,3.73,4.46,3.6,4.24,5684000
2024-05-22,4.09,4.19,3.85,3.87,2467500
2024-05-23,4,4.1,3.75,4,1063000
2024-05-24,4.1,4.3,3.9,4.02,1311000
2024-05-27,4.06,4.18,3.9,3.97,981297
2024-05-29,3.91,4.09,3.6,3.63,687947
2024-05-30,3.75,4.25,3.5,4.14,2005003
2024-05-31,4.25,4.28,3.94,4.06,996074
2024-06-03,4.18,4.18,3.87,3.92,614530
2024-06-04,4.09,4.09,3.71,3.79,352016
2024-06-05,3.99,3.99,3.6,3.68,752306
2024-06-06,3.93,4.59,3.6,4.05,3130676
2024-06-07,4.17,4.53,3.96,4.08,2621593
2024-06-10,4.29,4.3,3.87,3.93,340513
2024-06-11,4.15,4.15,3.5,3.59,524690
2024-06-12,3.89,3.89,3.5,3.64,305703
2024-06-13,3.87,3.87,3.6,3.71,121002
2024-06-14,3.8,3.8,3.62,3.64,247590
2024-06-20,3.95,3.95,3.57,3.74,64664
2024-06-21,3.74,3.74,3.2,3.58,179264
2024-06-24,3.87,3.87,3.5,3.57,291565
2024-06-25,3.55,3.67,3.32,3.4,292197
2024-06-26,3.28,3.55,3.1,3.21,437580
2024-06-27,3.1,3.47,3.1,3.29,80914
2024-06-28,3.26,3.58,3.11,3.44,343854
2024-07-01,3.58,3.58,3.25,3.39,94261
2024-07-02,3.32,3.6,3.3,3.55,296129
2024-07-03,3.69,3.69,3.41,3.44,167665
2024-07-04,3.6,3.6,3.33,3.42,179644
2024-07-05,3.49,3.5,3.11,3.35,119983
2024-07-08,3.3,3.7,3.25,3.42,166491
2024-07-09,3.5,3.71,3.26,3.62,746275
2024-07-10,3.69,3.92,3.53,3.62,741686
2024-07-11,3.77,3.77,3.33,3.41,421470
2024-07-12,3.32,3.48,3.05,3.4,43269
2024-07-15,3.1,3.47,3.1,3.35,135915
2024-07-18,3.27,3.49,3.26,3.42,584563
2024-07-19,3.6,3.6,3.31,3.46,297141
2024-07-22,3.4,3.42,3.17,3.24,107926
2024-07-23,3.44,3.44,3.3,3.34,206418
2024-07-24,3.32,3.6,3.32,3.51,608798
2024-07-25,3.4,3.91,3.4,3.65,1305949
2024-07-26,3.46,3.99,3.46,3.55,286331
2024-07-29,3.53,3.89,3.53,3.79,846107
2024-07-30,3.89,4.2,3.8,3.87,1395730
2024-07-31,4,4,3.7,3.78,613779
2024-08-01,3.78,3.9,3.7,3.77,165931
2024-08-02,3.95,3.95,3.63,3.7,196552
2024-08-05,3.88,4.1,3.75,3.86,1665900
2024-08-06,3.95,4.19,3.7,4.06,1724568
2024-08-07,4.19,4.5,4,4.12,1992491
2024-08-08,4.2,4.25,3.95,3.99,636155
2024-08-09,4,4.29,3.95,4.17,985577
2024-08-12,4.25,4.99,4.25,4.81,4367613
2024-08-13,5.04,5.09,4.53,4.78,4401044
2024-08-15,4.91,4.91,4.61,4.84,1429866
2024-08-16,4.67,5.65,4.67,5.21,2800923
2024-08-19,5.28,5.44,4.31,4.5,2539614
2024-08-20,4.6,5.22,4.3,5.01,1128212
2024-08-21,5.29,5.75,5.05,5.6,3139480
2024-08-22,5.79,5.8,5.38,5.59,1599917
2024-08-23,5.52,5.53,5,5.1,1267959
2024-08-26,4.68,5.29,4.68,5.11,432889
2024-08-27,5.2,5.38,5.15,5.23,1897962
2024-08-28,5.2,5.36,4.9,4.96,1623717
2024-08-29,4.9,5.3,4.9,5.08,849699
2024-08-30,5.07,5.4,5,5.08,1293607
2024-09-02,4.99,5.2,4.76,4.8,956574
2024-09-03,4.65,5.15,4.63,5.1,685938
2024-09-04,4.94,5.69,4.91,5.3,2502487
2024-09-05,5.48,5.57,5.1,5.15,1257532
2024-09-06,5.01,5.38,5.01,5.18,939811
2024-09-09,5.25,5.28,5.04,5.11,322078
2024-09-10,5.2,5.28,5.02,5.11,74138
2024-09-11,5.06,5.15,4.92,4.99,238694
2024-09-12,5.01,5.06,4.81,4.94,339969
2024-09-13,5.08,5.15,4.85,4.98,264419
2024-09-16,4.41,4.99,4.41,4.73,84337
2024-09-18,4.9,4.9,4.4,4.43,489373
2024-09-19,4.53,4.75,4.15,4.25,483927
2024-09-20,4.26,4.45,4,4.22,100471
2024-09-23,4.42,4.44,4.07,4.14,146943
2024-09-24,4.01,4.4,4.01,4.23,113169
2024-09-25,4.2,4.45,4.2,4.36,124617
2024-09-26,4.52,4.52,4.22,4.27,74946
2024-09-27,4.05,4.3,4.05,4.26,70223
2024-09-30,4.15,4.4,3.61,3.98,204364
2024-10-01,4.24,4.24,3.8,3.94,206978
2024-10-02,4,4.18,3.86,3.88,67403
2024-10-03,3.99,3.99,3.75,3.8,46145
2024-10-04,3.6,4.1,3.52,3.91,148864
2024-10-07,3.92,4,3.75,3.95,92477
2024-10-08,3.83,4.05,3.81,3.91,52686
2024-10-09,3.89,4,3.79,3.93,119385
2024-10-10,3.95,4.1,3.95,4.1,114543
2024-10-11,4,4.75,3.65,4.11,94185
2024-10-14,4.22,4.22,3.9,3.95,268440
2024-10-15,3.91,4.1,3.91,3.99,59376
