date,open,high,low,close,volume
2023-01-26,38.5,38.5,38.5,38.5,500
2023-04-28,35.65,35.65,35.65,35.65,1000
2023-05-31,31.17,35,31.17,35,1000
2023-10-05,31,31,31,31,500
2023-10-16,31,33.33,31,33.33,4500
2023-10-31,33.33,33.33,33.33,33.33,2000
2023-12-29,35.47,35.47,35.47,35.47,1000
2024-01-10,35,35,32.5,32.5,1000
2024-01-15,32,32,32,32,1000
2024-02-29,34,34,34,34,1000
2024-03-14,29.58,29.58,29.58,29.58,1000
2024-03-19,27.36,27.36,27.36,27.36,1000
2024-06-03,25.17,25.17,25.17,27.36,1
2024-06-04,28,28,28,27.36,2
2024-06-20,22.9,22.9,22.9,25.03,2
2024-08-07,27,27,27,25.03,10
2024-08-09,27.45,27.45,27.45,27.45,2500
2024-08-13,24.75,24.75,24.71,24.74,510
2024-08-16,22.3,22.5,22.27,22.29,520
2024-08-27,20.06,24.52,20.06,23.23,200
2024-08-28,21.2,21.2,21,21,500
2024-09-05,23.1,23.1,19,21,13
2024-09-09,19.6,19.6,19,19.37,1500
2024-09-11,20.8,20.8,19.01,19.01,1506
2024-09-12,20.49,20.49,19.02,20.49,502
2024-09-16,0,0,0,20.49,10
2024-09-19,21,21,19.01,20.49,2
2024-09-20,19.01,20.99,19.01,20.99,2982
2024-10-01,19.01,19.01,19,19,4000
2024-10-02,19.02,19.02,19.02,19,1
2024-10-04,20.89,20.89,20.89,20.89,3000
2024-10-08,19.01,19.01,19.01,19.01,500
2024-10-14,19.01,19.01,19.01,19.01,1600
2024-10-16,19.01,20.85,17.11,20.58,6059
2024-10-17,20,20,20,20,1000
2024-10-21,20.5,22.09,20.5,20.5,27
2024-10-23,20.5,20.5,20.5,20.5,500
2024-10-28,22.49,22.49,19.01,20.5,1002
2024-10-29,22.49,22.49,19.01,20.5,3
2024-10-30,0,0,0,20.5,10
2024-10-31,20.5,20.5,19.6,19.6,1100
2024-11-07,19.6,19.6,19.6,19.6,26
2024-11-14,0,0,0,19.6,2500
2024-11-15,21.55,21.55,20,19.6,42
2024-11-28,0,0,0,19.6,551
2024-12-02,20,20,20,19.6,201
2024-12-03,19.01,19.01,19.01,19.6,100
2024-12-06,18.1,20,18.1,19.6,1001
2024-12-09,19.5,21.45,19.5,19.6,516
2024-12-10,21,21.55,19.01,20.26,1645
2024-12-12,19.01,21.14,19.01,19.01,702
2024-12-16,18.11,19.01,17.11,19,2571
2024-12-17,18.01,19,18.01,19,1500
2024-12-18,20.6,20.9,19.2,19.5,3541
2024-12-19,19.3,19.3,19.3,19.3,507
2024-12-27,0,0,0,19.3,100
2024-12-31,19.01,20.49,19,19.82,1650
2025-01-01,19.02,20.2,19.02,19.82,301
2025-01-02,20.19,20.19,20.19,19.82,1
2025-01-08,20,20,20,19.82,2
2025-01-09,20.1,20.1,20.1,19.82,3
2025-01-15,18.23,18.23,18.23,19.82,1
2025-01-22,18.2,19.5,18.2,19.5,1227
2025-01-23,21,21,20,19.5,453
2025-01-24,21.2,21.2,21.2,19.5,2
2025-01-31,21.2,21.2,18.3,19.5,201
2025-02-07,18.2,21.2,18.2,19.5,474
2025-02-13,18.2,20,18,20,1600
2025-02-14,21.25,21.25,21.25,21.25,800
2025-02-18,22.8,22.8,22.69,21.25,109
2025-02-19,0,0,0,21.25,4
2025-02-20,21.3,21.3,21.3,21.25,1
2025-02-24,21,21.8,21,21.25,45
2025-03-03,19.3,19.3,19.3,21.25,45
2025-03-04,23.12,23.12,23.12,23.12,2000
2025-03-05,23,23,21.5,23.12,50
2025-03-17,21.1,23,21.1,23.12,101
2025-03-20,22.99,25.43,22.99,25.42,11230
2025-03-21,25.43,27.96,23.01,27.96,3361
2025-03-24,30.76,30.76,25.16,30.75,772
2025-03-25,33.3,33.3,27.68,30.75,5
2025-03-26,33,33,33,30.75,1
2025-03-27,33.83,33.83,33.83,33.83,601
2025-04-03,36.53,36.54,36.53,36.54,12041
2025-04-04,40.19,40.19,39.94,36.54,50
2025-04-10,32,32,32,32,453
2025-04-11,28.8,35.2,28.8,29.2,533
2025-04-14,32.12,32.12,26.28,26.36,3722
2025-04-15,29,29,28.9,26.36,6
2025-04-16,28.99,28.99,23.72,25.21,1673
2025-04-17,27.73,27.73,25.21,25.21,408
2025-04-18,27.7,27.7,27.7,25.21,30
2025-04-21,27.7,27.73,23.7,27.73,17194
2025-04-22,25,30.5,25,30.5,1597
2025-04-23,33.55,33.55,27.52,31.14,4020
2025-04-24,28.03,34.25,28.03,28.17,22718
2025-04-25,28.15,28.15,25.38,27.5,1756
2025-04-28,28.15,28.15,24.76,24.9,961
2025-04-29,27,27,22.5,23.91,962
2025-04-30,25,25,23,23.91,13
2025-05-02,25,25,24.9,23.91,207
2025-05-05,24,25,22,23.91,274
2025-05-06,24.99,24.99,21.52,21.79,879
2025-05-07,19.61,22.99,19.61,19.76,3748
2025-05-08,19.25,21.7,18,21.69,2049
2025-05-09,23.8,23.8,21.69,21.99,542
2025-05-12,24,24,24,24,1006
2025-05-13,24,26.4,24,25.13,710
2025-05-14,22.62,27.4,22.62,26.2,2545
2025-05-15,26.07,26.07,24,24.95,701
2025-05-16,23,23,23,24.95,1
2025-05-19,22.66,26.96,22.5,23.16,6762
2025-05-20,23.2,23.3,23.2,23.16,85
2025-05-21,23.2,25.25,22.9,23.15,1605
2025-05-22,24,24.98,24,23.15,58
2025-05-23,24.01,24.01,24,23.15,306
2025-05-26,25,25,20.84,22.65,718
2025-05-27,23,23.98,23,22.65,22
2025-05-29,24.19,24.19,22.1,22.65,212
2025-05-30,23.86,23.86,23.86,22.65,1
2025-06-02,23.89,23.89,22.23,22.65,39
2025-06-03,22,23.99,20.41,23.8,1703
2025-06-04,23.5,23.5,22.11,23.8,149
2025-06-05,23.49,24.99,21.6,21.89,3152
2025-06-11,23.59,23.59,23,21.89,135
2025-06-12,23.8,23.8,21.12,23.36,1613
2025-06-16,23.5,23.6,23.5,23.51,911
2025-06-17,25,25,23.6,23.51,1102
2025-06-18,23,23.49,23,23,842
2025-06-19,23.6,23.61,23.6,23.6,1131
2025-06-25,25.3,25.3,25.3,23.6,1
2025-06-26,24.5,25.3,22.8,23.6,228
2025-06-27,25.4,25.4,25.4,23.6,51
2025-06-30,22.22,23.53,22.22,23.6,500
2025-07-02,23.6,23.6,21.83,23.6,510
2025-07-03,0,0,0,23.6,500
2025-07-04,23.6,23.6,23.6,23.6,1100
2025-07-07,24.49,25.3,22.12,23.6,416
2025-07-08,25.34,25.34,25.34,23.6,535
2025-07-09,25.39,25.39,25.29,23.6,212
2025-07-10,21.94,21.94,21.92,23.6,202
2025-07-11,24.49,25.4,22.21,23.42,1164
2025-07-14,22.33,24.98,22.11,23.42,42
2025-07-15,23.03,25.74,23.03,23.42,4
2025-07-18,25.76,25.76,25.75,25.76,1830
2025-07-21,23.3,23.55,23.3,25.76,111
2025-07-22,23.6,28,23.6,25.76,178
2025-07-23,25.76,27.95,24.52,27.72,568
2025-07-24,27,30.49,25.1,30.49,2188
2025-07-25,33,33.54,27.45,33.52,2271
2025-07-28,36.85,36.87,36.85,36.87,1193
2025-07-29,40.51,40.56,36.9,40.56,2954
2025-07-30,44.62,44.62,37.01,38.39,5779
2025-07-31,40.75,40.75,38.01,38.01,3516
2025-08-01,34.21,41.81,34.21,34.58,7593
2025-08-04,37.7,37.7,31.23,31.49,2085
2025-08-05,34,34,29.5,32.03,763
2025-08-06,35,35,28.91,33.42,2333
2025-08-07,36.75,36.75,30.11,36.35,2281
2025-08-08,32.76,39.99,32.76,38.73,3439
2025-08-11,34.9,42.6,34.86,35.48,4369
2025-08-12,35.35,35.5,32.01,34.93,3354
2025-08-13,36,36,31.8,34.93,434
2025-08-15,31.5,36.48,31.5,33.58,878
2025-08-18,32.31,32.31,30.51,33.58,153
2025-08-19,30.51,35.4,30.51,31.44,505
2025-08-20,28.6,34.5,28.6,33.72,3050
2025-08-21,35,35.9,31,33.72,127
2025-08-22,36.3,37.09,32.1,36.58,4028
2025-08-25,33.32,38,33.32,37.44,974
2025-08-26,33.7,36.5,33.7,36,3308
2025-08-27,32.4,37,32.4,36,346
2025-08-28,39.5,39.5,34.11,36,340
2025-08-29,33.31,37.43,33.31,36,303
2025-09-01,32.4,37.43,32.4,34.14,2840
2025-09-02,35,35,31.3,34.14,236
2025-09-03,35,35,35,35,1299
2025-09-05,34.62,36.8,32.3,36.8,719
2025-09-08,36.8,36.8,36.8,36.8,799
2025-09-10,36,36,36,36,675
2025-09-11,39.4,39.6,34.01,39.02,2095
2025-09-12,39.02,42.92,36.3,42.92,1897
2025-09-15,47.21,47.21,47.2,47.21,5963
2025-09-16,50.99,50.99,42.6,42.95,2405
2025-09-17,46.49,47.25,46.49,47.12,8020
2025-09-18,48,51.83,48,51.83,4186
2025-09-19,56,57.01,46.65,56.85,2998
2025-09-22,57,57,51.25,52.13,1918
2025-09-23,52,56.96,48,52.13,567
2025-09-24,56,56,54.99,52.13,352
2025-09-25,48.16,52.74,48.1,50.06,720
2025-09-26,46.51,55.07,46.51,50.06,412
2025-09-29,55.07,55.07,47.72,50.06,672
2025-09-30,47,54,47,50.06,74
2025-10-01,47.3,47.3,47.3,50.06,100
2025-10-02,53,53.85,46.88,53.28,523
2025-10-03,54.85,54.9,54.85,53.28,14
2025-10-06,49,52.5,48.72,53.28,46
2025-10-07,52.53,53,48.05,53.28,526
2025-10-08,53.99,53.99,49,53.28,204
2025-10-09,54,54,53.75,53.28,16
2025-10-10,49,49,49,53.28,68
2025-10-13,49,52,47.96,53.28,109
2025-10-14,53.28,58.61,53,58.17,3353
2025-10-15,63.99,63.99,53.5,58.17,328
2025-10-16,52.4,63.99,52.4,63.74,695
2025-10-17,63,70.11,60,63.61,4526
2025-10-20,58,63.65,57.25,58,5052
2025-10-21,63.5,63.5,55,58,590
2025-10-22,63.4,63.4,63.4,58,1
2025-10-23,58,58,58,58,1
2025-10-24,56.01,56.01,56.01,58,1
2025-10-27,55.01,57.97,55.01,58,104
2025-10-28,55.01,55.01,55.01,58,1
2025-10-31,52.25,62.99,52.25,62.61,977
2025-11-03,57,57.05,57,62.61,21
2025-11-04,57,57,56.41,56.53,686
2025-11-05,52.05,52.05,52.01,54.41,350
2025-11-06,54.41,54.41,54,54.41,53
2025-11-07,59.85,59.85,59.85,54.41,250
2025-11-11,57.86,57.86,50.1,54.41,51
2025-11-12,57.78,57.78,57.78,54.41,13
2025-11-13,55,59.85,55,54.41,262
2025-11-17,55,55,55,54.41,1
2025-11-20,49.05,58.5,49.05,54.41,1075
2025-11-21,56.9,56.9,56.9,54.41,100
2025-11-25,59.85,59.85,49.25,54.41,200
2025-11-26,50.01,59,50.01,54.41,29
2025-11-27,49.21,59,49.21,54.41,32
2025-11-28,58.42,58.42,58.42,54.41,17
2025-12-01,49.51,59.85,49.51,54.41,324
2025-12-02,59,59,59,54.41,1
2025-12-03,59,59,52.02,54.41,56
2025-12-04,51.01,59.8,49,53.53,1152
2025-12-05,50.5,54.99,50.5,53.53,406
2025-12-08,54,58.8,54,53.53,223
