date,open,high,low,close,volume
2023-01-12,114,123.03,114,117.25,900
2023-01-26,108.23,116.9,108.23,109.72,700
2023-01-27,102.01,109.99,102,102,2500
2023-01-30,96,96,94.4,95.47,300
2023-01-31,101.99,101.99,95.47,95.47,100
2023-02-06,102,102.63,102,102.63,2000
2023-02-22,100,100.25,93.83,93.83,200
2023-03-01,93.83,93.83,93.83,93.83,100
2023-03-07,83.5,90,83.5,89.95,800
2023-03-21,94,94,89.95,89.95,600
2023-05-29,87.95,88.73,87.95,88.71,900
2023-06-01,82.06,82.06,82.06,82.06,500
2023-06-05,87.9,87.9,87.9,87.9,2000
2023-06-06,81.31,89.9,81.31,89.9,1000
2023-12-12,80,80.1,80,80.1,1000
2023-12-13,75,75,75,75,500
2024-06-03,79.99,79.99,68.14,74.07,268
2024-06-04,77.99,77.99,77.99,74.07,1
2024-06-06,77,77,77,74.07,1
2024-06-07,76.9,76.9,76.9,74.07,1
2024-06-11,74,74,74,74.07,1
2024-06-12,73,73,72,74.07,2
2024-06-14,67.77,68.01,67.77,67.91,453
2024-06-20,67.89,67.89,66.99,67.91,50
2024-06-21,68,68,68,67.91,100
2024-06-24,61.93,62.5,61.93,65.6,330
2024-06-27,67,67,67,65.6,100
2024-06-28,59.7,71.5,59.7,69.89,2301
2024-07-02,68,68,63.6,69.89,234
2024-07-04,74.8,74.8,74.8,69.89,50
2024-07-09,63.25,63.25,63.25,63.25,943
2024-07-11,63.4,67,63.3,65.12,397
2024-07-25,58.65,58.74,58.65,65.12,360
2024-08-06,58.61,65,58.61,58.79,1019
2024-08-21,63.66,63.66,63.66,63.66,500
2024-08-23,57.29,58,57.29,63.66,2
2024-08-26,57.29,59,57.29,57.33,1124
2024-08-28,60,60,60,57.33,1
2024-08-29,60,60,60,60,1000
2024-08-30,60,60,60,60,324
2024-09-02,60.1,60.1,54,54.02,556
2024-09-06,54.02,54.02,54.02,54.02,1000
2024-09-16,55.7,57.7,55.7,54.02,300
2024-09-19,57.7,57.7,57.7,54.02,1
2024-09-20,59,59,48.62,54.02,8
2024-09-23,59,59,59,54.02,4
2024-09-24,55,55,55,54.02,6
2024-09-25,56.7,57.7,56.7,54.02,300
2024-09-26,56.6,56.6,56.5,56.5,800
2024-09-27,56.5,56.5,56.5,56.5,204
2024-09-30,56.5,56.5,56.5,56.5,422
2024-10-02,62,62,62,56.5,79
2024-10-03,50.86,56,50.86,56.5,106
2024-10-04,51,60,51,56.5,17
2024-10-07,0,0,0,56.5,4500
2024-10-11,0,0,0,56.5,4500
2024-10-14,59.5,59.5,59.5,56.5,6
2024-10-16,61.98,61.98,61.98,56.5,1
2024-10-18,56,56,50.85,54.79,2902
2024-10-21,54.79,54.79,54.79,54.79,691
2024-10-22,56.5,56.5,56.5,54.79,5
2024-10-23,54,54,54,54.79,1
2024-10-28,54.79,54.79,49.37,54.79,217
2024-10-29,60,60,51.37,54.79,61
2024-10-31,60,60,50,54.79,7
2024-11-04,53.5,53.5,52.9,54.79,150
2024-11-05,60.27,60.27,49.5,54.79,122
2024-11-07,49.34,49.34,49.34,54.79,1
2024-11-14,60,60,49.41,54.79,23
2024-11-15,49.31,54,49.31,54.79,2
2024-11-18,54.79,54.79,49.33,54.79,6
2024-11-19,54,54,54,54.79,5
2024-11-20,55,60,49.37,54.79,165
2024-11-21,54.79,58,54.79,54.79,11
2024-11-25,51,57,50,54.79,11
2024-11-26,58,58,58,54.79,1
2024-11-27,58,58,57.6,54.79,11
2024-11-28,58,58,58,54.79,1
2024-11-29,55,55,55,54.79,300
2024-12-02,58,58,58,54.79,1
