date,open,high,low,close,volume
2023-10-12,222.27,222.27,222,222.01,1100
2023-10-13,226,234.99,226,234.99,300
2023-10-17,220,220,218,218,2000
2023-10-18,225,229.74,225,227.37,200
2023-10-19,212.2,212.2,210.36,211.51,900
2023-10-20,215,224.9,210.01,219,500
2023-10-23,220.99,234.5,220.99,224.87,500
2023-10-24,233.98,233.98,233.98,233.98,200
2023-10-25,220.01,228.93,220,228.93,500
2023-10-27,229.9,238.99,229.9,235.96,300
2023-10-30,238.99,240,230,239.33,1500
2023-10-31,237,245,230.5,241.53,7000
2023-11-01,245.49,259.64,245,253.5,20800
2023-11-02,255,255,245,246.66,2400
2023-11-03,248.99,250,248.99,249.82,13100
2023-11-06,249.82,254.98,249,249,3600
2023-11-07,249,250,245,245,2000
2023-11-10,227.01,243.98,226.63,243.98,2400
2023-11-14,250,255,240,247.5,1600
2023-11-17,230.01,239.99,230,239.5,1800
2023-11-20,236,236,236,239.5,100
2023-11-23,235,239.99,235,239.99,500
2023-11-24,235,235,235,239.99,100
2023-11-28,225.01,231.99,225.01,231.99,3600
2023-11-29,229,230,229,230,400
2023-11-30,227,227,227,227,200
2023-12-01,234.5,239.99,234.5,237.88,800
2023-12-04,235,236,230,230.01,2800
2023-12-05,239.98,239.98,239.98,239.98,200
2023-12-06,230,231,230,230.17,5700
2023-12-07,238.34,238.34,238.34,238.34,200
2023-12-08,232,239.5,232,236.13,600
2023-12-11,218.42,238.15,218.42,234,1700
2023-12-12,223,237.79,220.01,237.79,4500
2023-12-13,224,230,224,228.57,1900
2023-12-14,212.25,222.99,212.25,222.99,600
2023-12-15,220,224,220,223.67,1400
2023-12-19,236.49,236.49,221,228,300
2023-12-20,223,223,217,220,200
2023-12-26,226.39,226.39,226.39,226.39,200
2023-12-27,227.94,227.95,210.01,219.45,9400
2023-12-28,226.85,226.85,226.85,226.85,700
2023-12-29,210,218,210,215.5,2800
2024-01-01,219.49,219.49,219.49,219.49,200
2024-01-02,215,215,215,219.49,100
2024-01-04,219.99,219.99,219.99,219.49,600
2024-01-08,215,227.4,215,226.89,3700
2024-01-09,229.65,229.68,229.65,229.67,9200
2024-01-16,228.99,236,228.99,232.83,7800
2024-01-17,229.01,229.01,229,229,900
2024-01-18,231,232,231,231.5,200
2024-01-23,233.49,234.99,233.49,233.99,600
2024-01-24,234,251.54,234,242.52,2000
2024-01-26,238.9,238.99,225,238.99,2400
2024-01-31,238.9,238.9,238.9,238.9,1000
2024-02-06,239,249.99,235,245.7,1700
2024-02-13,238.99,238.99,238.99,238.99,13600
2024-02-14,255,255,240,250,4200
2024-02-15,264.97,264.97,237.99,238,3300
2024-02-19,238.9,238.9,238.9,238.9,2500
2024-02-20,221.11,239.95,221.11,239.95,6500
2024-02-22,244.99,244.99,230,230,300
2024-02-23,237,237,237,237,200
2024-02-26,220,220,220,237,100
2024-02-28,220,254.78,220,254.78,6400
2024-02-29,239,239,238,238.5,200
2024-03-01,238.89,253.99,238.89,253.99,1600
2024-03-04,249.99,250,235.01,240,2700
2024-03-06,244.75,244.75,244.75,244.75,1000
2024-03-07,232,233,232,233,1200
2024-03-08,236,250.48,236,239.69,13700
2024-03-12,243,243,239,239,3600
2024-03-13,224,233.95,222,233.48,900
2024-03-14,236,238.99,236,237.5,400
2024-03-18,221.25,239,221,231.89,800
2024-03-19,224,229,221.21,226.37,2700
2024-03-20,229,229.9,229,229.36,400
2024-03-25,229.85,229.85,229.85,229.85,1000
2024-03-26,228.9,237,228.9,232.95,1200
2024-03-27,225,225,215.48,219.95,10200
2024-03-28,220,222.95,220,222.95,500
2024-03-29,229,229,229,229,200
2024-04-03,229,235,224,227,1300
2024-04-04,229.88,235,229.88,230.55,3800
2024-04-08,236.9,238,236.9,237.45,200
2024-04-09,244.99,244.99,244.99,244.99,200
2024-04-15,250,250,250,250,1500
2024-04-17,248.7,248.7,248.7,248.7,200
2024-04-22,249,249,249,248.7,8
2024-04-25,260.95,260.95,260.95,260.95,100
2024-04-26,242,242,242,260.95,22
2024-04-29,241.38,245,241.38,260.95,87
2024-05-02,241.38,262.9,241.38,260.7,66
2024-05-06,249,253.79,242.2,252.81,6327
2024-05-07,270,271.77,234.5,255,6254
2024-05-08,254.9,254.9,240.25,255,195
2024-05-13,240,249,240,255,20
2024-05-14,245,254.99,242,253.43,303
2024-05-15,243.5,252,235,249.89,514
2024-05-16,245,245,231.15,235.44,2222
2024-05-17,222,239,222,234.99,2180
2024-05-20,221.25,228.84,220.11,221.02,5320
2024-05-21,228.86,228.86,223,221.02,101
2024-05-22,220.2,228.85,220,228.78,1498
2024-05-24,228.78,239.9,213.25,238.88,750
2024-05-27,238.88,240,236,236,716
2024-05-29,235.99,235.99,235.99,236,10
2024-05-31,230,230,218,236,57
2024-06-03,220.01,235.9,220.01,236,3
2024-06-04,236,236,236,236,21
2024-06-06,230,230,230,236,10
2024-06-10,216.2,233,216.2,236,38
2024-06-11,217.05,230,217.05,236,2
2024-06-12,218.44,218.44,218.44,236,1
2024-06-13,235,240,235,239.79,591
2024-06-14,222,222,222,239.79,1
2024-06-21,234.99,234.99,234.99,234.99,300
2024-06-24,225,225,214.21,215.04,14649
2024-06-25,215.1,223,210,219.39,35450
2024-06-26,219,219,219,219.39,26065
2024-06-27,203,217.96,203,212,4639
2024-06-28,201.11,229,201.11,224.7,45376
2024-07-01,227,227,225,225,540
2024-07-02,238.99,240,225,235,992321
2024-07-03,234.99,235,234.99,235,200
2024-07-04,230,243,228.15,233.91,16529
2024-07-05,233.9,235.9,219.51,222.76,638
2024-07-08,242.99,242.99,229,222.76,16
2024-07-09,230,240,230,230.02,1406
2024-07-10,239,239,215.5,218.57,216
2024-07-11,230,230,230,230,475
2024-07-15,251.85,251.85,240,230,2
2024-07-18,239.99,248.89,239.99,241.32,6133
