date,open,high,low,close,volume
2024-01-17,3.05,3.15,3,3.12,23500
2024-01-18,3,3.05,3,3,25500
2024-01-19,3,3.08,2.71,2.81,139000
2024-01-22,2.99,2.99,2.9,2.99,24000
2024-01-23,2.86,3,2.86,2.94,35500
2024-01-24,3.03,3.03,2.75,2.9,125500
2024-01-25,2.9,3,2.76,2.81,123500
2024-01-26,2.9,2.9,2.78,2.78,20500
2024-01-29,2.72,2.77,2.66,2.71,135500
2024-01-30,2.56,2.57,2.4,2.42,177000
2024-01-31,2.5,2.6,2.3,2.4,76000
2024-02-01,2.5,2.57,2.36,2.4,51500
2024-02-02,2.5,2.93,2.5,2.79,144500
2024-02-06,2.99,2.99,2.7,2.87,15000
2024-02-07,2.8,2.85,2.62,2.72,20500
2024-02-09,2.72,2.75,2.68,2.75,2500
2024-02-12,2.5,2.7,2.5,2.65,82000
2024-02-13,2.31,2.65,2.31,2.65,8500
2024-02-14,2.88,2.88,2.65,2.65,41500
2024-02-15,2.85,2.85,2.5,2.7,39000
2024-02-16,2.61,2.7,2.53,2.7,38000
2024-02-19,2.75,2.85,2.75,2.85,63500
2024-02-20,2.85,2.88,2.7,2.79,57500
2024-02-21,2.85,2.95,2.5,2.58,29000
2024-02-22,2.66,2.68,2.56,2.64,30500
2024-02-23,2.63,3.18,2.63,2.97,315000
2024-02-26,3,3,2.82,2.92,161000
2024-02-27,2.9,2.97,2.8,2.81,72500
2024-02-28,2.99,2.99,2.77,2.8,9000
2024-02-29,2.9,2.9,2.87,2.87,5500
2024-03-01,2.98,2.98,2.16,2.82,203000
2024-03-04,2.9,2.97,2.8,2.81,59500
2024-03-05,2.9,2.9,2.7,2.7,74000
2024-03-06,2.66,2.8,2.55,2.64,167500
2024-03-07,2.65,2.67,2.6,2.61,73000
2024-03-08,2.61,2.98,2.61,2.78,37500
2024-03-11,2.9,2.96,2.8,2.8,63500
2024-03-12,2.75,2.75,2.52,2.57,15500
2024-03-13,2.85,2.85,2.62,2.65,4000
2024-03-14,2.65,2.85,2.65,2.76,24000
2024-03-15,2.77,2.77,2.7,2.72,16000
2024-03-18,2.8,2.8,2.51,2.56,96500
2024-03-19,2.86,2.93,2.52,2.78,224000
2024-03-20,2.9,2.94,2.73,2.8,29500
2024-03-21,2.9,2.9,2.76,2.77,42500
2024-03-22,2.58,2.9,2.58,2.62,79000
2024-03-25,2.62,2.62,2.55,2.62,10500
2024-03-26,2.6,2.71,2.6,2.63,16000
2024-03-27,2.6,3.29,2.6,2.85,238000
2024-03-28,2.89,2.96,2.75,2.91,39500
2024-03-29,2.88,2.88,2.65,2.67,47000
2024-04-01,2.56,2.85,2.56,2.6,18500
2024-04-02,2.65,2.65,2.57,2.61,44500
2024-04-03,2.55,2.65,2.5,2.55,196000
2024-04-04,2.55,2.63,2.53,2.55,34000
2024-04-08,2.6,2.69,2.45,2.55,76000
2024-04-09,2.58,2.6,2.55,2.6,3000
2024-04-15,2.6,2.63,2.56,2.61,126500
2024-04-16,2.5,2.73,2.5,2.62,316000
2024-04-17,2.62,2.7,2.62,2.7,18500
2024-04-18,2.73,2.75,2.6,2.75,32500
2024-04-19,2.74,2.74,2.6,2.63,550000
2024-04-22,2.65,2.65,2.6,2.6,17500
2024-04-23,2.7,2.7,2.49,2.51,664500
2024-04-24,2.53,2.57,2.47,2.5,169500
2024-04-25,2.59,2.59,2.46,2.53,56000
2024-04-26,2.6,2.6,2.42,2.53,49000
2024-04-29,2.5,2.63,2.5,2.61,43500
2024-04-30,2.78,2.78,2.42,2.5,277000
2024-05-02,2.6,2.6,2.43,2.5,3000
2024-05-03,2.66,2.69,2.37,2.49,35500
2024-05-06,2.73,2.73,2.39,2.4,402500
2024-05-07,2.35,2.41,2.35,2.37,231500
2024-05-08,2.64,2.64,2.2,2.45,184500
2024-05-09,2.4,2.59,2.4,2.47,114500
2024-05-10,2.64,2.73,2.46,2.49,250000
2024-05-13,2.37,2.53,2.37,2.48,26000
2024-05-14,2.62,2.62,2.45,2.46,46500
2024-05-15,2.47,2.49,2.41,2.42,54500
2024-05-16,2.42,2.49,2.4,2.42,39000
2024-05-17,2.41,2.45,2.16,2.39,281000
2024-05-20,2.41,2.41,2.35,2.37,49500
2024-05-21,2.39,2.48,2.31,2.36,152500
2024-05-22,2.4,2.4,2.3,2.35,90500
2024-05-23,2.49,2.69,2.3,2.55,643500
2024-05-24,2.55,3.2,2.55,2.69,1516500
2024-05-27,2.7,2.75,2.45,2.53,113425
2024-05-29,2.6,2.85,2.48,2.59,176293
2024-05-30,2.55,2.68,2.49,2.49,38061
2024-05-31,2.49,2.6,2.45,2.52,5210
2024-06-03,2.46,2.68,2.46,2.56,14771
2024-06-04,2.67,2.74,2.55,2.61,33492
2024-06-05,2.55,2.69,2.46,2.56,24851
2024-06-06,2.64,3.12,2.64,2.9,2340634
2024-06-07,3.15,3.9,2.9,3.9,5737994
2024-06-10,4.3,4.6,3.05,3.56,7415829
2024-06-11,3.5,3.7,3.2,3.28,1184903
2024-06-12,3.39,3.6,3.05,3.33,632878
2024-06-13,3.3,3.34,3.1,3.18,665986
2024-06-14,3.11,3.2,3,3.01,182294
2024-06-20,3.24,4.01,3,3.95,3950595
2024-06-21,4.06,4.29,3.66,3.82,3010139
2024-06-24,3.9,4.1,3.66,3.76,1743212
2024-06-25,3.89,3.89,3.39,3.42,944163
2024-06-26,3.45,3.59,3.24,3.31,717775
2024-06-27,3.47,3.47,3.25,3.3,171174
2024-06-28,3.22,3.59,3.22,3.45,410055
2024-07-01,3.59,3.86,3.5,3.67,1602694
2024-07-02,3.7,3.8,3.48,3.61,644788
2024-07-03,3.8,3.8,3.5,3.58,438190
2024-07-04,3.7,3.9,3.54,3.83,2229401
2024-07-05,4,4.37,3.71,3.8,3218766
2024-07-08,4,4,3.8,3.83,317676
2024-07-09,3.95,4.2,3.75,3.8,1450983
2024-07-10,3.8,3.9,3.66,3.71,212829
2024-07-11,3.88,3.94,3.45,3.51,514265
2024-07-12,3.6,3.69,3.3,3.41,505928
2024-07-15,3.71,3.71,3.3,3.34,117291
2024-07-18,3.3,3.6,3.3,3.46,178087
2024-07-19,3.59,3.59,3.25,3.31,98944
2024-07-22,3.3,3.56,3.2,3.22,112636
2024-07-23,3.56,3.56,3.23,3.3,196345
2024-07-24,3.3,3.52,3.3,3.43,143110
2024-07-25,3.6,3.6,3.31,3.44,53271
2024-07-26,3.6,3.95,3.4,3.45,22611
2024-07-29,3.45,3.65,3.33,3.46,90999
2024-07-30,3.6,3.6,3.3,3.35,79457
2024-07-31,3.45,3.46,3.2,3.23,220710
2024-08-01,3.49,3.5,3.1,3.44,616357
2024-08-02,3.25,3.63,3.2,3.39,213676
2024-08-05,3.3,3.73,3.3,3.7,286612
2024-08-06,3.51,3.77,3.51,3.64,206226
2024-08-07,3.45,3.71,3.45,3.65,107394
2024-08-08,3.73,3.73,3.55,3.59,20100
2024-08-09,3.69,3.89,3.58,3.73,184238
2024-08-12,3.84,4.2,3.8,3.84,2074722
2024-08-13,4,4,3.75,3.83,993382
2024-08-15,3.99,3.99,3.7,3.81,329437
2024-08-16,3.89,3.99,3.72,3.76,296787
2024-08-19,3.75,4.24,3.75,3.97,1431565
2024-08-20,4.1,4.15,3.8,4.1,751606
2024-08-21,4.17,4.5,4.12,4.28,1142813
