date,open,high,low,close,volume
2024-01-12,6.05,6.16,5.75,5.81,154000
2024-01-15,6,6,5.72,5.75,31000
2024-01-16,5.4,5.89,5.4,5.71,51000
2024-01-17,5.85,6.1,5.7,6.01,977500
2024-01-18,6.1,6.25,5.95,6.01,890500
2024-01-19,6.24,6.45,5.88,5.9,244000
2024-01-22,5.9,6.2,5.8,5.85,143000
2024-01-23,5.95,6.1,5.85,5.95,955500
2024-01-24,6.1,6.1,5.87,5.95,84500
2024-01-25,5.95,5.98,5.79,5.81,83500
2024-01-26,5.73,6,5.73,5.82,150500
2024-01-29,5.81,5.89,5.47,5.5,503500
2024-01-30,5.78,5.78,5.41,5.44,114500
2024-01-31,5.46,5.6,5.4,5.53,278500
2024-02-01,5.44,5.53,5.42,5.42,41000
2024-02-02,5.45,5.59,5.41,5.48,87000
2024-02-06,5.54,5.77,5.46,5.61,68000
2024-02-07,5.75,5.85,5.55,5.6,330000
2024-02-09,5.5,5.5,5.31,5.41,208500
2024-02-12,5.31,5.34,5.18,5.21,258500
2024-02-13,5.05,5.39,5.05,5.38,276500
2024-02-14,5.64,5.65,5.4,5.43,238500
2024-02-15,5.25,5.72,5.25,5.35,196500
2024-02-16,5.49,5.5,5.27,5.3,58000
2024-02-19,5.3,5.35,5.3,5.31,45000
2024-02-20,5.35,5.5,5.22,5.23,87000
2024-02-21,5.55,5.55,5.2,5.29,93500
2024-02-22,5.23,5.52,5.16,5.24,138500
2024-02-23,5.29,5.5,5.2,5.25,178000
2024-02-26,5.22,5.5,5.21,5.41,424000
2024-02-27,5.58,5.58,5.21,5.3,615500
2024-02-28,5.45,5.45,5.2,5.37,388500
2024-02-29,5.59,5.59,5.3,5.33,107500
2024-03-01,5.3,5.49,5.25,5.39,80000
2024-03-04,5.4,5.4,5.33,5.35,61000
2024-03-05,5.32,5.32,5.25,5.27,49000
2024-03-06,5.23,5.31,5.21,5.31,285000
2024-03-07,5.4,5.45,5.23,5.3,63500
2024-03-08,5.3,5.39,5.21,5.28,192000
2024-03-11,5.34,5.38,5.2,5.22,457000
2024-03-12,5.21,5.25,5.14,5.15,310000
2024-03-13,5.42,5.42,5.02,5.05,73000
2024-03-14,5.02,5.2,5.02,5.19,65500
2024-03-15,5.19,5.3,5,5.02,408500
2024-03-18,5.01,5.18,5.01,5.12,58000
2024-03-19,5.05,5.12,5,5.09,121500
2024-03-20,5.19,5.55,5.08,5.44,935500
2024-03-21,5.35,5.58,5.35,5.48,76000
