date,open,high,low,close,volume
2024-01-16,197.99,197.99,197.99,192.53,200
2024-01-17,191.1,191.1,190,190,3000
2024-01-18,192.99,192.99,185,186,600
2024-01-19,192,194.99,185,187.94,2100
2024-01-22,185.22,188,185.22,187,400
2024-01-23,191,191,185.59,188.3,200
2024-01-24,188,191,182.01,190,3200
2024-01-25,185.1,189.98,182.5,182.82,9000
2024-01-26,187.99,188,185,187,500
2024-01-29,185,185,182,182.01,700
2024-01-30,182,182,174,177.5,11500
2024-01-31,182.99,183,180,180,1200
2024-02-01,180,180,180,180,6800
2024-02-02,178,187.25,178,181.08,400
2024-02-06,188,188,185,185,5100
2024-02-07,185.5,189.49,185.5,186.5,600
2024-02-09,185,194.99,180.01,193.39,2400
2024-02-12,185,185,179,179.27,11600
2024-02-13,175,183.98,173,183.98,3800
2024-02-14,188,193.5,184,187.08,1600
2024-02-15,183,183.7,180,180.85,3400
2024-02-16,180,180,175.03,180,1300
2024-02-19,180.01,180.01,179.99,180,1400
2024-02-20,184,193.5,184,191.92,54600
2024-02-21,197,203,192.5,196.08,128500
2024-02-22,190.01,196.5,190.01,192.45,25200
2024-02-23,193,198,193,197.5,13600
2024-02-26,203,207,200,204.12,95800
2024-02-27,207.95,207.95,202,202,13300
2024-02-28,201,204,186.85,201.1,50200
2024-02-29,200.05,204.99,197.01,198.73,18200
2024-03-01,198,198,188,189.22,16200
2024-03-04,192,194.89,190,190.14,11100
2024-03-05,192.21,192.89,188.5,190.27,8000
2024-03-06,192.44,192.44,189.05,189.09,2600
2024-03-07,187.79,188,185,188,7100
2024-03-08,186.01,192.65,186.01,190.21,3700
2024-03-11,186.1,187.5,180.01,181.48,61500
2024-03-12,181.52,181.52,177.05,180.03,6800
2024-03-13,180.04,180.04,176.1,178.05,3200
2024-03-14,174.25,178.5,174,178.31,4000
2024-03-15,177.03,182,177,180.47,4000
2024-03-18,181.49,181.5,177.5,179.5,400
2024-03-19,182.49,182.49,180,180,3300
2024-03-20,178.01,179.99,178,178.28,900
2024-03-21,177,180,176,177.05,1700
2024-03-22,177,177,174,174.67,2900
2024-03-25,178,178.45,175.6,176.76,3600
2024-03-26,174.01,175.5,174.01,175.27,600
2024-03-27,173.01,180,173,177,5400
2024-03-28,178,178.5,178,178.5,900
2024-03-29,178.5,178.5,175.01,175.01,4600
2024-04-01,175.1,178,175.1,178,600
2024-04-02,175.01,175.55,173.66,174.99,6800
2024-04-03,178.98,179,175,178.14,6800
2024-04-04,181.81,181.81,177.01,178.6,900
2024-04-08,176,184,176,184,19900
2024-04-09,178,186.99,178,184.9,24600
2024-04-15,183,183,178,180,10300
2024-04-16,182.48,190,182.12,183.57,40500
2024-04-17,185.8,188,182.12,188,7600
2024-04-18,189,191.5,187.02,188.67,19100
2024-04-19,180.5,192,180.5,185.49,3200
2024-04-22,187.45,187.45,183.5,183.89,9746
2024-04-23,181.15,184.88,181,182.09,10196
2024-04-24,184,188,180,186.25,37325
2024-04-25,191.84,191.84,186,186.01,4609
2024-04-26,185,190,183,185.84,24439
2024-04-29,190.9,195.95,188,188.39,35904
2024-04-30,187.01,190,183,186.32,27749
2024-05-02,187,189.4,181,183.69,38627
2024-05-03,186.75,194,186.75,192.5,90722
2024-05-06,194,206.94,191,203.12,125144
2024-05-07,207,207,200.5,200.5,13646
2024-05-08,200.5,204,193,200.89,67124
2024-05-09,204,204.98,197.15,199.45,13565
2024-05-10,202.38,214.41,200.05,209.85,128938
2024-05-13,206,219.81,205.06,214.42,71151
2024-05-14,211.11,222,210.2,214.38,100521
2024-05-15,214.38,217.01,208.5,210.41,37985
2024-05-16,208,210.01,204.5,207.69,39768
2024-05-17,207,214.1,205,210.44,79820
2024-05-20,212,217,210,211.76,31847
2024-05-21,214.85,214.85,205.32,206.01,18073
2024-05-22,205.1,208.02,200,200.36,15216
2024-05-23,200.1,203.01,198,200.35,13394
2024-05-24,203.99,208.99,203.99,206.9,22027
2024-05-27,203.1,208,203,207,26675
2024-05-29,209,209.05,200.01,203.4,33883
2024-05-30,201,207.55,200.01,205.98,13081
2024-05-31,210,216,201,213.31,73726
2024-06-03,210.01,218,210,212.99,28415
2024-06-04,211,213.49,208.2,209.02,4812
2024-06-05,212.95,212.95,206,206.73,11120
2024-06-06,209,209,203.1,204.91,3641
2024-06-07,200.52,208.8,200.35,206.61,5145
2024-06-10,198,207.7,198,202.6,4353
2024-06-11,204.98,205,202,203.03,10259
2024-06-12,204,207.99,203.1,206.8,4498
2024-06-13,206.99,224.38,206.99,221.59,157494
2024-06-14,229,238,224,237.14,51525
2024-06-20,237,238,230.02,234.66,24482
2024-06-21,235,235.1,227,228.08,11935
2024-06-24,228.08,229.99,221.03,227.55,7850
2024-06-25,227.99,229.99,225,226.98,4558
2024-06-26,221.01,228.95,216.5,221.21,3809
2024-06-27,220.01,230.2,217.15,225.52,4265
2024-06-28,226.94,226.94,226.94,225.52,1
2024-07-01,220.36,236,220.36,229.53,3736
2024-07-02,234.99,235.27,228.25,234.98,22505
2024-07-03,234.05,235,229,230.19,6347
2024-07-04,227.01,234.5,227.01,229.33,20019
2024-07-05,229.99,237.8,226.1,231.08,14527
2024-07-08,230,234.81,228.1,233.83,11733
2024-07-09,234.7,243,234.7,236.43,30768
2024-07-10,235,254.28,232,248.9,75285
2024-07-11,254.99,262.99,252.62,254.2,59053
2024-07-12,255,255,232.52,250.57,15711
2024-07-15,258,262,250.1,257.92,47824
2024-07-18,255,263.81,255,258.41,14988
2024-07-19,256,256,240,244.93,38195
2024-07-22,248,248,230,231.43,39322
2024-07-23,238,240,235,238.45,18350
2024-07-24,242,247.13,235,235.38,20803
2024-07-25,236,239.98,230,235.05,28707
2024-07-26,235,241.99,233.51,235.64,14310
2024-07-29,239,241.99,234,240.29,23533
2024-07-30,240,246,239,239.56,31204
2024-07-31,240.01,243,239,240.26,15129
2024-08-01,242.89,247,238.01,240.09,17068
2024-08-02,243,245,238,240.03,25762
2024-08-05,243,243,222,234.66,27112
2024-08-06,233,233.8,230,230.46,7703
2024-08-07,229.35,242,229.3,236.02,32239
2024-08-08,235.01,242,235,239.16,24895
2024-08-09,245,248,234,234.32,21108
2024-08-12,235,236,230,230.26,23450
2024-08-13,230,240.99,229.5,237.57,27219
2024-08-15,238.5,243.5,238,242.52,12234
2024-08-16,243,266.77,241,244.3,52659
2024-08-19,249.99,249.99,241,241.52,32539
2024-08-20,247.75,247.75,241.01,241.09,7723
2024-08-21,246,254.81,243.01,247.94,47941
2024-08-22,251,252.38,248,248.86,20775
