date,open,high,low,close,volume
2023-08-17,78.5,79.0,77.5,79.0,39000
2023-08-18,79.0,79.0,79.0,79.0,9500
2023-08-21,78.5,78.5,78.5,78.5,4000
2023-08-23,78.55,78.55,78.55,78.55,500
2023-08-30,78.5,78.5,78.5,78.5,14500
2023-09-06,77.0,77.0,77.0,77.0,2000
2023-09-07,75.0,75.0,75.0,75.0,147000
2023-09-12,73.51,73.51,73.5,73.5,1000
2023-09-20,74.0,74.0,73.5,74.0,25000
2023-09-21,74.0,74.0,74.0,74.0,3000
2023-09-25,73.5,73.5,73.5,73.5,500
2023-09-26,79.0,79.0,79.0,79.0,500
2023-09-27,79.0,84.85,79.0,84.85,11000
2023-09-28,89.5,89.5,85.8,86.46,5500
2023-10-05,86.0,86.0,86.0,86.0,2000
2023-10-06,86.0,86.0,86.0,86.0,2000
2023-10-09,85.0,85.0,85.0,85.0,1000
2023-10-11,86.0,86.0,86.0,86.0,1000
2023-10-12,90.0,90.0,90.0,90.0,500
2023-11-03,90.0,90.0,90.0,90.0,1500
2023-11-06,83.51,85.0,83.51,84.6,17000
2023-11-08,86.0,86.0,85.5,85.5,3000
2023-11-13,85.5,87.0,85.5,87.0,1000
2023-11-17,86.5,86.5,86.5,86.5,500
2023-11-20,86.5,88.0,86.5,87.98,1500
2023-11-22,85.0,85.0,85.0,85.0,500
2023-11-23,83.0,86.0,83.0,86.0,1000
2023-11-24,84.0,84.0,82.0,82.0,23000
2023-11-27,82.0,82.0,82.0,82.0,1500
2023-11-28,83.0,83.0,83.0,83.0,2000
2023-11-29,84.25,86.0,84.25,86.0,25500
2023-11-30,86.0,86.0,86.0,86.0,2000
2023-12-01,87.99,92.44,87.99,92.44,12000
2023-12-04,95.99,95.99,92.44,92.44,1000
2023-12-07,95.5,95.5,94.0,94.0,1500
2023-12-13,90.1,90.1,89.1,89.6,21000
2023-12-14,85.0,87.5,85.0,87.5,20000
2023-12-15,85.2,85.2,85.2,85.2,10500
2023-12-19,85.0,85.0,85.0,85.0,4000
2023-12-20,85.0,85.0,85.0,85.0,500
2023-12-22,85.0,85.0,85.0,85.0,500
2023-12-27,85.01,89.0,85.01,89.0,25000
2023-12-28,85.01,85.01,85.0,85.0,4500
2024-01-01,86.4,88.45,86.0,86.03,4000
2024-01-02,88.4,88.4,86.0,86.0,1500
2024-01-04,85.25,85.25,85.25,85.25,500
2024-01-11,88.0,88.0,88.0,88.0,500
2024-01-15,87.95,87.95,87.95,87.95,500
2024-01-16,85.0,85.0,85.0,85.0,500
2024-01-26,84.5,84.5,84.5,84.5,500
2024-01-30,84.5,85.0,84.5,85.0,2000
2024-02-01,85.0,85.0,84.5,84.5,22000
2024-02-02,84.5,84.5,84.5,84.5,16500
2024-02-06,84.0,85.1,84.0,85.1,6000
2024-02-09,84.0,84.0,84.0,84.0,1500
2024-02-15,84.0,89.0,84.0,89.0,20000
2024-02-20,84.1,84.1,82.5,84.0,26500
2024-02-23,89.4,89.4,89.4,89.4,500
2024-02-28,88.0,88.0,88.0,88.0,3500
2024-02-29,86.0,86.0,85.99,86.0,3000
2024-03-04,87.0,87.99,87.0,87.99,4500
2024-03-05,89.74,90.0,89.74,90.0,6500
2024-03-11,90.0,90.0,90.0,90.0,2000
2024-03-13,90.0,90.0,90.0,90.0,1500
2024-03-18,90.0,90.0,90.0,90.0,500
2024-03-20,90.0,90.0,90.0,90.0,1000
2024-03-21,88.0,88.0,88.0,88.0,500
2024-03-22,88.0,92.0,85.0,85.0,21000
2024-03-25,88.99,90.0,88.8,89.0,25000
2024-03-27,87.0,87.0,87.0,87.0,500
2024-03-28,88.0,88.0,88.0,88.0,500
2024-04-08,88.0,88.0,88.0,88.0,500
2024-04-09,84.03,87.98,84.0,86.49,10000
2024-04-16,86.0,86.0,84.0,84.0,2000
2024-04-17,85.99,86.0,85.5,85.5,1500
2024-04-18,86.0,86.0,85.99,86.0,2500
2024-04-19,85.0,85.0,85.0,85.0,204000
2024-04-22,84.02,84.97,84.0,84.16,4000
2024-04-23,84.0,84.5,84.0,84.0,58500
2024-04-24,84.0,84.0,84.0,84.0,38000
2024-04-25,84.0,85.0,83.75,85.0,26000
2024-04-26,84.99,84.99,84.2,84.2,2000
2024-04-29,84.04,84.04,84.0,84.0,7000
2024-05-02,84.0,84.0,84.0,84.0,7500
2024-05-03,84.0,84.0,84.0,84.0,2000
2024-05-06,85.0,86.0,84.0,84.0,15500
2024-05-07,82.3,82.3,82.3,82.3,500
2024-05-08,84.99,85.99,84.99,85.99,1500
2024-05-09,82.5,82.5,82.5,82.5,4500
2024-05-10,83.5,88.0,83.5,85.89,10000
2024-05-13,88.0,88.0,84.1,84.11,1500
2024-05-14,87.0,87.0,86.75,86.75,4000
2024-05-17,85.0,85.01,85.0,85.0,12000
2024-05-22,87.0,90.0,87.0,89.73,10500
2024-05-24,85.01,85.01,85.01,85.01,500
2024-05-27,88.88,88.88,86.0,86.0,399
2024-05-29,86.0,89.0,86.0,88.96,1641
2024-05-30,88.0,88.0,88.0,88.0,3000
2024-05-31,87.5,90.0,86.0,89.98,2744
2024-06-03,88.0,89.0,86.5,87.26,515
2024-06-04,90.99,94.24,87.3,87.79,5452
2024-06-05,88.01,88.18,88.0,88.03,382
2024-06-06,94.0,94.0,90.0,90.0,1152
2024-06-10,87.05,87.05,87.01,90.0,141
2024-06-11,87.02,87.02,87.02,90.0,18
2024-06-12,90.0,90.0,87.02,90.0,135
2024-06-13,91.0,91.0,91.0,90.0,10
2024-06-14,90.0,90.0,88.01,88.98,1972
2024-06-20,88.12,88.12,85.0,85.2,15150
2024-06-21,85.1,85.5,85.1,85.2,34
2024-06-25,86.0,86.0,86.0,85.2,150
2024-06-26,85.01,87.49,85.0,85.06,3125
2024-06-27,86.98,86.98,86.0,86.0,600
2024-06-28,85.25,85.25,85.2,85.2,600
