date,open,high,low,close,volume
2023-09-25,193.99,194.9,193.99,194.45,200
2023-09-26,194.99,195,194.99,195,5800
2023-09-27,195,195,195,195,300
2023-09-28,193,199.4,193,195.41,26600
2023-10-02,194.01,194.01,181.5,189.16,6900
2023-10-03,190.99,190.99,190.99,189.16,3000
2023-10-16,191.99,191.99,187,187.01,900
2023-10-23,186.01,186.01,186.01,187.01,100
2023-10-26,190,190,190,187.01,100
2023-10-27,190,190,190,190,200
2023-10-30,189,189,181.01,186.99,1800
2023-10-31,187,187,187,186.99,100
2023-11-01,185.05,185.05,185,185,1000
2023-11-02,185,185,185,185,3900
2023-11-03,185,185,185,185,200
2023-11-07,185.3,185.3,180.01,180.67,1500
2023-11-08,184.99,185.99,182,182,3200
2023-11-14,182.03,183,182.03,182.52,200
2023-11-16,185,185,185,182.52,2000
2023-11-17,186.98,186.98,186.98,182.52,100
2023-11-20,185,187,185,187,3200
2023-11-21,182.05,182.05,182.05,182.05,300
2023-11-22,184.01,184.01,182,182.33,4900
2023-11-23,182.01,184.99,182,184.66,2300
2023-11-27,182.51,182.51,182.51,182.51,300
2023-11-28,184,184,180,180,11300
2023-11-29,180,183,178,178,11500
2023-11-30,179.65,180,177,180,10800
2023-12-01,180,181.99,180,181.99,1800
2023-12-04,182.99,186.99,182.99,186.49,500
2023-12-05,185,185.5,185,185,9600
2023-12-07,185,189,185,188.34,15800
2023-12-08,189.99,191.99,189.99,191.49,1700
2023-12-11,189,189,187.25,187.75,1400
2023-12-12,188.8,190,188.1,189,1800
2023-12-13,192.95,192.95,187.15,188.9,10300
2023-12-14,189.95,190,188,188.11,5500
2023-12-15,191.9,191.9,190,190.5,800
2023-12-18,188.01,188.01,187.5,187.64,700
2023-12-19,187.01,187.01,180,182.95,14000
2023-12-20,182.25,189,181,182,18300
2023-12-21,182,182.5,180.01,180.01,6800
2023-12-22,180,180.01,176.01,180,13700
2023-12-26,179,189,179,187.64,27700
2023-12-27,188,191,186.01,190,9900
2023-12-28,189.89,190,184.01,188.99,20900
2023-12-29,188.48,203.16,183,193.04,462300
2024-01-01,199.01,199.01,195.01,195.51,500
2024-01-02,194.01,194.5,194.01,194.26,200
2024-01-04,193.01,193.01,189.01,189.51,500
2024-01-05,188.01,188.01,188.01,189.51,1200
2024-01-08,192.5,192.5,192,192.25,800
2024-01-09,192,192,185.02,185.06,1600
2024-01-12,185.1,190.98,185.1,185.69,1000
2024-01-15,185.01,185.01,185.01,185.69,100
2024-01-19,188,188,188,185.69,100
2024-01-22,184.1,184.1,183.01,183.8,800
2024-01-29,182.01,182.01,182.01,183.8,100
2024-02-06,186.99,189,186.99,189,10500
2024-02-07,185,185,185,185,4000
2024-02-09,185,185,185,185,2100
2024-02-12,184.01,184.01,181.01,181.51,400
2024-02-14,185,185,184,184,500
2024-02-22,184.75,188.99,184.75,188.49,9100
2024-02-26,189.99,193,189.99,193,800
2024-02-27,193.99,195,188.2,188.2,3600
2024-02-28,189,191,189,191,400
2024-02-29,190,190.15,190,190,3500
2024-03-01,190,193,190,192,12700
2024-03-04,191,191,190,190,700
2024-03-05,192,192,190.16,190.16,1900
2024-03-08,191.1,191.1,191.1,190.16,100
2024-03-11,193,193,192,192,300
2024-03-12,193.9,193.9,193.9,193.9,500
2024-03-13,193.75,193.75,193.75,193.75,500
2024-03-14,193.75,194.99,193.75,194.49,600
2024-03-15,195.5,195.99,195.5,195.79,1100
2024-03-19,196.5,196.99,196,196,1900
2024-03-20,187,193.75,186.01,191.25,6300
2024-03-21,190.9,192.99,188.51,190.75,500
2024-03-22,188.51,188.55,188.51,188.55,400
2024-03-25,190,190,190,190,2900
2024-03-27,193.75,193.99,193.75,193.87,200
2024-03-28,194.98,195.1,194.9,195.1,2000
2024-03-29,195,198,192,194.65,9200
2024-04-02,192.01,192.01,191.01,191.51,1600
2024-04-19,191.55,191.55,191.55,191.55,500
2024-04-22,191.55,191.55,191.55,191.55,800
2024-04-23,193.99,193.99,193.99,191.55,1
2024-04-24,193.5,193.5,193.5,191.55,6
2024-04-25,193,193,193,191.55,15
2024-04-26,193,193,192.99,191.55,35
2024-04-29,193,193,193,193,300
2024-04-30,193,193,193,193,325
2024-05-03,192,192,192,193,100
2024-05-06,192.9,192.9,192.9,193,15
2024-05-08,190.01,190.01,190.01,191.5,40
2024-05-09,192,192,192,192,1001
2024-05-10,194,194,193.5,192,2
2024-05-13,190.05,194,190.05,192,50
2024-05-14,193.9,193.9,193.89,192,28
2024-05-15,194,194,194,192,110
2024-05-17,191.01,191.01,191.01,192,200
2024-05-20,192.4,192.4,191,192,8799
2024-05-21,192,194,191,194,14841
2024-05-23,191.05,191.05,190.01,190.05,2694
2024-05-24,190,190,190,190,1644
2024-05-27,189.01,190,189.01,189.77,132
2024-05-31,189.01,189.01,188,188,8053
2024-06-03,192,192,188.75,188.75,1681
2024-06-04,190,192,190,188.75,801
2024-06-07,187.01,190.99,187.01,188.75,125
2024-06-10,188.75,188.75,188.75,188.75,64
2024-06-11,186.01,186.01,186.01,188.75,55
2024-06-13,187,187,187,187,300
2024-06-20,188.51,188.51,188,188.4,1000
2024-06-21,188,188,188,188,1264
2024-06-24,189.1,190,189.1,190,1151
2024-06-25,190.99,195.99,190.99,195,20028
2024-06-26,193.01,195,192.05,194.01,5009
2024-06-27,194,200.4,194,199.71,18124
2024-06-28,196,199,184.01,196.72,32687
2024-07-01,187.51,188,181,182.73,9861
2024-07-02,184,185,181,184.57,2855
2024-07-03,184.99,184.99,183.99,183.99,355
2024-07-04,184.99,184.99,184.99,183.99,1
2024-07-05,185.9,185.9,170.01,176.47,4648
2024-07-08,175.99,177.99,175,177.35,661
2024-07-09,177.99,179,177.37,177.37,645
2024-07-10,179.99,183.89,176,182.5,1043
2024-07-11,180,182,175.01,176.83,2000
2024-07-12,179.99,179.99,175.5,176.4,205
2024-07-15,179.99,180,179.99,176.4,65
2024-07-18,179,179,177,176.4,106
2024-07-19,175.4,178,170.01,174.74,4037
2024-07-22,170.41,174.99,170.41,172.21,163
2024-07-23,174.99,175.99,174,172.21,113
