date,open,high,low,close,volume
2023-01-02,81.25,81.25,81.25,81.25,500
2023-02-01,87.3,87.3,87.3,87.3,2000
2023-02-06,80.75,80.75,80.75,80.75,3500
2023-02-23,80,80,80,80,6000
2023-04-12,86,86,86,86,500
2023-05-08,79.55,79.55,79.55,79.55,500
2023-08-09,71,71,71,71,500
2023-08-11,66,66,66,66,500
2023-08-18,61.05,61.05,61.05,61.05,500
2023-09-25,65.63,65.63,65.63,65.63,500
2023-11-16,60.71,70,60.71,70,6000
2023-11-20,64.75,64.75,64.75,64.75,500
2023-11-27,69.61,69.61,69.61,69.61,500
2023-11-29,74.75,74.75,74.75,74.75,500
2023-11-30,75,80,75,80,1500
2023-12-07,74,74,74,74,500
2023-12-14,68.45,68.45,68.45,68.45,500
2023-12-18,63.32,63.32,63.32,63.32,500
2024-02-21,68,68,68,68,500
2024-03-01,68,68,68,68,500
2024-03-08,73,73,73,73,500
2024-03-20,73,73,73,73,500
2024-04-18,67.6,74.9,67.55,67.55,3500
2024-05-14,68,70,68,70,1000
2024-05-16,75,75.25,75,75.25,1000
2024-05-17,79.5,79.5,79.5,79.5,500
2024-05-20,85.46,85.46,85.46,85.46,3000
2024-05-29,78.62,80,78.62,85.46,267
2024-05-30,79,79,79,85.46,10
2024-05-31,78.62,78.62,78.62,85.46,100
2024-06-03,79,79,79,85.46,212
2024-06-05,89.9,89.9,78.62,85.46,60
2024-06-12,78.2,78.2,78.2,78.2,358
2024-06-14,75,75,74,78.2,218
2024-06-20,71.55,73.8,71.55,78.2,273
2024-06-24,73,73.25,73,78.2,201
2024-06-25,72,73.5,72,78.2,125
2024-06-26,71.16,72.05,71.16,78.2,246
2024-06-27,71.8,71.8,71.8,71.8,610
2024-06-28,70.4,70.4,70.4,71.8,10
2024-07-01,70,70,70,71.8,32
2024-07-03,68,68,68,71.8,31
2024-07-04,70,71.05,70,71.8,149
2024-07-10,78.62,78.62,77,78.62,401
2024-07-12,71.15,71.15,71.15,78.62,25
2024-07-15,85,85,84.95,78.62,10
2024-07-18,83.5,83.5,71.15,75.74,1102
2024-07-19,68.6,79.79,68.6,74.2,351
2024-07-22,67,67.03,67,67.01,400
2024-07-23,62.01,62.01,62.01,62.01,500
2024-07-26,69.52,69.52,69.52,69.52,1000
2024-07-30,76.47,76.47,76,76.47,401
2024-08-02,72,72,72,76.47,12
2024-08-05,69,72,69,69.07,769
2024-08-06,69,70.1,69,69.03,515
2024-08-07,74.99,75,74.99,75,1550
2024-08-08,80,82.45,77,81.34,501
