date,open,high,low,close,volume
2023-01-02,133.9,133.9,133.9,133.9,200
2023-01-03,143.7,143.7,143.7,143.7,200
2023-01-04,153.9,153.9,153.9,153.9,200
2023-01-09,138.97,138.97,138.97,138.97,400
2023-01-10,144.99,144.99,130.5,138.46,700
2023-01-11,148,148,148,148,200
2023-01-18,150,150,150,150,200
2023-01-20,156,156,156,156,200
2023-01-27,147.99,147.99,127.82,127.82,1500
2023-01-30,137.4,137.4,118.24,118.26,1800
2023-02-02,118.64,127,118.64,126.99,700
2023-02-03,120,135,118,129.98,700
2023-02-06,138.5,138.5,121,129.75,400
2023-02-07,139,139,139,139,200
2023-02-08,146.5,146.5,128.58,128.58,600
2023-02-09,119.02,135,118.94,132.5,11500
2023-02-13,122.57,122.57,122.57,122.57,1700
2023-02-14,128.99,128.99,123,126,400
2023-02-16,116.66,116.66,116.55,116.55,600
2023-02-17,125,125,110.25,115.08,600
2023-02-20,107.48,107.48,107.2,107.42,1000
2023-02-21,111.99,111.99,108,108.13,700
2023-02-22,113.98,113.98,113.5,113.66,300
2023-02-23,113,113,112.95,112.99,600
2023-02-24,113,114.9,106.02,114.88,1700
2023-02-28,114.95,123,106.2,116.06,400
2023-03-02,108,109,107.6,108.33,500
2023-03-03,114.99,114.99,114.99,114.99,300
2023-03-06,106.37,114.99,106.37,114.99,200
2023-03-08,113.99,114.99,106.37,106.54,3900
2023-03-13,101,102,101,101.53,300
2023-03-14,107.95,107.95,107.95,107.95,300
2023-03-15,115.9,115.9,111.8,111.96,800
2023-03-17,118,118,110,114.8,500
2023-03-20,106.19,106.19,106.19,106.19,500
2023-03-22,109.99,109.99,109.99,109.99,300
2023-03-27,101.75,109.99,101.75,109.99,100
2023-03-28,101.75,109.99,101.75,109.99,200
2023-04-03,101,108,101,108,100
2023-04-05,100,108,100,108,100
2023-04-06,101,101,101,101,300
2023-04-07,108.57,108.57,108.57,108.57,500
2023-04-11,99.9,99.9,99.9,99.9,2900
2023-04-12,105.44,105.44,105.44,105.44,300
2023-04-17,108.98,108.98,102.99,107.98,600
2023-04-18,100,100,99.89,99.89,1400
2023-04-19,105.93,105.93,105.93,105.93,400
2023-04-20,97.99,105,97.99,105,3600
2023-04-26,99,100,99,99.05,1200
2023-04-27,98,98,96,97.2,500
2023-04-28,92.01,95.8,92,92.72,900
2023-05-04,88.01,88.15,88.01,88.06,300
2023-05-05,85.02,88,85.02,87.01,300
2023-05-09,93,93,82.05,82.53,700
2023-05-10,88.71,88.71,88.71,88.71,600
2023-05-12,84.01,84.01,84.01,84.01,300
2023-05-15,90.31,90.31,84,84,600
2023-05-16,90.3,90.3,88.01,88.01,600
2023-05-17,84.6,84.6,84.6,84.6,300
2023-05-18,90.94,90.95,90.94,90.94,2400
2023-05-24,90,97.5,90,94.15,500
2023-05-25,94,94,94,94,1000
2023-05-26,92,92,92,92,300
2023-05-29,98,98.9,98,98.9,900
2023-05-30,106.32,106.32,106.32,106.32,1500
2023-06-02,106.32,106.32,106.32,106.32,500
2023-06-05,105.99,114.2,105.99,114.2,700
2023-06-06,105.43,105.43,105.43,113.98,200
2023-06-07,105.43,105.43,105.43,105.43,300
2023-06-09,100,100,97.52,97.52,1800
2023-06-12,92,104,90.21,94.52,3000
2023-06-15,100.99,101.61,100.99,101.4,300
2023-06-16,93.8,93.8,93.8,93.8,400
2023-06-20,100.84,100.84,100.84,100.84,300
2023-06-26,93.41,93.41,93.28,93.28,1200
2023-07-06,100.28,100.28,100.28,100.28,500
2023-07-07,105,105,105,105,500
2023-07-10,100,100,97.13,97.13,5500
2023-07-11,97.13,97.13,97.13,97.13,1000
2023-09-22,104,104,104,104,500
2023-09-25,96.25,96.25,96.25,96.25,500
2023-09-28,89.15,89.15,89.15,89.15,500
