date,open,high,low,close,volume
2023-06-16,30.0,30.0,30.0,30.0,44500
2023-06-19,30.0,30.0,30.0,30.0,1500
2023-06-20,29.44,31.0,29.44,31.0,47000
2023-06-21,31.0,31.0,31.0,31.0,1500
2023-06-22,30.45,30.45,29.0,29.76,65000
2023-06-23,29.0,29.0,29.0,29.0,1000
2023-06-26,30.1,30.1,30.0,30.0,5000
2023-07-03,30.01,30.01,30.01,30.01,2000
2023-07-04,30.0,30.0,30.0,30.0,500
2023-07-05,30.0,30.0,30.0,30.0,5000
2023-07-06,30.0,30.0,30.0,30.0,5000
2023-07-10,30.0,30.1,30.0,30.0,4000
2023-07-11,30.0,30.49,30.0,30.49,3000
2023-07-12,30.0,30.0,30.0,30.0,4000
2023-07-14,30.0,30.0,30.0,30.0,500
2023-07-18,29.5,29.5,29.5,29.5,2000
2023-07-21,29.5,30.0,29.5,30.0,1500
2023-07-24,29.0,29.0,29.0,29.0,5500
2023-07-27,29.0,29.0,29.0,29.0,3000
2023-07-31,27.31,28.0,27.31,28.0,2500
2023-08-02,28.1,28.1,28.0,28.0,1000
2023-08-03,28.5,28.9,28.5,28.9,12500
2023-08-04,29.6,29.6,28.0,28.0,2500
2023-08-11,27.3,27.3,27.3,27.3,12500
2023-08-18,27.35,27.35,27.35,27.35,1000
2023-08-22,27.1,27.1,27.1,27.1,500
2023-08-24,28.68,28.68,28.68,28.68,500
2023-08-31,27.0,27.0,27.0,27.0,2500
2023-09-05,29.0,29.03,27.5,27.5,5500
2023-09-06,27.0,27.0,27.0,27.0,3000
2023-09-08,26.5,26.5,26.25,26.25,1500
2023-09-11,26.5,26.5,26.5,26.5,500
2023-09-15,25.0,26.72,25.0,26.72,1000
2023-09-20,28.0,28.0,28.0,28.0,2000
2023-10-02,26.72,26.72,26.71,26.72,1500
2023-10-06,27.0,27.0,27.0,27.0,500
2023-10-11,27.0,27.0,27.0,27.0,1000
2023-10-12,25.0,25.0,25.0,25.0,10500
2023-10-13,24.01,25.99,22.66,25.5,8500
2023-10-16,25.49,26.49,25.49,26.49,2000
2023-10-17,25.28,25.28,25.27,25.27,2000
2023-10-20,25.27,25.27,25.25,25.26,3500
2023-10-23,25.99,25.99,24.77,24.77,2500
2023-10-24,24.01,24.51,24.0,24.03,41000
2023-10-25,24.0,24.0,24.0,24.0,1500
2023-10-26,23.4,24.25,23.3,24.25,4500
2023-10-27,24.27,24.27,24.27,24.27,500
2023-10-30,24.4,26.09,24.4,26.09,15500
2023-10-31,27.03,28.05,27.03,28.04,16500
2023-11-01,27.52,27.85,25.94,27.85,7000
2023-11-06,27.74,27.75,27.25,27.25,7000
2023-11-07,27.2,28.0,27.0,27.51,16500
2023-11-08,27.5,28.4,27.25,28.35,8500
2023-11-10,28.56,28.66,28.49,28.49,8500
2023-11-13,27.7,27.7,27.0,27.0,2000
2023-11-14,26.3,27.49,26.3,27.49,1000
2023-11-16,27.9,28.99,27.9,28.98,3500
2023-11-20,29.0,29.0,28.75,28.88,8000
2023-11-21,30.0,31.05,30.0,31.05,13500
2023-11-22,33.38,33.38,31.0,33.38,69000
2023-11-23,35.35,35.88,34.0,35.88,86500
2023-11-24,37.9,38.57,37.9,38.57,20500
2023-11-27,41.46,41.46,41.46,41.46,4000
2023-11-28,44.57,44.57,42.0,43.08,248000
2023-11-29,42.01,43.4,41.25,42.0,21500
2023-11-30,43.0,45.0,41.51,41.55,15000
2023-12-01,41.05,43.0,40.0,42.0,10000
2023-12-04,42.0,42.95,42.0,42.95,7500
2023-12-06,40.51,44.44,40.51,44.39,12000
2023-12-07,44.0,44.33,41.65,42.5,53500
2023-12-08,43.97,43.97,42.0,42.0,10500
2023-12-11,42.0,42.0,41.01,41.96,54000
2023-12-13,39.05,40.2,39.01,40.01,17000
2023-12-14,37.75,37.75,37.75,37.75,500
2023-12-15,38.06,38.4,38.0,38.0,6500
2023-12-19,39.1,39.1,39.1,39.1,500
2023-12-21,38.0,38.0,37.0,37.0,1000
2023-12-22,38.0,38.0,37.0,37.2,5500
2023-12-26,34.41,37.0,34.41,37.0,1500
2023-12-28,37.0,37.0,37.0,37.0,125000
2023-12-29,37.02,38.0,37.01,37.01,2500
