date,open,high,low,close,volume
2024-01-10,32.49,32.49,32.15,32.3,119000
2024-01-11,32.59,32.6,29.92,32.32,363000
2024-01-12,32.5,32.55,32.03,32.3,283000
2024-01-15,32.39,32.39,31.95,32.0,154000
2024-01-16,32.1,32.1,31.6,31.68,113000
2024-01-17,31.5,31.99,29.52,31.13,159000
2024-01-18,30.9,31.02,30.45,30.65,226000
2024-01-19,30.75,31.22,30.45,30.64,79000
2024-01-22,30.89,31.25,30.51,31.13,82000
2024-01-23,31.02,31.69,31.0,31.49,73000
2024-01-24,31.74,31.74,30.3,31.34,186500
2024-01-25,31.2,31.63,30.82,30.91,193500
2024-01-26,31.44,31.44,30.77,30.81,311000
2024-01-29,30.65,31.49,30.51,30.55,61500
2024-01-30,31.35,31.35,30.49,30.5,204000
2024-01-31,30.6,30.8,30.4,30.52,44500
2024-02-01,30.7,30.7,30.11,30.58,270000
2024-02-02,30.51,32.87,30.51,32.44,1243000
2024-02-06,32.01,32.34,30.71,31.29,1162500
2024-02-07,30.88,31.3,30.81,31.15,643000
2024-02-09,30.63,31.69,29.31,31.23,251500
2024-02-12,31.4,32.1,30.51,30.86,520000
2024-02-13,30.51,31.51,30.31,30.99,696500
2024-02-14,31.73,31.73,30.4,30.82,844500
2024-02-15,31.15,31.79,29.0,29.46,1045000
2024-02-16,29.0,29.0,28.0,28.14,715500
2024-02-19,28.09,28.09,26.91,27.8,1116500
2024-02-20,28.25,29.1,27.75,28.49,1174500
2024-02-21,28.52,28.98,28.52,28.66,554000
2024-02-22,28.9,29.24,28.7,29.19,313500
2024-02-23,29.0,30.1,29.0,29.71,388500
2024-02-26,29.22,31.94,29.21,31.94,3240000
2024-02-27,34.34,34.34,32.05,32.44,2777500
2024-02-28,32.5,32.5,31.4,31.71,689500
2024-02-29,31.61,31.61,31.17,31.28,411000
2024-03-01,31.03,31.55,30.25,30.8,462500
2024-03-04,31.2,31.38,30.7,30.82,284000
2024-03-05,31.1,31.1,30.12,30.49,196500
2024-03-06,30.79,30.8,30.2,30.34,208000
2024-03-07,30.4,30.49,29.0,30.37,150000
2024-03-08,30.54,30.8,30.1,30.35,147500
2024-03-11,30.45,30.89,30.45,30.59,284000
2024-03-12,30.4,30.84,30.4,30.52,126000
2024-03-13,30.8,30.84,30.5,30.6,135500
2024-03-14,30.59,30.98,30.52,30.69,131500
2024-03-15,30.69,30.96,30.56,30.74,248500
2024-03-18,29.28,29.75,29.0,29.47,235000
2024-03-19,29.3,29.68,29.25,29.35,210500
2024-03-20,29.17,29.25,28.84,28.9,346000
2024-03-21,29.0,29.2,28.66,28.78,161000
2024-03-22,28.99,28.99,28.5,28.55,83500
2024-03-25,28.31,28.69,28.0,28.1,310500
2024-03-26,28.1,28.31,27.7,27.83,204500
2024-03-27,27.94,28.5,27.75,28.37,570500
2024-03-28,28.51,28.89,28.51,28.86,202500
2024-03-29,28.73,28.99,28.5,28.55,141000
2024-04-01,28.9,28.9,28.35,28.43,128500
2024-04-02,28.4,28.83,28.27,28.49,265000
2024-04-03,28.95,28.95,28.3,28.59,251500
2024-04-04,28.7,29.99,28.65,29.31,1254500
2024-04-08,31.39,31.5,29.86,30.02,1293000
2024-04-09,30.06,30.4,29.71,29.85,325500
2024-04-15,29.51,29.95,29.31,29.85,240000
2024-04-16,29.71,30.0,28.61,28.81,926000
2024-04-17,28.51,28.93,28.42,28.57,369500
2024-04-18,28.51,28.68,28.12,28.39,311000
2024-04-19,28.03,28.4,27.85,28.22,473000
2024-04-22,28.3,28.32,28.1,28.15,463500
2024-04-23,28.11,28.25,27.93,28.16,132000
2024-04-24,28.2,28.45,28.15,28.19,128000
2024-04-25,28.2,28.4,28.1,28.18,200000
2024-04-26,28.15,28.35,28.0,28.08,511500
2024-04-29,28.35,28.5,27.81,27.99,430000
2024-04-30,28.05,28.05,27.7,27.84,264500
2024-05-02,27.7,27.75,27.35,27.53,251500
2024-05-03,27.34,27.99,27.34,27.9,272000
2024-05-06,28.18,28.2,27.82,28.12,499000
2024-05-07,28.49,28.57,28.22,28.3,148000
2024-05-08,28.68,28.68,28.0,28.24,223500
2024-05-09,28.05,28.45,27.95,28.17,527500
2024-05-10,28.3,28.39,28.0,28.14,438000
2024-05-13,28.2,28.3,28.05,28.13,254000
2024-05-14,28.25,28.3,27.82,28.2,177500
2024-05-15,28.25,28.6,28.05,28.17,340500
2024-05-16,28.25,28.36,28.0,28.08,396000
2024-05-17,28.24,28.3,28.0,28.15,108000
2024-05-20,27.99,28.24,27.91,28.2,161698
2024-05-21,28.29,28.8,28.15,28.48,437993
2024-05-22,28.48,29.38,28.48,28.88,1144281
2024-05-23,28.98,29.0,28.6,28.76,389293
2024-05-24,28.76,30.0,28.45,29.32,1467301
2024-05-27,28.99,29.25,28.25,28.45,388962
2024-05-29,28.28,28.78,28.02,28.07,384339
2024-05-30,28.11,28.35,28.07,28.23,173678
2024-05-31,28.23,28.49,27.81,27.97,464201
2024-06-03,28.01,28.3,28.0,28.09,172258
2024-06-04,28.09,28.4,27.95,28.0,255641
2024-06-05,28.03,28.2,27.89,27.9,93072
2024-06-06,27.9,28.15,27.82,27.87,100945
2024-06-07,27.83,27.98,27.4,27.84,165674
2024-06-10,27.55,27.75,27.27,27.58,70564
2024-06-11,27.45,27.74,27.23,27.31,110437
2024-06-12,27.48,27.59,27.4,27.5,90048
2024-06-13,28.25,28.25,27.51,27.9,237156
2024-06-14,28.25,28.25,27.67,27.75,229658
2024-06-20,27.7,28.25,27.52,28.09,266934
2024-06-21,28.2,28.3,27.9,28.17,502668
2024-06-24,28.17,28.17,27.75,27.89,207614
2024-06-25,27.85,28.09,27.71,27.88,298325
2024-06-26,28.38,28.38,27.91,28.05,310206
2024-06-27,27.9,28.0,27.85,27.92,141212
2024-06-28,27.99,28.5,27.99,28.1,164470
2024-07-01,28.1,28.24,27.72,28.11,78964
2024-07-02,28.18,28.18,27.8,28.07,77765
2024-07-03,28.1,28.3,28.0,28.13,85020
2024-07-04,28.2,28.2,28.0,28.12,279974
2024-07-05,28.18,28.3,27.95,28.01,128993
2024-07-08,28.19,28.2,27.2,28.19,64706
2024-07-09,27.8,28.15,27.8,28.07,128353
2024-07-10,28.23,28.25,27.85,27.92,231923
2024-07-11,28.0,28.22,27.93,28.01,115829
2024-07-12,28.0,28.3,27.51,28.0,70858
2024-07-15,27.75,28.0,27.75,27.91,147133
2024-07-18,27.91,27.95,27.85,27.91,325651
2024-07-19,27.91,27.95,27.62,27.7,198745
2024-07-22,27.75,27.95,27.25,27.38,262804
2024-07-23,27.4,27.6,27.0,27.19,351410
2024-07-24,27.35,27.56,26.99,27.43,427297
2024-07-25,27.45,27.49,27.01,27.12,195731
2024-07-26,27.0,27.38,26.75,27.16,115178
2024-07-29,27.05,27.65,27.0,27.58,154137
2024-07-30,27.74,27.75,27.5,27.69,118691
