date,open,high,low,close,volume
2024-06-11,48.27,48.27,48.27,52.75,1
2024-06-12,48.27,49,48.27,48.27,1057
2024-06-27,52.61,52.61,52.61,48.27,1
2024-07-01,50,50,50,48.27,1
2024-07-11,48.5,48.5,48.5,48.5,1000
2024-07-29,43.71,52.98,43.65,43.87,627
2024-09-04,46,46,46,43.87,1
2024-09-06,44,44,44,43.87,1
2024-09-09,44.9,48.26,40,45.83,506
2024-09-10,45.83,50.41,41.25,50.41,1838
2024-09-11,55.45,55.45,55.39,50.41,93
2024-09-12,45.37,54.99,45.37,45.54,926
2024-09-13,41,49.77,40.99,41.48,1543
2024-09-16,37.53,44.9,37.53,41.48,11
2024-09-18,38.5,45,37.33,41.48,202
2024-09-19,38.05,38.05,38.05,41.48,90
2024-09-20,38.01,41.5,38.01,41.48,118
2024-09-23,41.8,41.8,41.8,41.48,1
2024-09-25,42,42,41.95,41.48,65
2024-09-27,41.48,41.48,41.48,37.71,50
2024-09-30,40.5,41.48,40.5,37.71,50
2024-10-02,41.45,41.45,33.94,37.71,3
2024-10-04,0,0,0,37.71,50
2024-10-08,33.95,34.5,33.94,37.71,53
2024-10-10,34,35,33.94,37.71,80
2024-10-11,35.01,35.01,35,37.71,11
2024-10-14,34,34,34,37.71,2
2024-10-16,34,34,34,37.71,2
2024-10-17,35,35,34.2,37.71,61
2024-10-18,34.05,37.94,34.05,37.71,121
2024-10-21,0,0,0,37.71,10
2024-10-22,37,37,37,37.71,20
2024-10-23,35.1,35.1,35.1,37.71,30
2024-10-24,37,37,37,37.71,21
2024-10-25,37,37,37,37.71,79
2024-10-28,34,34,34,37.71,6
2024-10-29,36,41,36,37.71,136
2024-11-01,36.01,41.22,36.01,37.71,6
2024-11-05,40.5,40.5,40.5,37.71,10
2024-11-06,34.5,37.1,34.5,37.71,2
2024-11-07,36,36,35.25,37.71,37
2024-11-12,39.01,39.01,37.8,37.71,3
2024-11-13,37.39,37.39,36.01,37.71,10
2024-11-15,41,41.02,34.5,37.71,153
2024-11-18,37.01,37.01,37.01,37.71,3
